Date,Open,High,Low,Close,Adj Close,Volume
2019-09-26,27.170000,27.980000,24.750000,25.760000,25.760000,47067700
2019-09-27,26.170000,26.170000,23.750000,25.240000,25.240000,15976000
2019-09-30,25.260000,25.850000,25.000000,25.100000,25.100000,4482900
2019-10-01,25.000000,25.170000,22.510000,22.510000,22.510000,8816100
2019-10-02,22.250000,23.180000,21.760000,22.600000,22.600000,9454700
2019-10-03,22.490000,22.820000,21.139999,22.330000,22.330000,8280000
2019-10-04,22.350000,23.420000,22.306000,23.010000,23.010000,3229200
2019-10-07,23.070000,24.330000,22.490000,23.510000,23.510000,2741400
2019-10-08,23.600000,23.900000,22.330000,23.209999,23.209999,2902100
2019-10-09,23.629999,24.799999,23.250000,24.000000,24.000000,3165600
2019-10-10,24.100000,24.200001,22.799999,23.139999,23.139999,3490300
2019-10-11,23.100000,23.400000,22.110001,22.389999,22.389999,3394900
2019-10-14,22.170000,22.280001,21.400000,21.469999,21.469999,2651100
2019-10-15,21.510000,23.680000,21.510000,23.445000,23.445000,2871400
2019-10-16,23.540001,23.540001,22.459999,23.030001,23.030001,2457000
2019-10-17,23.000000,23.959999,23.000000,23.860001,23.860001,1185400
2019-10-18,24.299999,24.680000,23.120001,23.520000,23.520000,3392200
2019-10-21,23.990000,24.370001,21.774000,22.260000,22.260000,7992800
2019-10-22,22.670000,22.698000,20.930000,21.160000,21.160000,5875400
2019-10-23,21.129999,21.740000,20.459999,21.080000,21.080000,4938000
2019-10-24,21.240000,21.450001,20.700001,21.340000,21.340000,2684500
2019-10-25,21.129999,23.090000,21.000000,22.400000,22.400000,2517700
2019-10-28,22.549999,22.670000,21.450001,21.459999,21.459999,4159900
2019-10-29,21.570000,24.160000,21.430000,23.180000,23.180000,5125200
2019-10-30,23.320000,23.735001,22.660000,23.719999,23.719999,2481800
2019-10-31,23.490000,23.940001,22.910000,23.870001,23.870001,1910100
2019-11-01,23.870001,25.299999,23.753000,24.990000,24.990000,4894700
2019-11-04,25.299999,26.500000,23.540001,24.610001,24.610001,5985100
2019-11-05,24.049999,24.250000,22.250000,22.740000,22.740000,13499900
2019-11-06,22.930000,23.200001,22.290001,23.020000,23.020000,3778400
2019-11-07,23.020000,23.309999,22.410000,22.629999,22.629999,2818800
2019-11-08,22.450001,23.549999,22.250000,23.520000,23.520000,2897100
2019-11-11,23.440001,24.170000,22.450001,24.040001,24.040001,2895700
2019-11-12,24.320000,24.990000,24.190001,24.690001,24.690001,2374800
2019-11-13,24.459999,26.853001,24.150000,25.980000,25.980000,6242500
2019-11-14,26.200001,26.260000,25.400000,25.930000,25.930000,3036300
2019-11-15,26.010000,28.820000,25.709999,27.230000,27.230000,7295000
2019-11-18,27.340000,30.360001,26.240000,30.250000,30.250000,9065200
2019-11-19,29.990000,32.009998,28.799999,29.240000,29.240000,6946000
2019-11-20,29.090000,29.990000,27.750000,29.100000,29.100000,2565100
2019-11-21,29.129999,30.000000,28.660999,29.799999,29.799999,1706700
2019-11-22,30.110001,30.650000,28.900000,29.360001,29.360001,1639400
2019-11-25,29.490000,31.110001,29.490000,30.870001,30.870001,2920900
2019-11-26,31.410000,31.500000,29.747000,30.959999,30.959999,2217100
2019-11-27,31.049999,33.070000,29.850000,32.160000,32.160000,4229800
2019-11-29,32.660000,35.750000,32.509998,35.230000,35.230000,5680000
2019-12-02,35.299999,37.020000,32.959999,36.840000,36.840000,6578100
2019-12-03,35.910000,36.000000,33.139999,33.480000,33.480000,7836100
2019-12-04,34.779999,35.299999,31.219999,32.959999,32.959999,8624600
2019-12-05,33.650002,33.650002,30.510000,31.309999,31.309999,6496100
2019-12-06,31.799999,33.389999,31.360001,32.630001,32.630001,6812300
2019-12-09,33.310001,35.349998,33.040001,34.770000,34.770000,7761400
2019-12-10,35.040001,35.099998,31.620001,32.779999,32.779999,13158400
2019-12-11,32.119999,32.380001,29.870001,32.029999,32.029999,7289000
2019-12-12,31.620001,32.360001,29.860001,30.850000,30.850000,6793700
2019-12-13,30.990000,31.969999,30.250000,31.530001,31.530001,3306100
2019-12-16,31.650000,31.920000,30.209999,31.340000,31.340000,3885600
2019-12-17,31.600000,33.320000,30.600000,32.930000,32.930000,5533800
2019-12-18,32.709999,33.500000,31.354000,31.889999,31.889999,4947600
2019-12-19,31.740000,32.389999,31.000000,31.930000,31.930000,3319000
2019-12-20,32.000000,32.250000,29.799999,29.990000,29.990000,8509200
2019-12-23,30.150000,30.200001,28.870001,29.219999,29.219999,4376500
2019-12-24,29.070000,29.250000,28.559999,28.750000,28.750000,1972600
2019-12-26,29.000000,29.180000,26.740000,27.000000,27.000000,8501700
2019-12-27,27.000000,27.299999,25.670000,27.000000,27.000000,6794900
2019-12-30,26.830000,28.108000,26.469999,27.690001,27.690001,4853000
2019-12-31,27.480000,29.059999,27.309999,28.400000,28.400000,3601700
2020-01-02,28.900000,30.020000,27.799999,29.740000,29.740000,5916200
2020-01-03,29.490000,31.250000,29.290001,30.600000,30.600000,4974100
2020-01-06,30.610001,31.705000,29.719999,29.750000,29.750000,4028900
2020-01-07,29.440001,30.840000,28.830000,30.400000,30.400000,3072000
2020-01-08,30.070000,30.250000,28.850000,29.650000,29.650000,7474100
2020-01-09,29.379999,29.940001,27.584999,27.870001,27.870001,6567700
2020-01-10,27.850000,28.150000,26.889999,28.010000,28.010000,5938400
2020-01-13,28.299999,28.969999,27.240000,28.530001,28.530001,3619100
2020-01-14,28.799999,30.260000,28.350000,29.690001,29.690001,4819100
2020-01-15,30.959999,31.440001,29.774000,30.860001,30.860001,7822700
2020-01-16,31.100000,31.799999,30.360001,30.830000,30.830000,5701300
2020-01-17,31.000000,31.950001,30.783001,31.700001,31.700001,3831300
2020-01-21,31.690001,33.700001,31.600000,32.000000,32.000000,4914300
2020-01-22,32.320000,33.200001,30.530001,30.680000,30.680000,5374900
2020-01-23,30.690001,31.590000,29.959999,30.059999,30.059999,3268500
2020-01-24,30.080000,30.770000,28.850000,30.500000,30.500000,5259000
2020-01-27,29.670000,31.379999,29.200001,31.250000,31.250000,4228500
2020-01-28,31.559999,31.650000,30.559999,31.379999,31.379999,3737900
2020-01-29,32.360001,32.360001,30.809999,31.500000,31.500000,3508500
2020-01-30,31.250000,32.299999,31.250000,32.259998,32.259998,3785400
2020-01-31,32.250000,32.520000,31.021000,32.360001,32.360001,3366300
2020-02-03,32.869999,33.500000,31.940001,33.369999,33.369999,4811400
2020-02-04,33.910000,34.599998,33.279999,33.470001,33.470001,7687600
2020-02-05,34.040001,34.090000,31.639999,32.700001,32.700001,9397700
2020-02-06,29.940001,30.750000,28.820000,29.000000,29.000000,12108500
2020-02-07,28.590000,28.590000,27.049999,27.860001,27.860001,7796900
2020-02-10,27.830000,29.059999,27.620001,28.600000,28.600000,3770500
2020-02-11,28.750000,29.180000,28.200001,28.650000,28.650000,2413300
2020-02-12,28.840000,29.209999,28.250000,28.340000,28.340000,2460300
2020-02-13,28.200001,30.270000,27.400000,28.850000,28.850000,6879000
2020-02-14,28.889999,28.889999,27.500000,27.660000,27.660000,2947500
2020-02-18,27.500000,27.879999,26.840000,27.080000,27.080000,2668400
2020-02-19,27.299999,27.690001,26.799999,27.100000,27.100000,3331200
2020-02-20,27.100000,27.799999,26.600000,26.980000,26.980000,3733700
2020-02-21,26.809999,26.900000,25.320000,25.490000,25.490000,5795900
2020-02-24,24.700001,27.070000,24.520000,26.500000,26.500000,26599200
2020-02-25,26.650000,28.020000,26.020000,27.110001,27.110001,10467000
2020-02-26,27.950001,29.639999,27.270000,29.190001,29.190001,12866400
2020-02-27,28.900000,29.000000,26.690001,28.719999,28.719999,7628100
2020-02-28,28.000000,28.290001,25.924999,26.690001,26.690001,9203900
2020-03-02,27.200001,29.320000,26.330000,27.920000,27.920000,6230300
2020-03-03,27.340000,27.500000,26.180000,26.684999,26.684999,7938600
2020-03-04,27.010000,27.450001,25.780001,27.250000,27.250000,5606200
2020-03-05,26.510000,27.180000,25.844999,27.100000,27.100000,5464800
2020-03-06,25.950001,26.141001,24.360001,24.980000,24.980000,7334400
2020-03-09,23.000000,24.725000,22.530001,23.209999,23.209999,5288100
2020-03-10,24.100000,24.330000,22.309999,22.969999,22.969999,6196700
2020-03-11,22.500000,23.379999,21.639999,22.000000,22.000000,6232700
2020-03-12,20.740000,20.990000,18.010000,19.510000,19.510000,8665900
2020-03-13,20.520000,20.600000,17.830000,19.719999,19.719999,8873000
2020-03-16,18.639999,22.940001,17.700001,22.250000,22.250000,12514500
2020-03-17,24.219999,27.000000,22.690001,25.450001,25.450001,15370300
2020-03-18,24.500000,27.379999,24.430000,25.790001,25.790001,11057400
2020-03-19,26.000000,26.580000,23.181000,24.990000,24.990000,6849800
2020-03-20,25.000000,25.400000,21.780001,23.010000,23.010000,7400000
2020-03-23,23.410000,24.760000,23.070000,23.340000,23.340000,5643600
2020-03-24,24.209999,25.000000,23.620001,24.570000,24.570000,5242700
2020-03-25,24.570000,25.141001,23.670000,24.520000,24.520000,4290200
2020-03-26,24.559999,26.049999,24.309999,25.750000,25.750000,4692900
2020-03-27,25.600000,26.180000,24.580000,25.980000,25.980000,4871200
2020-03-30,26.799999,28.670000,26.260000,27.700001,27.700001,12153800
