date,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualNetIncomeCommonStockholders,annualGrossPPE,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualAccumulatedDepreciation,annualCashAndCashEquivalents,annualOtherNonCurrentAssets,annualNetPPE,annualNetIncomeContinuousOperations,annualEbitda,annualOperatingExpense,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualOperatingCashFlow,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCommonStockIssuance,annualFreeCashFlow,annualBasicAverageShares,annualOtherNonCashItems,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualDepreciationAndAmortization,annualStockholdersEquity,annualTaxProvision,annualTotalAssets,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,annualDilutedEPS,annualRetainedEarnings,annualAccountsReceivable,annualPurchaseOfInvestment,annualIncomeTaxPayable,annualPretaxIncome,annualGoodwill,annualSaleOfInvestment,annualDilutedAverageShares,annualTotalLiabilitiesNetMinorityInterest,annualPurchaseOfBusiness,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualEndCashPosition,annualInventory,annualCapitalStock,annualTotalRevenue,annualAccountsPayable,annualGrossProfit,annualNetOtherFinancingCharges,annualBasicEPS,annualRepaymentOfDebt,annualOperatingIncome,annualOtherCurrentLiabilities,annualOtherIncomeExpense,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,annualStockBasedCompensation,annualCurrentAccruedExpenses,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualOtherShortTermInvestments,annualChangeInAccountPayable,annualResearchAndDevelopment
2008-12-31,223000000,,275000000,1590000000,230000000,21151000000,88000000.0,0.0,721000000,-11594000000,272000000,1377000000,9557000000,218000000,1904000000,6912000000,272000000,5220000000.0,983000000.0,698000000,1694000000,20708000000,721000000,385000000,,586000000,4814346208,206000000,3939000000,16278000000,1390000000,-2949000000,73000000,17868000000,0,0.0,230000000,0.0478,-2884000000.0,852000000,-99000000.0,,291000000,4503000000,551000000.0,4814346208,21429000000,-570000000.0,-65000000.0,-54000000,296000000.0,-17000000,,272000000,181000000,0,8124000000,3062000000.0,7426000000,-1325000000.0,0.0478,-5118000000.0,514000000,5220000000,-17000000.0,-1108000000,-3000000,-904000000,-793000000.0,,,,,,,,
2009-12-31,184000000,,272000000,1513000000,468000000,19920000000,270000000.0,-33000000.0,729000000,-10484000000,268000000,1328000000,9436000000,530000000,2063000000,6888000000,268000000,0.0,916000000.0,756000000,2153000000,3323000000,5087000000,336000000,,1118000000,4814346208,180000000,3873000000,16241000000,1288000000,9893000000,61000000,17754000000,-54000000,4358000000.0,468000000,0.0972,-2470000000.0,811000000,-194000000.0,,591000000,4503000000,0.0,4814346208,8410000000,0.0,-22000000.0,170000000,24000000.0,21000000,,268000000,160000000,1204000000,8449000000,3317000000.0,7693000000,0.0,0.0972,-10330000000.0,805000000,0,-34000000.0,-1035000000,-4000000,-1202000000,-955000000.0,,,,,,,,
2010-12-31,128000000,-403000000.0,268000000,1916000000,755000000,20610000000,272000000.0,0.0,736000000,-11000000000,180000000,1227000000,9610000000,900000000,2178000000,6997000000,180000000,,0.0,1776000000,2296000000,4072000000,4302000000,280000000,1000000.0,1179000000,4814670893,123000000,646000000,16260000000,1087000000,10206000000,63000000,18176000000,-457000000,3566000000.0,755000000,0.1567,,1497000000,-10000000.0,8000000.0,963000000,4503000000,0.0,4814670893,8374000000,,9002000000.0,153000000,-6000000.0,-79000000,,180000000,239000000,1204000000,9880000000,4064000000.0,8104000000,0.0,0.1568,-1570000000.0,1107000000,0,-21000000.0,-1117000000,-88000000,-1128000000,-1256000000.0,,,,,,,,
2011-12-31,124000000,-319000000.0,180000000,2268000000,1020000000,21451000000,332000000.0,,1195000000,-11761000000,182000000,1207000000,9690000000,1261000000,2613000000,7312000000,182000000,3853000000.0,0.0,4663000000,2590000000,8478000000,1195000000,1718000000,2000000.0,372000000,4817603057,62000000,646000000,17818000000,1179000000,10584000000,49000000,20086000000,-578000000,0.0,1020000000,0.2117,,1787000000,-66000000.0,,1310000000,4503000000,,4817603057,9673000000,,9379000000.0,-2000000,-61000000.0,-60000000,,182000000,299000000,1205000000,13407000000,,8744000000,0.0,0.2117,-1890000000.0,1432000000,0,-4000000.0,-2218000000,2000000,-2292000000,-296000000.0,,,,,,,,
2012-12-31,132000000,,182000000,2423000000,1227000000,22889000000,,,660000000,-12615000000,182000000,1144000000,10274000000,1527000000,2995000000,7284000000,182000000,0.0,0.0,6508000000,2888000000,4874000000,4935000000,1702000000,1000000.0,1142000000,4818485607,154000000,411000000,18477000000,1282000000,10962000000,54000000,20900000000,-808000000,3746000000.0,1227000000,0.2546,-1311000000.0,1725000000,-182000000.0,,1581000000,4503000000,,4818485607,9809000000,-182000000.0,,-54000000,-20000000.0,98000000,276000000.0,182000000,201000000,1205000000,15536000000,870000000.0,9028000000,1000000.0,0.2546,-6040000000.0,1744000000,164000000,,-1746000000,0,-1945000000,,,,,,,,,
2013-12-31,141000000,,182000000,2261000000,916000000,23493000000,,,538000000,-12984000000,209000000,1110000000,10509000000,1090000000,2643000000,7481000000,209000000,,0.0,3943000000,1735000000,3995000000,5674000000,1538000000,0.0,501000000,4818896208,160000000,372000000,18744000000,1335000000,11041000000,77000000,21005000000,-929000000,4571000000.0,916000000,0.1901,-1411000000.0,1627000000,-320000000.0,,1167000000,4503000000,,4818896208,9669000000,-320000000.0,,-832000000,-23000000.0,30000000,342000000.0,209000000,171000000,1205000000,12777000000,654000000.0,8834000000,0.0,0.1901,-2050000000.0,1353000000,173000000,,-1234000000,27000000,-1571000000,,,,,,,,,
2014-12-31,126000000,,209000000,2393000000,833000000,24422000000,,,395000000,-13759000000,359000000,993000000,10663000000,963000000,2615000000,7217000000,359000000,,0.0,7713000000,2483000000,3974000000,5015000000,1373000000,,1315000000,4818896208,155000000,351000000,18305000000,1321000000,11293000000,205000000,20698000000,-591000000,3952000000.0,833000000,0.1729,-1169000000.0,1601000000,-68000000.0,,1168000000,4503000000,,4818896208,8989000000,-68000000.0,,-112000000,-40000000.0,29000000,420000000.0,359000000,142000000,1205000000,16296000000,714000000.0,8583000000,0.0,0.1729,-5510000000.0,1366000000,182000000,,-1168000000,150000000,-1083000000,,,,,,,,,
2015-12-31,96000000,,359000000,3429000000,915000000,25350000000,,,230000000,-14694000000,1021000000,858000000,10656000000,1077000000,2747000000,6544000000,1021000000,,0.0,14063000000,2478000000,4211000000,4972000000,1207000000,,1433000000,4818896208,103000000,286000000,17845000000,1358000000,11522000000,216000000,21274000000,-670000000,3962000000.0,915000000,0.1899,-924000000.0,1551000000,,,1293000000,4503000000,,4818896208,9183000000,-85000000.0,,-223000000,-8000000.0,-449000000,497000000.0,1021000000,591000000,1205000000,22042000000,1041000000.0,7979000000,0.0,0.1899,,1435000000,191000000,,-1045000000,662000000,-1137000000,,,,,,,,,
2016-12-31,88000000,,1021000000,2083000000,701000000,26327000000,,,183000000,-15696000000,237000000,47000000,10631000000,773000000,2437000000,6666000000,237000000,,0.0,4311000000,2374000000,3589000000,5549000000,2796000000,,-491000000,4818896208,95000000,218000000,19211000000,1421000000,11573000000,155000000,21294000000,-626000000,4467000000.0,701000000,0.1455,-849000000.0,1337000000,,,928000000,4503000000,,4818896208,9138000000,,,-9000000,-40000000.0,464000000,573000000.0,237000000,127000000,1205000000,12024000000,730000000.0,7713000000,0.0,0.1455,-1500000000.0,1047000000,56000000,,-2865000000,-784000000,-2969000000,,,,,,,,,
2017-12-31,80000000,,357000000,14792000000,4766000000,10638000000,,,135000000,-8621000000,13717000000,37000000,2017000000,-1581000000,1794000000,5710000000,13717000000,3900000000.0,0.0,2841000000,1943000000,6207000000,330000000,2542000000,,930000000,4818896208,78000000,138000000,7700000000,3583000000,15844000000,-288000000,22492000000,-520000000,0.0,4766000000,0.989,3310000000.0,573000000,,,-1869000000,2155000000,,4819021302,6537000000,,,-115000000,-9000000.0,2000000,0.0,13717000000,125000000,1205000000,6752000000,406000000.0,3911000000,,0.989,-1943000000.0,-1799000000,56000000,,-1013000000,13360000000,13141000000,,,,,,,,,
