date,annualChangeInWorkingCapital,annualBasicAverageShares,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,annualCommonStockIssuance,annualOtherShortTermInvestments,annualFreeCashFlow,annualRetainedEarnings,annualGoodwill,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,annualBasicEPS,annualCashDividendsPaid,annualNetIncome,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,annualOtherCurrentAssets,annualPretaxIncome,annualAccountsPayable,annualInvestingCashFlow,annualTaxProvision,annualTotalAssets,annualOperatingIncome,annualEndCashPosition,annualLongTermDebt,annualNonCurrentDeferredRevenue,annualStockholdersEquity,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,annualSaleOfInvestment,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualCurrentAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentAssets,annualNetPPE,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualEbitda,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,annualInterestExpense,annualCapitalStock,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualCashFlowFromContinuingFinancingActivities,annualOtherIncomeExpense,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualAccumulatedDepreciation,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualOperatingExpense,annualCurrentDebt,annualBeginningCashPosition,annualCostOfRevenue,annualCurrentDeferredRevenue,annualGrossProfit,annualInventory,annualChangeInInventory,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualDeferredIncomeTax,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualChangeInAccountPayable,annualResearchAndDevelopment
2003-12-31,,145323651,69428000,31000.0,14564000.0,4605000.0,-7780000,,,,-0.482,-0.482,,-70046000,,2765000,30011000,47957000.0,-69851000,63000.0,70000,195000,133268000,-11035000,16425000,,,63840000,,16425000,59428000,,,,72653000,-7748000,10000000,21030000,4533000.0,2560000,,,20000000.0,-11035000,39365000.0,-70046000,,12158000,1685000,,,-32000,16479000,60615000,,,,-70046000,-7748000,,,-14728000.0,16479000,20000000.0,4267000,24567000,,5444000,901000.0,,145323651,,,,,,
2004-12-31,,165516667,40070000,36000.0,0.0,0.0,14493000,,,,-0.06,-0.06,,-9931000,,1687000,38630000,22102000.0,-8839000,338000.0,-500000,1092000,93979000,-10032000,14152000,,,53909000,,14152000,35070000,,,,38046000,15010000,5000000,14152000,2065000.0,2520000,,,-20000000.0,-10032000,33640000.0,-9931000,,-2273000,0,,,-517000,17571000,55933000,,,,-9931000,15010000,,,3217000.0,17571000,0.0,16425000,31091000,,7539000,105000.0,,165516667,,,,,,
2005-12-31,,369783333,106170000,88459000.0,76188000.0,12000000.0,-174565000,,,,-0.06,-0.06,,-22187000,,1177000,33691000,101077000.0,-21857000,34000.0,82778000,330000,533018000,-21373000,15548000,,,426848000,,15548000,29100000,,,,129812000,-168884000,77070000,27548000,78474000.0,622000,,,,-21373000,27098000.0,-22187000,,-160000,247957000,,,-5681000,25533000,403206000,,,,-22187000,-168884000,,,9758000.0,25533000,,14152000,29531000,,4160000,10000.0,,369783333,,,,,,
2006-12-31,,560601695,1103604000,-12615000.0,0.0,11150000.0,19160000,,,,0.468,0.472,,264457000,,85034000,304902000,230002000.0,276522000,283000.0,-19528000,12065000,1843549000,71523000,13447000,121230000.0,,739945000,,13447000,290830000,,,,339633000,26073000,812774000,24597000,0.0,7057000,,691544000.0,,71523000,265778000.0,264604000,,-2437000,1414069000,,,-6913000,41123000,1503916000,,,,264604000,26073000,,,-8982000.0,41123000,,15548000,192256000,,112646000,0.0,,565393162,,,,,,
2007-12-31,,725714286,1026056000,-108482000.0,234558000.0,20538000.0,-1757000,,,,-0.112,-0.112,,-81280000,,77711000,187082000,192178000.0,-97660000,0.0,-113155000,-16380000,2001974000,-39738000,131305000,40931000.0,,975918000,,131305000,406939000,,,,421732000,3193000,619117000,151843000,0.0,8759000,,573603000.0,-5412000.0,-39738000,348013000.0,-81280000,,117345000,1296322000,,,-4950000,71046000,1580242000,,,,-81280000,3193000,,,-16983000.0,71046000,32332000.0,13447000,155774000,,31308000,,,725714286,4583000.0,,,,,
2008-12-31,-79546000.0,885446200,1386397000,0.0,188290000.0,11130000.0,-101139000,,,,-0.498,-0.498,,-441117000,,55248000,179431000,401911000.0,-443146000,24880000.0,-30901000,-2091000,2201776000,-241668000,216511000,44271000.0,,814738000,188591000.0,216511000,919841000,,,,912794000,-69062000,466556000,227641000,0.0,7489000,-4609000.0,,-33000000.0,-213592000,0.0,-441117000,11805000.0,84701000,978060000,40963000.0,186976000.0,-32077000,203543000,1288982000,,,-1581000.0,-441055000,28959000,-4316000.0,77135000.0,33983000.0,190955000,0.0,131305000,230144000,,-50713000,,,885446200,4076000.0,,,,,
2009-12-31,-300378000.0,953440400,299448000,0.0,421994000.0,0.0,-3345000,,,,0.002,0.002,,1383000,,129054000,276451000,0.0,66497000,34811000.0,6978000,413000,1610868000,106130000,643037000,47875000.0,,1310696000,196416000.0,643037000,251573000,,,,890071000,-2765000,47875000,643037000,0.0,3131000,0.0,0.0,0.0,294204000,0.0,1383000,6979000.0,426207000,434938000,31291000.0,277293000.0,-580000,75257000,720797000,,,-4657000.0,66084000,22075000,-3848000.0,13762000.0,0.0,-9151000,,216511000,179472000,,96979000,,,953440400,0.0,,,,,
2010-12-31,-31108000.0,1417837950,459146000,0.0,2000.0,28000000.0,-167940000,,,,-0.34,-0.34,,-483463000,,22474000,171308000,51121000.0,-478854000,2383000.0,-322614000,4813000,1352779000,-6232000,257694000,0.0,,892796000,3992000.0,236678000,385016000,40000000.0,,,520216000,-49760000,74130000,264678000,66550000.0,3730000,,0.0,,-473737000,0.0,-483463000,,-372372000,114670000,1125000.0,287945000.0,-118180000,96122000,832563000,,,-254237000.0,-483667000,-16957000,,3011000.0,0.0,60596000,,648072000,116944000,,54364000,,,1417837950,74130000.0,,,,,
2011-12-31,-14310000.0,1867324500,856681000,-40000000.0,251067000.0,14600000.0,-75308000,-1772706000.0,102215000.0,1039459000.0,-0.0096,-0.0096,,-17779000,,18018000,125224000,18503000.0,-5937000,7170000.0,-267143000,11690000,2033292000,-39662000,200606000,,56509000.0,1176154000,52985000.0,200606000,593994000,0.0,79998000.0,292330000.0,437800000,-6698000,262687000,215206000,1644000.0,340655000,,81369000.0,,53441000,328456000.0,-17779000,359943000.0,-22774000,418371000,6393000.0,451918000.0,-68610000,78180000,1595492000,251067000.0,39102000.0,-276754000.0,-17627000,-20662000,-19288000.0,255000.0,0.0,70660000,,236678000,94226000,75383000.0,30998000,15527000.0,-8125000.0,1867324500,181318000.0,,,,,
2012-12-31,2397000.0,2268321000,1428859000,0.0,61250000.0,11600000.0,28873000,-1733380000.0,312216000.0,,-0.0192,-0.0192,,-43589000,,13475000,165068000,0.0,-30956000,3878000.0,5351000,12633000,3025756000,8011000,179527000,595757000.0,75005000.0,1596897000,40419000.0,179527000,417977000,,,,635269000,40738000,1010882000,191127000,0.0,318117000,,0.0,-37279000.0,33719000,160330000.0,-43589000,357889000.0,70060000,1334783000,24256000.0,510818000.0,-11865000,94287000,2390487000,,,-49609000.0,-43589000,37878000,-39772000.0,6399000.0,61250000.0,94287000,,108216000,62770000,,102298000,19171000.0,-3644000.0,2268321000,336785000.0,,,,,
2013-12-31,6860000.0,2654817000,1184086000,0.0,81666000.0,16000000.0,-54176000,-1899102000.0,321993000.0,,-0.0624,-0.0624,,-165722000,,2182000,126192000,0.0,-104397000,2499000.0,-53882000,-4074000,2983149000,-63570000,99880000,334588000.0,77601000.0,1799063000,48662000.0,99880000,423838000,,,,821558000,-278000,760248000,115880000,0.0,390219000,,0.0,-108287000.0,-1298000,157314000.0,-165722000,453786000.0,-80781000,1323270000,54437000.0,856238000.0,-53898000,95780000,2161591000,,,-7596000.0,-100323000,5060000,-63567000.0,0.0,2000000.0,95780000,6099000.0,179527000,93982000,,32210000,10823000.0,8348000.0,2654817000,340961000.0,,,,,
