date,annualCapitalStock,annualOperatingCashFlow,annualDilutedAverageShares,annualOtherIntangibleAssets,annualNetPPE,annualTotalNonCurrentAssets,annualCurrentLiabilities,annualGrossProfit,annualInventory,annualOtherNonCashItems,annualRepaymentOfDebt,annualStockholdersEquity,annualDepreciationAndAmortization,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualBeginningCashPosition,annualBasicEPS,annualInterestExpense,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,annualSellingGeneralAndAdministration,annualGoodwill,annualDilutedEPS,annualAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualChangeInWorkingCapital,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualOperatingIncome,annualEndCashPosition,annualOtherShortTermInvestments,annualCommonStockIssuance,annualFreeCashFlow,annualNetOtherFinancingCharges,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalAssets,annualCapitalExpenditure,annualRetainedEarnings,annualAccountsReceivable,annualCurrentAssets,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualEbitda,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualChangesInAccountReceivables,annualCashFlowFromContinuingFinancingActivities,annualResearchAndDevelopment,annualOtherIncomeExpense,annualStockBasedCompensation,annualCurrentAccruedExpenses,annualChangeInAccountPayable,annualIncomeTaxPayable,annualDeferredIncomeTax,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue
2008-12-31,0,2839776000,5000000000,5083453000,24290215000,31168950000,9412916000,2931823000,279250000,848414000,-10524527000,3875329000,1082895000,0.0,-11085675000,198061000,-53050000.0,808769000,0.0675,932239000,,17345042000,337448000,194545000,,0.0675,-5061514000,613909000,-254652000,360058000,1511071000,28976542000,23300000,-68858000,5622831000,8554654000,500967000.0,4686238000,1420752000,1001935000,54000,1951099000.0,-8763636000,0,38275000,19563626000,2082000,36049407000,-11603412000,1039571000,1239944000,4880457000,615991000,2145284000,349308000.0,,29351729000,337448000,,2631125000,1055039000,5000000000,1054985000,654865000.0,,,,,,,,,,,,,
2009-12-31,7464289000,4084908000,5137965000,6086215000,37304544000,47586896000,23691836000,4867463000,332897000,975698000,-18361046000,21899807000,1590224000,0.0,-15155641000,15504583000,,1001935000,0.174,1024250000,,16219301000,894126000,255594000,,0.174,-6287854000,1647106000,-475693000,-83207000,2008992000,42273728000,44930000,-17113000,4876244000,9743707000,502166000.0,17087069000,2858471000,16500757000,0,17514319000.0,-12099560000,0,249943000,18581892000,296490000,67953702000,-16184468000,1077919000,2170155000,20366806000,1943596000,2267661000,2313338000.0,50873000.0,43592398000,894126000,0.0,4558070000,16502934000,5137965000,16502934000,1183865000.0,,,,,,,,,,,,,
2010-12-31,7464289000,4020985000,7464289000,7661058000,50641640000,64271402000,24915360000,6701134000,632353000,1028824000,-32641946000,23274787000,2235719000,0.0,-17699770000,-12365387000,-9465000.0,16500757000,0.2704,1088359000,-632042000.0,19974660000,2018570000,403260000,11541000.0,0.2704,-7234692000,2769961000,-226537000,-1812845000,2619843000,47219783000,104307000,-285759000,7511707000,14212841000,285363000.0,17200085000,4081291000,4077600000,181418000,125790000.0,-13824099000,0,486986000,22304423000,441024000,74633538000,-17845084000,2460000000,3434397000,10362136000,3210985000,2225456000,3438967000.0,0.0,57876332000,2018570000,0.0,6535063000,4270660000,7464289000,4089242000,179823000.0,,,,,,,,,,,,,
2011-12-31,7464289000,5624023000,7464289000,8162178000,61337323000,77132523000,26345362000,8264717000,889801000,1504730000,-28337373000,25490208000,2845403000,0.0,-14034115000,-773241000,-338358000.0,4080847000,0.3534,1887072000,-403072000.0,31308411000,2637989000,547774000,11541000.0,0.3534,-9703495000,3304493000,-1071046000,-1632559000,3228314000,60241179000,100550000,-249575000,7894721000,16159438000,176347000.0,16368831000,5036403000,3294915000,406041000,71806000.0,-7424378000,0,1597000000,33895817000,304964000,90106830000,-13048401000,4554890000,5012641000,12974307000,3609457000,1992723000,4555847000.0,342975000.0,71040818000,2637989000,494133000.0,8341932000,4050956000,7464289000,3644915000,121282000.0,,,,,,,,,,,,,
2012-12-31,8036389000,6997635000,7481483000,8321840000,74769875000,90053746000,36074948000,9237180000,816414000,2490588000,-15528235000,29429434000,3696763000,0.0,-14117487000,1735761000,-912090000.0,3358190000,0.3466,2550867000,-515215000.0,32482141000,2593239000,401614000,11541000.0,0.3466,-13449402000,3325294000,-1758855000,-2161056000,3211485000,71417933000,97691000,109370000,8051005000,17288185000,231530000.0,26169965000,6025695000,5080718000,301737000,2295373000.0,-6747029000,29500000,874966000,35342985000,342093000,107839859000,-13744664000,6448978000,7786056000,17786113000,3667387000,1903165000,4000000.0,293134000.0,88219277000,2593239000,859988000.0,9915017000,5439321000,7481483000,5137584000,74965000.0,,,,,,,,,,,,,
2013-12-31,8036389000,13610832000,8036389000,8684012000,81251624000,96907503000,36676231000,11335766000,753117000,2749712000,-23633776000,30908033000,4391178000,0.0,-10299418000,-2350719000,,5080718000,0.255,2810036000,-511918000.0,32961219000,2049465000,396318000,11541000.0,0.255,-17925204000,2968147000,-372080000,3085050000,5356053000,72633405000,116158000,64489000,7786864000,19122630000,725425000.0,24680237000,5979713000,2714742000,315932000,0.0,3292455000,41065000,1075268000,35957174000,560945000,110673774000,-10318377000,7808883000,6812189000,13766271000,3529092000,1876106000,4481856000.0,56866000.0,99176828000,2049465000,1003691000.0,10730306000,3030674000,8036389000,2714742000,110415000.0,,,,,,,,,,,,,
2014-12-31,8036389000,12868303000,8036389000,8529856000,90179200000,108764829000,46247758000,11973773000,1017073000,2886374000,-24177185000,33057238000,5000629000,0.0,-20847764000,-324751000,,2719319000,0.3183,2970684000,-381728000.0,33762179000,2558010000,378136000,11541000.0,0.3183,-22368503000,3551444000,-891879000,1975757000,5448313000,82668415000,106667000,-263090000,6233435000,18207208000,439512000.0,36069670000,6525460000,2388971000,222639000,185703000.0,-5364732000,185703000,576253000,36420657000,510414000,123517855000,-18233035000,9865657000,6396836000,14753026000,4061858000,1790056000,6554915000.0,0.0,112547703000,2558010000,761755000.0,12033171000,2611610000,8036389000,2388971000,40827000.0,,,,,,,,,,,,,
2015-12-31,8036389000,16324624000,8036389000,8687766000,100612219000,120776331000,55647473000,13186084000,1080628000,2671014000,-46975673000,38099785000,5554258000,271293000.0,-16319064000,512590000,-498000000.0,2395916000,0.3584,2794545000,-479772000.0,29969856000,2880615000,370261000,11541000.0,0.3584,-27319492000,4076430000,-876600000,4175124000,6064820000,88940318000,106073000,-52184000,6462558000,19648642000,387133000.0,44687909000,7121264000,2886607000,579341000,412233000.0,1061041000,343918000,1597602000,33292845000,599840000,133472953000,-15263583000,12056265000,4172634000,12696622000,4676270000,1791775000,1176000.0,,127931711000,2880615000,1425141000.0,13025073000,3465948000,8036389000,2886607000,39310000.0,,,,,,,,,,,,,
2016-12-31,8036389000,13532532000,8036389000,8798494000,107735059000,125328117000,55807408000,14190206000,1039850000,2601577000,-51671195000,40889777000,6342234000,8570547000.0,-11209059000,-960949000,-3936000.0,2887285000,0.425,2738017000,-576209000.0,31326998000,3548578000,429290000,61490000.0,0.425,-32575587000,4489721000,-68034000,482947000,6647070000,90874442000,138085000,46622000,8113849000,22304055000,28054000.0,44472149000,7543136000,1901286000,203570000,146514000.0,-457925000,35571000,1925791000,35067034000,660182000,138660693000,-13990457000,14681815000,5870888000,13332576000,5149903000,1684507000,1382000.0,358000000.0,140310646000,3415378000,1456444000.0,14230154000,2108792000,8036389000,1905222000,25170000.0,,,,,,,,,,,,,
2017-12-31,8036389000,12130830000,8036389000,8692170000,111638019000,128512863000,47159418000,15748521000,953366000,2826958000,-67872218000,46125851000,6798303000,,-8613828000,3164593000,,1901286000,0.4589,3032509000,-683093000.0,41620177000,3845990000,541791000,61490000.0,0.4589,-39157289000,4549698000,-87380000,-2064891000,7423946000,92335758000,161694000,86517000,8843095000,24591616000,,35774163000,8324575000,5071579000,177813000,,3026362000,513502000,1366778000,45176340000,915692000,145635040000,-9104468000,17404394000,7149127000,17122177000,5465390000,1553605000,,43936000.0,150795308000,3688053000,1425919000.0,15296202000,5249392000,8036389000,5071579000,25153000.0,,,,,,,,,,,,,
