date,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualCommonStockIssuance,annualRetainedEarnings,annualFreeCashFlow,annualNetIncome,annualTotalRevenue,annualCostOfRevenue,annualAccountsReceivable,annualPurchaseOfInvestment,annualOtherCurrentAssets,annualCashDividendsPaid,annualPretaxIncome,annualAccountsPayable,annualTaxProvision,annualInvestingCashFlow,annualTotalAssets,annualEndCashPosition,annualOperatingIncome,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualBasicEPS,annualStockholdersEquity,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualSaleOfInvestment,annualCurrentAssets,annualOperatingCashFlow,annualBasicAverageShares,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentLiabilities,annualNetPPE,annualOtherNonCurrentAssets,annualOtherNonCurrentLiabilities,annualEbitda,annualRepaymentOfDebt,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualCapitalStock,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualDilutedAverageShares,annualOperatingExpense,annualNetOtherFinancingCharges,annualCurrentDebt,annualPurchaseOfBusiness,annualInterestExpense,annualResearchAndDevelopment,annualGrossProfit,annualChangeInInventory,annualInventory,annualNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,annualChangesInAccountReceivables,annualCashFlowFromContinuingFinancingActivities,annualGoodwill,annualOtherIncomeExpense,annualStockBasedCompensation,annualCurrentAccruedExpenses,annualChangeInAccountPayable,annualIncomeTaxPayable,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue
1994-12-31,,,,,,,,851657000,6218227000,4634897000,,,,,1015831000,,164174000,,,,1173289000,,,,,,,,,,,,,,,,,,1155393000,,,851657000,,,,,,382956000,,,851657000,,410041000,,,,139562000,,1583330000,,,,,,,,,,,,,,,,,,
1995-12-31,,,5962142000.0,0.0,,281692000.0,,1052976000,9293133000,7401223000,246128000.0,,-11000000.0,,1249548000,298431000.0,196572000,,14326971000.0,,1364269000,,2473444000.0,0.175496,8364829000.0,3494046000.0,,,5524182000.0,,,2516644000.0,521288000.0,3494046000.0,3445498000.0,8138871000.0,170220000.0,0.0,1358601000,,8138871000.0,1052976000,63212000.0,,,4000000000.0,,487870000,8802789000.0,,1052976000,,527641000,,1949794000.0,,109053000,,1891910000,,1207190000.0,,0.175496,,,,,,,,,,,,,,
1996-12-31,,,5262422000.0,30171000.0,,127617000.0,,151691000,6986419000,6088427000,343665000.0,,-6046000.0,,185134000,161378000.0,31148000,,13558230000.0,,424365000,,1909676000.0,0.025282,8252520000.0,3027490000.0,,,4804393000.0,,,1925025000.0,455564000.0,3057661000.0,3337397000.0,8216559000.0,70664000.0,0.0,418708000,,8216559000.0,151691000,137517000.0,,,4000000000.0,,442945000,8753837000.0,,153986000,,473627000,,2553584000.0,,233574000,,897992000,,902918000.0,,0.025282,,,,,,,,,,,,,,
1997-12-31,,,4592024000.0,420000000.0,,118408000.0,,4543000,6255192000,5507433000,285072000.0,,-16686000.0,,32936000,245269000.0,24724000,,12889209000.0,,166816000,,1097260000.0,0.000757,8257063000.0,1946644000.0,,,4525683000.0,,,989049000.0,435203000.0,2366644000.0,3602975000.0,7878895000.0,47594000.0,-110000000.0,205133000,,7878895000.0,4543000,208149000.0,,,4000000000.0,,558420000,8363526000.0,,8212000,,580943000,,2899678000.0,,172197000,,747759000,,1137713000.0,,0.000757,,,,,,,,,,,,,,
1998-12-31,468375000.0,586492000.0,3904586000.0,0.0,,-6472000.0,318522000.0,-230898000,5634032000,4945539000,203929000.0,,-22254000.0,-334551000.0,-228397000,359801000.0,-4216000,477101000.0,11979890000.0,993444000.0,5031000,,655852000.0,-0.038483,8026165000.0,1585914000.0,561843000.0,783592000.0,3345646000.0,1218351000.0,,548737000.0,416558000.0,1585914000.0,3355849000.0,8228819000.0,0.0,-107115000.0,628063000,-6473274000.0,8228819000.0,-230898000,472615000.0,401481000.0,591963000.0,4000000000.0,-899829000.0,655327000,8634244000.0,397864000.0,-224181000,,683462000,2300000.0,2128285000.0,,294617000,,688493000,342392000.0,796896000.0,,-0.038483,,,,,,,,,,,,,,
1999-12-31,115373000.0,-536652000.0,3105946000.0,0.0,,144994000.0,1775823000.0,754686000,7060654000,5222841000,116486000.0,-64200000.0,-119489000.0,-193743000.0,906234000,234820000.0,136372000,-822120000.0,11502568000.0,407662000.0,1244125000,,350000000.0,0.125781,8340851000.0,1576630000.0,637162000.0,,3411217000.0,1999523000.0,,243970000.0,405278000.0,1576630000.0,2861976000.0,7642558000.0,0.0,-110000000.0,1687751000,-4451087000.0,7642558000.0,754686000,599556000.0,-585782000.0,993444000.0,4000000000.0,-223700000.0,529667000,8091351000.0,21430000.0,769862000,,593688000,0.0,760000000.0,,144355000,,1837813000,-209872000.0,1006768000.0,,0.125781,,,,,,,,,,,,,,
2000-12-31,478662000.0,90384000.0,2483757000.0,0.0,,450952000.0,1673925000.0,840228000,9003116000,7132288000,101274000.0,-191034000.0,-127499000.0,-7808158000.0,985493000,498672000.0,139391000,-537823000.0,11361088000.0,601014000.0,1151566000,,450000000.0,0.140038,8821079000.0,1959831000.0,698117000.0,1435000.0,3607540000.0,2112533000.0,,344911000.0,383907000.0,1959831000.0,2138846000.0,7329354000.0,0.0,-110000000.0,1786770000,-440000000.0,7329354000.0,840228000,350000000.0,193352000.0,407662000.0,4000000000.0,-438608000.0,677938000,7753548000.0,6271000.0,846102000,,719262000,-4200000.0,80000000.0,,103160000,,1870828000,-110075000.0,1116843000.0,,0.140038,,,,,,,,,,,,,,
2001-12-31,-191005000.0,611451000.0,2345706000.0,0.0,,388806000.0,-681858000.0,170789000,7802580000,7050075000,92403000.0,,0.0,-434399000.0,213375000,266122000.0,40087000,-808971000.0,11201494000.0,445177000.0,305569000,,500000000.0,0.028465,8801868000.0,1233771000.0,807598000.0,3000000.0,2818773000.0,742344000.0,,500000000.0,55304000.0,1233771000.0,1845706000.0,8288875000.0,0.0,53920000.0,1080197000,-2854800000.0,8288875000.0,170789000,150000000.0,-155837000.0,601014000.0,4000000000.0,-1424202000.0,416443000,8382721000.0,64012000.0,173288000,,446936000,-4831000.0,580020000.0,,59224000,,752505000,118679000.0,998164000.0,,0.028465,,,,,,,,,,,,,,
2002-12-31,506672000.0,111703000.0,3239823000.0,0.0,,442063000.0,-63141000.0,139833000,8008012000,7263424000,93428000.0,,0.0,-161766000.0,151465000,1032932000.0,6364000,-1414677000.0,12179002000.0,490804000.0,181964000,,300000000.0,0.023306,8881701000.0,1205374000.0,782016000.0,3250000.0,3023948000.0,1468024000.0,,300000000.0,41194000.0,1205374000.0,2939823000.0,9077340000.0,0.0,57478000.0,986457000,-3322529000.0,9077340000.0,139833000,400000000.0,45627000.0,445177000.0,4000000000.0,-1531165000.0,530235000,9155054000.0,35415000.0,145101000,,562624000,-1710000.0,685776000.0,,52976000,,744588000,-188686000.0,1186850000.0,,0.023306,,,,,,,,,,,,,,
2003-12-31,200914000.0,66607000.0,2899673000.0,0.0,,633644000.0,401516000.0,240204000,10353416000,9276229000,123861000.0,-3170000.0,0.0,-169431000.0,291131000,803105000.0,45312000,-863480000.0,12078960000.0,563761000.0,413502000,,340000000.0,0.040034,9125832000.0,1228730000.0,827469000.0,3500000.0,2800822000.0,1332824000.0,,340000000.0,303127000.0,1228730000.0,2559673000.0,8941548000.0,0.0,53455000.0,1205692000,-6183915000.0,8941548000.0,240204000,100000000.0,72957000.0,490804000.0,4000000000.0,-931308000.0,617200000,9278138000.0,73143000.0,245819000,,663685000,0.0,718820000.0,,87092000,,1077187000,212549000.0,990715000.0,,0.040034,,,,,,,,,,,,,,
