date,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualOperatingExpense,annualCapitalExpenditure,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualInterestExpense,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualEbitda,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualCostOfRevenue,annualRetainedEarnings,annualTotalAssets,annualNetIncome,annualTaxProvision,annualDilutedAverageShares,annualCashDividendsPaid,annualLongTermDebt,annualCurrentDebt,annualOtherCurrentAssets,annualOtherNonCashItems,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,annualSaleOfInvestment,annualStockholdersEquity,annualPurchaseOfInvestment,annualAccountsReceivable,annualPurchaseOfBusiness,annualDepreciationAndAmortization,annualInvestingCashFlow,annualInventory,annualGoodwill,annualChangeInInventory,annualOperatingCashFlow,annualCurrentLiabilities,annualNetPPE,annualChangeInWorkingCapital,annualBasicAverageShares,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingIncome,annualTotalRevenue,annualCapitalStock,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualNonCurrentDeferredRevenue,annualBasicEPS,annualPretaxIncome,annualEndCashPosition,annualGrossPPE,annualAccountsPayable,annualDeferredIncomeTax,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualChangeInAccountPayable,annualIncomeTaxPayable
2004-12-31,,,197653000,108219000,91739000,-104060000,246321000,81634000,,,219750000,587224000,13560000.0,197653000,242663000,,12586000,565514000,414000.0,25449000,315714000,,825309000,198343000,29484000,959480583,-30799000.0,,186043000,6469000.0,213012000,238085000,85743000,,0.206,,259795000,,,,23269000,-110030000,80545000,,-13810000,129509000,345764000,211939000,-106772000,959480583,311133000,246321000,219394000,626847000,,,-152464000,0.0,-11223000,138014000,,0.206,227827000,246321000,,159364000,,,,,,,,,,,
2005-12-31,,,332859000,246321000,193108000,-168998000,938970000,120222000,,,0,1422617000,19361000.0,332859000,366000000,,7816000,253478000,782380000.0,198578000,546010000,,1791921000,333321000,20271000,1073738710,-103301000.0,,15000000,18886000.0,349602000,369304000,185481000,,0.31,,1538443000,,,,31374000,-170787000,116237000,,-35799000,367576000,253478000,342127000,-13400000,1073738710,527734000,938970000,334626000,1073744000,,,-82742000,0.0,-3185000,693598000,,0.31,353592000,938970000,,237579000,,,,,,,,,,,
2006-12-31,,,570314000,938970000,317542000,-363106000,988992000,34521000,,,0,1768315000,147145000.0,570314000,601887000,,7921000,417175000,0.0,98559000,902121000,,2542223000,568517000,31515000,1247951860,0.0,,10000000,26952000.0,536441000,773908000,316915000,,0.457,,2125048000,,,,48179000,-428642000,188470000,,-72233000,461665000,417175000,618842000,-122955000,1247951860,871250000,988992000,553708000,1773371000,,,-15000000,0.0,-66552000,52544000,,0.457,600032000,988992000,,405007000,,,,,,,,,,,
2007-12-31,,-74355000.0,551133000,988992000,351331000,-394789000,1024538000,-15292000,,85662000.0,0,2097774000,244776000.0,551133000,653917000,,31732000,623773000,,-20552000,1028751000,,3211748000,548042000,49936000,1489548649,,,182330000,26278000.0,292450000,1113974000,265669000,,0.37,,2577336000,,,-7597000.0,81787000,-406354000,271029000,3655000.0,-81694000,374237000,623773000,833811000,-244437000,1489548649,923461000,1024538000,572130000,1952212000,,,-10000000,0.0,-4425000,50566000,,0.37,597978000,1024538000,,439243000,,,,,,,,,,,
2008-12-31,-319837000.0,-65571000.0,590603000,1024538000,351398000,-434166000,1266011000,0,10026000.0,123418000.0,0,2254257000,53931000.0,590434000,759040000,,29126000,589014000,0.0,364115000,1315537000,,3704217000,590434000,25638000,1229711497,,,200295000,101783000.0,-16190000,1449960000,223271000,,0.4801,,3107768000,,19152000.0,-117264000.0,132773000,-511168000,295762000,5405000.0,-25095000,798281000,589014000,1289356000,93121000,1229711497,940485000,1266011000,589087000,2256022000,99718000.0,0.0,-68225000,0.0,-50665000,248774000,,0.4801,616241000,1266011000,1609193000.0,375543000,,,,,,,,,,,
2009-12-31,-482382000.0,0.0,609800000,1266011000,335443000,-186956000,1735212000,0,4035000.0,159105000.0,0,2732681000,27735000.0,614957000,850435000,,26708000,718909000,1000000.0,634098000,1214054000,,4253666000,614957000,66674000,1228000000,-195876000.0,,187095000,21090000.0,-9810000,1520985000,182740000,,0.5008,87147000.0,3534376000,-27676000.0,748342000.0,0.0,169926000,-137434000,230206000,5405000.0,65556000,821054000,718909000,1364170000,32945000,1228000000,989089000,1735212000,653646000,2203143000,99718000.0,0.0,-138064000,2912000.0,-26961000,470521000,,0.5008,676474000,1735212000,1846552000.0,490925000,,,,,,,,,,,
2010-12-31,-669250000.0,,987477000,1735212000,403801000,-736248000,1734609000,0,3272000.0,213636000.0,0,3402371000,150019000.0,986730000,1299398000,,41325000,1407928000,0.0,141166000,1838655000,,5583819000,986730000,111661000,1228000000,-317036000.0,,718769000,35316000.0,-18057000,2181448000,236909000,,0.8035,0.0,4174545000,0.0,996311000.0,-104086000.0,196988000,-832752000,342943000,6753000.0,-119970000,877414000,1407928000,1849837000,-327806000,1228000000,1510365000,1734609000,1106564000,3349020000,99718000.0,0.0,-398000000,9231000.0,-17605000,3131000,,0.8035,1099138000,1734609000,2519087000.0,389422000,,,,,,,,,,,
2011-12-31,-905308000.0,,1032933000,1734609000,581767000,-1239171000,1374069000,41896000,5513000.0,358238000.0,15738000,3425305000,123428000.0,1036192000,1406360000,,162144000,1902804000,,-293709000,2275273000,,6714226000,1036192000,108626000,1228000000,-442042000.0,,1095672000,1139000.0,-20117000,3288921000,290357000,15738000.0,0.8438,,4750070000,-3254000.0,1178212000.0,-132028000.0,259288000,-1318894000,558780000,11803000.0,-221655000,945462000,1887066000,2806410000,-402524000,1228000000,1784414000,1374069000,1202647000,4059687000,99718000.0,0.0,-1837504000,65000.0,27161000,-352440000,,0.8438,1141559000,1374069000,3711718000.0,431925000,,,,,,,,,,,
2012-12-31,-1252608000.0,,1756573000,1374069000,854170000,-1346097000,1313959000,-13427000,12033000.0,461568000.0,44321000,4607159000,158556000.0,1762625000,2370562000,,144451000,2795725000,,188955000,3508741000,4944270000.0,8925806000,1762625000,258945000,1228000000,-417156000.0,,1354248000,544000.0,-2428000,4318647000,463741000,34921000.0,1.4354,,6078242000,0.0,1854053000.0,0.0,343011000,-1339407000,957511000,11803000.0,-432672000,1535052000,2751404000,3737326000,-646358000,1228000000,2774205000,1313959000,1920035000,6282946000,99718000.0,9400000.0,-3826576000,0.0,5455000,-55524000,9400000.0,1.4354,2015518000,1313959000,4989934000.0,808623000,,,,,,,,,,,
2013-12-31,-1724919000.0,,2571458000,1313959000,993101000,-931170000,2354313000,-755000,11466000.0,552637000.0,66342000,5802189000,199260000.0,2577583000,3298165000,,179333000,2745233000,,1616442000,4637153000,6672512000.0,10677022000,2577583000,263081000,1228000000,-740358000.0,14133000.0,1209194000,2358000.0,-4681000,4874833000,530477000,41596000.0,2.1,185022000.0,7876117000,,2229304000.0,0.0,452160000,-716127000,831559000,32931000.0,90562000,2547612000,2678891000,4079431000,-257572000,1228000000,3458736000,2354313000,2465635000,8095889000,99718000.0,10613000.0,-5097180000,820000.0,5921000,1056742000,10613000.0,2.1,2834539000,2354313000,5804350000.0,874198000,,,,,,,,,,,
