date,annualGoodwill,annualTotalAssets,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,annualNonCurrentDeferredRevenue,annualPretaxIncome,annualChangeInWorkingCapital,annualBasicEPS,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,annualDilutedEPS,annualOperatingIncome,annualStockholdersEquity,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,annualDepreciationAndAmortization,annualInvestingCashFlow,annualRetainedEarnings,annualEndCashPosition,annualOperatingCashFlow,annualAccountsPayable,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentAssets,annualNetPPE,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInterestExpense,annualCurrentAssets,annualEbitda,annualGrossPPE,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualOtherIntangibleAssets,annualDilutedAverageShares,annualCapitalStock,annualRepaymentOfDebt,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualChangeInInventory,annualTaxProvision,annualNetOtherFinancingCharges,annualCurrentDebt,annualOtherNonCashItems,annualResearchAndDevelopment,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualGrossProfit,annualInventory,annualAccumulatedDepreciation,annualOperatingExpense,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualBasicAverageShares,annualBeginningCashPosition,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualCostOfRevenue,annualChangesInAccountReceivables,annualCashFlowFromContinuingFinancingActivities,annualOtherIncomeExpense,annualCurrentAccruedExpenses,annualChangeInAccountPayable,annualIncomeTaxPayable,annualDeferredIncomeTax,annualGainsLossesNotAffectingRetainedEarnings,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue
2003-12-31,,273545000,-17383000.0,37000000.0,42576000,,51096000,-19529000.0,0.1319,,0.0,,0.1319,57976000,96291000,,,238071000,10307000.0,-12706000,,54141000,40332000,12029000,127771000,42606000,54141000,737000.0,99601000,,5606000.0,54141000,140000,,162210000,68283000,,42576000,12458000,10293000,322789992,,-106292000,-13181000,0,31361000,,-3334000.0,6319000,-700000,88010000,30025000.0,,19437000.0,111335000,130082000,16343000,,72106000,27151000,170377000,,322789992,22780000,44777000,,107989000,,,,,,,,,,
2004-12-31,,373048000,-800000.0,8000000.0,71837000,,75727000,-38542000.0,0.2392,,104111000.0,,0.2392,82020000,272090000,,,315400000,11064000.0,-15061000,,132671000,47990000,9512000,78086000,11579000,132671000,5420000.0,94573000,,3579000.0,132671000,-3815000,,262472000,93084000,,71837000,18291000,9353000,300321906,,-110010000,-11479000,2585000,78530000,,-12280000.0,-526000,10300000,49000000,36926000.0,,5377000.0,110576000,210416000,28623000,,128396000,36511000,89665000,,300321906,54141000,76253000,,104984000,,,,,,,,,,
2005-12-31,5880000.0,392994000,-14292000.0,0.0,90164000,,90381000,-39756000.0,0.2198,,0.0,,0.2198,91386000,345032000,-4035000.0,,344368000,11722000.0,-44592000,,70399000,42872000,9755000,41009000,2479000,70399000,4671000.0,114915000,,2479000.0,70399000,-11209000,,253778000,103108000,,89620000,167353000,8702000,407734304,,-49000000,-29403000,0,-62272000,,-705000.0,217000,-46260000,10740000,31150000.0,,15927000.0,139216000,267875000,29110000,,176489000,13469000,43488000,,407734304,132671000,89620000,,76493000,,,,,,,,,,
2006-12-31,44398000.0,839183000,-16454000.0,,80912000,,85484000,-4821000.0,0.1821,,320422000.0,,0.1821,80605000,727557000,0.0,,308294000,15109000.0,-344435000,,95577000,51001000,9117000,107605000,3463000,95577000,294655000.0,106682000,,1817000.0,95577000,-335067000,,335382000,95714000,,83691000,161957000,47955000,459588138,0.0,-59000000,-9379000,4466000,25178000,,-4539000.0,4572000,14644000,28933000,35892000.0,,36318000.0,503801000,244809000,33649000,,164204000,41622000,111068000,1646000.0,459588138,70399000,83691000,,63485000,,,,,,,,,,
2007-12-31,168726000.0,1133310000,-19103000.0,115781000.0,58981000,,66971000,5255000.0,0.1209,,0.0,,0.1209,76998000,775926000,,,508980000,41186000.0,-178343000,14398000.0,142886000,138506000,8253000,214155000,142607000,142886000,5471000.0,147127000,-2011000.0,1027000.0,142886000,2215000,,465276000,118184000,,59539000,323593000,222098000,492350955,0.0,-161799000,-13956000,2839000,47309000,,3540000.0,7990000,108260000,137278000,97320000.0,,46201000.0,668034000,428811000,42250000,,351813000,124550000,356762000,25799000.0,492350955,95577000,59539000,-167056000.0,80169000,,,,,,,,,,
2008-12-31,165936000.0,1066720000,-14398000.0,74925000.0,62089000,,82785000,,0.126,0.0,,,0.126,80847000,821286000,,230947000.0,650976000,,-3637000,312101000.0,118469000,105903000,11735000,138756000,106100000,118469000,0.0,152434000,0.0,,118469000,20480000,14208000.0,446266000,96993000,263655000.0,62089000,449350000,200396000,492769841,81180000.0,-203003000,-44265000,0,-24417000,,,20704000,0,65849000,,,2225000.0,620454000,565089000,56028000,-111221000.0,484242000,61638000,244856000,31175000.0,492769841,142886000,62081000,0.0,85887000,,,,,,,,,,
2009-12-31,188212000.0,1523975000,0.0,30000000.0,123547000,,166209000,-13309000.0,0.2507,45126000.0,,,0.2507,161982000,987298000,-45126000.0,303276000.0,954750000,44840000.0,-66228000,478138000.0,275311000,163157000,13450000,323848000,105392000,320437000,0.0,205001000,,5250000.0,275311000,-859000,9902000.0,735379000,220951000,328785000.0,123547000,609595000,367086000,492764900,81180000.0,-164716000,-24509000,2110000,156842000,0.0,3930000.0,37044000,0,170687000,7431000.0,,1739000.0,788596000,818786000,57630000,-123784000.0,656804000,138648000,429240000,70142000.0,492764900,118469000,129165000,,135964000,,,,,,,,,,
2010-12-31,188212000.0,1822167000,,1318000.0,136103000,,195420000,50880000.0,0.2762,54500000.0,,,0.2762,201892000,1126445000,,327266000.0,1340895000,70209000.0,-191056000,460498000.0,400135000,254209000,20296000,458999000,114985000,454635000,0.0,319397000,-3100000.0,29740000.0,400135000,-9374000,11325000.0,895360000,276954000,464656000.0,136103000,873394000,340500000,492764900,81180000.0,-295091000,-140637000,18810000,124824000,,-14491000.0,45016000,0,264140000,6180000.0,,890000.0,926807000,1136648000,73279000,-145259000.0,934756000,113572000,573984000,81538000.0,492764900,275311000,150404000,-46181000.0,204247000,,,,,,,,,,
2011-12-31,359356000.0,2454387000,,2000000.0,151624000,,201128000,112969000.0,0.3077,79009000.0,,,0.3077,215396000,1277182000,,455326000.0,1774390000,78951000.0,-643124000,585645000.0,251501000,325018000,34331000,890987000,159013000,330510000,0.0,669728000,,60502000.0,251501000,-38171000,19636000.0,930173000,299715000,839365000.0,151624000,1131677000,406462000,492764900,81180000.0,-448729000,-338230000,28310000,-148634000,,-9170000.0,34902000,0,453815000,14462000.0,,890000.0,1524214000,1473269000,105382000,-169637000.0,1257873000,-13212000,1050000000,93983000.0,492764900,400135000,166226000,-271924000.0,301121000,,,,,,,,,,
2013-12-31,347356000.0,3387463000,,9387000.0,310498000,,383168000,38082000.0,0.630114,10000000.0,0.0,1008000.0,0.630114,413568000,1769042000,-10000000.0,391267000.0,2515111000,100434000.0,-553368000,992058000.0,333150000,438618000,69369000,1302983000,186785000,343150000,0.0,1113114000,,78684000.0,333150000,-277125000,23923000.0,1652370000,507525000,1345955000.0,310498000,1524569000,136301000,492764900,81180000.0,-1023915000,-270923000,74436000,-27430000,,-92047000.0,55224000,-175021000,735777000,21425000.0,194081000.0,177485000.0,1735093000,2101605000,234733000,-232841000.0,1688037000,167695000,1489768000,98714000.0,492764900,364031000,327944000,0.0,413506000,,,,,,,,,,
2014-12-31,347356000.0,6130756000,,638000.0,605524000,,725514000,-375546000.0,0.2022,1845392000.0,3139340000.0,25892000.0,0.202183,725533000,4907598000,-1840465000.0,633002000.0,3154220000,110445000.0,-2978787000,1206771000.0,331863000,319096000,59044000,888236000,204960000,2177255000,0.0,1286344000,,106605000.0,331863000,-222200000,39513000.0,3525955000,875472000,1576574000.0,605524000,1811477000,145888000,2994929593,427269000.0,-2187013000,-289275000,37049000,-1879000,,-16465000.0,111068000,50270000,304760000,14662000.0,182332000.0,127215000.0,2604801000,2671715000,251198000,-290230000.0,1946182000,29821000,1093196000,97717000.0,2994929593,333150000,614446000,-700000000.0,482505000,,,,,,,,,,
2015-12-31,347356000.0,7052922000,,493000.0,754523000,,898132000,-410212000.0,0.2272,2362709000.0,0.0,5655080000.0,0.2272,834218000,5663961000,-5919311000.0,620430000.0,2563129000,115209000.0,240318000,1930906000.0,843674000,394708000,83219000,1045427000,207964000,3206383000,0.0,1382075000,,115150000.0,843674000,2670000,15576000.0,5071444000,1028917000,1730266000.0,754523000,1148918000,126216000,3321073843,427269000.0,-1294293000,-208092000,25155000,686336000,,-34411000.0,133433000,-141300000,502084000,-6170000.0,170439000.0,960591000.0,1981478000,2087412000,285609000,-348191000.0,1253194000,186616000,1253391000,92321000.0,3321073843,151863000,764699000,,475717000,,,,,,,,,,
2016-12-31,995921000.0,9205847000,-106976000.0,0.0,891539000,25668000.0,974722000,-308446000.0,0.2684,2349622000.0,,4610567000.0,0.2684,917857000,6428543000,-4554000000.0,952639000.0,2917794000,140920000.0,-1834895000,2667244000.0,397775000,592028000,116142000,2374776000,269070000,2747397000,0.0,1925244000,,121595000.0,397775000,22544000,30357000.0,5282457000,1145999000,2518032000.0,891539000,1388665000,855676000,3321073843,427269000.0,-2282817000,-319141000,62168000,-422854000,,-43054000.0,80727000,-189841000,1623597000,-17340000.0,193656000.0,876338000.0,3923390000,2382747000,452670000,-592788000.0,1464890000,272887000,2643846000,121435000.0,3321073843,843674000,893995000,-1674489000.0,535047000,,,,,,,,,,
2017-12-31,1036902000.0,10760400000,-212629000.0,,981372000,34041000.0,1116321000,-113614000.0,0.3013,2575499000.0,-281204000.0,4498063000.0,0.3013,1094725000,6768403000,-4676375000.0,912016000.0,3814842000,249787000.0,-743696000,,1265872000,964102000,104599000,3654797000,209687000,3841371000,,2233300000,-178080000.0,73588000.0,1265872000,39699000,50435000.0,6295932000,1416543000,2968372000.0,981372000,1718180000,828702000,3259227275,427269000.0,-2629550000,-625182000,57833000,952983000,6251000.0,32314000.0,135756000,172528000,2860979000,22823000.0,288696000.0,,4464468000,2963358000,420356000,-735072000.0,1868633000,338920000,3864484000,96445000.0,3257505816,397775000,980565000,-5390000.0,851484000,,,,,,,,,,
2018-12-31,1040879000.0,17538810000,-289719000.0,847508000.0,1303373000,40907000.0,1473470000,-486151000.0,0.4062,3189707000.0,1646000.0,3326092000.0,0.4045,1524621000,7808413000,-3958846000.0,1139283000.0,5173385000,317185000.0,-2997748000,,1672865000,1045587000,279750000,8202930000,1401851000,4862572000,,3054188000,-21605000.0,108714000.0,1672865000,18359000,170573000.0,8675308000,1961228000,3942897000.0,1303373000,2127304000,4445063000,3221863005,421337000.0,-5943084000,-2484515000,42090000,452485000,31339000.0,-165253000.0,167475000,-557260000,5290397000,121252000.0,491160000.0,,8863502000,4049414000,585609000,-888709000.0,2524793000,-1438928000,9604781000,88998000.0,3208346677,1265872000,1305995000,0.0,1123971000,,,,,,,,,,
