date,annualRepaymentOfDebt,annualEbitda,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualGrossPPE,annualTotalNonCurrentAssets,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualOperatingExpense,annualBasicAverageShares,annualCapitalExpenditure,annualStockBasedCompensation,annualPurchaseOfBusiness,annualBeginningCashPosition,annualInterestExpense,annualInventory,annualGrossProfit,annualChangeInInventory,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualNetOtherInvestingChanges,annualOtherShortTermInvestments,annualRetainedEarnings,annualCommonStockIssuance,annualGoodwill,annualFreeCashFlow,annualNetIncome,annualTotalRevenue,annualCostOfRevenue,annualLongTermDebt,annualDilutedEPS,annualCashDividendsPaid,annualPretaxIncome,annualPurchaseOfInvestment,annualCurrentDebt,annualEndCashPosition,annualTaxProvision,annualAccountsPayable,annualInvestingCashFlow,annualTotalAssets,annualNonCurrentDeferredRevenue,annualOtherCurrentAssets,annualOperatingIncome,annualStockholdersEquity,annualBasicEPS,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualSaleOfInvestment,annualAccountsReceivable,annualCurrentAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,annualCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualNetPPE,annualRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualChangeInAccountPayable,annualIncomeTaxPayable,annualResearchAndDevelopment
2003-12-31,-271579000,374574000,164372000,400536000.0,34293000,219058000,,170511000.0,716145000,,1348931000,232330000,215513000,,,3416000,717569000,1712208333,-741449000,,,155115000,,408790000,1023519000,-227105000,67717000,1474589000,1712208333,5294000,,,,-28182000,-389595000,164372000,4071468000,3047949000,392089000,0.0,-10937000,293788000,-1850000.0,189134000,374173000,61458000,427533000,-737902000,2334310000,57706000,107973000.0,305950000,689210000,0.096,374173000,68624000,,94443000,985379000,351854000,449795000,0.0,1024794000,374173000,1337494000,,,,,,,,,,,,
2004-12-31,-1030302000,610000000,319393000,758160000.0,34062000,644755000,,348654000.0,1175944000,,2693139000,392099000,372268000,,,983344000,1166846000,1789316527,-1164441000,,,374173000,,714799000,1606464000,-312221000,29667000,2458986000,2241354386,9571000,,,,115549000,-592124000,319393000,7213827000,5607363000,447425000,0.1425,-73798000,410564000,0.0,493142000,1018928000,18465000,694597000,-1154616000,4762114000,64226000,149949000.0,439618000,1954474000,0.1785,1018928000,170382000,,185299000,2068975000,572317000,511651000,0.0,1947335000,1018928000,2519541000,,,,,,,,,,,,
2005-12-31,-911312000,929761000,456847000,980719000.0,65923000,228836000,,436458000.0,1762787000,,3584007000,358171000,557555000,,,4733000,1761717000,2503271233,-1042018000,,,1018928000,,781001000,2413205000,-68551000,492469000,3320026000,2735610778,11431000,,569307000.0,,115549000,286279000,456847000,10824950000,8411745000,768704000,0.167,-95658000,617135000,-2000000.0,389190000,1247764000,61612000,1117005000,-1032066000,6087105000,55936000,218148000.0,651488000,2330621000,0.1825,1247764000,278273000,,174657000,2503098000,1328297000,824640000,0.0,2495386000,1247764000,3375806000,0.0,,,,,,,,,,,
2006-12-31,-888464000,1387736000,727352000,1447692000.0,141590000,-67706000,,633816000.0,2800328000,,4821514000,588416000,817242000,,,71997000,2740581000,2734406015,-1257774000,,,1247764000,,1071460000,3721771000,-291614000,179038000,4130998000,2734406015,71391000,,993822000.0,,115549000,145052000,727352000,16246368000,12524597000,933246000,0.266,-115706000,942320000,-157287000.0,265022000,1180058000,76032000,1034699000,-1301453000,7763678000,120499000,225577000.0,981190000,2998864000,0.266,1330058000,406546000,5871000.0,186976000,2942164000,1402826000,1053745000,0.0,3077253000,1330058000,4508688000,,,,,,,,,,,,
2007-12-31,-1130090000,1646325000,935786000,556414000.0,260143000,628104000,,723075000.0,3763922000,,5917703000,935786000,1527646000,,,1381592000,3687655000,2818632530,-1429334000,,,1180058000,,877443000,4803505000,189604000,563236000,3846575000,2818632530,-36757000,,1547733000.0,,199143000,628787000,1108652000,21318062000,16514557000,304192000,0.332,-188821000,1130310000,-306000000.0,219160000,1756818000,21658000,1315395000,-1769537000,9681279000,178993000,258870000.0,1115850000,5111629000,0.332,2210818000,530475000,0.0,261365000,3763576000,2058121000,483185000,0.0,3363390000,2210818000,5356087000,-15297000.0,,,,,,,,,,,
2008-12-31,-444987000,-422726000,-948600000,0.0,289191000,492117000,163137000.0,,5050189000,7527151000.0,6213773000,-927821000,-15447000,,-2065062000.0,0,5803568000,2970806000,-828241000,134622000.0,-171011000.0,1756818000,39394000.0,824453000,4669399000,-125278000,926572000,6577304000,2970806000,17928000,,363555000.0,82262000.0,199143000,-241361000,-948600000,23864975000,19195576000,520000000,-0.3195,-227539000,-1089275000,-369000000.0,1281602000,2218965000,-161454000,2155265000,-1249809000,11315275000,183210000,41693000.0,-1134169000,4464616000,-0.3195,3041965000,627155000,538000.0,284079000,5101502000,586880000,811198000,0.0,5766106000,3041965000,5462089000,-2130000.0,,,,,,,,,,,
2009-12-31,-1874845000,2069102000,1115799000,0.0,398828000,1771667000,178611000.0,0.0,5517210000,7910698000.0,6081659000,1220106000,-23889000,,-2664411000.0,-86080000,5634338000,3274608000,-327673000,284646000.0,-44077000.0,2218965000,61153000.0,714897000,6852231000,103062000,-56201000,5184432000,3274608000,-1567329000,,1294766000.0,2757010000.0,199143000,1803898000,1115799000,25710460000,18858229000,350000000,0.0,0,1346346000,,430540000,3986624000,126240000,1531366000,-1835638000,14096126000,230613000,230968000.0,1217893000,8575678000,0.3405,6150021000,661603000,620000.0,527303000,8014467000,2131571000,630492000,0.0,4553940000,6150021000,5246287000,-1858000.0,,,,,,,,,,,
2010-12-31,-399101000,2281224000,1237273000,0.0,706080000,-114932000,178679000.0,0.0,6465180000,9302016000.0,7641534000,1355917000,-42681000,39865000.0,-3386527000.0,81180000,6331453000,3474796000,-273924000,366183000.0,-286013000.0,3986624000,45203000.0,1176423000,7786436000,-425877000,151735000,7088332000,3481682000,-855030000,,2050216000.0,13411000.0,451613000,2211193000,1237273000,30265415000,22478979000,570027000,0.3555,-245445000,1538102000,-888937000.0,690804000,3775255000,182185000,2061193000,-2204468000,17305841000,226049000,102399000.0,1454983000,9758064000,0.356,6697813000,697919000,,554933000,9664307000,2485117000,850043000,0.0,6238289000,6697813000,5915489000,0.0,,,,,,,,,,,
2011-12-31,-764214000,2967852000,1589274000,0.0,809894000,636850000,181087000.0,0.0,7804794000,11000670000.0,9815182000,1784549000,-148177000,22830000.0,-4194131000.0,-110065000,7695691000,3501640000,-687632000,173541000.0,-20738000.0,3775255000,60942000.0,1685247000,9592152000,-512744000,37944000,8152865000,3513096000,-925896000,102800000.0,3074337000.0,520616000.0,482436000,1832425000,1589274000,37387844000,27795692000,480531000,0.4525,-279233000,2060630000,-209291000.0,656638000,4359872000,276081000,2543405000,-1645020000,20201685000,234940000,175289000.0,1896461000,11471058000,0.454,6523075000,846280000,3870000.0,574734000,10386503000,2520057000,927040000,887103000.0,7225825000,6625875000,6806539000,,,,,,,,,,,,
2012-12-31,-475607000,2743660000,1257148000,0.0,225977000,-1413782000,181151000.0,0.0,7621258000,14405554000.0,11229538000,1439558000,-299411000,33051000.0,-5109385000.0,134965000,7624800000,3535602000,-2159101000,19172000.0,-17784000.0,4359872000,41754000.0,1419898000,9054567000,252085000,-67593000,7918885000,3535932000,-143593000,240000000.0,3745840000.0,12127000.0,482436000,-152205000,1257148000,36080353000,27025786000,544858000,0.3555,-350009000,1685034000,-3842515000.0,598692000,2943890000,245476000,2381955000,-3239182000,20990734000,215740000,51602000.0,1429767000,12443292000,0.3555,5778390000,1016872000,2744160000.0,801473000,9761196000,2006896000,938242000,0.0,6980643000,6018390000,9296169000,,,,,,,,,,,,
