date,annualOtherNonCurrentAssets,annualOperatingExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualCurrentAssets,annualBeginningCashPosition,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualBasicEPS,annualEbitda,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualGrossProfit,annualOtherShortTermInvestments,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualFreeCashFlow,annualResearchAndDevelopment,annualOtherCurrentAssets,annualCostOfRevenue,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualNetIncome,annualPurchaseOfBusiness,annualCashDividendsPaid,annualOtherNonCashItems,annualCurrentDebt,annualAccountsReceivable,annualStockholdersEquity,annualLongTermDebt,annualPurchaseOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualTotalAssets,annualInvestingCashFlow,annualChangeInInventory,annualCurrentLiabilities,annualRetainedEarnings,annualGoodwill,annualChangeInWorkingCapital,annualSaleOfInvestment,annualInventory,annualNetPPE,annualAccountsPayable,annualOperatingCashFlow,annualTotalRevenue,annualCapitalStock,annualOperatingIncome,annualDilutedEPS,annualRepaymentOfDebt,annualEndCashPosition,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualGrossPPE,annualNonCurrentDeferredRevenue,annualOtherNonCurrentLiabilities,annualPretaxIncome,annualDeferredIncomeTax,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualChangeInAccountPayable,annualIncomeTaxPayable
2004-12-31,136566542,190278306,179309068,-857865489,1187215783,,454107916,912434418,-232031546,237588344,0.02,638822075,5898984,413686726,,413857585,439980230,832200236,12766000,241068344,2093648656,-237358904,,2497024,686447611,178815175,956742427,20692879250,413857585,,-209792336,,52410900,7833595,1942112365,266646946,,,,3280864439,-893787246,,543055701,434056061,15819325,,,194557149,1379929095,139463578,,1518647847,262826182,641921930,0.02,-120546893,,-43325380,925200418,52410900,20692879250.0,1379929095,,,632923091,,,,,,,,,,,,
2005-12-31,222399691,344957126,312397816,-1324618137,1675183981,,864351827,1053522863,158366331,268028333,0.033333,1318718645,18427943,813340779,,697924778,589190853,1501701298,6099966,259028333,3809187017,-215091040,,44623298,1567073169,263828575,2296731524,20937743340,697924778,-552028078.0,-327542240,18427943.0,594579665,61668300,2379910776,655030000,,,172110300.0,5484370998,-1848656524,-73932378.0,1483390745,727346884,65665048,19917845.0,15799000.0,302584069,2398852296,245422228,1109527097.0,3068774467,525652364,1156744172,0.033333,-46000000,,-6580159,1059622829,50885985,20937743340.0,2398852296,,,1128180402,,,,,,,,,,,,
2006-12-31,854278538,776931375,677912513,-2684949235,3679052868,,2353205563,1989493627,933607460,170863749,0.086667,3320758421,114937053,2815516471,,1699203446,985276776,4179302602,80002624,165063749,7674027091,-292463560,,-5690619,6598526437,510820911,6295924543,19606193608,1699203446,-715463502.0,-935311530,-20695792.0,1261917400,180873920,3655711455,2608665000,,,341794894.0,11353079959,-3441661416,-621875032.0,3480408072,1747827371,134140606,-365121990.0,49507000.0,939507270,4356320226,385172407,2392485675.0,10777829039,1051304728,3402371227,0.086667,-1044811418,,-146544982,2069496251,201839039,19606193608.0,4356320226,,,2864026474,,,,,,,,,,,,
2007-12-31,1604572916,1207425163,1031565485,-3618606932,4425121558,,3516070223,2236596925,219068755,185633338,0.126667,5256673040,291156155,3042101838,,2548322469,1772209943,5934091388,106879408,161348851,12374039362,936992334,,56136080,9113036024,912448399,9680546219,20118335282,2548322469,-1197110640.0,-2081877730,291156155.0,3289978200,293870313,5337027400,2759660000,,28127502.0,536998263.0,16799160920,-4764502880,-1440142.0,6638444381,3152551818,339132081,294489394.0,87697032.0,1044245379,6003718258,590261911,4555599266.0,15047127412,1314130910,4726666225,0.126667,-2032141439,,-324863458,2343476333,407639039,20118335282.0,6003718258,,1781587301.0,4428518622,,,,,,,,,,,,
2008-12-31,2963102676,1556597623,1317500017,-5216621189,8052036264,2158476964.0,3894024427,5039491385,561391061,10354718258,0.146667,5241102174,98131248,1379208599,,3066200909,4112125201,6657193340,29341711,10320718296,18165513868,-1191262869,,94423248,10326570983,639031221,7038424084,20905915289,3066200909,-513362431.0,-1590025928,332510559.0,2354294814,322131158,16134387640,969368289,-83900000.0,131328245.0,609915278.0,26217550132,-8651385701,-694357654.0,5659215485,4604213142,327982407,-1081891993.0,84808013.0,1593507693,8259305329,727712876,4025358320.0,16983764323,1454130910,5100595717,0.146667,-7507867239,2719868025.0,-3057771185,5068833096,204125391,20905915289.0,8259305329,,3044738408.0,4533055648,,,,,,,,,,,,
2009-12-31,2224007556,1527843917,1276265499,-4104111767,8961170750,2719868025.0,4050654221,4139956374,279187190,355630430,0.16,6083123872,162906756,864459338,,3541446876,5176998972,7051122349,144200652,144841931,20684967551,494834581,,693181095,13904702325,968253570,8032673317,22134042975,3541446876,-217065507.0,-1666023025,89952439.0,3340654748,427832390,18170180121,407410000,-609120615.0,143889722.0,901309325.0,29646138301,-3291300907,-722801014.0,7168213979,6691529106,437396940,-537693536.0,444346377.0,2637617977,10051013694,978186421,4598946348.0,20955824674,1454130910,5523278432,0.16,-4025272687,2999055215.0,907872275,4284157026,603305312,22134042975.0,10051013694,,40679515.0,5018907791,,,,,,,,,,,,
2010-12-31,3374938392,2183776894,1830812775,-4952234557,11060565856,2999055215.0,5755748425,4651209600,792416758,371039920,0.22,8721689605,312970255,2736140703,,4827916726,5292918677,10202195771,388384383,94952733,27340666950,968127683,,118665426,18337383129,1575823347,12372561976,21945076027,4827916726,-203517153.0,-1790309505,107687421.0,4496151701,669093678,21831570548,2303074858,-2420738553.0,219426202.0,1077147578.0,38401232806,-6291652494,-891097937.0,9636421273,10065314920,383299356,-1107108181.0,465509427.0,3482682131,12557114862,1024790051,5920362240.0,28539578900,1454130910,8018418877,0.22,-5722535786,3791471973.0,163350059,5039593983,652448993,21945076027.0,12557114862,,56492153.0,7331571772,,,,,,,,,,,,
2011-12-31,3136179526,2424640884,2042595643,-7476373611,17931875798,3791471973.0,6910525409,6180009655,1125715892,-360737566,0.26,10928389608,497059573,5822879536,,5712569100,7138194099,12227371853,264029003,183850260,34388323534,-1086195076,,584909276,27536543588,2365776280,22187522375,21971419615,5712569100,-1436327879.0,-1943223272,137112910.0,3815092312,489112425,25008610933,5348228396,-1646301298.0,226385417.0,1155028346.0,52320199332,-7704356375,-3760437065.0,16364642839,14004152348,338979724,-1863836835.0,2203168103.0,7160297387,18377700952,3232112911,6390178535.0,39763915441,2181196365,9802730969,0.26,-9475256977,4917187865.0,-33139521,6444038658,216444590,21971419615.0,18377700952,,88670506.0,9276301689,,,,,,,,,,,,
2012-12-31,3450874375,3012213604,2471115178,-7995940182,24333698904,4917187865.0,6153253314,7473400807,1397552110,3058797312,0.24,10888162082,774673832,10792837768,,5211208977,8535917880,12039855132,670943265,258094320,43020722137,-2588358505,,687006618,36374864074,2402806003,33771455302,21713370738,5211208977,-822815660.0,-3016910210,122597940.0,6399851000,841494264,28181588753,9642395823,-2227926413.0,447085685.0,1557428933.0,67354421041,-9936412127,-3451211118.0,22978617534,17034164960,496758705,-3137667829.0,776181715.0,11602493132,24126566683,4487158595,5407581677.0,48414719206,2181196365,9027641528,0.24,-5772528200,6314739975.0,-100909515,8144344072,535867957,21713370738.0,24126566683,,533883696.0,8556059317,,,,,,,,,,,,
2013-12-31,3063189230,3410678979,2691482939,-8620922740,17931787510,6314739975.0,2861269072,4491737212,-2293806954,1035238383,0.1,6794671100,721630000,13852970940,,2125353823,8498320317,8925031785,475941951,130714613,48966601610,221540824,,751212263,40846480113,973432498,33812937200,21253538230,2125353823,136723.0,-2946912262,152375520.0,2774147375,519354631,27612257755,12403724357,-1423893403.0,443536908.0,2238339530.0,66898389120,-8479729564,3337161359.0,19959966260,16978322418,496758705,2107589191.0,1220542886.0,8200028550,29529227682,4875172737,8842463564.0,49771511898,2170015765,5514352806,0.1,-7008490031,4020933021.0,219979078,4967679163,1377984690,21253538230.0,29529227682,,696448566.0,3834701570,,,,,,,,,,,,
