date,annualBasicEPS,annualAccountsPayable,annualTaxProvision,annualEndCashPosition,annualOperatingIncome,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualOperatingExpense,annualInvestmentsAndAdvances,annualBasicAverageShares,annualNetIncome,annualCashDividendsPaid,annualDilutedAverageShares,annualSellingGeneralAndAdministration,annualTotalAssets,annualDilutedEPS,annualStockholdersEquity,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualCommonStockIssuance,annualRetainedEarnings,annualSaleOfInvestment,annualOperatingCashFlow,annualOtherIntangibleAssets,annualChangeInInventory,annualNetPPE,annualOtherNonCashItems,annualGrossPPE,annualPurchaseOfBusiness,annualBeginningCashPosition,annualPurchaseOfInvestment,annualInterestExpense,annualPretaxIncome,annualCapitalExpenditure,annualInvestingCashFlow,annualChangeInWorkingCapital,annualRepaymentOfDebt,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualGoodwill,annualTotalRevenue,annualCapitalStock,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualCurrentDebt,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualGrossProfit,annualNonCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,annualOtherCurrentLiabilities,annualOtherShortTermInvestments,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,annualOtherCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualIncomeTaxPayable,annualResearchAndDevelopment
1990-12-31,,,,,6324700.0,,5307600.0,,,,311250600.0,,,5307600.0,,,,,,,5307600.0,,,,,,,,,,,,,,,5307600.0,,,,,,,,316620400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,,,,,5728100.0,,5684800.0,,,,27228300.0,,,5684800.0,,,21691800.0,,,,5684800.0,,,,,,,,,,,,,,,5684800.0,,,,,,,,462526700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,,,,,9837700.0,,9060600.0,,,,723406700.0,,,9060600.0,,,,,,,9060600.0,,,,,,,,,,,,,,,9060600.0,,,,,,,,731485500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,913790.71,,696219.25,,,,17388449.81,,,696219.25,,,10992654.89,,,,696219.25,,,,,,,,,,,,,,,696219.25,,,,,,,,276427791.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,0.022805,,2730000.0,,23600000.0,135246000.0,21243000.0,,864031000.0,,1443767000.0,,,21243000.0,,,,1005449000.0,0.022805,141418000.0,21243000.0,,,17551000.0,,,72623000.0,,66108000.0,,66108000.0,,,,,23973000.0,,,,,,,,1457848000.0,50188000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,0.001768,,1821320.1,,2266596.9,188040591.04,1646856.79,,901123785.57,,122924957.21,7139818.98,,1646856.79,,,85271488.22,1044325670.3,0.001768,143201884.73,1646856.79,,,1618599.35,,,37336000.15,,81957183.59,,81957183.59,,,,,3468176.89,,,,,,,,1405485817.86,65244920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,-0.027785,,1626706.35,,-24427182.24,162804968.29,-25882434.18,,927819357.22,,126628735.92,8288730.81,,-25882434.18,,,69692056.0,1045138807.77,-0.027785,117319450.55,-25882434.18,,,-24263834.83,,,26441213.82,,62056425.4,,62056425.4,,,,,-24255727.83,,,,,,,,1046563853.24,65244920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,-0.117576,,1104417.88,,-107726284.27,104649942.06,-109523628.51,,1307997521.05,,176504755.63,7218471.73,,-109523628.51,,,74059761.57,1315793343.09,-0.117576,7795822.04,-109523628.51,,,-133787463.34,,,27192980.59,,141551373.93,,141551373.93,,,,,-108419210.63,,,,,,,,875005800.87,65244920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,-0.117738,,1284983.29,37221897.26,-106278795.74,37221897.26,-109674294.5,-788006.27,1218846079.7,38272707.13,162349565.13,44914257.0,,-109674294.5,-34219332.21,,73579045.06,1116967607.24,-0.117738,-101878472.46,-109674294.5,20525019.34,,-243461757.84,1077138.44,39465840.61,24369173.26,21037134.65,129739832.45,89627784.4,129739832.45,,104649942.06,-715560.42,,-108389311.21,-1193133.48,-1415774.61,33293429.06,-70438107.99,-817627.05,-67428044.8,,750721784.32,65244920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,-0.432027,,1726378.82,45458149.62,-387764058.88,45458149.62,-402060871.73,206468.29,1205470936.93,47421658.22,403147247.98,29205098.04,,-402437448.59,-11656726.23,,320609138.06,706927598.42,-0.432027,-504315921.05,-402437448.59,19662023.76,3750000.0,-645899206.43,406468.29,49070383.53,20632092.95,21737173.51,97470860.09,82739837.04,97470860.09,,37221897.26,,,-400334492.91,-1648725.31,1377070.37,81390428.73,-66895705.3,3750000.0,8236252.36,,579233812.52,65244920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,-0.073963,,1380168.47,47772642.1,-67681624.97,47772642.1,-68616038.54,-7719543.12,1137128727.84,-19770024.33,104562548.99,26835243.86,,-68897581.13,-3069300.42,,50559200.78,569106208.46,-0.073963,-573213502.18,-68897581.13,7372731.36,,-714796787.56,169424.98,-17729797.86,17326278.67,13682225.4,18916563.76,53245513.72,18916563.76,,45458149.62,,,-67235870.07,-2040226.47,-9472144.61,-27720188.88,-95810381.6,0.0,2314492.48,,296009695.84,65244920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
