date,annualNetOtherInvestingChanges,annualRetainedEarnings,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualNetIncome,annualPurchaseOfInvestment,annualAccountsReceivable,annualOperatingIncome,annualInvestingCashFlow,annualAccountsPayable,annualFreeCashFlow,annualIncomeTaxPayable,annualEndCashPosition,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualLongTermDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualTaxProvision,annualDepreciationAndAmortization,annualInvestmentsAndAdvances,annualNetPPE,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualEbitda,annualBasicAverageShares,annualCurrentAssets,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualBasicEPS,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualStockBasedCompensation,annualInventory,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualDilutedEPS,annualCurrentDebt,annualDilutedAverageShares,annualCapitalStock,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualDeferredIncomeTax,annualResearchAndDevelopment,annualGrossProfit,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualInterestExpense
1987-03-31,,-600000,,3700000,,100000,,,-100000,0,,0,,0,2400000,,400000.0,,,1400000,2400000,,,,300000,,,0,0,-100000.0,2400000,,,,,,100000,6902000,3400000,,100000,,600000,0.01,,,0,300000,,900000,200000.0,,400000,,,,0.01,,6902000,,,100000,1100000,,3700000,4700000,,,1000000,-300000,1300000,,,,,,
1988-03-31,,-1100000,,14700000,,-600000,,,-1300000,0,,0,,0,13500000,,0.0,,,1200000,13300000,,,,300000,,,0,0,,13300000,,,,,,-1100000,8571429,14400000,,-600000,,800000,-0.07,,,0,300000,,5100000,700000.0,,600000,,,,-0.07,,8571429,,,-600000,5300000,,200000,4200000,,,4000000,-500000,1200000,,,,,,
1989-03-31,,-3400000,,12500000,,-2200000,,,-3200000,0,,0,,0,11300000,,100000.0,,,1200000,10400000,,,,300000,,,0,0,,10400000,,,,,,-3000000,9166667,12200000,,-2200000,,1000000,-0.24,,,0,300000,,4800000,900000.0,,900000,,,,-0.24,,9166667,,,-2200000,5000000,,1100000,2900000,,,1800000,-700000,1200000,,,,,,
1990-03-31,,-5300000,,27700000,,-1900000,,,-3400000,0,,0,,0,26400000,,200000.0,,,1300000,24600000,,,,1100000,,,0,0,,24600000,,,,,,-3200000,10555556,26600000,,-1900000,,1900000,-0.18,,,0,1100000,,5200000,1500000.0,,1100000,,,,-0.18,,10555556,,,-1900000,5400000,,1000000,3000000,,,2000000,-800000,1300000,,,,,,
1991-03-31,-100000.0,-11900000,,29900000,,-6600000,,,-8400000,5200000,300000.0,-4200000,,0,21200000,3000000.0,14000000.0,,,900000,8100000,,300000.0,,1100000,,,-4000000,4500000,7800000.0,8100000,1400000.0,,5500000.0,300000.0,,-8100000,12222222,24000000,600000.0,-6600000,2700000.0,2200000,-0.54,,,5400000,5900000,-200000.0,8800000,1700000.0,,1200000,0.0,1400000.0,-100000.0,-0.54,,12222222,,,-6600000,9100000,,1300000,2000000,,,700000,-1100000,8700000,,,-700000.0,,,
1992-03-31,0.0,-17000000,,25800000,,-5100000,,,-6300000,-100000,400000.0,-3500000,,0,16300000,100000.0,13800000.0,,,1200000,4700000,,600000.0,,600000,,,-3400000,5000000,8300000.0,4700000,100000.0,,,200000.0,,-5700000,12750000,20000000,800000.0,-5100000,-3400000.0,2000000,-0.4,,,8000000,5800000,-100000.0,6400000,1200000.0,,900000,0.0,100000.0,300000.0,-0.4,,12750000,,,-5100000,7000000,,2000000,2700000,,,700000,-1400000,9500000,,,900000.0,,,
1993-03-31,100000.0,-20900000,,22400000,,-3900000,-4300000.0,,-4500000,400000,500000.0,-4600000,,0,12500000,100000.0,9000000.0,,,1200000,700000,,300000.0,,700000,,,-4300000,9500000,8700000.0,700000,100000.0,,4900000.0,200000.0,,-4200000,13000000,12000000,700000.0,-3900000,-4000000.0,2300000,-0.3,,,4700000,10400000,-300000.0,4600000,600000.0,,1500000,-100000.0,0.0,-700000.0,-0.3,,13000000,,,-3900000,4900000,,3000000,3400000,,,400000,-1600000,9900000,,,-800000.0,,,
1994-03-31,0.0,-22900000,,15400000,,-2000000,-2900000.0,,-2300000,3100000,400000.0,-3600000,,0,10600000,100000.0,2700000.0,,,1100000,500000,,300000.0,,600000,,,-3400000,7600000,3700000.0,500000,100000.0,,6200000.0,100000.0,,-2000000,12500000,7100000,700000.0,-2000000,-200000.0,2500000,-0.16,,,700000,8300000,-200000.0,4400000,400000.0,,2200000,0.0,100000.0,-700000.0,-0.16,,12500000,,,-2000000,7100000,,1900000,6700000,,2400000.0,4800000,-1900000,4800000,,,-1800000.0,,,
1995-03-31,700000.0,-23200000,,14700000,,-400000,-1300000.0,,-900000,-700000,200000.0,800000,,0,13300000,-200000.0,3900000.0,,,1400000,600000,,400000.0,,500000,,,900000,6500000,,600000,,,,,,-500000,13023554,7700000,1200000.0,-400000,100000.0,2600000,-0.025,,,500000,7000000,-100000.0,4300000,400000.0,,1400000,,0.0,800000.0,-0.025,,13023554,,,-400000,7200000,,2900000,9200000,,2500000.0,6300000,-2100000,1400000,,,1100000.0,,,
1996-03-31,-770000.0,-22750176,,16209429,,491124,,2606289.0,-36750,1608681,777943.0,244266,,2938332,13944505,,0.0,,,2264924,2938332,,349756.0,,582752,,,566908,627154,,10647442,148652.0,7709110.0,2701323.0,,,313006,13991328,14999523,1486981.0,491124,2324241.0,2913897,0.035,,,614091,1209906,-322642.0,5740830,,,1653512,0.0,148652.0,-244232.0,0.035,,13991328,69460.0,,491124,8959041,,3921319,12843610,,3218211.0,8922291,-2331145,2264924,,,-273972.0,,,
