date,annualInventory,annualStockBasedCompensation,annualCapitalStock,annualOperatingCashFlow,annualCurrentLiabilities,annualOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,annualGrossProfit,annualEbitda,annualNetPPE,annualPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,annualGoodwill,annualChangeInCashSupplementalAsReported,annualChangesInAccountReceivables,annualOtherNonCurrentLiabilities,annualGrossPPE,annualInterestExpense,annualPretaxIncome,annualDeferredIncomeTax,annualRepaymentOfDebt,annualOperatingIncome,annualOtherIncomeExpense,annualPurchaseOfInvestment,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualCurrentDebt,annualCurrentAccruedExpenses,annualCurrentDeferredRevenue,annualBasicAverageShares,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualInvestmentsAndAdvances,annualFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualTotalLiabilitiesNetMinorityInterest,annualBasicEPS,annualTotalAssets,annualNetIncome,annualDilutedAverageShares,annualRetainedEarnings,annualLongTermDebt,annualBeginningCashPosition,annualAccountsReceivable,annualCurrentAssets,annualCashDividendsPaid,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualDilutedEPS,annualTaxProvision,annualDepreciationAndAmortization,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable
1989-06-30,3000000.0,,,0,44500000,26400000,1000000.0,71800000,1400000,65400000,,22100000,,,,,12600000.0,76300000,18000000,-22100000,,,-4100000,0,,,27500000.0,0,,0,17000000.0,,,9184549,1200000.0,81900000,153700000,,,131600000,,,-10900000,,0,,6900000,,75900000,,-21400000,,22100000,176100000,-2.33,132200000,-21400000,9184549,-44600000,118000000.0,0,,33500000,,-21400000,,,70400000,98700000,,-43900000,-2.33,-700000,,,,
1990-06-30,3100000.0,,11500000.0,10800000,37000000,13200000,700000.0,87000000,29400000,61600000,,12900000,-100000.0,,-1100000.0,,800000.0,78400000,16000000,-6400000,-500000.0,,9500000,100000,,-2300000.0,21700000.0,-2300000,-9700000.0,0,12600000.0,,,9218750,6700000.0,69700000,156700000,,2700000.0,113800000,,-700000.0,-16800000,,8500000,,3700000,-10000000.0,77500000,,-5900000,0.0,12900000,150800000,-0.64,109300000,-5900000,9218750,-53800000,112300000.0,14000000,,30800000,,-5900000,,,57600000,78500000,-800000.0,-41500000,-0.64,-500000,19900000.0,,,
1991-06-30,2700000.0,,,13600000,34600000,2600000,500000.0,82500000,27200000,57500000,,14200000,400000.0,,1200000.0,,600000.0,80500000,13800000,-3800000,-300000.0,,10100000,-100000,,-2100000.0,18100000.0,-2100000,-10300000.0,0,8700000.0,,,58520000,7700000.0,80600000,163100000,,7800000.0,84300000,,0.0,-23000000,,11500000,,3400000,-8200000.0,72400000,,-3500000,0.0,14200000,118900000,-0.36,95800000,-3500000,58520000,-57400000,83200000.0,12900000,,32300000,,-3500000,,22000000.0,55300000,63500000,-300000.0,-23100000,-0.36,-300000,17100000.0,,,
1992-06-30,2800000.0,,,15300000,41600000,2300000,1600000.0,76800000,26300000,54500000,,16000000,-200000.0,,1800000.0,,600000.0,82300000,9700000,9900000,-12300000.0,,19500000,15900000,,-3900000.0,19400000.0,-3900000,-9600000.0,0,12800000.0,,,62000000,15200000.0,102400000,179200000,,9400000.0,69500000,,0.0,-27800000,,11400000,,12700000,-12700000.0,57300000,,5900000,0.0,16000000,111100000,0.35,112400000,21700000,65757576,-35700000,67300000.0,14200000,,42900000,,21700000,,,50500000,69500000,16300000.0,1300000,0.33,4000000,6800000.0,,,
1993-06-30,3000000.0,,,24100000,44400000,2200000,,81100000,29200000,52900000,,13300000,-100000.0,,-2700000.0,,1400000.0,85800000,6800000,15600000,5300000.0,,22400000,0,,-5100000.0,20700000.0,-5100000,-21400000.0,0,13300000.0,,,62666667,14400000.0,110800000,191900000,,10400000.0,43800000,,0.0,-32900000,,19000000,,6400000,-10000000.0,58700000,,9400000,0.0,13300000,88200000,0.15,99200000,9400000,62666667,-26300000,42400000.0,16000000,,37700000,,9400000,,,51900000,61500000,100000.0,11000000,0.15,6200000,6800000.0,,,
1994-06-30,2900000.0,,,28400000,40200000,2100000,200000.0,91000000,32900000,51900000,,22700000,,,9400000.0,,3700000.0,89900000,4600000,21000000,2400000.0,,25600000,0,,-6300000.0,24800000.0,-6300000,-12500000.0,0,3600000.0,,,64210526,16200000.0,120400000,211400000,,11800000.0,43600000,,0.0,-38000000,,22100000,,3900000,-9900000.0,65400000,,12200000,0.0,22700000,83800000,0.19,106800000,12200000,64210526,-14100000,39700000.0,13300000,,48900000,,12200000,,,58100000,57900000,2000000.0,23000000,0.19,8800000,7300000.0,,,
1995-06-30,3600000.0,,,28200000,48700000,3900000,2300000.0,96800000,33800000,60300000,,26300000,-600000.0,,3500000.0,,4700000.0,103100000,3100000,25600000,5500000.0,,27600000,1200000,,-14600000.0,33700000.0,-14600000,-10100000.0,0,,,,64782609,21900000.0,130500000,227300000,,15000000.0,40000000,,100000.0,-42800000,,13600000,,4500000,-9400000.0,69200000,,14900000,0.0,26300000,88700000,0.23,126700000,14900000,64782609,700000,33000000.0,22700000,,58000000,,14900000,,,63000000,68700000,-1800000.0,38000000,0.23,10700000,6200000.0,,,
1996-06-30,3300000.0,,,28400000,52500000,37700000,2200000.0,111300000,40300000,71400000,,29900000,300000.0,,3700000.0,,4600000.0,120700000,1100000,32700000,-500000.0,,32700000,1100000,,-36300000.0,33600000.0,-53200000,28600000.0,0,,,,67368421,18700000.0,147600000,258900000,,18900000.0,68300000,,0.0,-49300000,,-7900000,,7400000,-12800000.0,78600000,,19200000,-16900000.0,29900000,120800000,0.285,178100000,19200000,67368421,20000000,61500000.0,26300000,,61600000,,19200000,,100000.0,71000000,116500000,-1200000.0,57300000,0.285,13500000,7600000.0,,,
1997-06-30,4500000.0,,,42400000,58300000,37800000,3100000.0,140400000,52900000,90700000,,38900000,-1300000.0,,8900000.0,,7000000.0,149000000,2800000,39900000,2000000.0,,41600000,1000000,,-28800000.0,36000000.0,-28800000,-4700000.0,0,,,,68169014,14800000.0,166900000,307300000,,22300000.0,43100000,,0.0,-58300000,,13600000,,7700000,-11800000.0,98800000,,24200000,0.0,38900000,101400000,0.355,206700000,24200000,68169014,44000000,33000000.0,29900000,,70500000,,24200000,,23800000.0,87500000,136200000,,105300000,0.355,15700000,11300000.0,,,
1998-06-30,5200000.0,,,47600000,66000000,37900000,3600000.0,167600000,63800000,108100000,,31900000,-700000.0,,-7000000.0,,8000000.0,173100000,900000,50500000,-1000000.0,,49800000,1500000,,-31800000.0,41900000.0,-31800000,-22900000.0,0,,,,69772727,20700000.0,184300000,351900000,,24100000.0,21600000,,0.0,-65000000,,15800000,,8200000,-12600000.0,117800000,,30700000,0.0,31900000,87600000,0.44,223900000,30700000,69772727,74400000,10000000.0,38900000,,69700000,,30700000,,100000.0,103800000,154200000,200000.0,136300000,0.44,19800000,14000000.0,,,
