date,annualBasicAverageShares,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualCapitalExpenditure,annualCashAndCashEquivalents,annualTaxProvision,annualChangesInAccountReceivables,annualInterestExpense,annualTotalRevenue,annualBasicEPS,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualChangeInWorkingCapital,annualDilutedAverageShares,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualCashDividendsPaid,annualCurrentDebt,annualBeginningCashPosition,annualNetIncome,annualLongTermDebt,annualDilutedEPS,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualStockholdersEquity,annualOtherNonCashItems,annualPurchaseOfBusiness,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualCapitalStock,annualPurchaseOfInvestment,annualAccountsReceivable,annualNetPPE,annualOperatingCashFlow,annualGoodwill,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepaymentOfDebt,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualEndCashPosition,annualAccountsPayable,annualGrossPPE,annualIncomeTaxPayable,annualOtherIncomeExpense,annualChangeInInventory,annualCurrentAssets,annualResearchAndDevelopment,annualStockBasedCompensation,annualCostOfRevenue,annualTotalNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingExpense,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualEbitda,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualInventory,annualCurrentDeferredRevenue,annualGrossProfit,annualOtherCurrentAssets
2000-12-31,3376726348.0,,3542950130.0,,,2252122950,813104130.0,,,13348946940.0,0.611479,,3507852110.0,,,,,,,3376726348.0,,179101296280,163734213190,,13684328020.0,,3507852110.0,17666003400,0.611479,,,15367083090,,,,,,,9254177940.0,,,5225705200,,0.0,,1706153750,,10923283780.0,,,,4356054260.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,6581078843.0,30391940100.0,2268887100.0,,-552707400.0,11997001800,550385100.0,,9159151200.0,19098595200.0,0.68999,-137015700.0,2268887100.0,,,,,-838350300.0,-5608354500.0,6581078843.0,4386824700.0,108293493600,98419074000,,8320800900.0,14781439500.0,2268887100.0,11497707300,0.68999,6579075900.0,-178817100.0,9788494500,3643688700.0,,-10940355300.0,,578252700.0,9358869000.0,5199629700.0,-4333411800.0,,2726380200,373890300.0,,4314833400.0,782615100,-4972044300.0,2837850600.0,248486100.0,-10294755900.0,-1205273700.0,2819272200.0,,13576165800.0,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,6586123882.0,31550415660.0,2113272540.0,,-658406520.0,21161043960,159291900.0,,14927420940.0,21430070280.0,0.342273,-785840040.0,2141591100.0,,,,,-846016980.0,4739818980.0,6586123882.0,5493800640.0,129875995800,118821137940,,9638929860.0,13575209700.0,2141591100.0,13387599240,0.342273,7607073180.0,11054857860.0,10853088120,4669022580.0,,-9444239760.0,,658406520.0,1561060620.0,5199995580.0,-4534509420.0,,2994687720,11713264380.0,,7001763960.0,1776989640,-11044238400.0,2290263540.0,233628120.0,-11196450660.0,3830085240.0,2272564440.0,,17405294940.0,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,7017329494.0,46344485710.0,2293710150.0,,-781881070.0,24235428000,343335230.0,,9676860180.0,26004037210.0,1719.438406,-773225560.0,2293710150.0,,,,,17593766660.0,-15427003990.0,7285826899.0,5839584080.0,165657805890,152048459000,,7763992470.0,17336986530.0,2293710150.0,20011539120,1719.438406,12867858200.0,-8828620200.0,13537217640,5588574290.0,,-314483530.0,,1006924330.0,17801498900.0,6970570720.0,-4068089700.0,,3092902240,-8046739130.0,,4769186010.0,1733987170,-7244661870.0,2648586060.0,678014950.0,980957800.0,9440276240.0,2637045380.0,,26774377600.0,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,7275811600.0,37304081800.0,3328018120.0,,-501991560.0,10669312680,600265040.0,,8921638360.0,29094262160.0,0.478895,-480743240.0,3328018120.0,,,,,-1301459600.0,4193887160.0,7275811600.0,1495350520.0,177125995520,161489888040,,8273564600.0,26892405000.0,3328018120.0,19657352040,0.478895,9689233920.0,12998659760.0,15564394400,5792823240.0,,-15819374240.0,,1067728080.0,-3285521480.0,7001321440.0,-7641427080.0,,2945548360,13500651320.0,,3604246280.0,1830011560,-7798133440.0,3941563360.0,7009289560.0,-11086310960.0,-5604244400.0,3928283160.0,,21285504560.0,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,7465924096.0,59743054140.0,6306807990.0,,-277863810.0,16555079100,2428389600.0,,12433821750.0,36400159110.0,0.885717,1207189830.0,6306807990.0,,,,,-23349900.0,-9297930180.0,7499823187.0,6750456090.0,206464485780,186168752700,-1557438330.0,7061009760.0,21267088920.0,6306807990.0,23300865210,0.885717,10691919210.0,3927453180.0,20207003460,6047624100.0,,-20410147590.0,,712171950.0,13900195470.0,12991884360.0,-4462165890.0,,2720263350,4205316990.0,,5202357720.0,1625153040,-7598057460.0,8746872540.0,410958240.0,-20793085950.0,-2304635130.0,8735197590.0,,18960118800.0,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,7507948326.0,89660962500.0,6446547500.0,,-526727500.0,37037260000,2266847500.0,,12837650000.0,41688242500.0,0.900535,-891385000.0,6446547500.0,,,,,1204862500.0,-28232167500.0,7507948326.0,11027157500.0,258644527500,232148215000,-3326700000.0,5695907500.0,18928070000.0,6446547500.0,30049057500,0.900535,12180840000.0,-15464890000.0,26402482500,8003272500.0,,-21774957500.0,,874325000.0,29132082500.0,,-8999150000.0,,2991897500,-14938162500.0,,7977682500.0,2283907500,-6529715000.0,8728322500.0,1157947500.0,-18657242500.0,-7581037500.0,8713395000.0,,11347032500.0,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,7676474253.0,91771280640.0,7907111680.0,,-690826240.0,45181460480,3350863360.0,,12737553920.0,47649205760.0,0.980253,-516339200.0,7907111680.0,,,,,201194240.0,7504723200.0,7722909132.0,12126849280.0,334480972800,301112997120,-806557440.0,7989013760.0,11373706240.0,7907111680.0,38912390400,0.980253,12778504960.0,22441169920.0,33086659840,9546933760.0,,-44380244480.0,,1365628160.0,49967390720.0,,-6963457280.0,,3546716160,23131996160.0,,3130083840.0,3799544320,-6420410880.0,11297145600.0,1887308800.0,-38691610880.0,28719142400.0,11257975040.0,,40092848640.0,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,7813321186.0,126782000000.0,7149000000.0,-5000000.0,-2111000000.0,50235000000,-401000000.0,-2940000000.0,28432000000.0,48269000000.0,0.854551,-3550000000.0,7018000000.0,2582000000.0,,,1207000000.0,-80000000.0,-41083000000.0,7813321186.0,11785000000.0,435290000000,398360000000,-3132000000.0,13849000000.0,40096000000.0,7018000000.0,47255000000,0.854551,23055000000.0,-27844000000.0,36930000000,168000000.0,-160000000.0,-37854000000.0,,1683000000.0,81053000000.0,11500000000.0,-5373000000.0,,4263000000,-25733000000.0,1286000000.0,4718000000.0,3138000000,-6137000000.0,6748000000.0,1938000000.0,546000000.0,17466000000.0,6748000000.0,,57562000000.0,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,7828846659.0,149498000000.0,9249000000.0,-184000000.0,-1730000000.0,50899000000,4420000000.0,-159787000.0,21018000000.0,64223000000.0,1.121108,-1253000000.0,9216000000.0,2192000000.0,-4634846000.0,752385000.0,0.0,3889000000.0,-4185000000.0,7828846659.0,15633000000.0,496815000000,450705000000,-2871000000.0,7976000000.0,57562000000.0,9216000000.0,50817000000,1.121108,26008000000.0,17091000000.0,45770000000,16867000000.0,-340000000.0,-27429000000.0,,1713000000.0,35028000000.0,13250000000.0,-21361000000.0,11484041000.0,4830000000,18821000000.0,1234000000.0,8716000000.0,3643000000,-11043000000.0,13669000000.0,3589000000.0,1028000000.0,26420000000.0,13669000000.0,320625000.0,83982000000.0,2950154000.0,8052800000.0,,,,,,,,,,,,,,,,,,,,,
2010-12-31,7946691599.0,142743000000.0,9752000000.0,-15000000.0,-2825000000.0,90182000000,5428000000.0,509769000.0,25645000000.0,67123000000.0,1.162072,-2213000000.0,9662000000.0,2863000000.0,-5171000000.0,,0.0,2480000000.0,-13129000000.0,7946691599.0,19231000000.0,621612000000,568780000000,-2915000000.0,7735000000.0,83982000000.0,9662000000.0,75237000000,1.162072,29808000000.0,5124000000.0,52715000000,11995000000.0,-921000000.0,-150456000000.0,,2183000000.0,95019000000.0,14250000000.0,-35066000000.0,21163467000.0,5426000000,7949000000.0,1183000000.0,10385000000.0,3652000000,-4563000000.0,15180000000.0,4837000000.0,0.0,-47488000000.0,15180000000.0,360355000.0,36494000000.0,,10597000000.0,,,,,,,,,,,,,,,,,,,,,
2011-12-31,4024644812.0,160617850000.0,11089442000.0,-173060000.0,-4931324000.0,31887491000,3594027000.0,,46755986000.0,51904639000.0,1.299623,,10958054000.0,,-5596092000.0,45248398000.0,1511441000.0,42483000.0,-86937054000.0,4024644812.0,632096000.0,722086892000,662704798000,-3568337000.0,,36265611000.0,10958054000.0,73112354000,1.299623,22628104000.0,-41991954000.0,59139046000,18212405000.0,,16682701000.0,2246508000.0,2120335000.0,20965444000.0,,-19167433000.0,,4267218000,-37060630000.0,723526000.0,32859124000.0,6493171000,-12222516000.0,14683469000.0,28519563000.0,228958000.0,587515000.0,14683469000.0,,36853126000.0,,9863310000.0,3321686000.0,,,,,,,,,,,,,,,,,,,,
2012-12-31,4026540177.0,215378530000.0,11351694000.0,-14192000.0,-4242545000.0,22874061000,4150538000.0,67006786000.0,39640751000.0,60765478000.0,1.342311,,11291570000.0,-26846989000.0,-6297377000.0,81560848000.0,0.0,-30893000.0,-13344913000.0,4026540177.0,542422000.0,801186699000,729840309000,-3839385000.0,,36853126000.0,11291570000.0,91852508000,1.342311,23556805000.0,47369853000.0,71137709000,4126612000.0,-2552000.0,-44797252000.0,3091667000.0,2538260000.0,3850139000.0,30100000000.0,-163560275000.0,2938833000.0,4532355000,51612398000.0,723526000.0,116859608000.0,7032139000,-24450108000.0,15502232000.0,40622092000.0,266123000.0,10665285000.0,15502232000.0,,47518411000.0,14848920000.0,10829732000.0,4461793000.0,,,,,,,,,,,,,,,,,,,,
2013-12-31,4026359475.0,205357518000.0,12486138000.0,-71792000.0,-3695547000.0,22378752000,1833031000.0,51660545000.0,41382142000.0,57749377000.0,1.466107,,12395920000.0,-29518063000.0,-6946405000.0,67838411000.0,0.0,-10870000.0,51070724000.0,4026359475.0,927314000.0,838301614000,766198688000,-4362781000.0,,47427218000.0,12395920000.0,99668159000,1.466107,24505955000.0,96136962000.0,71884306000,800540000.0,0.0,-23186678000.0,799824000.0,2753103000.0,-6375062000.0,,-97805696000.0,2123553000.0,4501967000,99832509000.0,723526000.0,71675162000.0,7497213000,-40287342000.0,13256482000.0,33055589000.0,658039000.0,70270769000.0,14319169000.0,,117697987000.0,,11448372000.0,4275942000.0,,,,,,,,,,,,,,,,,,,,
2014-12-31,4026359475.0,241912229000.0,15416478000.0,-28922000.0,-2829865000.0,25805598000,3914313000.0,54777470000.0,53847329000.0,68027291000.0,1.815677,,15314943000.0,,-7137811000.0,120961734000.0,,-583684000.0,31174218000.0,4026359475.0,1153439000.0,930451016000,848159211000,-3925450000.0,,117697987000.0,15314943000.0,127559927000,1.815677,26639160000.0,78587484000.0,82167741000,2027776000.0,,-3443356000.0,808178000.0,2932687000.0,8999501000.0,38100000000.0,-49544161000.0,2042977000.0,4700518000,81417349000.0,723526000.0,37713211000.0,6806389000,-35284112000.0,17940975000.0,43141821000.0,663789000.0,86973494000.0,19330791000.0,,204671481000.0,,11838329000.0,4585230000.0,,,,,,,,,,,,,,,,,,,,
2015-12-31,4026205788.0,340265343000.0,18237905000.0,-133033000.0,-4153430000.0,29782777000,-8634322000.0,,71412210000.0,66507257000.0,2.147508,,18132906000.0,-38823738000.0,-6684309000.0,117695450000.0,,28446000.0,-105254755000.0,4026205788.0,2096710000.0,1026703522000,935788760000,-5007596000.0,22970703000.0,204671481000.0,18132906000.0,167026466000,2.147508,27780017000.0,-65507595000.0,90789427000,3415806000.0,,-11961302000.0,772138000.0,2942003000.0,12994265000.0,46100000000.0,-62125304000.0,1978001000.0,5504435000,-61354165000.0,723526000.0,39416379000.0,6686109000,-50489090000.0,5733870000.0,45953269000.0,742732000.0,-60321202000.0,9603583000.0,501399000.0,147261434000.0,,12188744000.0,4159384000.0,,,,,,,,,,,,,,,,,,,,
2016-12-31,4025987988.0,395673511000.0,17992726000.0,-9466000.0,-5122818000.0,30890164000,13912730000.0,,91037386000.0,96371930000.0,2.121212,,17894249000.0,,-7117146000.0,113118554000.0,,3265000.0,-21682329000.0,4025987988.0,4907381000.0,1192029656000,1086550449000,-5611350000.0,,147261434000.0,17894249000.0,211215160000,2.121212,33153346000.0,48836400000.0,105302444000,2713755000.0,-7188659000.0,9152341000.0,1762948000.0,3657146000.0,-23524819000.0,51100000000.0,-108672613000.0,1813144000.0,8397116000,53959218000.0,4945313000.0,115724092000.0,10852213000,-48443320000.0,30205731000.0,49665081000.0,629768000.0,39586740000.0,31905456000.0,,181230427000.0,,15514262000.0,3659266000.0,,,,,,,,,,,,,,,,,,,,
2017-12-31,4025988120.0,467407116000.0,17314603000.0,0.0,-5641349000.0,32869423000,6428956000.0,61743368000.0,75589415000.0,91193634000.0,2.022727,,17089364000.0,-27254361000.0,-7973017000.0,159412722000.0,,2099000.0,-36200308000.0,4025988120.0,7338990000.0,1224353440000,1106659736000,-6512102000.0,,181230427000.0,17089364000.0,192916465000,2.022727,37605726000.0,29910439000.0,117403831000,3151424000.0,,-18229963000.0,1251847000.0,4568568000.0,-43304122000.0,,-114474341000.0,3016225000.0,8432475000,35551788000.0,4945313000.0,86979497000.0,11233994000,-81160547000.0,23743559000.0,51334859000.0,796869000.0,-25982297000.0,23743559000.0,,156054442000.0,,16405492000.0,3882651000.0,,,,,,,,,,,,,,,,,,,,
2018-12-31,,616835532000.0,,,,19612827000,,,,,,,,,-9264064000.0,178050536000.0,,,,,2035198000.0,1305543714000,1180867594000,,,,,201672462000,,,,124275455000,,,,1200589000.0,,,,,,8826836000,,5576068000.0,,10552480000,,,55510275000.0,,,,,,,18090900000.0,4130544000.0,,,,,,,,,,,,,,,,,,,,
