date,annualEbitda,annualRepaymentOfDebt,annualGrossProfit,annualNetPPE,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualBasicAverageShares,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,annualGrossPPE,annualOtherNonCurrentLiabilities,annualBasicEPS,annualAccumulatedDepreciation,annualDilutedAverageShares,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCapitalExpenditure,annualInvestingCashFlow,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangesInAccountReceivables,annualInventory,annualDilutedEPS,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualTotalRevenue,annualDeferredIncomeTax,annualCapitalStock,annualNetOtherFinancingCharges,annualInterestExpense,annualStockBasedCompensation,annualGoodwill,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,annualNetOtherInvestingChanges,annualTotalAssets,annualNetIncome,annualCurrentDebt,annualEndCashPosition,annualLongTermDebt,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualAccountsPayable,annualCostOfRevenue,annualCashDividendsPaid,annualFreeCashFlow,annualPretaxIncome,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualStockholdersEquity,annualTaxProvision,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualOtherIntangibleAssets,annualSaleOfInvestment,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment,annualIncomeTaxPayable
1999-12-31,297000000,,618000000,,,9000000,62500000,,363000000,,,,-0.08,,62500000,,6000000,321000000,,-108000000,,,-253000000,,923000000,-0.08,,,7950000000,,,-253000000,204000000,,,3414000000,,,297000000,-108000000,4611000000,-5000000,,,793000000,,,,7332000000,,37000000,-21000000,,,,321000000,,,363000000,1197000000,-27000000,,,,,,,37000000,-5000000,,,,,,,,
2000-12-31,194000000,,732000000,1859000000,2427000000,-274000000,64380000,385000000,484000000,363000000,3183000000,282000000,0.19,-1324000000,64380000,,22000000,687000000,-184000000,-91000000,-311000000,141000000,709000000,,1311000000,0.19,60000000,,9667000000,-17000000,1429000000,10000000,,,,4172000000,-732000000,-599000000,45000000,164000000,5854000000,12000000,1522000000,423000000,1003000000,738000000,,839000000,8935000000,-18000000,-705000000,71000000,,,199000000,387000000,1000000,149000000,423000000,1139000000,12000000,309000000,,3427000000,873000000,,1426000000,-521000000,12000000,2746000000,200000000,,61000000,163000000,,,
2001-12-31,722000000,,977000000,1669000000,2159000000,-166000000,71657754,588000000,205000000,423000000,2981000000,272000000,1.87,-1312000000,72043011,,124000000,422000000,-230000000,-179000000,-303000000,126000000,-224000000,,1368000000,1.86,-224000000,,11484000000,-11000000,1000000,50000000,225000000,,,3574000000,-220000000,-766000000,555000000,55000000,5443000000,134000000,983000000,199000000,830000000,746000000,,775000000,10507000000,-34000000,-21000000,264000000,,,224000000,436000000,5000000,167000000,199000000,1376000000,68000000,435000000,,3284000000,881000000,,1228000000,209000000,134000000,2346000000,166000000,,6000000,278000000,,,
2002-12-31,910000000,,1331000000,2056000000,2900000000,-173000000,95864662,568000000,482000000,199000000,3293000000,431000000,2.66,-1237000000,96590909,,278000000,592000000,-242000000,-1073000000,-728000000,253000000,1295000000,,2407000000,2.64,271000000,,14074000000,-4000000,1000000,21000000,177000000,,,6382000000,-619000000,-1181000000,739000000,0,8349000000,255000000,1499000000,470000000,1904000000,1305000000,,1271000000,12743000000,-65000000,-112000000,382000000,,,349000000,592000000,,171000000,470000000,1472000000,104000000,653000000,456000000,5449000000,1168000000,,2588000000,130000000,255000000,3794000000,239000000,16000000,12000000,293000000,,,
2003-12-31,907000000,,1305000000,1882000000,3466000000,222000000,99757282,1200000000,489000000,470000000,3430000000,433000000,4.12,-1548000000,100982801,,418000000,582000000,-304000000,60000000,-249000000,206000000,-61000000,,2867000000,4.07,19000000,,22165000000,-17000000,1000000,55000000,215000000,,,6953000000,-333000000,-656000000,723000000,82000000,9884000000,411000000,1017000000,489000000,2377000000,1567000000,,1678000000,20860000000,-105000000,-345000000,619000000,,,903000000,691000000,-190000000,184000000,489000000,2377000000,201000000,1022000000,,6418000000,1495000000,,3016000000,-41000000,411000000,3937000000,448000000,,,7000000,,,
2004-12-31,1116000000,,1886000000,2536000000,4239000000,111000000,106108597,556000000,446000000,489000000,4346000000,518000000,4.42,-1810000000,114390244,,469000000,982000000,-437000000,-841000000,328000000,232000000,-74000000,,2636000000,4.1,-57000000,,25168000000,-56000000,1000000,0,214000000,,,7252000000,38000000,-427000000,904000000,-63000000,10907000000,469000000,681000000,432000000,2600000000,1526000000,,1898000000,23282000000,-86000000,365000000,904000000,-170000000,,1107000000,871000000,5000000,212000000,432000000,3375000000,289000000,1440000000,729000000,6668000000,1928000000,,3350000000,802000000,469000000,3902000000,323000000,,14000000,348000000,,,
2005-12-31,893000000,,1571000000,2900000000,4882000000,31000000,112050740,1187000000,354000000,432000000,5391000000,576000000,4.73,-2491000000,119638826,,530000000,956000000,-522000000,-480000000,-11000000,145000000,21000000,,2769000000,4.43,-78000000,,24275000000,-238000000,1000000,0,231000000,,,6895000000,-195000000,-312000000,615000000,47000000,11446000000,530000000,589000000,354000000,2557000000,1637000000,,1803000000,22704000000,-120000000,-140000000,519000000,,,1212000000,956000000,,278000000,354000000,4226000000,-82000000,1907000000,,6564000000,1702000000,,3278000000,382000000,530000000,3617000000,308000000,,,13000000,,,
2006-12-31,917000000,,1571000000,3446000000,5954000000,113000000,120601852,1523000000,365000000,354000000,5688000000,700000000,4.32,-2242000000,121728972,,521000000,978000000,-503000000,-611000000,-729000000,180000000,891000000,,3684000000,4.28,11000000,-91000000,26274000000,-191000000,691000000,-27000000,280000000,,236000000,8269000000,-854000000,-63000000,593000000,-3000000,14347000000,521000000,610000000,365000000,2874000000,2316000000,,2328000000,24703000000,-74000000,-792000000,522000000,,,1459000000,978000000,85000000,324000000,365000000,5668000000,-36000000,2350000000,,8393000000,1879000000,,3754000000,-289000000,521000000,4515000000,99000000,11000000,,693000000,,,
2007-12-31,1541000000,,2515000000,4216000000,7473000000,265000000,120785597,2424000000,981000000,365000000,7158000000,876000000,6.11,-2942000000,124033613,,778000000,1359000000,-658000000,-794000000,-1743000000,149000000,1762000000,,5924000000,5.95,616000000,-39000000,37842000000,-62000000,1554000000,77000000,353000000,,354000000,13294000000,-1482000000,669000000,1156000000,-22000000,21991000000,778000000,1112000000,981000000,3435000000,4056000000,,4061000000,35327000000,-114000000,-1069000000,778000000,,,1861000000,1359000000,164000000,385000000,981000000,7945000000,310000000,2962000000,1071000000,14518000000,2541000000,,4460000000,-411000000,738000000,8834000000,139000000,23000000,,877000000,,,
2008-12-31,2225000000,-4712000000,4036000000,3969000000,7054000000,10000000,137591266,3383000000,1004000000,981000000,6630000000,864000000,7.73,-2661000000,137591266,-202000000,1326000000,1613000000,-896000000,-1106000000,-905000000,132000000,-1146000000,-408000000,5653000000,7.73,23000000,-94000000,52574000000,-251000000,1554000000,-127000000,249000000,66000000,325000000,12296000000,453000000,-811000000,2423000000,-47000000,20424000000,1064000000,551000000,1004000000,3032000000,4025000000,,4230000000,48538000000,-168000000,1647000000,1537000000,,761000000,1028000000,1613000000,274000000,,1004000000,7436000000,245000000,3844000000,,13370000000,2420000000,1161000000,4028000000,2543000000,986000000,8268000000,107000000,,,7000000,,,
