date,annualOtherIncomeExpense,annualNetPPE,annualTotalNonCurrentAssets,annualGrossProfit,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualEbitda,annualGrossPPE,annualDilutedAverageShares,annualDilutedEPS,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,annualDeferredIncomeTax,annualCapitalExpenditure,annualInvestingCashFlow,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualBasicAverageShares,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualRepaymentOfDebt,annualInterestExpense,annualTotalRevenue,annualCapitalStock,annualPurchaseOfInvestment,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualCommonStockIssuance,annualFreeCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualEndCashPosition,annualOtherCurrentAssets,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualPretaxIncome,annualCashDividendsPaid,annualInvestmentsAndAdvances,annualCurrentDebt,annualNetIncomeContinuousOperations,annualNetIncome,annualCostOfRevenue,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualSaleOfInvestment,annualStockholdersEquity,annualOtherNonCashItems,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualLongTermDebt,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualNetIncomeCommonStockholders,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualBasicEPS,annualTaxProvision,annualAccountsReceivable,annualIncomeTaxPayable,annualInventory,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,annualChangeInInventory
1998-12-31,-4300000,12300000,,,53700000,2500000,203900000.0,461900000,12300000,53684125,0.67,,69100000,,,-8400000,-5000000,-107500000,,,-68800000,53508950,,2100000,44400000,,,-4400000,-28200000.0,13300000,341500000,,,449000000,,72300000.0,34200000.0,45300000,,,2500000.0,334600000,7000000,113500000,,,0,68000000,-12300000.0,,18800000.0,35600000,35600000,,,148400000,3400000.0,106200000,-1800000,,-200000,178200000.0,,1200000.0,35600000,53300000,440800000,12900000,0.67,32400000,,,,,,,
1999-12-31,0,22677000,,,116326000,159384000,,129096000,22677000,57268912,1.04,,113450000,,,-18925000,-18896000,270038000,,,37393000,57057014,,-2646000,43679000,,194257000.0,-53751000,-168800000.0,10938000,380981000,639000.0,,110943000,-231000.0,21242000.0,118245000.0,97401000,705000.0,,2255000.0,167056000,38656000,157129000,,0.0,157129000,103450000,0.0,2255000.0,28200000.0,59417000,59417000,,,48570000,29000.0,280526000,100000,,-550000,28200000.0,,90350000.0,59417000,112703000,447582000,18153000,1.04,44033000,2111000.0,,,,,,
2000-12-31,0,45598000,,,108607000,205906000,192142000.0,163033000,45598000,64590707,1.35,,157129000,,,-32761000,-45660000,333834000,,,-22093000,63886353,,-91000,35461000,,,-27078000,-28200000.0,855000,476872000,640000.0,-12899000.0,143038000,-2477000.0,-17885000.0,1229000.0,75846000,,,13316000.0,168762000,-227000,192590000,,0.0,192590000,149917000,0.0,13316000.0,0.0,87361000,87361000,,,58311000,,368241000,1478000,,-16000,,,130101000.0,87361000,200064000,537003000,19995000,1.37,62556000,83284000.0,,,,,,
2001-12-31,11576000,70510000,,,167373000,325577000,181688000.0,196197000,70510000,64926199,1.65,,192590000,,-8460000.0,-40479000,-167055000,362968000,,,-13346000,64271538,,-696000,-6139000,,,-6163000,0.0,761000,533144000,646000.0,-126576000.0,170176000,-3537000.0,45612000.0,1940000.0,126894000,,,139126000.0,198361000,32266000,186451000,,0.0,186451000,180991000,,139126000.0,,107434000,107434000,,,76567000,,486117000,10112000,,-7407000,,,146019000.0,107434000,307498000,684478000,26021000,1.67,73557000,96659000.0,,,,,,
2002-12-31,9492000,93923000,,,172045000,463977000,182827000.0,235377000,93923000,65307548,2.04,,186451000,-1733000.0,7053000.0,-42827000,-96805000,361838000,,,16884000,64756290,,-766000,68783000,,,-8172000,0.0,683000,576977000,652000.0,-52245000.0,215139000,231000.0,-2665000.0,5038000.0,129218000,,,208743000.0,229534000,14219000,255234000,,0.0,255234000,223948000,,208743000.0,,133249000,133249000,,,90076000,,634654000,-2714000,,-12444000,,,173047000.0,133249000,440747000,864188000,20238000,2.06,90699000,114070000.0,,,,,,
2003-12-31,23346000,87006000,,,179595000,550864000,192079000.0,249642000,87006000,65860368,2.36,,255234000,-8930000.0,-2311000.0,-13453000,-19649000,369936000,,,-8045000,64653352,,-842000,60707000,,,-102336000,-842000.0,720000,598212000,653000.0,-177775000.0,228276000,6027000.0,25124000.0,7538000.0,166142000,,,234923000.0,252676000,17079000,315941000,,0.0,315941000,250902000,-25614000.0,234923000.0,,155402000,155402000,,,107333000,180509000.0,713308000,-11941000,,-83418000,,,172447000.0,155402000,570535000,967223000,21366000,2.4,95247000,127316000.0,,,,,,
2004-12-31,29378000,93701000,,,231358000,685170000,184110000.0,192581000,93701000,65960473,2.17,,315941000,-74000.0,-25149000.0,-25592000,7027000,553416000,,,-27852000,63688955,,6258000,141732000,,,-99640000,,835000,725311000,647000.0,-97636000.0,171895000,8254000.0,22637000.0,15369000.0,205766000,,,227497000.0,359714000,-5215000,457673000,,-61925000.0,457673000,200438000,-63660000.0,227497000.0,,143141000,143141000,,,128738000,192254000.0,768352000,97895000,,-57607000,,,207352000.0,143141000,650016000,1145235000,20686000,2.25,52264000,165342000.0,,,,,,
2005-12-31,43138000,129451000,,,254937000,782891000,483982000.0,371443000,129451000,66875149,3.5,,457673000,-275218000.0,18895000.0,-55154000,-219786000,850845000,,,-204577000,64182766,,797000,26550000,,,-4268000,-523680000.0,7924000,1191386000,653000.0,-51579000.0,340541000,2673000.0,97443000.0,15847000.0,199783000,,,298668000.0,916143000,-107134000,484223000,,-7700000.0,484223000,375755000,-76606000.0,298668000.0,,233908000,233908000,,,204850000,169865000.0,922243000,78366000,,-77466000,253791000.0,,522637000.0,233908000,806884000,1848000000,30902000,3.64,138558000,339578000.0,,,,,,
2006-12-31,66349000,214784000,,,720884000,3257878000,5882430000.0,544609000,214784000,83358394,3.87,,484223000,-272353000.0,-42509000.0,-83993000,3565000,1626176000,1738670000.0,,-185809000,80638167,,72405000,676081000,,5257017000.0,-84901000,0.0,9916000,2097976000,1300000.0,-212629000.0,471800000,44666000.0,385533000.0,9332000.0,636891000,,,2097574000.0,8578520000,199724000,1160304000,,546878000.0,1160304000,528233000,-135665000.0,2097574000.0,,322602000,322602000,,,443260000,25662000.0,10781880000,168258000,,-30973000,497003000.0,,1051273000.0,322602000,993821000,20469492000,72809000,4.0,189463000,964366000.0,,,,,,
2007-12-31,504001000,266460000,19319673000.0,4297035000.0,587449000,1656200000,6553122000.0,2070955000,492105000,132088810,7.53,5089444000.0,1160304000,-591765000.0,-104654000.0,-111317000,-1068832000,3003371000,2059980000.0,-225645000.0,-273199000,128488561,0.0,624938000,495896000,188256000.0,5519714000.0,958861000,,49412000,4844655000,1312000.0,-638328000.0,1293664000,71020000.0,93141000.0,76842000.0,476132000,788968000.0,8096445000.0,1999944000.0,10386350000,-380344000,1656200000,0.0,7017000.0,1656200000,1822719000,-353463000.0,1999944000.0,300000000.0,1358887000,995272000,547620000.0,4980433000.0,2765544000,265561000.0,11596955000,-505361000,3241842000.0,-383310000,947021000.0,2289905000.0,1086590000.0,995272000,1622041000,22561515000,198824000,7.75,463832000,1235940000.0,,,,,,
2008-12-31,-610917000,260000000,16682000000.0,4467000000.0,1916000000,2032000000,6441000000.0,1360503000,519000000,132996426,5.91,2922000000.0,1656000000,-75000000.0,-232000000.0,-77000000,-394000000,3432958000,1825000000.0,-259000000.0,339000000,129543443,0.0,-351000000,376000000,278000000.0,5533000000.0,-887000000,-401000000.0,65702000,5063908000,1000000.0,-420000000.0,1630950000,-186000000.0,,6000000.0,1839000000,545000000.0,5693000000.0,,7367000000,111000000,2032000000,0.0,15000000.0,2032000000,1019052000,-419000000.0,1429000000.0,200000000.0,631712000,786419000,597000000.0,2884000000.0,1342218000,122000000.0,12066000000,-269000000,3242000000.0,-46000000,946000000.0,1674000000.0,826000000.0,786419000,1991000000,19924000000,232000000,6.07,387340000,901000000.0,,,,,,
2009-12-31,20000000,445000000,171367000000.0,2421000000.0,1399000000,4708000000,17648000000.0,1487000000,778000000,139481449,6.11,139432000000.0,2032000000,-5755000000.0,-89000000.0,-67000000,-5519000000,1121000000,5526000000.0,-333000000.0,-223000000,136669164,0.0,-222000000,2676000000,317000000.0,12570000000.0,6749000000,-7000000.0,68000000,4700000000,2000000.0,-73000000.0,1300000000,-96000000.0,,2804000000.0,1332000000,845000000.0,148392000000.0,,153392000000,-280000000,4708000000,0.0,89000000.0,4708000000,1272000000,-397000000.0,1049000000.0,2234000000.0,897000000,875000000,2279000000.0,139552000000.0,779000000,287000000.0,24329000000,3000000,6627000000.0,-46000000,3434000000.0,5000000000.0,1482000000.0,875000000,2436000000,177994000000,239000000,6.24,375000000,1730000000.0,,,,,,
2010-12-31,144000000,428000000,172754000000.0,5107000000.0,2488000000,3460000000,17512000000.0,3331000000,854000000,192692047,10.55,139366000000.0,4708000000,-23000000.0,3000000.0,-132000000,-627000000,2109000000,5477000000.0,-426000000.0,-364000000,190554510,0.0,164000000,-1341000000,445000000.0,12805000000.0,-3170000000,-2310000000.0,150000000,8612000000,2000000.0,-708000000.0,2998000000,-96000000.0,,6000000.0,2356000000,1068000000.0,149380000000.0,,152125000000,-294000000,3367000000,0.0,0.0,3460000000,3021000000,-776000000.0,2852000000.0,100000000.0,2050000000,2063000000,3505000000.0,139091000000.0,1847000000,234000000.0,26094000000,-72000000,5705000000.0,-264000000,4537000000.0,2745000000.0,1520000000.0,2063000000,3798000000,178459000000,310000000,10.67,971000000,2095000000.0,,,,,,
2011-12-31,-4000000,537000000,174234000000.0,5496000000.0,2826000000,3560000000,17356000000.0,3467000000,1020000000,187116410,12.37,140519000000.0,3367000000,0.0,-137000000.0,-247000000,-204000000,2215000000,5323000000.0,-483000000.0,124000000,184265367,0.0,89000000,139000000,497000000.0,12792000000.0,-2485000000,-792000000.0,176000000,9081000000,1000000.0,-204000000.0,3281000000,-127000000.0,,5000000.0,2579000000,923000000.0,152106000000.0,,154534000000,-383000000,3506000000,0.0,0.0,3560000000,3135000000,-1014000000.0,3270000000.0,100000000.0,2339000000,2337000000,3585000000.0,140241000000.0,1978000000,247000000.0,25048000000,154000000,5662000000.0,-2885000000,6264000000.0,2428000000.0,1383000000.0,2337000000,5118000000,179896000000,299000000,12.56,796000000,1960000000.0,,,,,,
2012-12-31,125000000,557000000,193221000000.0,5040000000.0,2240000000,4903000000,17402000000.0,3842000000,1129000000,178017679,13.79,158736000000.0,3506000000,-482000000.0,-61000000.0,-150000000,-266000000,1516000000,5293000000.0,-572000000.0,-292000000,174961018,0.0,381000000,1100000000,451000000.0,12910000000.0,-944000000,-500000000.0,215000000,9337000000,2000000.0,-402000000.0,3524000000,-59000000.0,114000000.0,7000000.0,2090000000,1055000000.0,173697000000.0,,174866000000,-559000000,4606000000,0.0,-142000000.0,4903000000,3470000000,-1060000000.0,4014000000.0,100000000.0,2440000000,2458000000,4297000000.0,158314000000.0,1359000000,695000000.0,25403000000,-138000000,7230000000.0,-1645000000,8089000000.0,1169000000.0,1547000000.0,2458000000,6473000000,200451000000,295000000,14.03,1030000000,2250000000.0,,,,,,
2013-12-31,305000000,525000000,213075000000.0,5558000000.0,3642000000,4551000000,17501000000.0,4345000000,1136000000,173828902,16.87,177979000000.0,4606000000,-346000000.0,-193000000.0,-94000000,-483000000,1701000000,5085000000.0,-611000000.0,14000000,170185870,0.0,244000000,-216000000,448000000.0,12980000000.0,-3392000000,-1260000000.0,211000000,10180000000,2000000.0,-412000000.0,3857000000,-35000000.0,7000000.0,7000000.0,3548000000,1084000000.0,192173000000.0,,193257000000,-6000000,4390000000,0.0,35000000.0,4551000000,3973000000,-1168000000.0,4476000000.0,0.0,2951000000,2932000000,4622000000.0,177593000000.0,1540000000,286000000.0,26460000000,352000000,6798000000.0,-1243000000,7308000000.0,1084000000.0,1747000000.0,2932000000,8230000000,219873000000,291000000,17.23,1022000000,2247000000.0,,,,,,
2014-12-31,124000000,467000000,231687000000.0,6084000000.0,3081000000,6001000000,17344000000.0,4784000000,1054000000,171112261,19.25,196072000000.0,4390000000,-123000000.0,-104000000.0,-66000000,239000000,1610000000,4989000000.0,-587000000.0,78000000,168225154,0.0,314000000,1333000000,453000000.0,12961000000.0,-1855000000,-488000000.0,232000000,11081000000,2000000.0,-369000000.0,4474000000,-273000000.0,-69000000.0,,3015000000,1035000000.0,211288000000.0,,212323000000,-320000000,5723000000,0.0,20000000.0,6001000000,4395000000,-1338000000.0,5273000000.0,,3264000000,3294000000,4997000000.0,195642000000.0,1453000000,654000000.0,27366000000,-329000000,8121000000.0,-1344000000,8327000000.0,1035000000.0,1865000000.0,3294000000,10145000000,239808000000,278000000,19.58,1131000000,2120000000.0,,,,,,
2015-12-31,116000000,581000000,216793000000.0,6172000000.0,3004000000,6231000000,17372000000.0,4934000000,1151000000,169038571,19.79,183397000000.0,5723000000,-436000000.0,-156000000.0,-221000000,-465000000,1508000000,4851000000.0,-570000000.0,-154000000,166390009,0.0,580000000,360000000,514000000.0,13123000000.0,-2064000000,-750000000.0,204000000,11401000000,2000000.0,-330000000.0,4664000000,-448000000.0,14000000.0,,2783000000,1068000000.0,195613000000.0,,196681000000,-542000000,6083000000,0.0,-97000000.0,6231000000,4602000000,-1476000000.0,2608000000.0,,3352000000,3345000000,5229000000.0,183109000000.0,1380000000,456000000.0,28503000000,-374000000,8468000000.0,-1331000000,4930000000.0,1068000000.0,1971000000.0,3345000000,12033000000,225261000000,247000000,20.1,1250000000,2237000000.0,,,,,,
2016-12-31,-21000000,559000000,211652000000.0,6046000000.0,2154000000,6175000000,17363000000.0,4764000000,1160000000,166579752,19.04,178104000000.0,6083000000,-104000000.0,-14000000.0,-119000000,-188000000,1400000000,4840000000.0,-601000000.0,-86000000,164425858,0.0,1233000000,8000000,521000000.0,13118000000.0,-1685000000,0.0,205000000,11155000000,2000000.0,-377000000.0,4646000000,-716000000.0,51000000.0,,2035000000,1094000000.0,189933000000.0,,191027000000,-753000000,6091000000,0.0,-40000000.0,6175000000,4460000000,-1545000000.0,2603000000.0,,3170000000,3172000000,5109000000.0,178009000000.0,1301000000,378000000.0,29098000000,-917000000,8525000000.0,-1399000000,4915000000.0,1094000000.0,1880000000.0,3172000000,13660000000,220177000000,229000000,19.29,1290000000,2350000000.0,,,,,,
2017-12-31,5000000,592000000,210480000000.0,6789000000.0,3828000000,7038000000,17389000000.0,5343000000,1250000000,164400000,30.12,176060000000.0,6091000000,-141000000.0,-1221000000.0,-155000000,-587000000,1535000000,3538000000.0,-658000000.0,-521000000,162148003,0.0,456000000,803000000,542000000.0,13220000000.0,-2630000000,-700000000.0,205000000,13600000000,2000000.0,-489000000.0,5254000000,-432000000.0,308000000.0,,3673000000,1161000000.0,187181000000.0,,188342000000,-152000000,6894000000,0.0,-7000000.0,7038000000,5259000000,-1662000000.0,3474000000.0,,4989000000,4952000000,6811000000.0,175805000000.0,1446000000,166000000.0,31825000000,-501000000,9737000000.0,-1421000000,5014000000.0,1161000000.0,2153000000.0,4952000000,16966000000,220217000000,240000000,30.54,270000000,2699000000.0,,,,,,
2018-12-31,-140000000,643000000,150428000000.0,7205000000.0,3075000000,6488000000,17839000000.0,5612000000,1393000000,161948732,26.58,114119000000.0,7096000000,-750000000.0,-226000000.0,-204000000,-808000000,1607000000,3571000000.0,-750000000.0,4000000,160301116,,1250000000,-591000000,564000000.0,13526000000.0,-2765000000,0.0,184000000,14198000000,2000000.0,-327000000.0,5598000000,-691000000.0,43000000.0,,2871000000,1292000000.0,125848000000.0,,127140000000,-158000000,6505000000,,-27000000.0,6488000000,5378000000,-1968000000.0,4476000000.0,4979000000.0,4302000000,4305000000,6993000000.0,113944000000.0,1557000000,449000000.0,32374000000,-1563000000,9145000000.0,-2087000000,5063000000.0,1292000000.0,,4305000000,19282000000,159573000000,220000000,26.86,1076000000,2657000000.0,,,,,,
