date,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualTaxProvision,annualDilutedAverageShares,annualInvestmentsAndAdvances,annualCurrentDebt,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalRevenue,annualCostOfRevenue,annualDeferredIncomeTax,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualDilutedEPS,annualCommonStockIssuance,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualChangesInAccountReceivables,annualBasicAverageShares,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeCommonStockholders,annualRetainedEarnings,annualTotalAssets,annualNetIncome,annualCashDividendsPaid,annualBeginningCashPosition,annualAccountsReceivable,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualStockBasedCompensation,annualCurrentLiabilities,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualDepreciationAndAmortization,annualCapitalStock,annualPurchaseOfBusiness,annualNetPPE,annualGrossProfit,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualOtherIntangibleAssets,annualEbitda,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualGoodwill,annualBasicEPS,annualPretaxIncome,annualRepaymentOfDebt,annualInterestExpense,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualCapitalExpenditure,annualOtherIncomeExpense,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualEndCashPosition,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualIncomeTaxPayable
1983-03-31,,2100000,,1200000,25714286,,2200000,1800000,8100000,204700000,193200000,,,1200000,,6200000,-2800000,0.07,,,23000000,,25714286,,,23800000,1800000,5900000,30500000,1800000,,0,,6700000,7400000,0,7500000,300000.0,,5500000,,16800000,11900000,,,,,,5500000,11500000,0,2100000,200000.0,,,4100000,,14600000.0,,8300000,,0.07,3000000,,800000.0,500000.0,,,300000,0,3400000,,0,,,,
1984-03-31,,7600000,,1700000,28888889,,900000,2600000,10300000,243300000,229000000,,,1800000,,3800000,-2800000,0.09,,,20500000,,28888889,,,30600000,2600000,8500000,39100000,2600000,,0,,8500000,9500000,0,18600000,600000.0,,2900000,,16700000,12400000,,,,,,6700000,14300000,0,7600000,300000.0,,,4800000,,15800000.0,,9500000,,0.09,4300000,,500000.0,600000.0,,,500000,0,4000000,,0,,,,
1985-03-31,,5900000,,2500000,41111111,,11300000,3700000,15500000,320000000,298500000,,,2800000,,4500000,-3700000,0.09,,,43400000,,41111111,,,64300000,3700000,5600000,79200000,3700000,,0,,14900000,14300000,0,35800000,700000.0,,3800000,,38900000,34600000,,,,,,10300000,21500000,0,5900000,300000.0,,1800000.0,7200000,,27600000.0,,14000000,,0.09,6200000,,700000.0,400000.0,,,900000,0,6000000,,0,,,,
1986-03-31,,46500000,,4000000,50000000,,12200000,6000000,24200000,429000000,396400000,,,4700000,,49800000,-4800000,0.12,,,96100000,,42857143,,,116300000,6000000,2400000,137600000,6000000,,0,,21300000,22200000,0,41500000,1200000.0,,46200000,,46300000,36500000,,,,,,14300000,32600000,0,46500000,800000.0,,2300000.0,10400000,,34100000.0,,19100000,,0.14,10000000,,3300000.0,2800000.0,,,4900000,0,8400000,,0,,,,
1987-03-31,,10500000,,5600000,49090909,,28100000,5400000,37800000,652300000,602100000,,,6600000,,58100000,-6900000,0.11,,,130300000,,41538462,,,140400000,5400000,7500000,177000000,5400000,,0,,36600000,34200000,0,46700000,2200000.0,,55500000,,72200000,69900000,,,,,,22800000,50200000,0,10500000,1200000.0,,7200000.0,16000000,,44100000.0,,29700000,,0.13,11000000,,5700000.0,1400000.0,,,3200000,0,12400000,,0,,,,
1988-03-31,,4000000,,3400000,50769231,,33400000,4800000,24200000,524600000,487400000,,,3400000,,50700000,-5300000,0.13,,,136500000,,44000000,,,161900000,6600000,5300000,190500000,6600000,,0,,28600000,22200000,0,54000000,16000000.0,,50300000,,85800000,75000000,,,,,,12200000,37200000,0,4000000,300000.0,,13000000.0,15000000,,52400000.0,,17500000,,0.15,8200000,,6000000.0,100000.0,,,1000000,0,13000000,,0,,,,
1989-03-31,,9300000,,5100000,55000000,,53500000,8500000,32100000,700400000,650100000,,,3400000,,49700000,-7100000,0.16,,,164800000,,46315789,,,199000000,8800000,9200000,232700000,8800000,,0,,33700000,29300000,0,67900000,1900000.0,,49800000,,115100000,112700000,,,,,,17700000,50300000,0,9300000,,,12600000.0,21000000,,61600000.0,,24800000,,0.19,13600000,,6600000.0,-100000.0,,,1900000,0,18200000,,0,,,,
1990-03-31,,7500000,-700000.0,8200000,67368421,,42800000,12800000,38500000,873900000,810600000,4100000.0,,6500000,,5500000,-9200000,0.19,1200000.0,,126300000,,67368421,-5200000.0,-1000000.0,213300000,12800000,21300000,251200000,12800000,,6200000,,37900000,35400000,13900000,124900000,4500000.0,-100000.0,4700000,,120800000,118500000,-12000000.0,-5800000.0,3100000.0,,,19100000,63300000,17700000,7500000,800000.0,2200000.0,12300000.0,27900000,0.0,14200000.0,1300000.0,28300000,,0.19,21000000,,5900000.0,0.0,-2900000.0,-3800000.0,2000000,-4400000,24800000,63800000.0,0,,,,
1991-03-31,,57900000,0.0,11100000,72500000,,48100000,17400000,52400000,1184300000,1097200000,,,8700000,,90000000,-12800000,0.24,51600000.0,,253000000,,69600000,-48500000.0,,385200000,17400000,37700000,446400000,17400000,-1000000.0,7500000,,61200000,47800000,-34300000,193400000,24400000.0,,89600000,,163000000,186900000,127700000.0,-42600000.0,4600000.0,,,31000000,87100000,-23400000,57900000,500000.0,52700000.0,21500000.0,39300000,-27300000.0,23200000.0,50500000.0,43800000,,0.25,28500000,,10600000.0,-100000.0,-69100000.0,-10900000.0,4500000,-53900000,34700000,91700000.0,0,,,,
1992-03-31,,3700000,-45200000.0,15800000,84000000,,3700000,25200000,68100000,1647600000,1532100000,2800000.0,,10700000,,188800000,-17100000,0.3,500000.0,,357300000,,81290323,-132400000.0,-200000.0,503200000,25200000,61500000,576600000,25200000,-1400000.0,57900000,,73400000,62500000,-102700000,219300000,5500000.0,100000.0,188100000,,168500000,346500000,45200000.0,-132400000.0,5600000.0,,,39000000,115500000,-93800000,3700000,700000.0,120000000.0,23700000.0,53000000,-16300000.0,31800000.0,-54300000.0,56100000,,0.31,41000000,,11800000.0,0.0,-100700000.0,-8900000.0,5400000,-5600000,47400000,133000000.0,0,,,,
