date,annualChangesInAccountReceivables,annualInterestExpense,annualBeginningCashPosition,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualRepaymentOfDebt,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualTaxProvision,annualCurrentDebt,annualTotalRevenue,annualCapitalStock,annualNetOtherFinancingCharges,annualFreeCashFlow,annualBasicAverageShares,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualCashDividendsPaid,annualPurchaseOfInvestment,annualPretaxIncome,annualAccountsReceivable,annualLongTermDebt,annualNetIncome,annualBasicEPS,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualRetainedEarnings,annualInvestingCashFlow,annualEndCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualAccountsPayable,annualOtherShortTermInvestments,annualOperatingCashFlow,annualCommonStockIssuance,annualChangeInAccountPayable,annualOtherIntangibleAssets,annualDilutedEPS,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualTotalNonCurrentAssets,annualOtherNonCurrentAssets,annualNetPPE,annualCostOfRevenue,annualOtherCurrentLiabilities,annualOtherCurrentAssets,annualCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,annualCurrentAssets,annualCurrentLiabilities,annualEbitda,annualOperatingExpense,annualGrossProfit,annualOtherNonCurrentLiabilities,annualStockBasedCompensation,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualCapitalExpenditure,annualGrossPPE
1992-09-30,,,11100000,11100000,10500000,,-97600000,105000000,-4700000,,,519800000,,,256100000,105000000,,,10500000,,917000000,,-3265900000,,,,10500000,0.1,,2990900000,,1102000000,245600000,2019000000,,,566500000,-260800000,,,245800000,,,256100000,,,,0.1,,,,,,14200000,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,-5100000,,6300000,13000000,223500000,,-151000000,122131148,3500000,,,537900000,,-100000,123300000,122131148,-5100000,,223500000,,925400000,-16400000,-3534900000,,6500000,,223500000,1.83,,3341400000,,1368200000,-95100000,2293600000,35200000,,701100000,-155000000,,,218300000,,,123300000,45300000,,,1.83,,,,,,38500000,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30,800000,,9800000,16800000,-45700000,,,142812500,4600000,,,537500000,,-65300000,336800000,142812500,763800000,,-45700000,,1543700000,-19900000,-6610800000,,9000000,,-45700000,-0.32,,6366700000,,1088700000,-386700000,2632400000,-85200000,5400000,598700000,-247000000,,,146400000,,,336800000,,381500000,,-0.32,,-65300000,,,,-2900000,,,,,,,,,,,,,,,,,,,,,,,
1995-09-30,-7700000,,14400000,25900000,237600000,,,118800000,2500000,,,660800000,,-33300000,437000000,117623762,-18800000,,237600000,,1797300000,-22100000,-7888000000,,21000000,,237600000,2.02,,7494900000,,1442700000,230800000,3240000000,-55400000,12600000,795500000,-379100000,,,232100000,,,437000000,200000,1000000,,2,,-33500000,,,,14000000,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,3500000,,16929000,41487000,289733000,,0,149440884,36445000,,,848998000,7271000,0,621360000,149440884,47650000,,289733000,-11572000,2330080000,-27684000,-9003772000,,85000000,,289733000,1.94,201742000,8489410000,,2244278000,291824000,4574358000,-85659000,7847000,1020700000,-499256000,53374000,289733000,,54913000,376680000,621360000,28000,11300000,,1.94,4089447000,-58003000,61412000,53374000,430054000,26678000,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,-50800000,,53374000,66391000,461354000,,,173607705,52962000,,,1010643000,6911000,0,282123000,172481013,-87216000,,461354000,-27098000,2382352000,-43028000,-7070607000,,135800000,,461354000,2.673333,196667000,7030797000,,2619194000,-85911000,5001546000,-219329000,6104000,1314403000,-9832000,106336000,461354000,,63014000,364432000,282123000,6347000,-23300000,,2.673333,4289738000,-182648000,197049000,106336000,470768000,57076000,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,-116900000,25459000,216191000,165912000,560151000,52240000,-385000000,189240203,101523000,20040000,,1406942000,8066000,0,66770000,184868317,-489764000,0,560151000,-967758000,5074483000,-54389000,-8148481000,580191000,377300000,250000000,560151000,3.03,540355000,8461215000,,3714270000,-46161000,8788753000,699064000,9696000,1819554000,-664311000,317714000,605650000,-25459000,241425000,480190000,66770000,611097000,-180100000,,2.96,5726714000,-107644000,-275000,317714000,797904000,-9287000,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,-33500000,105138000,240556000,495236000,364963000,-46853000,-198816000,197277297,358676000,28684000,1074585000,3016990000,9061000,0,-460852000,194129255,-441256000,,364963000,-2679216000,25672328000,-77836000,-18361280000,393647000,2018800000,1424228000,364963000,1.88,2822718000,19412623000,,4450560000,-374344000,30122888000,2379090000,45350000,2321570000,-1559562000,599232000,498785000,-105138000,3420681000,1192875000,-460852000,6823000,-751200000,,1.85,11975992000,0,-66152000,599232000,1792107000,68311000,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,141298000,221450000,599232000,742691000,542982000,33827000,-1024699000,235057143,8837000,93908000,364509000,5266657000,9681000,301166000,-427172000,229106329,-1220297000,,542982000,0,26269315000,-121713000,-12102076000,636890000,11479509000,1424228000,542982000,2.37,2846709000,12384046000,,5420211000,144873000,31689526000,202266000,78820000,2733633000,233743000,608069000,858340000,-221450000,2635540000,1369784000,-427172000,432889000,-789043000,,2.31,12623139000,0,69454000,608069000,1977853000,-48227000,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,-449585000,199182000,608069000,830003000,-146414000,-118058000,0,197856757,63312000,-78674000,495408000,6644687000,10828000,0,1353005000,197856757,163077000,,-123744000,0,31080057000,-154411000,-17147971000,-202418000,14162732000,1349473000,-146414000,-0.74,2772094000,14983349000,,6106707000,1376848000,37186764000,896905000,79571000,2321576000,-2186598000,671381000,-3236000,-199182000,2884128000,1796801000,1353005000,1174618000,160646000,,-0.74,15264532000,-179446000,101599000,671381000,2468182000,-21976000,,,,,,,,,,,,,,,,,,,,,,,
