date,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualOperatingIncome,annualInvestingCashFlow,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCommonStockIssuance,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualBasicAverageShares,annualBeginningCashPosition,annualCurrentAssets,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualTaxProvision,annualBasicEPS,annualCurrentDebt,annualDilutedAverageShares,annualInventory,annualCapitalStock,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualGrossProfit,annualFreeCashFlow,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualPurchaseOfBusiness,annualOperatingExpense,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue
1979-09-30,106700000,60900000,,,,240400000,,,,382600000,,130100000,0,373000000,0,,,0,401600000,0,-616600000,,,234000000,,24500000,,,,-917900000,166100000,-902300000,,,19300000,19300000,26700000,,124150000,0,476200000,716200000,,60900000,113800000,-314600000,,3400000,196300000.0,,,,45800000,0.041667,37700000,124150000,262900000,,754300000,0.0,1034200000,-476200000,,279900000,0,,,,149800000,,60900000,0.041667,60900000,-382600000,,,
1980-09-30,169000000,94000000,,,,230500000,,,,519600000,,195600000,0,504800000,1160800000,,,0,456500000,0,326600000,,,314600000,,22100000,,,,20700000,239200000,48000000,,,108200000,108200000,40300000,,125756000,0,634200000,785300000,,94000000,153600000,-328800000,,13700000,263400000.0,,,,75000000,0.063333,51200000,125756000,294700000,,1010900000,0.0,1403700000,526600000,,392800000,0,,,,197200000,,94000000,0.063333,75400000,641200000,,,
1981-09-30,200000000,110200000,,,,254200000,,,,606400000,,201700000,0,584100000,1258900000,,,0,595200000,0,387000000,,,265500000,,20200000,,,,26500000,249700000,49600000,,,29100000,29100000,37400000,,126218000,0,593900000,967200000,,110200000,174100000,-372000000,,35900000,219400000.0,,,,89800000,0.22,46100000,126218000,340200000,,1199000000,0.0,1622800000,665000000,,423800000,0,,,,222100000,,110200000,0.22,106300000,652500000,,,
1982-09-30,147400000,88000000,,,,253400000,,,,642600000,,189200000,0,642900000,1319100000,,,0,664400000,0,407000000,,,269500000,,18600000,,,,18100000,245800000,42300000,,,30200000,30200000,42400000,,127288000,0,593800000,1055400000,,88000000,187700000,-391000000,,600000,209900000.0,,,,59400000,0.175,59600000,127288000,347200000,,1154200000,0.0,1587700000,725300000,,433500000,0,,,,244300000,,88000000,0.175,135500000,676500000,,,
1983-09-30,109100000,64200000,,,,246000000,,,,675600000,,142500000,0,677400000,1310100000,,,0,656900000,0,410500000,,,224000000,,16800000,,,,19700000,217600000,45500000,,,47100000,47100000,35800000,,128778000,0,590900000,1105400000,,64200000,184000000,-448500000,,2300000,187500000.0,,,,44900000,0.125,36500000,128778000,329400000,,1156400000,0.0,1558000000,719200000,,401600000,0,,,,259100000,,64200000,0.125,144800000,634500000,,,
1984-09-30,158300000,97100000,,,,336800000,,,,720400000,,182500000,0,745000000,1752000000,,,0,1051300000,0,674500000,,,357100000,,21200000,,,,159700000,261500000,42200000,,,3900000,3900000,34400000,,127830000,0,637300000,1562900000,,97100000,150400000,-511600000,,10200000,325600000.0,,,,61200000,0.19,31500000,127830000,317000000,,1313500000,0.0,1752500000,1114700000,,439000000,0,,,,256500000,,97100000,0.19,178000000,1031600000,,,
1985-09-30,125200000,58600000,,,,382300000,,,,625700000,,156400000,0,629100000,1594700000,,,0,623200000,0,631300000,,,337700000,,21600000,,,,116100000,240100000,315600000,,,27800000,27800000,34000000,,127978000,0,634300000,1106700000,,58600000,163800000,-483500000,,2900000,290900000.0,,,,53900000,0.115,46800000,127978000,171600000,,1003600000,180400000.0,1407500000,960400000,,403900000,0,,,,247500000,,71300000,0.115,132900000,969000000,,,
1986-09-30,128900000,73100000,,,,426400000,,,,591100000,,162900000,0,674200000,1509700000,,,0,642100000,0,631600000,,,287000000,,19000000,,,,72000000,246900000,263100000,,,122700000,122700000,41600000,,111770000,0,585500000,1210900000,,73100000,179400000,-568800000,,7600000,246200000.0,,,,55800000,0.1625,40800000,111770000,154800000,,883600000,97400000.0,1309900000,924200000,,426300000,0,,,,263400000,,73100000,0.1625,133200000,918600000,,,
1987-09-30,71000000,39200000,,,,220800000,,,,590700000,,126900000,0,677400000,1463100000,,,0,794500000,0,455700000,,,416700000,,16100000,,,,55700000,225300000,91900000,,,82100000,82100000,35400000,,110098000,0,560600000,1501100000,,39200000,174700000,-706600000,,-20600000,378800000.0,,,,31800000,0.09,37900000,110098000,171100000,,1024000000,53400000.0,1424000000,902500000,,400000000,0,,,,273100000,,39200000,0.09,179200000,872400000,,,
1988-09-30,112500000,61200000,,,,319700000,,,,607300000,,96800000,0,713000000,1543200000,,,0,838900000,0,542200000,,,393700000,,13000000,,,,83600000,205400000,143100000,,,65500000,65500000,39800000,,107764000,0,548200000,1610100000,,61200000,211100000,-771200000,,55500000,364900000.0,,,,51300000,0.1425,28800000,107764000,168800000,,1260100000,17000000.0,1676600000,995000000,,416500000,0,,,,319700000,,61200000,0.1425,138900000,935900000,,,
