date,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualOtherNonCashItems,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualChangeInInventory,annualInventory,annualGoodwill,annualStockBasedCompensation,annualRetainedEarnings,annualCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualDilutedEPS,annualOperatingIncome,annualRepaymentOfDebt,annualEbitda,annualOtherIncomeExpense,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualBasicEPS,annualOtherNonCurrentLiabilities,annualAccountsPayable,annualGrossPPE,annualPretaxIncome,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualChangesInAccountReceivables,annualCurrentAssets,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInterestExpense,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualDilutedAverageShares,annualFreeCashFlow,annualCommonStockIssuance,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualBasicAverageShares,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalAssets,annualCurrentDebt,annualNetIncome,annualLongTermDebt,annualBeginningCashPosition,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualCostOfRevenue,annualCashDividendsPaid,annualResearchAndDevelopment,annualChangeInAccountPayable
1979-12-31,,53500000.0,,,312300000,0,,,36400000,,,301200000,91300000,,,0,,,,170700000,0.48125,61800000,,76500000,10700000,,65600000,12800000,,0,,0.48125,33900000,,267000000,66300000,,,-96300000,12700000,204600000,27400000,,12800000,47100000,,,,,145100000,336300000,116800000,6100000,47100000,,,,97870130,0,,89200000,375300000,,97870130,208100000,19200000,520400000,25700000.0,47100000,29400000.0,0,4200000,,247100000,,,
1980-12-31,,66700000.0,,,342700000,0,,,50800000,,,332400000,115500000,,,0,,,,180400000,0.515,61400000,,75300000,5400000,,66400000,17700000,,0,,0.515,37900000,,289500000,59100000,,,-109100000,13600000,201700000,27500000,,17700000,41000000,,,,,209400000,377300000,133300000,7700000,41000000,,,,79611650,0,,88900000,382100000,,79611650,248800000,18100000,591500000,49100000.0,41000000,28700000.0,0,44000000,,288400000,,,
1981-12-31,,79300000.0,,,370900000,0,,,62200000,,,356700000,100200000,,,0,,,,254600000,0.46,78700000,,93300000,100000,,78200000,13300000,,0,,0.46,50000000,,368200000,73400000,,,-113600000,15300000,212500000,29900000,,13300000,51600000,,,,,168900000,400700000,164900000,5500000,51600000,,,,112173913,0,,108600000,467100000,,112173913,265100000,21800000,636000000,22000000.0,51600000,35600000.0,0,9700000,,292100000,,,
1982-12-31,,78400000.0,,,320700000,0,,,79500000,,,306800000,107800000,,,0,,,,264500000,-0.30625,-19400000,,400000,-10400000,,60400000,12700000,,0,,-0.30625,56500000,,391900000,-41300000,,,-127400000,14600000,201200000,34400000,,12700000,-25900000,,,,,174100000,269100000,211300000,11400000,-25900000,,,,84571429,0,,15000000,465700000,,84571429,319100000,-15400000,639800000,47400000.0,-25900000,76400000.0,0,21300000,,254100000,,,
1983-12-31,,51500000.0,,,305800000,0,,,47800000,,,297200000,75600000,,,0,,,,245200000,-0.4625,-12800000,,8400000,6400000,,60600000,10200000,,0,,-0.4625,47300000,,398100000,-19500000,,,-152900000,13700000,137100000,34900000,,10200000,-9200000,,,,,159300000,310700000,160200000,13000000,-9200000,,,,99032000,0,,22100000,382300000,,99032000,235800000,-10300000,541600000,15000000.0,-9200000,61400000.0,0,20800000,,288600000,,,
1984-12-31,,57100000.0,,,319900000,0,,,45000000,,,313400000,83400000,,,0,,,,214800000,0.2875,31000000,,51600000,16600000,,67900000,34600000,,0,,0.2875,40600000,,372900000,37500000,,,-158100000,23100000,170700000,43700000,,34600000,28600000,,,,,163200000,389000000,145400000,10100000,28600000,,,,99478261,0,,74700000,385500000,,99478261,228800000,8900000,548700000,15500000.0,28600000,47700000.0,0,25600000,,314300000,,,
1985-12-31,,57300000.0,,,320000000,0,,,63400000,,,319400000,67900000,,,0,,,,197400000,0.1825,20400000,,38500000,9100000,,49000000,47600000,,0,,0.1825,78000000,,360100000,22000000,,,-162700000,14900000,178600000,33000000,,47600000,20100000,,,,,184100000,326400000,172200000,7500000,18400000,,,,100821918,0,,53400000,376000000,,100821918,240100000,1900000,560100000,18900000.0,20100000,36900000.0,0,25600000,,273000000,,,
1986-12-31,,41300000.0,,,275500000,0,,,47200000,,,262200000,98900000,,,0,,,,143500000,-0.47,-51400000,,-34200000,2800000,,82400000,86700000,,0,,-0.47,89600000,,307800000,-55900000,,,-164300000,17300000,213000000,34500000,,86700000,-41700000,,,,,228700000,266800000,210800000,7300000,-46700000,,,,99361702,0,,-16900000,356500000,,99361702,309700000,-14200000,585200000,16500000.0,-41700000,79900000.0,0,40700000,,283700000,,,
1987-12-31,,20800000.0,,,345400000,0,,,34300000,,,269900000,83700000,,,0,,,,16100000,0.07125,12400000,,15100000,48700000,,54200000,108600000,,0,,0.07125,84400000,,58800000,48900000,,,-42700000,18900000,320700000,21600000,,108600000,30600000,,,,,319900000,363200000,227600000,12200000,7700000,,,,108070175,0,,34000000,336800000,,108070175,311300000,18300000,656700000,29500000.0,12700000,122400000.0,0,130600000,,329200000,,,
1988-12-31,,22500000.0,,,168600000,0,,,39400000,,,214600000,79400000,,,0,,,,33000000,0.3525,72000000,,92300000,5000000,,53600000,52400000,,0,,0.3575,25500000,,100200000,64300000,,,-67200000,22000000,203200000,42300000,,52400000,44700000,,,,,153600000,393300000,141800000,12700000,37700000,,,,106950355,0,,114300000,236200000,,105454545,221200000,19600000,389800000,25800000.0,39200000,93800000.0,0,10500000,,279000000,,,
