date,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualBasicEPS,annualGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualOtherCurrentAssets,annualChangeInWorkingCapital,annualEndCashPosition,annualOperatingIncome,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualNetIncome,annualPretaxIncome,annualInvestmentsAndAdvances,annualCashDividendsPaid,annualCurrentDebt,annualSaleOfInvestment,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDilutedAverageShares,annualLongTermDebt,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualNetIncomeCommonStockholders,annualDilutedEPS,annualCurrentLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,annualAccountsReceivable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,annualGrossProfit,annualRepaymentOfDebt,annualOperatingCashFlow,annualEbitda,annualGrossPPE,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualAccumulatedDepreciation,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,annualInvestingCashFlow,annualDeferredIncomeTax,annualCapitalExpenditure,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,annualBasicAverageShares,annualStockBasedCompensation,annualInterestExpense,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualOtherIntangibleAssets,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualChangeInInventory,annualGoodwill,annualChangeInAccountPayable
1993-12-31,,-191400000,54400000,265700000,0.01875,,232200000,33500000,0,,0,89000000,-100000,,34300000,30900000,34300000,60100000,,,,,100000,3000000,-4200000,1829333333,189200000,35700000,35000000,,171200000,436900000,25800000,34300000,0.01875,33500000,61600000,,35700000,,-22400000,401200000,401100000,127000000,,90000000,124000000,472000000,,3500000,0,-70900000,38000000,39500000,,-271200000,24900000,-281400000,,181200000,0,0,0,0,,157900000,1829333333,,6500000,,,,,,,,
1994-12-31,,-210500000,128400000,381600000,0.026563,,325400000,56200000,100000,,0,147800000,-600000,,54200000,51300000,54200000,97600000,,,,,0,2800000,-1800000,2040470588,242900000,60300000,57100000,,356200000,737800000,43400000,54200000,0.026563,56200000,115900000,,51300000,,-37800000,677500000,677500000,207700000,,150900000,204900000,802600000,,4000000,0,-125100000,59900000,78500000,,-331200000,41400000,-361400000,8900000,180200000,-100000,0,0,0,,259000000,2040470588,,12300000,,,,,,,,
1995-12-31,,-100400000,96000000,404100000,0.019063,,349800000,54300000,100000,,0,130500000,-1600000,,42400000,63900000,42400000,73900000,,,,,-100000,4300000,-5800000,2224262295,237700000,64100000,82400000,,496300000,900400000,31500000,42400000,0.019063,54300000,158300000,,64000000,,-35600000,836300000,836400000,217200000,,147900000,212900000,1039800000,,6500000,0,-203400000,86700000,105600000,,-238800000,28900000,-248300000,,90900000,100000,0,0,0,,281100000,2224262295,,20900000,,,,,,,,
1996-12-31,,-844000000,482800000,988400000,0.035625,,836900000,151500000,0,,300000,316800000,-1500000,300000,95000000,129900000,95000000,185600000,,,,,-100000,7700000,11000000,2666666667,588200000,150700000,182400000,,1074200000,2062600000,90600000,95000000,0.035625,151500000,253300000,,150400000,300000,-104500000,1911900000,1912000000,506900000,,370600000,499200000,2293300000,,24400000,0,-381300000,190100000,224300000,,-1203600000,82200000,-1214600000,,833300000,0,0,300000,0,,636800000,2666666667,,26700000,,,,,,,,
1997-12-31,,-633309507,18584703,1726947820,0.035661,,1522516083,204431737,0,,0,261615440,-2859185,,111508220,357398142,111508220,215868477,,,,,0,12866333,17155112,3162208000,1136526090,184417441,288777698,,1203716941,2930664761,104360257,111508220,0.035661,204431737,364546104,,184417441,,-8577555,2746247320,2746247320,563259471,,520371694,550393138,3409578271,,67190851,0,-663330951,301644031,318799142,,-1119370979,94353109,-1153681201,,598999285,40028592,0,0,0,,920657613,3162208000,,37169407,,,,,,,,
1998-12-31,,-373065016,13931889,1970588235,0.018294,,1834365325,136222910,0,,0,202786378,-3095975,,58823529,329721362,58823529,125386996,,,,,20123839,18575851,-74303405,3193888000,1425696594,193498452,326625387,,1277089783,3247678019,66563467,58823529,0.018294,136222910,424148607,,143962848,,-1547988,3054179567,3034055728,547987616,,368421053,529411765,4018575852,,34055728,0,-984520124,345201238,374613003,,-609907121,55727554,-741486069,49535604,241486068,-40247679,0,0,0,,877708978,3193888000,,75851393,,,,,,,,
1999-12-31,,-1248553241,403645833,2958622685,0.060313,,2698206019,260416667,0,-54976852,0,447048611,69444445,,199652778,439814815,199652778,353009259,,,,,0,17361111,1446759,3566528000,2157118056,296585648,383391204,,1892361111,4850983796,153356481,199652778,0.060313,260416667,623553241,,250289352,,-1446759,4554398148,4554398148,847800926,,668402778,830439815,5912905092,,36168982,0,-1358506944,400752315,504918981,,-1821469907,137442130,-1916956019,46296296,1153067130,1,0,0,0,,1287615741,3566528000,,89699074,,,,,,,,
2000-12-31,,536892621,65986803,4559088182,0.8375,,3870725855,673365327,-1499700,-55488902,28494301,1462207558,64487102,28494301,784343131,1039292142,784343131,1295740851,,-4499100,16496701,,22495501,26994601,,3676960000,2455008998,611877624,644871026,,3216856629,7775944811,511397720,784343131,0.8375,688362328,1406718656,,550389922,28494301,-2999400,7164067187,7141571686,2183563287,,1832633473,2107078584,9124175165,,172465507,0,-1982603479,721355729,1243251350,,-1793641272,455908818,-1295740852,34493101,-10497900,7498500,-1499700,28494301,118476305,,3222855429,933609248,,161967606,,,,,,,,
2001-12-31,,-60490290,42979943,5173511621,0.72,73225088,4643425661,249920408,0,-41388093,14326648,1238459090,-52531041,14326648,703597580,1311684177,703597580,1133397007,,-47755492,15918497,,74816937,38204394,-1591849,1003208894,2669531996,523718561,904170646,-113021331,3868194842,9041706463,359758039,697230181,0.695,530085960,1980261063,264247055,509391913,14326648,-62082140,8517987902,8443170965,2249283668,,1887933779,2142629736,11287806431,,194205668,28653295,-2844635466,1010824578,1779687997,,-1937281121,283349252,-1948424069,,36612544,9551099,0,-12734798,117796880,,3560967845,968375251,,138490926,,,,,,,,
2002-12-31,,270695625,83412024,8490714511,0.5575,23607177,7702234813,336795719,0,-157381177,29902424,1109537299,-23607177,29902424,574441297,1534466478,574441297,1046584828,,-58231036,23607177,,83412024,61378659,-83412025,1054563434,4074598678,774315392,1314132830,-9442871,4867799811,13358514322,409191061,568146050,0.53875,788479698,2414227258,428076802,744412968,29902424,31476235,12584198930,12500786906,2548001259,,2022348127,2423670129,16591123702,,440667296,15738118,-4090336796,1438463960,3186968839,,-2543279824,401322002,-1751652502,,536669814,26754801,0,15738118,125904942,,4082467737,1019096054,,158954989,,,,,,,,
