date,annualChangeInInventory,annualInventory,annualCurrentLiabilities,annualCapitalStock,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualNetPPE,annualOperatingCashFlow,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualDilutedEPS,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualPretaxIncome,annualInterestExpense,annualOtherIncomeExpense,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualBasicEPS,annualCapitalExpenditure,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,annualInvestmentsAndAdvances,annualOperatingExpense,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualCurrentAssets,annualDilutedAverageShares,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,annualRetainedEarnings,annualNetIncomeCommonStockholders,annualAccountsReceivable,annualCashDividendsPaid,annualBeginningCashPosition,annualBasicAverageShares,annualNetIncome,annualFreeCashFlow,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualTaxProvision,annualTotalAssets,annualPurchaseOfBusiness,annualGoodwill,annualNonCurrentDeferredRevenue,annualSellingGeneralAndAdministration,annualIncomeTaxPayable,annualStockBasedCompensation,annualResearchAndDevelopment,annualOtherShortTermInvestments,annualOtherIntangibleAssets
1995-12-31,,,,,,,,,,504600000,,,,-0.94,,,,,,,,,504600000,,-0.94,,,,,,,-33300000,,,,504600000,,,,,,,,,,,35425532,,,,,,-33300000,,,,35425532,-33300000,,,,,,,,,,,,,,,,,,,
1996-12-31,,28300000,125000000,168600000,20200000,68800000,413300000,1500600000,168300000,243900000,,14000000,28300000,11.28,-6300000,1597200000,,,68600000,86200000,10300000,-39100000,144600000,37200000,11.28,-53000000,,-115200000,68800000,59500000,-700000,41900000,68800000,,110700000,524000000,28300000,,268700000,-96600000,41300000,,,-500000,31100000,186000000,95725824,-11000000,,,1406500000,30800000,31400000,78300000,,54700000,95725824,41900000,115300000,,1660200000,1046100000,439700000,99400000,10600000,,26700000,1846200000,,,,,,,,,
1997-12-31,1200000,27100000,111300000,181600000,,111200000,460500000,1464500000,206600000,280800000,,42500000,28500000,0.639,-6100000,1668900000,,,89400000,86400000,6600000,-81500000,169200000,25000000,0.643,-75400000,,-82700000,111200000,57800000,-100000,54600000,111200000,,133600000,594100000,28500000,,291300000,-204400000,32400000,,,-1300000,27700000,218100000,60437632,5500000,,,1321700000,69500000,38700000,59000000,,68800000,60128505,51800000,131200000,,1594500000,966800000,490900000,108700000,20800000,,34800000,1812600000,,,,,,,,,
1998-12-31,-400000,27500000,157700000,196000000,,229200000,472100000,1454600000,233200000,275700000,,117900000,63800000,0.754,-8900000,1743700000,,,91800000,81800000,11000000,-80500000,162400000,31100000,0.76,-71600000,,-34800000,229200000,62800000,0,57100000,229200000,,130100000,602200000,63800000,,309700000,-289100000,29900000,,,500000,23100000,338300000,60633298,22800000,,,1338200000,115200000,45700000,64700000,,111200000,60168234,60400000,161600000,,1552900000,897100000,553000000,116600000,16900000,,34700000,1891200000,,,,,,,,,
1999-12-31,1600000,26000000,116000000,60500000,,37200000,454100000,1398400000,194200000,249500000,,-191900000,200000,0.473,-6600000,1766900000,,,69400000,81100000,9700000,-80100000,140900000,22200000,0.476,-73500000,,-306000000,37200000,66600000,-1300000,43800000,37200000,,116400000,570500000,27000000,,313200000,-368500000,23500000,,,3000000,17200000,134100000,59731649,-800000,,-177600000,1204600000,143700000,28300000,62000000,-1300000,229200000,59349468,40500000,120700000,,1491800000,811600000,421300000,111900000,8900000,,25600000,1625900000,,,,,,,,,
2000-12-31,1118000,24845000,146974000,60705000,,11344000,480885000,1380035000,178855000,282490000,,-25890000,57663000,1.06,-25466000,1416324000,,,99060000,71125000,1211000,-92426000,168974000,39799000,1.08,-66960000,,-112319000,11344000,49512000,-2189000,60164000,11344000,,220764000,701649000,57663000,,311911000,-36289000,36590000,,,1593000,10709000,147734000,55001625,-34661000,,-67750000,1204510000,202116000,58392000,86647000,,37234000,54183915,58392000,111895000,,1468810000,740223000,412034000,,24898000,,38896000,1616544000,,,,,,,,,
2001-12-31,489000,24356000,167761000,62250000,,27994000,483488000,1364240000,233579000,282780000,116850000,16650000,90355000,1.23,-24899000,1869714000,,,102302000,66177000,877000,-95638000,167602000,24626000,1.25,-70739000,,-121291000,27994000,52780000,-518000,65878000,27994000,,271036000,754524000,90355000,,315886000,-505474000,33070000,,,-1289000,16086000,203212000,51722351,17130000,,-37526000,1194246000,265775000,63659000,75025000,,11344000,50821140,63659000,162840000,8275000,1441227000,619365000,450193000,,75837000,,36424000,1644439000,,,,,,,,,
2002-12-31,-357000,24713000,155708000,62592000,,75142000,459847000,1345004000,190307000,227995000,97084000,47148000,60961000,0.57,-27264000,1933696000,,,49068000,58354000,-3185000,-92329000,110607000,24899000,0.58,-65065000,,-50830000,75142000,69848000,-2542000,31057000,75142000,,230238000,690085000,60961000,,349240000,-588692000,3835000,,,-15863000,28878000,213184000,50380468,33244000,,-12875000,1190347000,294742000,28967000,66818000,,27994000,49862417,28967000,125242000,2006000,1433805000,614375000,456642000,,46511000,,18011000,1646989000,,,,,,,,,
2003-12-31,-366000,25321000,102027000,62633000,9384000,34426000,443403000,1298006000,135014000,191474000,139605000,-40716000,22106000,1.23,-4105000,1331894000,,-21079000,34035000,46523000,343000,-106728000,80215000,19197000,1.24,-90928000,,-69002000,34426000,60724000,-365000,20616000,34426000,,220959000,664362000,22106000,,363188000,-33888000,10249000,,,-10491000,15200000,202173000,48814761,-26119000,,-24239000,1096032000,354993000,60251000,66589000,,75142000,48424212,60251000,44086000,,1393681000,608722000,499822000,,75837000,,13419000,1595854000,,,,,,,,,
2004-12-31,413000,25193000,303070000,62768000,36434000,29401000,447753000,1283047000,144086000,209715000,111991000,-5025000,214092000,0.73,-6235000,1984016000,730456000,-44640000,42567000,46276000,577000,-102768000,88266000,34404000,0.74,-88327000,,-46343000,29401000,54574000,-861000,33369000,29401000,,260875000,708628000,214092000,,359487000,-700969000,401000,,,-9426000,12837000,177621000,48019721,-16075000,,-4528000,1049208000,386110000,35171000,70710000,,34426000,47426813,35171000,55759000,1073000,1403734000,379636000,532147000,,52317000,,9198000,1581355000,,,,,,,,,
