date,annualChangeInCashSupplementalAsReported,annualCurrentAssets,annualGrossPPE,annualDilutedEPS,annualOtherNonCurrentLiabilities,annualDeferredIncomeTax,annualBeginningCashPosition,annualNetIncomeCommonStockholders,annualInterestExpense,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualCapitalExpenditure,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualPurchaseOfBusiness,annualCapitalStock,annualNetOtherFinancingCharges,annualCurrentDebt,annualFreeCashFlow,annualStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualGrossProfit,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualOperatingExpense,annualChangeInInventory,annualNetIncome,annualRetainedEarnings,annualPurchaseOfInvestment,annualAccountsReceivable,annualCashDividendsPaid,annualGoodwill,annualPretaxIncome,annualIncomeTaxPayable,annualOtherNonCashItems,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualInvestingCashFlow,annualLongTermDebt,annualOperatingIncome,annualStockholdersEquity,annualEndCashPosition,annualTotalAssets,annualTaxProvision,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualBasicEPS,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,annualOtherNonCurrentAssets,annualNetPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances
1980-01-31,,69600000,50200000,0.01,700000.0,,0,9100000,3100000.0,910000000,76900000.0,42400000,0.0,,,37500000,53200000,,,204100000,306500000,,,,10400000.0,0,,1200000.0,63900000,-12800000,102400000,910000000,9100000,,82200000,,9100000,37200000,,,,,17100000,,,,8700000,0,14100000.0,20200000,48100000,0,112000000,8000000,47900000,,0,16000000,,,0.01,,,,4200000.0,,,25500000,800000,37400000,6300000,,6300000,,,,
1981-01-31,,74200000,56100000,0.01,500000.0,,0,11100000,4900000.0,814178000,87700000.0,46200000,0.0,,,47700000,63600000,,,249100000,369800000,,,,10800000.0,0,,1600000.0,62500000,-16500000,120700000,814178000,11100000,,94000000,,11100000,46800000,,,,,21800000,,,,2300000,0,1900000.0,26700000,57900000,0,120400000,10700000,58500000,,0,4000000,,,0.01,,,,4900000.0,,,33000000,1700000,39600000,6300000,,6300000,,,,
1982-01-31,,90700000,68900000,0.01,1300000.0,,0,11800000,6700000.0,820217000,100900000.0,55000000,0.0,,,49600000,78200000,,,279700000,417400000,,,,5200000.0,0,,,77900000,-20700000,137700000,820217000,11800000,,108200000,,11800000,56400000,,,,,22800000,,,,1300000,0,21800000.0,29500000,67800000,0,145700000,11000000,54800000,,0,23100000,,,0.01,,,,5100000.0,,,36800000,1700000,48200000,9200000,,9200000,,,,
1983-01-31,,102500000,78400000,0.02,3000000.0,,0,18200000,6800000.0,910000000,105600000.0,61500000,100000.0,,,58700000,76700000,,,289000000,444900000,,,,7200000.0,0,,,80300000,-25500000,155900000,910000000,18200000,,114200000,,18200000,71900000,,,,,35000000,,,,4600000,0,11400000.0,41700000,83700000,0,164000000,16800000,65900000,,0,14400000,,,0.02,,,,4600000.0,,,50300000,4000000,52900000,15700000,,15700000,,,,
1984-01-31,,125500000,92700000,0.02,4500000.0,,0,21600000,1300000.0,1080000000,113800000.0,71300000,100000.0,,,58800000,84000000,,,313600000,480500000,,,,500000.0,0,,,75600000,-30800000,166900000,1080000000,21600000,,124100000,,21600000,90300000,,,,,41600000,,,,4000000,0,11800000.0,42800000,121200000,0,196800000,20000000,59300000,,0,16300000,,,0.02,,,,5800000.0,,,53100000,3600000,61900000,33400000,,33400000,,,,
1985-01-31,,120200000,118700000,0.01,6500000.0,,0,12200000,3900000.0,910369000,132500000.0,89500000,0.0,,,54700000,94900000,,,364100000,534100000,,,,600000.0,0,,,83600000,-41300000,170000000,910369000,12200000,,145600000,,12200000,94700000,,,,,20500000,,,,6400000,0,21800000.0,24400000,126100000,0,209700000,8300000,55300000,,0,28300000,,,0.01,,,,1600000.0,,,37500000,10500000,77400000,10600000,,10600000,,,,
1986-01-31,,168400000,144600000,0.03,-100000.0,,0,27700000,3500000.0,923333333,162800000.0,103300000,-6600000.0,,,76200000,117700000,,,396100000,647300000,,,,13100000.0,0,,14800000.0,120100000,-50600000,251200000,923333333,34400000,,179900000,,27700000,117500000,,,,,67900000,,,,23300000,0,16100000.0,71300000,151600000,0,271700000,33500000,89300000,,0,30800000,,,0.03,,,,1400000.0,,,88400000,7900000,94000000,22800000,,22800000,,,,
1987-01-31,,230400000,180100000,0.07,0.0,,0,68100000,1600000.0,972857143,209200000.0,133500000,0.0,,,118100000,146000000,,,478300000,848000000,,,,1500000.0,0,,18800000.0,151900000,-62900000,369700000,972857143,68100000,,230900000,,68100000,169300000,,,,,137200000,,,,13100000,0,13500000.0,138800000,212000000,0,363900000,69100000,119600000,,0,32300000,,,0.07,,,,9100000.0,,,160500000,7200000,117200000,63800000,,63800000,,,,
1988-01-31,,258800000,233700000,0.07,20700000.0,,0,69600000,3900000.0,994285714,254200000.0,175400000,0.0,,,122100000,194900000,,,655400000,1062000000,,,,6500000.0,0,,,161300000,-77100000,406600000,994285714,69600000,,278000000,,69600000,220500000,,,,,124700000,,,,22900000,0,12000000.0,128600000,272900000,0,434200000,55100000,128600000,,0,32700000,,,0.07,,,,10900000.0,,,152400000,7900000,156600000,32100000,,32100000,,,,
1989-01-31,,258100000,286100000,0.07,32800000.0,,0,74200000,3400000.0,927500000,277400000.0,223000000,-100000.0,,,149900000,193300000,,,815400000,1252100000,,,,2000000.0,0,,,204700000,-94800000,436700000,1060000000,74200000,,307400000,,74200000,276500000,,,,,125800000,,,,12500000,0,20000000.0,129300000,276400000,0,481100000,51600000,151900000,,0,52800000,,,0.08,,,,13800000.0,,,159300000,17900000,191300000,46400000,,46400000,,,,
1990-01-31,-7600000.0,316500000,352000000,0.1,36600000.0,-4100000.0,46400000,97600000,2800000.0,887272727,364100000.0,263000000,-10800000.0,-88400000.0,,90700000,243500000,-42200000.0,,1002500000,1586600000,,,100000.0,2500000.0,29700000,,,241500000,-113900000,584100000,976000000,97600000,-25600000.0,407900000,-50200000.0,97600000,351200000,,,-22900000.0,,162700000,,6400000.0,43800000.0,28400000,-83600000,17500000.0,176200000,338000000,0,579500000,65100000,187400000,,118100000,54100000,,94200000.0,0.11,,4300000.0,,17600000.0,-21700000.0,,220000000,7300000,238100000,38800000,4800000.0,38800000,,,,
1991-01-31,27900000.0,365100000,528300000,0.15,42700000.0,-5600000.0,38800000,144500000,1400000.0,903125000,454200000.0,411800000,0.0,-193700000.0,,135700000,247500000,-32000000.0,,1179800000,1933800000,,,0.0,12500000.0,63200000,,,311200000,-144800000,754000000,963333333,144500000,56400000.0,515700000,-4000000.0,144500000,466100000,,,-29600000.0,,236900000,,100000.0,61500000.0,41300000,-198200000,5000000.0,238300000,465700000,0,776900000,92400000,263500000,,256900000,47700000,,115300000.0,0.16,,10200000.0,,22800000.0,-10100000.0,,299800000,5500000,383500000,66700000,-4500000.0,66700000,,,,
1992-01-31,125900000.0,565800000,737400000,0.24,61800000.0,-7000000.0,66700000,229900000,3500000.0,919600000,575700000.0,581600000,0.0,-236500000.0,,169500000,313900000,40400000.0,,1486800000,2518900000,,,0.0,2500000.0,97200000,,,469600000,-189700000,1032100000,957916667,229900000,28600000.0,657800000,-66600000.0,229900000,654900000,,,-41100000.0,,370800000,,100000.0,82100000.0,51300000,-245700000,77500000.0,374300000,677800000,0,1147400000,140900000,330300000,,333700000,139300000,,158300000.0,0.25,,20000000.0,,33800000.0,-1000000.0,,456400000,100000,547700000,192600000,-9200000.0,192600000,,,,
1993-01-31,50700000.0,690800000,895600000,0.22,81300000.0,-10500000.0,192600000,210700000,3800000.0,916086957,661300000.0,688400000,100000.0,-205500000.0,,138900000,365700000,-40400000.0,,1841600000,2960400000,,,0.0,2800000.0,101500000,,,491400000,-245300000,1118800000,957727273,210700000,-7200000.0,775300000,-51800000.0,210700000,821500000,,,-44100000.0,,339800000,,,114000000.0,71900000,-215500000,75000000.0,343500000,887800000,0,1379200000,129100000,335100000,,307000000,156300000,,193400000.0,0.23,,8700000.0,,38100000.0,,,457500000,0,650300000,243300000,-10000000.0,243300000,,,,
1994-01-31,217000000.0,956400000,1090500000,0.27,99400000.0,-22400000.0,243300000,258400000,800000.0,957037037,748200000.0,806700000,0.0,-212300000.0,,237900000,331200000,-34600000.0,,1980000000,3295700000,,,0.0,7600000.0,339000000,,,636600000,-350100000,1315700000,957037037,258400000,166900000.0,890000000,33900000.0,258400000,1026800000,-83500000.0,,-53000000.0,,424900000,,6600000.0,141800000.0,149700000,-299500000,75000000.0,425700000,1126500000,0,1763100000,166500000,462200000,,551300000,174400000,,216700000.0,0.27,,10800000.0,,66300000.0,,,567500000,0,740400000,460300000,-3700000.0,460300000,,,,
1995-01-31,-45800000.0,1055700000,1294900000,0.33,,-24400000.0,460300000,320200000,,941764706,853500000.0,948500000,10900000.0,-232800000.0,,233700000,370600000,-189800000.0,,2182800000,3722900000,,,100000.0,2500000.0,271700000,,,629000000,-466100000,1540100000,970303030,320200000,21000000.0,1021700000,-39900000.0,320200000,1282300000,-90000000.0,,-64800000.0,,529300000,,19500000.0,168200000.0,270600000,-359900000,,518400000,1375200000,0,2004200000,209100000,499900000,,504500000,129100000,,263700000.0,0.34,,12800000.0,,87700000.0,-58300000.0,,686600000,32000000,828800000,414500000,-37100000.0,414500000,,,,
1996-01-31,165100000.0,1280000000,1562600000,0.37,,-2400000.0,414500000,354000000,,931578947,1004400000.0,1063100000,15800000.0,-302300000.0,,267400000,482600000,-100400000.0,,2624100000,4395300000,,,0.0,21800000.0,186800000,,,702600000,-604800000,1771200000,956756757,354000000,-71300000.0,1201800000,-113000000.0,354000000,1569300000,,,-67000000.0,,585200000,,,197400000.0,217800000,-223100000,,569400000,1640500000,0,2343100000,231200000,551700000,,489100000,150900000,,262500000.0,0.38,,17100000.0,116100000.0,74900000.0,-71300000.0,,766800000,30400000,957800000,579600000,-36900000.0,579600000,,,,
1997-01-31,-93900000.0,1329300000,1898600000,0.47,,-28900000.0,579600000,452900000,,924285714,1270100000.0,1297600000,19500000.0,-371800000.0,,383000000,578800000,-495100000.0,,3070300000,5284400000,,,0.0,40100000.0,463200000,,,972400000,-762900000,2214100000,963617021,452900000,148700000.0,1485000000,-93800000.0,452900000,1938400000,-11800000.0,,-83900000.0,,748600000,,100000.0,214900000.0,264900000,-435900000,,729100000,1654500000,0,2626900000,295700000,774900000,,835000000,197500000,,351800000.0,0.49,,37100000.0,,125800000.0,-466700000.0,,944000000,36100000,1135700000,485600000,-52300000.0,485600000,,,,
1998-01-31,427500000.0,1830900000,2303900000,0.577778,266000000.0,-13700000.0,485600000,533900000,,891404943,1635000000.0,1506600000,3000000.0,-485600000.0,,472900000,733200000,-101600000.0,,3751800000,6507800000,,,-100000.0,101600000.0,359100000,,,1753500000,-938700000,2756000000,922951705,533900000,31100000.0,1904700000,-156100000.0,533900000,2392800000,-2900000.0,,-79500000.0,,854200000,,,269700000.0,184500000,-313900000,496000000.0,851300000,1584000000,913200000,3337500000,320300000,991500000,,844700000,762000000,,417000000.0,0.6,,30700000.0,174700000.0,141300000.0,-593100000.0,,1121000000,100000,1365200000,913200000,-100000.0,913200000,,,,
1999-01-31,-347900000.0,1871800000,3048400000,0.91,340600000.0,-34800000.0,913200000,824500000,13600000.0,867894737,2403400000.0,2092100000,-100000.0,-797600000.0,,778300000,1056400000,-918300000.0,,4991800000,9054500000,,,-100000.0,90700000.0,596600000,,,2390200000,-1172000000,4062700000,906043956,824500000,198100000.0,2729800000,-322300000.0,824500000,3121400000,,,-76900000.0,,1319200000,,200000.0,326400000.0,250100000,-826400000,496500000.0,1332900000,1573700000,565300000,3963900000,494700000,1553100000,,1394200000,837100000,,684100000.0,0.95,,49400000.0,,215700000.0,-892100000.0,,1659300000,0,1876400000,565300000,-28800000.0,565300000,,,,
2000-01-31,-114900000.0,2197800000,4203300000,1.26,418000000.0,2400000.0,565300000,1127100000,31800000.0,853863636,3043400000.0,2991000000,100000.0,-1238700000.0,,778000000,1462000000,-310100000.0,,6339100000,11635400000,,50400000.0,0.0,169000000.0,239200000,,,2955800000,-1488000000,5296300000,894523810,1127100000,-299600000.0,3479600000,-404200000.0,1127100000,4172800000,,,-75800000.0,,1785000000,,-100000.0,436200000.0,285400000,-1278600000,784900000.0,1816700000,2233000000,450400000,5188800000,657900000,1752900000,,1477900000,1202900000,,805900000.0,1.32,,76200000.0,,275700000.0,-707100000.0,-29900000.0,2252900000,0,2715300000,450400000,-39900000.0,450400000,,,,
2001-01-31,-41558000.0,2648050000,5901237000,1.0,505279000.0,-38872000.0,450352000,877497000,74891000.0,849810658,0.0,4364858000,0.0,-1858662000.0,,702033000,1904153000,555479000.0,,8009077000,13673460000,,46961000.0,0.0,1029904000.0,-567457000,,,4084669000,-1893552000,5664383000,879137194,877497000,-268667000.0,4219622000,-454595000.0,877497000,4974773000,,,-75488000.0,,1381885000,,,590365000.0,335103000,-1874914000,780246000.0,1444761000,2928239000,408794000,7012908000,504388000,2799144000,,1291205000,1285525000,,1067207000.0,1.03,,152105000.0,,357173000.0,-392558000.0,-32335000.0,2035126000,0,4007685000,408794000,-16252000.0,408794000,,,,
2002-01-31,626955000.0,3044550000,6619531000,-0.01,564115000.0,-28512000.0,408794000,-7764000,109190000.0,860255419,0.0,4546776000,0.0,-940078000.0,,0,1677116000,271285000.0,,9704389000,13847873000,,47430000.0,0.0,41889000.0,377761000,,,4581745000,-2458241000,4143484000,860255419,-7764000,485185000.0,3805968000,213067000.0,-7764000,4890375000,,,-76373000.0,,241641000,,,810486000.0,331685000,-950627000,1961397000.0,337516000,3009581000,1035749000,7591326000,249405000,2056233000,909227000.0,1317839000,2525512000,,1105117000.0,-0.01,,139105000.0,,385486000.0,-785000.0,-69069000.0,1148002000,0,4161290000,1035749000,0.0,1035749000,,,,
2003-01-31,2352765000.0,5739725000,6826320000,0.54,621424000.0,6090000.0,1035749000,477457000,248599000.0,875545551,0.0,4162279000,0.0,-303284000.0,,0,2047879000,1378478000.0,,9541558000,14454709000,,48401000.0,0.0,499979000.0,935072000,,,6243792000,-3049477000,4913151000,881477888,477457000,-187542000.0,3900522000,-258222000.0,477457000,5289480000,,,-78352000.0,,800875000,,,780876000.0,303332000,-291355000,2895794000.0,1012629000,3658212000,3388514000,9902004000,323418000,2726574000,1067294000.0,1238356000,3517218000,,1159301000.0,0.55,,153272000.0,,385436000.0,,-30340000.0,1793505000,0,3776843000,3388514000,0.0,3388514000,,,,
