date,annualOperatingCashFlow,annualCapitalStock,annualOtherIncomeExpense,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCashCashEquivalentsAndMarketableSecurities,annualRepaymentOfDebt,annualEbitda,annualGrossProfit,annualNetPPE,annualCurrentLiabilities,annualStockBasedCompensation,annualInventory,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualLongTermDebt,annualBeginningCashPosition,annualCashDividendsPaid,annualChangesInAccountReceivables,annualNetIncome,annualAccountsReceivable,annualOperatingExpense,annualRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,annualStockholdersEquity,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualFreeCashFlow,annualBasicAverageShares,annualCurrentDeferredRevenue,annualCurrentDebt,annualEndCashPosition,annualTotalRevenue,annualBasicEPS,annualOtherCurrentAssets,annualOperatingIncome,annualCostOfRevenue,annualCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualCashAndCashEquivalents,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualGoodwill,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualPretaxIncome,annualInterestExpense,annualCurrentAssets,annualChangeInCashSupplementalAsReported,annualDilutedAverageShares,annualCapitalExpenditure,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualDilutedEPS,annualOtherNonCurrentLiabilities,annualGrossPPE,annualAccountsPayable,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualSaleOfInvestment,annualChangeInAccountPayable,annualCommonStockIssuance,annualResearchAndDevelopment,annualPurchaseOfInvestment,annualOtherShortTermInvestments
2010-12-31,359000000,,17000000,5000000,-170000000,183000000,,-178000000,422000000,892000000,,,0,,131000000,,,0,0,-190000000,131000000,,670000000,,,,,5000000,131000000,,670000000,,168000000,48765741,,,0,6723000000,2.686312,,222000000,5831000000,,,,68000000,,61000000,0,,-170000000,,,,-21000000,199000000,40000000,,0,48765741,-191000000,2000000,,-189000000,2.686312,,,,,,,,,,,,
2011-12-31,528000000,0,-290000000,-87000000,584000000,184000000,915000000,-976000000,294000000,1024000000,2033000000,1372000000,42000000,380000000,-94000000,567000000,1830000000,0,-1429000000,17000000,-94000000,711000000,624000000,-141000000,0,6001000000,872000000,1000000,-94000000,,624000000,3733000000,331000000,48800000,,29000000,915000000,6575000000,-1.93,0,400000000,5551000000,0,-849000000,5129000000,100000000,915000000,99000000,,113000000,1212000000,844000000,3757000000,-1160000000,,6000000,104000000,2268000000,915000000,48800000,-197000000,0,551000000,-197000000,-1.93,410000000,3193000000,380000000,,,,,,,,,
2012-12-31,332000000,0,18000000,116000000,-28000000,184000000,1057000000,-29000000,542000000,1079000000,2034000000,1384000000,41000000,288000000,146000000,548000000,1779000000,915000000,-5000000,-194000000,146000000,191000000,739000000,0,,6392000000,667000000,11000000,146000000,,739000000,3908000000,170000000,49400000,134000000,51000000,1057000000,6708000000,2.96,0,340000000,5629000000,401000000,-1226000000,5725000000,95000000,1057000000,-129000000,-1000000,77000000,0,881000000,4341000000,-1313000000,79000000,241000000,117000000,2484000000,142000000,50100000,-162000000,0,205000000,-162000000,2.91,59000000,3347000000,377000000,,,,,,,,,
2013-12-31,236000000,1000000,14000000,51000000,-169000000,226000000,1043000000,-51000000,738000000,1237000000,1897000000,1392000000,44000000,311000000,261000000,528000000,1700000000,1057000000,-25000000,-218000000,261000000,171000000,739000000,236000000,83000000,6225000000,1521000000,-44000000,261000000,,739000000,3549000000,97000000,49700000,115000000,79000000,1043000000,6820000000,5.25,0,498000000,5583000000,599000000,-521000000,4704000000,133000000,1043000000,-199000000,-119000000,119000000,19000000,881000000,3312000000,-1404000000,-28000000,394000000,118000000,2676000000,-14000000,50400000,-139000000,58000000,262000000,-81000000,5.18,104000000,3301000000,337000000,,,,,,,,,
2014-12-31,716000000,1000000,-35000000,53000000,-332000000,194000000,990000000,-710000000,850000000,1417000000,1792000000,1312000000,34000000,339000000,338000000,547000000,1592000000,1043000000,-49000000,140000000,338000000,244000000,726000000,525000000,0,6269000000,1365000000,17000000,338000000,-272000000,726000000,3723000000,551000000,48800000,74000000,108000000,990000000,6957000000,6.93,0,691000000,5540000000,612000000,-862000000,4904000000,169000000,990000000,110000000,-138000000,129000000,-37000000,1026000000,3592000000,-1351000000,-22000000,507000000,149000000,2546000000,-53000000,49300000,-165000000,0,249000000,-437000000,6.86,105000000,3143000000,269000000,,,,,,,,,
2015-12-31,828000000,1000000,-65000000,54000000,-783000000,180000000,894000000,-1028000000,949000000,1503000000,1827000000,1274000000,43000000,285000000,404000000,495000000,1273000000,990000000,-81000000,-41000000,404000000,236000000,669000000,848000000,,6024000000,1490000000,-8000000,404000000,-6000000,669000000,3740000000,640000000,47900000,125000000,,894000000,7020000000,8.43,0,834000000,5517000000,585000000,-845000000,4534000000,228000000,894000000,111000000,-232000000,126000000,-42000000,956000000,3260000000,-1489000000,-15000000,632000000,137000000,2284000000,-96000000,48300000,-188000000,53000000,247000000,-141000000,8.36,103000000,3316000000,317000000,,,,,,,,,
2016-12-31,822000000,1000000,6000000,75000000,-343000000,186000000,720000000,0,1044000000,1460000000,1986000000,1343000000,36000000,210000000,573000000,548000000,1278000000,894000000,-98000000,-22000000,573000000,318000000,608000000,1323000000,,6352000000,1653000000,-9000000,573000000,-372000000,623000000,4210000000,537000000,46800000,166000000,,720000000,7068000000,12.24,0,852000000,5608000000,605000000,-951000000,4699000000,211000000,720000000,-49000000,-194000000,128000000,-51000000,1234000000,3356000000,-1627000000,85000000,784000000,74000000,2142000000,-174000000,47200000,-285000000,4000000,256000000,-653000000,12.14,90000000,3613000000,316000000,,,,,,,,,
2017-12-31,814000000,1000000,13000000,18000000,-484000000,205000000,701000000,-615000000,1071000000,1423000000,2215000000,1391000000,34000000,183000000,479000000,508000000,1279000000,720000000,-115000000,-35000000,479000000,444000000,570000000,1687000000,,6374000000,1758000000,10000000,479000000,3000000,570000000,4179000000,432000000,45700000,146000000,,701000000,7441000000,10.48,0,853000000,6018000000,634000000,-900000000,4616000000,293000000,701000000,-130000000,-286000000,125000000,-68000000,1217000000,3225000000,-1770000000,184000000,772000000,94000000,2195000000,-19000000,45800000,-382000000,30000000,236000000,-349000000,10.46,101000000,3985000000,375000000,,,,,,,,,
2018-12-31,914000000,1000000,95000000,40000000,-899000000,203000000,240000000,-95000000,1232000000,1791000000,2517000000,1829000000,36000000,128000000,836000000,492000000,1283000000,701000000,-132000000,195000000,836000000,261000000,857000000,2609000000,,6383000000,1516000000,-1000000,836000000,-87000000,871000000,4638000000,451000000,43800000,331000000,,240000000,8176000000,19.09,,934000000,6385000000,,-1288000000,4867000000,135000000,240000000,-166000000,-742000000,203000000,-25000000,1263000000,3038000000,-1829000000,10000000,971000000,58000000,1745000000,-461000000,43800000,-463000000,74000000,332000000,-476000000,19.09,189000000,4346000000,562000000,,,,,,,,,
2019-12-31,896000000,1000000,10000000,-11000000,-434000000,227000000,,-5119000000,980000000,1531000000,3033000000,1890000000,30000000,136000000,549000000,492000000,1286000000,240000000,-149000000,-51000000,549000000,318000000,788000000,3009000000,,7031000000,1588000000,9000000,549000000,-195000000,788000000,5246000000,366000000,,373000000,,75000000,8899000000,,,743000000,7368000000,,-1409000000,5443000000,134000000,75000000,-39000000,-262000000,240000000,-23000000,1373000000,3553000000,-1961000000,97000000,683000000,70000000,1785000000,-165000000,,-530000000,98000000,400000000,-627000000,,291000000,4994000000,497000000,,,,,,,,,
