date,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualInterestExpense,annualRepaymentOfDebt,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualCapitalExpenditure,annualTotalNonCurrentAssets,annualCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,annualDilutedAverageShares,annualOtherIncomeExpense,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,annualChangeInInventory,annualBasicAverageShares,annualCurrentDebt,annualOperatingExpense,annualCurrentDeferredRevenue,annualCapitalStock,annualPurchaseOfBusiness,annualCostOfRevenue,annualGrossProfit,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualNetOtherInvestingChanges,annualRetainedEarnings,annualNetIncome,annualPretaxIncome,annualGoodwill,annualCommonStockIssuance,annualFreeCashFlow,annualCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsReceivable,annualTotalRevenue,annualPurchaseOfInvestment,annualAccountsPayable,annualInvestingCashFlow,annualNonCurrentDeferredRevenue,annualTaxProvision,annualTotalAssets,annualEndCashPosition,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualOperatingIncome,annualDilutedEPS,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualSaleOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,annualNetPPE,annualBasicEPS,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualEbitda,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualResearchAndDevelopment,annualStockBasedCompensation,annualDeferredIncomeTax
1995-12-31,15250417536,-3647671968,468141504,1204506432,394005216,,5833442976,832992,-2444831520,14359116096,1075392672,,249310345,425658912,1204506432,0,-11661888,249310345,2044995360,655564704,,,,2598935040,1997514816,10137512640,,383176320,-984596544,-4139137248,,0,1333620192,1204506432,1373603808,,,-4723064640,,,,4596449856,,523951968,-2444831520,,169097376,22165084128,0,7099590816,12027571488,832992,3323638080,1341950112,4.831354,2186604000,655564704,3037088832,,,,,7100423808,-2278233120,,14265820992,4.831354,,2186604000,,93295104,1997514816,,7805968032,,,
1996-12-31,16689742080,-414920000,656403440,1331063360,285464960,,2183309040,829840,-2124390400,15797664080,1869629520,,250625000,434836160,1331063360,0,-186714000,250625000,2300316480,660552640,,,,2766686560,2070450800,12276652960,,569270240,-980870880,-2152604960,,0,2410685200,1331063360,1560099200,,,-2284549520,,,,4837137360,,619060640,-2124390400,,229035840,25617990640,0,8700042560,13341337680,829840,4524287680,1409898160,5.310976,1767559200,660552640,3575780560,,,,,8700872400,-160159120,,15708871200,5.310976,,1767559200,,88792880,2070450800,,9820326560,,,
1997-12-31,30140227880,-288130080,4248262760,1661715720,388313240,,1767694600,0,-6846401240,27528842040,1217929160,,258967742,1013423040,1661715720,-827960,140753200,249316770,1960609280,1111122320,,,,4209348640,2530245760,20486214280,,618486120,-2739719640,2567503960,,0,3759766360,1661715720,2043405280,,,-1506059240,,,,6739594400,,1641844680,-6846401240,,381689560,35488849480,0,12635497560,15002635200,,2736407800,1419123440,6.41669,1479564520,1111122320,7850716720,,,,,12635497560,5340342000,,27400508240,6.665078,,1479564520,,128333800,2530245760,,7960007440,,,
1998-12-31,36587770660,705362280,1008370020,1838743690,600220250,,1480267320,166405890,-6457542000,32432590750,312942420,1051420300,279371069,486799320,1838743690,-1394994650,101830470,277625000,1150767100,2584672580,,5650349250,,3318183120,4764506950,18296369000,,517431250,-4271912400,2583844690,,877563400,5270347740,1838743690,2209638410,,1122618840,-494250330,,1207891510,,8082690070,,1943057830,-5570871810,,370894720,38142548080,2185629600,14027768160,19846179080,,1837087910,2179834370,6.581726,2185629600,1533252280,4102194950,,,,,14194174050,5963291670,,32315858260,6.62312,,2185629600,,116732490,3713086650,,5709957330,,,
1999-12-31,41259333159.36,307779014.4,1679920442.88,1868163982.08,791169217.92,,2185396563.84,266976358.08,-2274327977.28,34716371839.68,-2064619376.64,830961948.48,298254000,63923333.76,1868163982.08,0,18716738.88,282500000,1906085866.56,3229750858.56,,5649955161.6,,4278360086.4,6209710653.12,19318671189.12,,543414561.6,-6656279956.8,476709792.96,,-964330095.36,5825715356.16,1868163982.08,2252713910.4,,,2733008112,-451999724.16,2070447144.96,,10488070739.52,,3159577574.4,-2634937698.24,,384549928.32,40582409723.52,2493175578.24,12306110947.2,21263738534.4,-862244812.8,146969032.32,2979959794.56,6.581074,3743712011.52,2398788910.08,6745583883.84,,,,586485411.84,12573087305.28,5007336089.28,,34603053202.56,6.581074,,3743712011.52,,113318637.12,5378748704.64,,5866037883.84,,,
2000-12-31,41483233771.2,-504179121.6,1342071844.2,2512578603.6,943707175.2,,2489983799.4,379903564.8,-351513313.2,32363373889.8,-829592253,,298254000,-34888428,2512578603.6,0,-30887006.4,282500000,3004943610.6,2663499990.6,,5642698917.6,,5971683565.8,6565340757.6,18663051979.8,,563009940,-9305281128.6,-973296199.8,,-99870192,7868671565.4,2512578603.6,2923245163.8,,,5284555149.6,-507841579.8,2529931876.2,1194523556.4,12537024323.4,-60972075,2714443709.4,-5310655331.4,,410666560.2,42412051359,1985804677.8,11221689250.8,23748999379.2,,0,3901840767,0.206685,1985804677.8,2679133644,7061459164.2,,,,954380388.6,11601592815.6,5636068462.8,,32177952642.6,0.206685,59922115.2,2045726793,,185421247.2,6580974411,,10048677469.2,,,
2001-12-31,50021482165.44,184799857.92,2775565721.28,1650971997.12,867691789.44,,1988725939.2,14875709.76,-2871367941.12,36535388860.8,-1169825153.28,807278361.6,300000000,-474416764.8,3451297113.6,-8278.08,-62077321.92,300000000,5627074548.48,4520808493.44,,6001078202.88,,6258435432,9535752138.24,18516285172.8,,719125087.68,-12457632923.52,-2217176112.96,,-141662783.04,8987883969.6,3451297113.6,4166647396.8,,2770549204.8,3048593355.84,-1266546240,3170090736,1407422605.44,15794187570.24,-4666121909.76,521287253.76,-4565336285.76,,715350283.2,47301230574.72,2173525797.12,9577481939.52,28298599923.84,,0,5014943644.8,11.589312,2173525797.12,3049379773.44,8923927523.52,,,,384640987.2,9592357649.28,5919961296.96,,37563849241.92,11.589312,1100984.64,2174626781.76,,-1028460381.12,8276523720.96,,10765841713.92,,,
2002-12-31,57056476004.16,829538118.72,3162003051.84,3921376164.48,561924348.48,,2173343679.36,19395541.44,-1594358208,40779428027.52,-7325049483.84,1335337084.8,392085801,-41257950.72,3921376164.48,0,-39279489.6,392085801,2963925153.6,4869282549.12,939553801.92,6000838138.56,,8028396551.04,10447814436.48,17135890498.56,121861615.68,923428102.08,-15949136671.68,-222812801.28,,573298430.4,10393849632.96,3921376164.48,4902320366.4,,,5486024343.36,-1939131961.92,3418391745.6,2362059069.12,18476210987.52,-255014532.48,471602217.6,1074205051.2,,980944201.92,48465600473.28,3002881798.08,9341689108.8,30418922500.8,-1622222225.28,0,5578531887.36,10.001322,3002881798.08,3328756695.36,7652944232.64,115860007.68,,,5085439774.08,9482946265.92,7080382551.36,,41107339332.48,10.001322,1141613456.64,4144495254.72,-1851839608.32,1523928303.36,9112477351.68,,7686172445.76,,,
2003-12-31,62461563936.95,1126043631.9,1257459263.15,5430408452.95,597326469.55,,3002600899.1,0,-3606707173.5,45306505347.45,-3182162250.75,2251027660.6,392127434,234867671.8,5430408452.95,77624212.55,159420612.7,392127434,4642436188.9,6368504967.25,,6027676975.45,,9946578019.9,13441670896.95,18499132136.1,103112636.4,800281873.1,-19803180827.45,-67086127.6,,266928946.75,12818880838,5430408452.95,6579846136.75,-1432070281.1,,5926584207.65,-2197625314.95,4328677747.6,2804024636.9,23388248916.85,,3342518294.4,-5225085498.5,,1149437683.8,53609705029.35,4128652809.15,9153605753.25,33955373617.05,-1552608423.25,5860930.2,7073165929.7,13.848581,4128652809.15,3956069937.95,9242413746.45,,,,1066631349.35,9256718389.65,9533291381.15,,42658383109.5,13.848581,145000075.4,4273652884.55,1037856499.95,3021028061,11190643236.35,,8303199681.9,,,
2004-12-31,82201466585.8,-1833121814.15,2539562578.85,5323876940.6,782872923.65,,4128652809.15,12996695.5,-9877554805.2,63126249713.05,3654472099,2617219904,393159340,416788296.2,5323876940.6,677036775.9,-414271738.6,393159340,9642240113.3,7324217384.75,,12055387063.5,,15875885738.9,14242408068.3,33247972586.95,546713860.45,1431408029.1,-24421022632.7,-1219942687.35,,641606293.9,11171984286.25,5323876940.6,6595193826.85,,,-1714851885.1,-3172708603.45,4065970657.35,4973106890.65,30118293807.2,,4551161307,-13650288555.1,,1014263772.45,72779905395.2,2295530995,15955298031.85,36265540381.25,-2054967956,14958617.05,6918190683.55,13.54127,2295530995,4569530521.85,16732963999.15,,,,132897420.1,16515008587.8,8162702920.1,,57780443953.1,13.54127,12640735.05,2308171730.05,439081354.15,4809182964.35,11625188164.3,,9653655682.15,,,
