date,annualCashAndCashEquivalents,annualBasicEPS,annualNetOtherFinancingCharges,annualTaxProvision,annualCurrentDebt,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualDeferredIncomeTax,annualChangesInAccountReceivables,annualInterestExpense,annualOtherShortTermInvestments,annualCommonStockIssuance,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualBeginningCashPosition,annualRetainedEarnings,annualDilutedAverageShares,annualAccountsReceivable,annualDilutedEPS,annualCostOfRevenue,annualLongTermDebt,annualCashDividendsPaid,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualDepreciationAndAmortization,annualPurchaseOfBusiness,annualStockholdersEquity,annualStockBasedCompensation,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualGoodwill,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualOperatingIncome,annualInvestingCashFlow,annualEndCashPosition,annualPretaxIncome,annualBasicAverageShares,annualIncomeTaxPayable,annualOtherIncomeExpense,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualChangeInAccountPayable,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1979-06-30,4700000,0.29,,9000000,33600000.0,,,11700000,55400000,-134300000,266400000,,,5800000.0,,,-30500000,,-164800000,105400000,,11700000,0,-68900000,11700000,0,49800000,40344828,,0.29,185400000,37100000.0,,0,47800000,,2100000,-105400000,,,68900000,,,,0,,4000000.0,4700000,,2800000.0,64400000,81000000,65400000,55400000,33200000,85900000,,-174200000,31800000.0,,,,,,,25600000,0,0,20700000,40344828,,800000,,,,,
1980-06-30,4100000,0.19,,5500000,21000000.0,,,7400000,66700000,47400000,291100000,,,7100000.0,,,-40700000,,4500000,104000000,,7400000,172100000,99300000,7400000,0,53700000,38947368,,0.19,205100000,44000000.0,,0,57700000,,1700000,68100000,,,72800000,,,,0,,3900000.0,4100000,,3300000.0,62300000,86000000,51900000,59700000,28300000,100400000,,100000,30900000.0,,,,,,,19300000,0,0,12900000,38947368,,800000,,,,,
1981-06-30,5400000,0.25,,9100000,18000000.0,,,10500000,70400000,44900000,307700000,,,6700000.0,,,-49200000,,3300000,113100000,,10500000,182300000,101300000,10500000,0,59900000,42000000,,0.25,211600000,40900000.0,,0,60400000,,1200000,69200000,,,81000000,,,,0,,5500000.0,5400000,,4000000.0,64600000,96100000,56400000,60400000,35700000,109600000,,0,38400000.0,,,,,,,25700000,0,0,19600000,42000000,,600000,,,,,
1982-06-30,3400000,0.28,,9500000,10000000.0,,,11800000,79700000,54700000,332800000,,,6500000.0,,,-55800000,,5800000,120800000,,11800000,195700000,105300000,11800000,0,67700000,42142857,,0.28,226000000,50400000.0,,0,68900000,,1200000,74900000,,,90400000,,,,0,,3800000.0,3400000,,4200000.0,74400000,106800000,50600000,65300000,37900000,121100000,,100000,40600000.0,,,,,,,27100000,0,0,21300000,42142857,,700000,,,,,
1983-06-30,6200000,0.29,,9900000,22300000.0,,,12800000,84100000,59600000,361500000,,,6600000.0,,,-62600000,,5300000,139400000,,12800000,225100000,126700000,12800000,0,75600000,44137931,,0.29,249000000,54200000.0,,0,72300000,,1100000,85700000,,,98400000,,,,0,,3700000.0,6200000,,5300000.0,77600000,112500000,67100000,76700000,40200000,139300000,,100000,44800000.0,,,,,,,28400000,0,0,22700000,44137931,,1000000,,,,,
1984-06-30,2400000,0.29,,9800000,32900000.0,,,13000000,95000000,67900000,418500000,,,8400000.0,,,-73400000,,6400000,166400000,,13000000,266700000,157900000,13000000,0,83300000,44827586,,0.29,294800000,61200000.0,,0,81200000,,1200000,100300000,,,108800000,,,,0,,3700000.0,2400000,,6700000.0,103500000,123700000,90000000,90200000,42500000,163600000,,0,57100000.0,,,,,,,28700000,0,0,22800000,44827586,,2500000,,,,,
1985-06-30,3500000,0.24,,8100000,29500000.0,,,10700000,98500000,66900000,440600000,,,8700000.0,,,-82600000,,6900000,162800000,,10700000,263400000,148600000,10700000,0,88400000,44583333,,0.24,315300000,58000000.0,,0,83900000,,1200000,100600000,,,114800000,,,,0,,,3500000,,8900000.0,97000000,125300000,81700000,93700000,41400000,176300000,,0,52200000.0,,,,,,,26800000,0,0,18800000,44583333,,600000,,,,,
1986-06-30,3500000,0.24,,8100000,29500000.0,,,10700000,98500000,66900000,440600000,,,8700000.0,,,-82600000,,6900000,162800000,,10700000,263400000,148600000,10700000,0,88400000,44583333,,0.24,315300000,58000000.0,,0,83900000,,1200000,100600000,,,114800000,,,,0,,,3500000,,8900000.0,97000000,125300000,81700000,93700000,41400000,176300000,,0,52200000.0,,,,,,,26800000,0,0,18800000,44583333,,600000,,,,,
1987-06-30,2200000,0.33,,16100000,32100000.0,,,17200000,99600000,65600000,429600000,,,6000000.0,,,-87200000,,18200000,157100000,,17200000,275000000,147300000,17200000,0,100800000,52121212,,0.33,291200000,52100000.0,,0,84700000,,2600000,117900000,,,127700000,,,,0,,,2200000,,13500000.0,92000000,138400000,81700000,99700000,53700000,186900000,,0,49600000.0,,,,,,,38800000,0,0,33300000,52121212,,600000,,,,,
1988-06-30,4000000,0.43,,12800000,40500000.0,,,21800000,104900000,63300000,453400000,,,7000000.0,,,-97700000,,19400000,168600000,,21800000,286300000,152200000,21800000,0,90600000,50697674,,0.43,307300000,49500000.0,,0,88400000,,1500000,117700000,,,134100000,,,,0,,,4000000,,13800000.0,94500000,146100000,88900000,98300000,57700000,196000000,,0,48400000.0,,,,,,,41200000,0,0,34600000,50697674,,600000,,,,,
