date,annualOtherNonCurrentAssets,annualOperatingExpense,annualAccumulatedDepreciation,annualCapitalExpenditure,annualDeferredIncomeTax,annualSellingGeneralAndAdministration,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualTaxProvision,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualInterestExpense,annualTotalRevenue,annualGrossProfit,annualTotalNonCurrentAssets,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualChangeInInventory,annualBeginningCashPosition,annualCashDividendsPaid,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualNetIncome,annualCurrentDebt,annualCostOfRevenue,annualBasicAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualIncomeTaxPayable,annualInvestingCashFlow,annualLongTermDebt,annualBasicEPS,annualStockholdersEquity,annualOtherNonCashItems,annualNonCurrentDeferredRevenue,annualRetainedEarnings,annualStockBasedCompensation,annualGoodwill,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCurrentLiabilities,annualInventory,annualAccountsReceivable,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualNetPPE,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,annualAccountsPayable,annualEbitda,annualDilutedEPS,annualDilutedAverageShares,annualEndCashPosition,annualOperatingIncome,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualPretaxIncome,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualOtherShortTermInvestments,annualPurchaseOfInvestment
1979-12-31,92500000,542100000.0,-386900000.0,,,214500000.0,246700000,,,,,,155900000.0,188600000.0,196300000.0,,72600000.0,1911900000.0,933100000.0,2107200000,0.0,1401700000,,31600000,,0.0,,,188600000.0,188600000.0,78000000.0,978800000.0,1571666667.0,106800000.0,,,0.0,966100000,0.12,952200000,,,871900000.0,,,2353900000,,,274300000,17800000.0,,,69800000.0,140700000,26100000.0,1944900000,,,1127400000,,0.0,,477500000.0,0.12,1571666667.0,0.0,391000000.0,2331800000,140700000,,344500000.0,,54500000,,,,
1980-12-31,111700000,627500000.0,-479500000.0,,,230700000.0,233900000,,,,,,181700000.0,220900000.0,233700000.0,,90800000.0,2184300000.0,1089700000.0,2409500000,0.0,1502500000,,33500000,,0.0,,,220900000.0,220900000.0,99000000.0,1094600000.0,1577857143.0,140400000.0,,,0.0,969800000,0.14,1140900000,,,1063100000.0,,,2643400000,,,332700000,20800000.0,,,70700000.0,112900000,31100000.0,2227100000,,,1169800000,,0.0,,569600000.0,0.14,1577857143.0,0.0,462200000.0,2706600000,112900000,,402600000.0,,59600000,,,,
1981-12-31,145200000,791600000.0,-592200000.0,,,665200000.0,176200000,,,,,,216800000.0,264800000.0,253600000.0,,91300000.0,2477200000.0,1325900000.0,2723100000,0.0,1528600000,,37400000,,0.0,,,264800000.0,264800000.0,99300000.0,1151300000.0,1557647059.0,187100000.0,,,0.0,925500000,0.17,1370700000,,,1289700000.0,,,2899300000,,,352900000,22500000.0,,,81300000.0,40100000,38600000.0,2496600000,,,1175700000,,0.0,,660700000.0,0.17,1557647059.0,0.0,534300000.0,3088800000,40100000,,481600000.0,,63100000,,,,
1982-12-31,187500000,895300000.0,-691100000.0,,,741000000.0,200100000,,,,,,245400000.0,300600000.0,296100000.0,,94200000.0,2715200000.0,1481100000.0,3062700000,0.0,1734200000,,44500000,,0.0,,,300600000.0,300600000.0,82200000.0,1234100000.0,1582105263.0,232300000.0,,,0.0,1055900000,0.19,1528600000,,,1543000000.0,,,3262800000,,,378300000,23500000.0,,,109700000.0,44100000,54300000.0,2765500000,,,1355900000,,0.0,,740100000.0,0.19,1582105263.0,0.0,585800000.0,3456600000,44100000,,546000000.0,,67700000,,,,
1983-12-31,168600000,1002400000.0,-822000000.0,,,816900000.0,231400000,,,,,,285400000.0,342600000.0,318900000.0,,108500000.0,3001100000.0,1677200000.0,3495900000,0.0,1972200000,,49300000,,0.0,,,342600000.0,342600000.0,111000000.0,1323900000.0,1557272727.0,298100000.0,,,0.0,1171300000,0.22,1755100000,,,1827700000.0,,,3727300000,,,429900000,26600000.0,,,144100000.0,66500000,61800000.0,3183200000,,,1542300000,,0.0,,860300000.0,0.22,1557272727.0,0.0,674800000.0,4005200000,66500000,,628000000.0,,72900000,,,,
1984-12-31,317300000,1209500000.0,-932700000.0,,,999300000.0,254700000,,,,,,318400000.0,386000000.0,422000000.0,,122000000.0,3365900000.0,1990100000.0,3974900000,0.0,2286900000,,48500000,,0.0,,,389100000.0,389100000.0,92500000.0,1375800000.0,1544000000.0,76900000.0,,,0.0,1268200000,0.25,1942700000,,,2146700000.0,,,4229600000,,,514500000,27900000.0,,,137000000.0,74500000,48900000.0,3520600000,,,1772400000,,0.0,,990800000.0,0.25,1544000000.0,0.0,780600000.0,4453300000,74500000,,707500000.0,,427300000,,,,
1985-12-31,343100000,1353700000.0,-1086400000.0,,,1119400000.0,369400000,,,,,,349200000.0,428500000.0,533000000.0,,140800000.0,3694700000.0,2210600000.0,4673700000,0.0,2856600000,,56800000,,0.0,,,433000000.0,433000000.0,130400000.0,1484100000.0,1530357143.0,414500000.0,,,0.0,1638000000,0.28,2186500000,,,2499400000.0,,,5043100000,,,663400000,31700000.0,,,166400000.0,155400000,66100000.0,4164200000,,,2193200000,,0.0,,1091200000.0,0.28,1530357143.0,0.0,856900000.0,5250600000,155400000,,782200000.0,,140700000,,,,
1986-12-31,386300000,1411300000.0,-1301600000.0,,,1175000000.0,472600000,,,,,,368400000.0,476200000.0,609900000.0,,172900000.0,4143500000.0,2335600000.0,5495900000,0.0,3520400000,,71000000,,0.0,,,479700000.0,479700000.0,189400000.0,1807900000.0,1488125000.0,450700000.0,,,0.0,2131400000,0.32,2448100000,,,2893200000.0,,,5968500000,,,799300000,38100000.0,,,232000000.0,205100000,96700000.0,4877600000,,,2721100000,,0.0,,1160600000.0,0.32,1488125000.0,0.0,924300000.0,6179200000,205100000,,848100000.0,,139000000,,,,
1987-12-31,416700000,863500000.0,-1573400000.0,,,525100000.0,483600000,,,,,,409700000.0,547500000.0,756900000.0,,203100000.0,4893500000.0,2025300000.0,6498000000,0.0,4064900000,,67900000,,0.0,,,549100000.0,549100000.0,99300000.0,2868200000.0,1479729730.0,,,,0.0,2685100000,0.37,2916700000,,,3396000000.0,,,6981600000,,,856200000,48500000.0,,,261700000.0,183200000,100000.0,5819600000,,,3208700000,,0.0,,1500200000.0,0.37,1479729730.0,0.0,1161800000.0,7393000000,183200000,,958800000.0,,523600000,,,,
1988-12-31,527200000,994700000.0,-1847500000.0,,,611300000.0,516400000,,,,,,400600000.0,645900000.0,845900000.0,,237300000.0,5566300000.0,2278400000.0,7642300000,0.0,4745900000,,79500000,,0.0,,,645900000.0,645900000.0,157700000.0,3287900000.0,1502093023.0,543300000.0,,,0.0,3111100000,0.43,3412800000,,,3935200000.0,,,8158700000,,,1003600000,48500000.0,,,314800000.0,184400000,100000.0,6800300000,,,3742300000,,0.0,,1667100000.0,0.43,1502093023.0,0.0,1283700000.0,8647800000,184400000,,1046500000.0,,87900000,,,,
1989-12-31,596000000,1101000000.0,-2116000000.0,-1555000000.0,68000000.0,663000000.0,495000000,-479000000.0,,-47000000.0,13000000.0,,430000000.0,722600000.0,469000000.0,,302000000.0,6142000000.0,2560000000.0,8680000000,-309000000.0,5625000000,13000000.0,78000000,1000000.0,184000000.0,-115000000.0,,727000000.0,727000000.0,135000000.0,3582000000.0,1474693878.0,613000000.0,,,-1513000000.0,3901000000,0.49,3550000000,,,4546000000.0,,,9175000000,220000000.0,438000000.0,1017000000,46000000.0,,200000000.0,326000000.0,137000000,0.0,7758000000,200000000.0,,4608000000,,1246000000.0,413000000.0,1897000000.0,0.48,1505416667.0,0.0,1459000000.0,9874000000,137000000,-119000000.0,1157000000.0,,94000000,,,,
1990-12-31,687400000,3948900000.0,-2488400000.0,-1570700000.0,70800000.0,3455600000.0,549000000,-160300000.0,,5900000.0,23400000.0,,444000000.0,788300000.0,479300000.0,,381200000.0,6639600000.0,5449500000.0,10118500000,-269700000.0,6485200000,5600000.0,108300000,-32100000.0,136900000.0,-133300000.0,,802300000.0,802300000.0,363700000.0,1190100000.0,1433272727.0,695100000.0,,,-1522500000.0,4428700000,0.55,4182300000,-71000000.0,,5214500000.0,,,10667500000,227400000.0,493300000.0,1198700000,42900000.0,,199700000.0,384000000.0,142800000,126900000.0,9047100000,,,5286500000,,1301000000.0,355700000.0,1993900000.0,0.54,1459814815.0,0.0,1500600000.0,11535500000,142800000,-122100000.0,1246300000.0,,162700000,,,,
