date,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualBeginningCashPosition,annualRepaymentOfDebt,annualInterestExpense,annualDilutedAverageShares,annualDilutedEPS,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualBasicAverageShares,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualTotalRevenue,annualCurrentDeferredRevenue,annualCurrentDebt,annualCostOfRevenue,annualCapitalStock,annualGrossProfit,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualRetainedEarnings,annualTotalAssets,annualNetOtherInvestingChanges,annualAccountsReceivable,annualPretaxIncome,annualPurchaseOfInvestment,annualNetIncome,annualCashDividendsPaid,annualFreeCashFlow,annualAccountsPayable,annualInvestingCashFlow,annualLongTermDebt,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,annualEndCashPosition,annualOperatingIncome,annualNonCurrentDeferredRevenue,annualDepreciationAndAmortization,annualTaxProvision,annualCashAndCashEquivalents,annualBasicEPS,annualCurrentLiabilities,annualInvestmentsAndAdvances,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualNetPPE,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualEbitda,annualRepurchaseOfCapitalStock,annualChangeInInventory,annualGoodwill,annualResearchAndDevelopment,annualIncomeTaxPayable,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualCurrentAccruedExpenses,annualInventory,annualNonCurrentDeferredTaxesLiabilities
2004-12-31,97443677,151523580,4576349,,100000,-300000,32769,19312634,0.24,,,,-128131582,5057284,19310833,,-3869767,283125421,,4576349,10893459,,,,26083,,7214601,73777619,-1311757,6124585,-729545,-1924329,306506063,-23151797,,,,4576349,-2608286,-118212684,,-195600642,56000000,231728444,,-2299566,97543677,3678858,3578229,1517530,,97543677,0.24,,,,,233703474,150211823,,97543677,,6854130,9918898,,,5196388,,,,,,,,,,
2005-12-31,-38427845,376479780,19640347,,97543677,-60645833,1542266,32370089,0.61,,,,-97813601,8016992,32343019,,-398842,151971555,,19640347,31549199,,,,39345,,12421353,142722538,-5260219,3495913,-2799202,-3350565,501173546,-70887885,,,-45999178,19640347,-16730414,-73512337,,-214700664,100484520,356277142,,-4334920,59115832,19127846,10922317,4567675,,59115832,0.61,,,,,125347302,371219561,,59115832,,6295115,24301264,,,23695521,-75000,,,,,,,,,
2006-12-31,-55012959,661826459,30159698,,59115832,-118607528,4417955,39701976,0.76,,,0,-235770706,10190850,39537877,,-7649968,199765222,,29672741,50471432,,,,39586,,16895774,399983774,-10758514,3342220,-2693111,-12996468,744756745,0,,,-68733148,30159698,-36105732,-193687365,,-296861522,304961898,343721136,,-805650,4102873,33575658,14615609,8318303,,4102873,0.76,,,,,0,651067945,,4102873,,6035331,42083341,,,41893961,,,,,,,,,,
2007-12-31,90112261,842904249,41239639,,4102873,-427556088,28236502,47903432,0.86,,,0,-212980850,15791840,47717026,,39365344,253463376,,40009949,96287363,,,,52133,,28404470,538385139,-22712733,-3779928,2974229,-27170405,1051660686,74894311,,,-130297234,41239639,-53078830,-176151233,,-200180732,480525166,513120443,,-13802642,94215134,67882893,20839338,13172548,,94215134,0.86,,,,,135809396,820191516,,94215134,,-6754157,36829617,,,81055441,-262343,,,,,,,,,
2008-12-31,-82467000,1181964710,34486994,13645000,94215000,-267900000,40652716,62144011,0.55,0,1141631000,,-430710000,24198129,62037511,6385000,-3109000,216279000,,27204623,117563237,16110241,,0,65056,117563000,49759125,692595983,-40333974,8468000,,-56698302,1311439440,67655000,32840000,,-95567000,34486994,-65098000,-360793000,,-368663000,638365637,618356955,16698000,-2827000,11748000,67804112,,26535000,,11747894,0.56,54473000,,,0,128331000,1141630736,,11747894,,,69917000,638366000,169809000,93365108,,,,,,,,,,
2009-12-31,3559000,1183639569,36330198,0,11748000,-57032000,37662501,78117099,0.45,0,1247207000,0,-421000,21095970,78117099,5488000,232000,-47056000,,39274881,129751430,15350492,,6113057,78725,123638373,46744012,638323402,-60302300,-520000,,-88093261,1309898126,-7777000,27538737,,-23243000,36330198,-61649000,62330000,,-12136000,576677892,671443794,0,-902000,15307000,76894361,,26309000,,15306889,0.45,44597000,,,13028000,68003000,1123337269,4305000,15306889,,,62751000,593726000,62691000,102542403,0,,,,,,,,,
2010-12-31,83101000,1197369288,22913231,0,15307000,-353965000,33993058,100707713,0.22,20157000,1121274932,-18715638,-144446000,28534961,100705795,6616000,-5831000,-317000,,13229002,121847270,23137000,369969691,4406987,110225,117440283,53020870,449237647,-76094356,3905000,,-148530467,1348813709,90486000,28911861,13228000,-20928000,22913231,-77087000,-83809000,,22781000,369970000,899461904,23057868,-16679000,98408000,64419413,23136926,26312000,,98408509,0.22,405944005,,35004000,23058000,288066000,1121274932,,98408509,-3640751,,60637000,43293642,227538777,88905322,,,,,,,,,,
2011-12-31,4318000,1221999000,26536000,0,98408000,-246262000,43812000,110629000,0.23,28778000,1455293000,-18962000,-269510000,27219000,110623000,6983000,-21689000,190669000,,19431000,143319000,23307000,,1090000,111000,142229000,60120000,793059000,-93430000,-452000,,-214059000,1621874000,4289000,33993000,19431000,-41530000,26536000,-89601000,-190240000,,-265621000,689849000,828815000,0,-5520000,102726000,82109000,,35477000,,102726000,0.23,74432000,,43093000,43792000,0,1128569000,,102726000,-12231000,,79270000,718627000,166581000,98720000,,,,,,,,,,
2012-12-31,-65415000,1280714967,89899695,0,102726000,-232000,58243000,132333157,0.67,17341694,2058128033,-62382282,-666060000,28581455,132331091,7637000,-17860000,446404000,-621490000,75392850,201397418,20609467,,1495448,136336,199901970,62126838,1129071807,-126733639,-10667000,-17261000,-233494130,2178885652,9638000,83446412,75392850,-31908000,89899695,-103952000,105309000,65961000,-617128000,1025159854,1049813845,0,-7418000,37311000,137775132,20609467,35593000,,37311207,0.67,65960792,314411549,40489000,221085156,233048000,1153981328,,37311207,-12482210,9201000,105309000,1063111015,120757619,171320515,,,,,,,,,,
2013-12-31,8048000,1865454628,96991110,0,37311000,-11249000,66746000,152597666,0.63,20583283,2754262415,-83004659,-41452000,30063409,151439002,8832000,-6529000,579824000,-654922000,89301543,242523563,23786819,,2450521,161310,240073042,67041133,1560362028,-159776091,15688000,-13211000,-264804113,2904570369,3503000,104328306,90027250,-52115000,96991110,-120309000,140801000,94311000,-712577000,1421680749,1344208341,0,-13550000,45979000,173031909,23786819,38818000,725707,45979648,0.64,94311177,431024228,74949000,228909650,313331000,1705678537,,45979648,-8940646,23867000,140801000,1466050851,150307954,210009633,,,,,,,,,,
