date,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualInvestingCashFlow,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualDilutedEPS,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCommonStockIssuance,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualOtherNonCurrentAssets,annualEbitda,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualOtherIncomeExpense,annualDilutedAverageShares,annualOtherCurrentLiabilities,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualTaxProvision,annualCurrentDebt,annualInventory,annualCapitalStock,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualResearchAndDevelopment,annualTotalNonCurrentAssets,annualGrossProfit,annualFreeCashFlow,annualStockBasedCompensation,annualBasicAverageShares,annualNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualOperatingExpense,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest
1984-06-30,28100000,15900000,,,,,400000.0,,,,30700000,,0,29100000,25900000,47600000,,,0,0.005,8100000,0,400000.0,,,16500000,,,,,,0.0,1600000,31200000,,0.005,,3300000,3300000,,,0,37900000,11600000,,15900000,45500000,-3500000,,-1100000,3180000000,,,,,12200000,,9800000.0,,,20800000,1200000,97500000,,9700000,76700000,0,,3180000000,,,,15900000,,47600000,,16900000
1985-06-30,42800000,24100000,,,,,,,,,54400000,,0,40800000,50000000,65100000,,,0,0.005,11200000,0,100000.0,,,10600000,,,,,,,1800000,44300000,,0.005,,18900000,18900000,,,0,52100000,18200000,,24100000,69100000,-7000000,,1900000,7117928640,,,,,18700000,,5900000.0,,,27000000,2000000,140400000,,13000000,113400000,0,,7117928640,,,,24100000,,72600000,,10700000
1986-06-30,66000000,39300000,,,,,1900000.0,,,,139300000,,0,60900000,89200000,170700000,,,0,0.01,19500000,0,1900000.0,,,29500000,,,,,,0.0,3200000,66700000,,0.01,,102700000,102700000,,,0,148000000,30500000,,39300000,95700000,-11000000,,5100000,7342400000,,,,,26700000,,8000000.0,,,35100000,2800000,197500000,,22700000,162400000,0,,7342400000,,,,39300000,,101500000,,31400000
1987-06-30,121400000,71900000,,,,,2000000.0,,,,239100000,,0,126900000,161100000,287800000,,,0,0.01,70000000,0,2100000.0,,,46600000,,,,,,100000.0,4800000,134500000,,0.01,,132500000,132500000,,,0,213000000,88600000,,71900000,145100000,-18600000,,-5500000,7190000000,41500000.0,,,,49500000,5100000.0,16600000.0,,,66300000,8800000,345900000,,74800000,279600000,0,,7190000000,,,,71900000,,152700000,,48700000
1988-06-30,183700000,123900000,,,,,,,,,375500000,,0,187400000,285000000,493000000,,,0,0.02,130100000,0,-100000.0,,,117600000,,7900000.0,,,,,9700000,203400000,,0.02,,183200000,183200000,,,0,345300000,160200000,,123900000,255400000,-30100000,,-3700000,6195000000,97300000.0,,,,59800000,20300000.0,53500000.0,,,132000000,15000000,590800000,,147700000,458800000,0,,6195000000,,,,123900000,,271400000,,117500000
1989-06-30,250800000,170500000,,,-15700000.0,,,,,,561800000,,-145000000,242200000,455600000,720600000,24200000.0,25500000.0,0,0.025,198800000,222500000,,42000000.0,,158800000,,,6300000.0,,,,52900000,266400000,,0.025,-39900000.0,192400000,192400000,,,90500000,468900000,248600000,,170500000,357100000,-49800000,,8600000,6820000000,91400000.0,,101900000.0,-89400000.0,80300000,25400000.0,37800000.0,,,180000000,127500000,803500000,,251700000,623500000,133100000,,6820000000,14000000.0,,,170500000,27800000.0,381300000,14700000.0,158800000
1990-06-30,410600000,279200000,,,-94500000.0,,,,,,918600000,,-270700000,393200000,688900000,1105300000,46300000.0,43500000.0,0,0.035,325400000,278300000,-100000.0,51000000.0,,186800000,,,109800000.0,,-46700000.0,,60000000,439500000,,0.035,-18100000.0,246300000,246300000,,,192400000,719900000,399300000,,279200000,537500000,-73900000,,17300000,7977142857,129300000.0,,53900000.0,-158100000.0,131400000,6500000.0,55600000.0,,,206400000,237000000,1183400000,,385400000,977000000,120200000,,7977142857,0.0,,,279200000,-47200000.0,583800000,-15600000.0,186700000
1991-06-30,670600000,462700000,,,-76600000.0,,,,,,1350800000,100000.0,-380700000,649800000,956300000,1644200000,75800000.0,-4300000.0,0,0.055,530200000,557900000,,85900000.0,,293400000,,,179700000.0,,-197000000.0,,85500000,725600000,,0.055,-39700000.0,417200000,417200000,,,246300000,1028500000,648700000,,462700000,831000000,-118500000,,20800000,8412727273,188000000.0,,170900000.0,-264400000.0,207900000,19500000.0,47100000.0,,,286800000,320900000,1843400000,,615700000,1556600000,293500000,,8412727273,100000.0,,,462700000,19300000.0,906800000,8100000.0,293400000
1992-06-30,1041300000,708100000,,,-284300000.0,,,,,,2193000000,,-641600000,996000000,1536100000,2639900000,112300000.0,119000000.0,0,0.08,766600000,907000000,,187500000.0,,446900000,,,265100000.0,,-135000000.0,,103600000,1108300000,,0.08,-40700000.0,791400000,791400000,,,417200000,1769700000,977200000,,708100000,1296300000,-210600000,,45300000,8851250000,251100000.0,,374300000.0,-316600000.0,333200000,8300000.0,85900000.0,,,354100000,68700000,2758700000,,870200000,2404600000,590400000,,8851250000,0.0,,,708100000,86600000.0,1408600000,-40000000.0,446900000
1993-06-30,1401000000,953000000,,,-723000000.0,,,,,,3242000000,,-976000000,1326000000,2156000000,3805000000,151000000.0,186000000.0,0,0.1,867000000,1074000000,,239000000.0,,563000000,,,436000000.0,,-250000000.0,,88000000,1477000000,,0.1,-17000000.0,1013000000,1013000000,,,791000000,2850000000,1181000000,,953000000,1794000000,-314000000,,75000000,9530000000,324000000.0,,222000000.0,-236000000.0,448000000,,127000000.0,,,482000000,1372000000,3753000000,,955000000,3271000000,838000000,,9530000000,0.0,,,953000000,-30000000.0,1945000000,-51000000.0,563000000
1994-06-30,1722000000,1146000000,,,-860000000.0,,,,,,4450000000,,-1202000000,1726000000,2950000000,5363000000,237000000.0,83000000.0,0,0.1175,930000000,1593000000,,324000000.0,,913000000,,,431000000.0,,-348000000.0,,121000000,1963000000,,0.1175,-64000000.0,1477000000,1477000000,,,1013000000,4312000000,1445000000,,1146000000,1550000000,-515000000,,-4000000,9760000000,589000000.0,,464000000.0,-278000000.0,576000000,,102000000.0,,,526000000,2258000000,4649000000,610000000.0,1051000000,4123000000,1315000000,,9760000000,0.0,,,1146000000,210000000.0,2397000000,23000000.0,913000000
1995-06-30,2167000000,1453000000,,,-651000000.0,,,,,,5333000000,,-1376000000,2038000000,3328000000,7210000000,269000000.0,-138000000.0,0,0.145,1192000000,1990000000,405000000.0,563000000.0,,1347000000,,,332000000.0,,-649000000.0,405000000.0,398000000,2307000000,,0.145,-230000000.0,1962000000,1962000000,,,1477000000,5620000000,1907000000,,1453000000,2162000000,-715000000,,129000000,10032000000,784000000.0,,485000000.0,-495000000.0,714000000,,88000000.0,,,608000000,2989000000,5937000000,860000000.0,1590000000,5329000000,1495000000,,10032000000,179000000.0,,,1453000000,268000000.0,3291000000,15000000.0,1752000000
1996-06-30,3379000000,2195000000,,,-1551000000.0,,,,,,6908000000,,-2670000000,3078000000,3984000000,10093000000,480000000.0,-405000000.0,0,0.214375,1326000000,3719000000,635000000.0,808000000.0,,2425000000,,,504000000.0,,-1261000000.0,635000000.0,928000000,3558000000,,0.214375,-625000000.0,2601000000,2601000000,,,1962000000,7839000000,2346000000,,2195000000,2973000000,-1020000000,,301000000,10240000000,1617000000.0,,639000000.0,-494000000.0,1184000000,,,,,708000000,4599000000,8671000000,1432000000.0,2254000000,7963000000,3225000000,,10240000000,352000000.0,,,2195000000,1044000000.0,4885000000,,3060000000
1997-06-30,5314000000,3454000000,-15000000.0,,-921000000.0,,,,,,10777000000,,-3089000000,5130000000,5288000000,14387000000,557000000.0,-501000000.0,0,0.32875,1465000000,4689000000,,721000000.0,,3610000000,,,1724000000.0,,-3101000000.0,,2549000000,5687000000,,0.32875,-1669000000.0,3706000000,3706000000,,,2601000000,10373000000,2777000000,,3439000000,3218000000,-1312000000,,184000000,10496000000,2889000000.0,,1105000000.0,-499000000.0,1860000000,,,980000000.0,,528000000,5687000000,11358000000,1925000000.0,4014000000,10830000000,4190000000,,10496000000,891000000.0,,,3454000000,678000000.0,5700000000,,3610000000
1998-06-30,7117000000,4490000000,-28000000.0,,-4828000000.0,1460000000.0,,,,,16627000000,,-7272000000,6940000000,7622000000,22357000000,1024000000.0,554000000.0,3839000000,0.4175,1505000000,6880000000,,759000000.0,,5730000000,,,959000000.0,,-2468000000.0,,4963000000,7964000000,,0.4575,-1598000000.0,3839000000,3839000000,,,3706000000,15889000000,3052000000,,4462000000,3845000000,-1547000000,,177000000,10724000000,4971000000.0,,133000000.0,-656000000.0,2627000000,,,980000000.0,,173000000,10590000000,14484000000,2502000000.0,6468000000,14311000000,6224000000,,9728000000,2091000000.0,,,4490000000,1070000000.0,7371000000,,5730000000
1999-06-30,11891000000,7785000000,-28000000.0,,-36441000000.0,2245000000.0,,,25754000000.0,,28438000000,,-11191000000,10043000000,13614000000,37156000000,1010000000.0,2245000000.0,4975000000,0.71,1611000000,10030000000,,874000000.0,,8718000000,12261000000.0,,2116000000.0,,-2950000000.0,,15312000000,11053000000,,0.77,0.0,4975000000,17236000000,,,3839000000,20233000000,3516000000,,7757000000,3920000000,-1905000000,,1848000000,10964000000,7844000000.0,,1136000000.0,-583000000.0,4106000000,,,14824000000.0,,1804000000,752000000,19747000000,2970000000.0,16923000000,17943000000,9447000000,,10056000000,3107000000.0,,,7785000000,1395000000.0,7900000000,,8718000000
