date,annualCapitalExpenditure,annualInterestExpense,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualCostOfRevenue,annualResearchAndDevelopment,annualCapitalStock,annualTaxProvision,annualInventory,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualNetIncomeContinuousOperations,annualBasicAverageShares,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualOperatingExpense,annualPurchaseOfBusiness,annualBeginningCashPosition,annualPurchaseOfInvestment,annualInvestingCashFlow,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualLongTermDebt,annualOtherNonCashItems,annualStockholdersEquity,annualCurrentLiabilities,annualDepreciationAndAmortization,annualGoodwill,annualSaleOfInvestment,annualCommonStockIssuance,annualStockBasedCompensation,annualRetainedEarnings,annualAccountsReceivable,annualTotalRevenue,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualEbitda,annualOperatingIncome,annualNetPPE,annualDilutedEPS,annualOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualGrossPPE,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings
1979-12-31,,29100000,,-373400000,,,246200000,,401600000,,,176700000,159200000,65444444,,,589000000,,,62900000,204600000,278600000,908100000,,2800000,178800000,62438163,,536000000,178800000,0,26800000,,,65200000,,0,,0,241700000,,1309700000,108900000,2.83,207700000,,773700000,186000000,,,,,,631400000,,867600000,0,350000000,,,,89300000,,,0,264800000,213400000,661900000,2.7,62300000,33400000,1035300000,,89300000,,,
1980-12-31,,14600000,,-414600000,25600000,,296800000,,422700000,,,196000000,166100000,65993266,,,633500000,,,51900000,207800000,248100000,1024500000,,3100000,197400000,64052288,,525600000,197400000,0,53500000,,,75700000,,0,,0,249300000,,1447200000,124300000,3.06,144000000,,921600000,219600000,,,,,,775400000,,881600000,0,306000000,,,,92900000,,,0,222500000,172400000,727700000,2.97,97900000,37700000,1142300000,,92900000,,,
1981-12-31,,7500000,,-457400000,36700000,,545300000,,546800000,,,80100000,170400000,66198347,,,736600000,,,26400000,248300000,166500000,1386000000,,3400000,81000000,65121951,,630100000,81000000,0,57100000,,,106800000,,0,,0,107400000,,1932800000,215500000,1.23,139100000,,1302700000,227500000,,,,,,1083900000,,903100000,0,402600000,,,,192900000,,,0,129800000,59700000,840700000,1.21,56900000,48000000,1298100000,,192900000,,,
1982-12-31,,1400000,,-448300000,15100000,,599800000,,389100000,,,47800000,121500000,68285714,,,632800000,,,-13000000,235700000,42200000,1482200000,,6000000,48600000,68285714,,551300000,48600000,0,16200000,,,71600000,,0,,0,35600000,,1871300000,201500000,0.7,189600000,,1320000000,137700000,,,,,,1100500000,,675000000,0,413600000,,,,56500000,,,0,27100000,-29400000,882400000,0.7,65100000,22500000,1330700000,,56500000,,,
1983-12-31,,5600000,,-487700000,18800000,,668100000,,456200000,,,52400000,175300000,74857143,,,672400000,,,-4900000,214800000,48500000,1635000000,,6800000,52900000,74857143,,613900000,52900000,0,19200000,,,75200000,,0,,0,48000000,,2091200000,212700000,0.7,185000000,,1477300000,194500000,,,,,,1111000000,,720900000,0,419400000,,,,111800000,,,0,29700000,-26700000,966900000,0.7,80300000,21700000,1454600000,,111800000,,,
1984-12-31,,6900000,,-538500000,23000000,,709100000,,399700000,,,37200000,168400000,74400000,,,710400000,,,-2200000,213700000,59700000,1733000000,,6600000,37200000,74400000,,651800000,37200000,0,37800000,,,90800000,,0,,0,35000000,,2132700000,208100000,0.5,216000000,,1480900000,206200000,,,,,,1114300000,,770100000,0,445600000,,,,61500000,,,0,36700000,-31100000,1023900000,0.5,73000000,21500000,1562400000,,61500000,,,
1985-12-31,,15200000,,-514800000,25600000,,670400000,,344100000,,,16000000,141000000,72727273,,,632800000,,,-53500000,173600000,53300000,1740700000,,6300000,14900000,72727273,,680700000,16000000,0,90300000,,,101700000,,0,,0,-38600000,,2084800000,149200000,0.22,240800000,,1404100000,231300000,,,,,,1037200000,,686100000,0,449400000,,,,65300000,,,0,27700000,-48400000,1070300000,0.22,-40600000,59400000,1585100000,,65300000,,,
1986-12-31,,16000000,,-152500000,28200000,,1150700000,,275600000,,,67800000,89200000,76022000,,,204900000,,,46100000,51800000,175900000,1705900000,,3600000,68500000,76022000,,529600000,67800000,0,48000000,,,99300000,,0,,0,114600000,,1981500000,138000000,0.36,170600000,,1451900000,137200000,,,,,,1080200000,,380800000,0,392400000,,,,169800000,,,0,147700000,76600000,555200000,0.36,56100000,83800000,707700000,,169800000,,,
1987-12-31,,61500000,,-293900000,31600000,,893500000,,454100000,,,337600000,189500000,80190024,,,232700000,,,111500000,79400000,281300000,1510200000,,12300000,337600000,80190024,,2422500000,337600000,0,297300000,,,101900000,,0,,0,449100000,,1964300000,171500000,4.21,1631800000,,-458200000,486800000,,,,,,-565900000,,514000000,0,1935700000,,,,287200000,,,0,249700000,179400000,616700000,4.21,315700000,132400000,910600000,,287200000,,,
1988-12-31,,123500000,,-170400000,45100000,,528600000,,183100000,,,174900000,184600000,84045000,,,279900000,,,46100000,114700000,220200000,1137900000,,7600000,92100000,84045000,,1612800000,174900000,0,381600000,,,85500000,,0,,0,138200000,,1321000000,142900000,3.05,818600000,,-291800000,566200000,,,,,,-399800000,,500100000,0,1046600000,,,,32600000,,,0,175100000,134700000,609300000,3.05,126900000,85100000,779700000,,32600000,,,
1989-12-31,-126100000,87600000,-11900000,-187100000,69000000,,535400000,,183300000,,0,125900000,97700000,83933333,-5100000,,322600000,,,26200000,89300000,259500000,1118400000,-5700000,61000000,129500000,83933333,-7900000,1454100000,125900000,8500000,185200000,,-40400000,138300000,,9900000,,-72300000,155700000,,1301700000,125500000,1.5,964200000,-43500000,-199600000,318200000,69300000,,11100000,6300000,,-314400000,,582100000,134600000,1135900000,,35300000,,4800000,,-67400000,0,190500000,121200000,583000000,1.5,133600000,46200000,770100000,42700000,4800000,,,
1990-12-31,-60100000,42400000,3300000,-274400000,82500000,,113000000,,273900000,,100000,342600000,114500000,84592593,125500000,,357000000,,,72000000,70100000,326500000,677000000,47300000,60200000,168500000,84592593,19200000,780600000,342600000,15400000,120500000,,-40600000,167300000,,4800000,,794600000,240500000,,950900000,127600000,4.05,302000000,-402500000,109600000,266800000,84800000,,,4900000,,-12400000,,683500000,75500000,513800000,,31800000,,130400000,,-744600000,0,244000000,159200000,564000000,4.05,137600000,84200000,838400000,854700000,130400000,,,
1991-12-31,-95500000,13000000,-16700000,-356200000,83800000,,76700000,,187500000,,0,94300000,95100000,84954955,-111500000,,302100000,,,27900000,101700000,320700000,630600000,-34000000,58700000,94300000,84954955,-34600000,544000000,94300000,2800000,123100000,,-40600000,177800000,,130400000,-13900000,-83700000,122200000,,818100000,76000000,1.11,112200000,-3200000,201400000,235300000,94000000,,16900000,3200000,,76200000,,622800000,98300000,308700000,,17100000,,18900000,,-126100000,0,236900000,142900000,553900000,1.11,4800000,120500000,910100000,8800000,18900000,,,
1992-12-31,-207600000,14600000,-30600000,-425500000,87400000,,149300000,,408700000,,100000,77300000,116300000,85888889,272200000,,323300000,,,2800000,85900000,289900000,806300000,-900000,24200000,90600000,85888889,14100000,606200000,79000000,-76300000,99600000,,-40800000,186200000,,18900000,-19700000,-202500000,93400000,,1215000000,44100000,0.9,177000000,-26600000,528600000,243200000,98800000,,18300000,293300000,,112700000,,613200000,131300000,363000000,,27300000,,291000000,,343400000,0,202500000,103700000,657000000,0.9,11700000,141900000,1082500000,6500000,291000000,,,
1993-12-31,-235300000,12400000,-65800000,-522600000,103000000,,162900000,,229000000,,0,117300000,76400000,85491803,-221300000,,339200000,,14400000,18600000,122200000,295100000,957400000,-102600000,18300000,94700000,85491803,-67800000,465200000,133200000,-202500000,15700000,,-58000000,213000000,,291000000,-16800000,-153300000,113300000,,1186400000,,2.02,192000000,-3500000,629900000,110000000,110000000,,88200000,26100000,,185200000,,634300000,32800000,355200000,,17900000,,69800000,,-100800000,0,192100000,82100000,794500000,2.02,54600000,163200000,1317100000,10600000,69800000,,,
1994-12-31,-402000000,9800000,-28100000,-603400000,153700000,,167300000,,370100000,,100000,60300000,104800000,75375000,90900000,,326400000,,14400000,-29300000,130900000,271000000,1286600000,11300000,27600000,76100000,75375000,-13300000,903700000,76100000,-264900000,15700000,,-57300000,244800000,,69800000,-8600000,-401200000,46800000,,1656700000,,0.8,593600000,-13300000,673500000,153200000,91100000,,13900000,10600000,,218600000,,597400000,137100000,750500000,,32700000,,160600000,,355000000,0,117300000,26200000,1119300000,0.8,37700000,156900000,1722700000,-4500000,160600000,,,
1995-12-31,-309300000,36400000,-16300000,-695500000,164700000,,229000000,-4400000,289500000,,-200000,100700000,122200000,106000000,-101500000,,370600000,,,17000000,174000000,265600000,1484300000,4800000,31900000,112600000,106000000,-55700000,948900000,112600000,-157100000,33600000,,-53700000,271500000,,160600000,,-231800000,129600000,,1773800000,,0.95,604300000,-105800000,742900000,194400000,106800000,,116400000,8000000,,283600000,,636200000,152200000,754500000,,38600000,,59100000,,-21900000,0,100900000,-5900000,1255300000,0.95,184200000,150200000,1950800000,-38900000,59100000,,,
1996-12-31,-231200000,44000000,-15800000,-747300000,120700000,,323200000,,455900000,,0,85100000,110800000,120800000,126500000,,476100000,,,-19400000,188300000,292400000,1625200000,-51100000,53200000,85100000,120800000,-46000000,949000000,85100000,-95800000,65200000,,-47700000,245500000,,59100000,,-239000000,65700000,,2081100000,,0.63,585000000,1600000,1024900000,224100000,124800000,,,265400000,,300400000,,768500000,135400000,724900000,,48100000,,185700000,,230100000,0,171700000,46900000,1302000000,0.63,71700000,139900000,2049300000,-7800000,185700000,,,
1997-12-31,-415100000,77100000,-48800000,-1343900000,66400000,,373800000,,641400000,,-2800000,68400000,242300000,155454545,-80800000,,744800000,98400000,,-7900000,339500000,828000000,2972600000,-109700000,103300000,68400000,155454545,-149300000,1854600000,68400000,-131300000,69100000,,-54500000,485800000,,227100000,,-425100000,60500000,,3614000000,,0.44,1179400000,,1591100000,394500000,321000000,,,12600000,,523700000,,1572800000,283800000,1460100000,,83100000,,146200000,,60500000,0,663200000,342200000,2598800000,0.44,-295900000,280700000,3942700000,-10000000,146200000,,,
1998-12-31,-216000000,78800000,-221000000,-1584600000,664600000,,625000000,,513100000,,-1200000,-393400000,126800000,159271255,-67100000,,851700000,,,-180900000,280400000,602200000,2673700000,-47800000,101500000,-360500000,159271255,-7800000,1654500000,-393400000,157500000,47600000,,-19100000,1006300000,,146200000,,-420800000,-541400000,,3186800000,,-2.47,1201100000,,1439500000,212300000,341700000,,,300000,,111200000,,1453900000,373500000,1442200000,,37900000,,79100000,,-19800000,0,-62400000,-404100000,2048700000,-2.47,11900000,241100000,3633300000,-204800000,79100000,,,
1999-12-31,-221000000,62500000,-65000000,-1769100000,110200000,,877000000,,534100000,,-1200000,24800000,212500000,165333333,-23800000,,775200000,,268300000,14400000,322600000,623700000,2849300000,77800000,115600000,24800000,165333333,-24400000,1805300000,24800000,181000000,23300000,,-20100000,406600000,,79100000,,-180900000,39200000,,3383400000,,0.15,1014200000,-100000,1451700000,273800000,296400000,,,,,114200000,,1398900000,402000000,1531500000,,38000000,,55300000,,-244900000,55300000,513500000,217100000,1972300000,0.15,-75600000,517300000,3741400000,40100000,55300000,,,
2000-12-31,-378006000,79616000,-65560000,-2034009000,118540000,,755435000,,511902000,,861000,-18947000,189252000,168078000,4974000,,908522000,,273470000,11310000,333880000,658151000,2998802000,63632000,37520000,-10540000,168078000,-35055000,1856262000,-18947000,130410000,29874000,,-20165000,517428000,,55314000,,-450658000,770000,,3510704000,64188000,-0.11,976446000,,1466388000,290668000,415349000,,,,,76394000,17199000,1566673000,508416000,1565594000,,71542000,7084000,67372000,,-52784000,60288000,556072000,140723000,1949309000,-0.11,-94059000,524960000,3983318000,-72652000,60288000,,,
2001-12-31,-402000000,86000000,-85000000,-2810000000,73000000,,748000000,,709000000,205000000,46000000,-30000000,0,195059000,72000000,,1148000000,,326000000,-53000000,384000000,508000000,3353000000,59000000,43000000,-23000000,195059000,36000000,2330000000,-23000000,-21000000,192000000,,-31000000,492000000,,78000000,,-397000000,-76000000,,4062000000,134000000,-0.16,1090000000,,1481000000,486000000,349000000,,,,,-292000000,19000000,1656000000,381000000,1844000000,,81000000,75000000,224000000,,85000000,149000000,365000000,16000000,2207000000,-0.16,-67000000,620000000,5017000000,5000000,149000000,,,-12000000
2002-12-31,-300057000,134791000,-100291000,-2957025000,144788000,,1522030000,,1113256000,369396000,-3000,154323000,74999000,372975000,252252000,,1660834000,,565019000,19900000,498317000,1084166000,9041262000,12477000,75772000,150360000,370940000,-9546000,4380712000,158061000,370251000,115322000,,-49982000,779944000,,149431000,,112110000,170260000,,10154518000,656452000,0.42,1701282000,,5419248000,693463000,542793000,,500103000,67346000,,-120213000,44510000,2745000000,670308000,3687249000,,105277000,13188000,414871000,4439924000,-530075000,401683000,847015000,304222000,2317880000,0.41,38242000,1329515000,5274905000,-87936000,401683000,,,-64026000
2003-12-31,-501000000,89000000,-36000000,-3467000000,130000000,,1168000000,,2360000000,,0,475000000,462000000,413723000,912000000,,1816000000,,638000000,207000000,474000000,1398000000,8690000000,-203000000,262000000,510000000,410600000,-73000000,3318000000,475000000,88000000,191000000,,-71000000,694000000,,402000000,-15000000,-202000000,925000000,,11050000000,633000000,1.16,887000000,,7385000000,834000000,528000000,,232000000,1287000000,,301000000,91000000,3214000000,589000000,2484000000,,163000000,145000000,1459000000,4422000000,547000000,1314000000,1268000000,704000000,2348000000,1.15,441000000,964000000,5815000000,-98000000,1314000000,,,23000000
