date,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualEbitda,annualGrossPPE,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualInterestExpense,annualCapitalStock,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualInventory,annualPurchaseOfBusiness,annualNetOtherFinancingCharges,annualCurrentDebt,annualStockBasedCompensation,annualDeferredIncomeTax,annualCostOfRevenue,annualOperatingExpense,annualGrossProfit,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualNetOtherInvestingChanges,annualChangeInWorkingCapital,annualNetIncome,annualCommonStockIssuance,annualOtherShortTermInvestments,annualGoodwill,annualPretaxIncome,annualCashDividendsPaid,annualFreeCashFlow,annualOperatingIncome,annualOtherCurrentAssets,annualTotalRevenue,annualInvestingCashFlow,annualAccountsReceivable,annualPurchaseOfInvestment,annualAccountsPayable,annualTaxProvision,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualTotalAssets,annualStockholdersEquity,annualEndCashPosition,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualOperatingCashFlow,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,annualResearchAndDevelopment,annualBasicEPS,annualRetainedEarnings,annualIncomeTaxPayable,annualChangesInAccountReceivables,annualDilutedEPS,annualCurrentDeferredRevenue,annualDilutedAverageShares,annualBasicAverageShares
2002-12-31,-4300000,,,,104800000,,,,0,,,7700000,,,20400000,,-4300000,,,20400000,,,,,19500000,,,12400000,,,-30600000,,-4300000,,,,-4300000,,10200000,93000000,,112500000,-30600000,,,,0,,,179700000,,,,,,,,,,,,,,,178200000,10200000,,,,,,,,,,,
2003-12-31,9500000,,,,724700000,,,,,,,,,,,,9500000,,,,,,,,12900000,,,139500000,,,,,9500000,,,,,,,711800000,,724700000,,,,,,,,316800000,177300000,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,20100000,,,,835400000,,,,,,,,,,,,20100000,,,,,,,,14200000,,,302100000,,,,,20100000,,,,,,,821200000,,835400000,,,,,,,,612200000,310100000,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,40841000,53000,0,,72795000,1106107000,0,1613000,11542000,,,8336000,1119499000,-37246000,-52671000,13232000,40841000,1155000,,-52671000,4932000,,,265851000,50245000,102628000,-9126000,903298000,,-732000,18683000,-3251000,40841000,,,,,,33988000,52383000,664000,368479000,-18563000,1525000,,2145000,,,863960000,1122843000,,0,20412000,30595000,37725000,,,,,865573000,3344000,,22518000,,1096981000,71234000,,,,,,,,,,,
2006-12-31,-46910000,0,0,,89644000,1129210000,0,1780000,72910000,,0,6904000,1097261000,-23117000,6867000,-1397000,-46910000,,,6867000,281083000,,2532000,293435000,62862000,91394000,-65102000,900205000,2844000,1155000,0,881000,-46910000,,,,-44378000,,-6899000,28532000,17250000,384829000,-23085000,1310000,,2789000,2532000,,582877000,1115821000,215616000,0,61112000,28832000,312704000,,,,,587501000,18560000,,33153000,215616000,1064108000,16218000,,,,,,,,,,,
2007-12-31,40250000,44003000,50994000,,186915000,1433955000,0,46375000,41434000,0,-29895000,18927000,1271497000,-41088000,-178770000,1052000,40250000,1624000,,-12131000,,,1479000,1457728000,90387000,203741000,-174361000,865766000,559000,-666000,372000,124213000,40250000,777471000,,,41729000,-31221000,229392000,113354000,8964000,1661469000,-40716000,146893000,,5693000,1479000,,626300000,1479972000,614206000,50994000,73561000,142836000,192532000,50994000,,,,673234000,208475000,,11903000,-75236000,1259594000,270480000,,50994000,,,,,,,,,
2008-12-31,91494000,11664000,30774000,-350632000,205722000,1492726000,50994000,13234000,38274000,,12134000,22392000,1325396000,-51169000,-13459000,-76803000,91494000,987000,,-7160000,,,1400000,1858356000,96728000,215762000,-248389000,818542000,1959000,637000,167000,2579000,91494000,0,,,92894000,-90932000,44066000,119034000,92105000,2074118000,-51002000,80650000,,8649000,1400000,,696845000,1580906000,-690292000,81768000,74554000,86191000,106504000,81768000,,,,712038000,255510000,,70535000,72072000,1244337000,95235000,,81768000,,,,,,,,,
2009-12-31,52000000,16300000,-34900000,-994100000,251800000,2096800000,95300000,35500000,95400000,,5000000,78900000,1725900000,-57200000,-277600000,700000,54200000,39300000,,-7700000,,,800000,3585600000,364400000,510000000,-418300000,1344700000,4900000,23100000,100000,56600000,52000000,103100000,,,55200000,-185500000,242600000,145600000,27000000,4095600000,-57100000,328300000,,265400000,1000000,,908400000,2180900000,0,60400000,101200000,114200000,395900000,60400000,18500000,,,948800000,455000000,,28900000,,1678500000,299800000,0,60400000,,,,,,,,,
2010-12-31,109100000,34200000,-14600000,-1794700000,425000000,3299500000,90900000,40600000,110800000,,31400000,122400000,2565600000,-137000000,-250900000,3200000,134000000,50300000,,-32500000,,,1200000,4947500000,295300000,512700000,-804300000,2137300000,8700000,-11400000,2100000,13100000,109100000,317800000,,,138000000,-334600000,234200000,217400000,28100000,5460200000,-134900000,466100000,,301900000,4000000,,1478200000,3186400000,0,76300000,171300000,273700000,609800000,76300000,15200000,,,1527500000,620800000,,55200000,-30600000,2495200000,371200000,,76300000,,,,,,,,,
2011-12-31,371000000,41100000,-20700000,-2054300000,535700000,3786900000,76300000,44400000,107700000,,-6400000,414800000,2890700000,-328700000,84500000,-13100000,245500000,92100000,-156500000,-52100000,,1500000,800000,6039000000,593000000,948100000,-980800000,2296300000,9500000,-41100000,300000,-24200000,409000000,304100000,0,,249800000,-225200000,72200000,355100000,2700000,6987100000,-506100000,575900000,-21200000,404600000,4300000,,1477700000,3658000000,0,55600000,178200000,303200000,748900000,55600000,36800000,,,1547400000,767300000,,36900000,-25600000,2806100000,400900000,,55600000,,,,,,,,,
