date,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualBasicAverageShares,annualNetPPE,annualEbitda,annualOtherIncomeExpense,annualGrossPPE,annualChangeInInventory,annualBasicEPS,annualIncomeTaxPayable,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualBeginningCashPosition,annualPurchaseOfInvestment,annualCapitalExpenditure,annualInvestingCashFlow,annualPretaxIncome,annualDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualGoodwill,annualInterestExpense,annualRepaymentOfDebt,annualCapitalStock,annualDilutedAverageShares,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualChangeInAccountPayable,annualAccountsPayable,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualEndCashPosition,annualChangeInWorkingCapital,annualOperatingIncome,annualOtherCurrentAssets,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualInvestmentsAndAdvances,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,annualTotalAssets,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualLongTermDebt,annualOtherNonCurrentAssets,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualSaleOfInvestment,annualCommonStockIssuance,annualAccountsReceivable,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualStockBasedCompensation
1999-12-31,4744000000,25566000000,7578000000,3247000000,0.335,,1978000000,2270000000,1268336838,18426000000,6061000000,-3712000000,39079000000,-319000000,0.335,,6456000000,,813000000,,-4351000000,-4307000000,976000000,184000000,874000000,-20653000000,,208000000,2202000000,2073000000,,344000000,,4834000000,1268336838,108000000,13208000000,16358000000,,1314000000,232000000,22774000000,249000000,3015000000,11000000,4074000000,1075000000,3015000000,44000000,727000000,,727000000,393000000,6179000000,-342000000,3504000000,-9730000000,8780000000,33733000000,1282000000,10722000000,5878000000,7140000000,,,8167000000,,9566000000,15618000000,727000000,1987000000,,,,,,
2000-12-31,7640000000,26689000000,13506000000,5826000000,2.46,,-810000000,3087000000,1268336836,19237000000,11203000000,-1561000000,40410000000,-1048000000,2.46,,4657000000,,3015000000,,-3583000000,-3577000000,7865000000,949000000,1722000000,-21173000000,,0,2811000000,2763000000,,909000000,,4834000000,1268336836,152000000,14638000000,26955000000,,1996000000,,24278000000,2523000000,5826000000,-1551000000,9160000000,1237000000,5826000000,6000000,5342000000,,5342000000,4057000000,4881000000,-512000000,4346000000,-10573000000,13449000000,39215000000,1927000000,14705000000,6889000000,7452000000,,,12526000000,,9640000000,20444000000,5342000000,2043000000,,,2211000000,,,
2001-12-31,8743000000,22538000000,11338000000,7360000000,0.8025,,-1754000000,2399000000,4344416348,19179000000,9162000000,-3206000000,38640000000,232000000,0.8025,,3786000000,,5826000000,,-4254000000,-4592000000,4792000000,193000000,717000000,-19461000000,,0,1534000000,3138000000,,808000000,,4834000000,4344416348,132000000,15494000000,24549000000,,1783000000,,23538000000,1389000000,7360000000,524000000,7431000000,1659000000,7360000000,-338000000,3491000000,,3491000000,4489000000,3019000000,-1725000000,3907000000,-13580000000,13211000000,36864000000,1751000000,13247000000,9061000000,3359000000,,,14326000000,104000000,8044000000,21993000000,3491000000,1731000000,,,2759000000,,,
2002-12-31,6287000000,21821000000,10671000000,3301000000,0.5325,,-1614000000,2540000000,4344416348,18224000000,8444000000,-3704000000,33160000000,-1139000000,0.5325,,3091000000,,7360000000,,-4911000000,-6656000000,3464000000,-116000000,123000000,-14936000000,,0,-4059000000,3137000000,,774000000,,6220000000,4344416348,147000000,15908000000,22612000000,,1702000000,,22853000000,1153000000,3301000000,-949000000,6493000000,1954000000,3301000000,-1745000000,2311000000,,2311000000,1376000000,1986000000,-1018000000,4178000000,-18589000000,11941000000,32018000000,1741000000,9301000000,10787000000,3597000000,,,10197000000,120000000,6945000000,21670000000,2311000000,1951000000,,,2267000000,,,
2003-12-31,8569000000,35712000000,15381000000,9610000000,1.495,183000000,2376000000,2947000000,4386151700,30805000000,12776000000,-1553000000,50059000000,244000000,1.495,,5554000000,,3301000000,,-6551000000,-5519000000,8773000000,64000000,1122000000,-19254000000,,0,6309000000,5085000000,,1247000000,,7262000000,4386151700,201000000,24872000000,30797000000,,2261000000,,36093000000,2663000000,9610000000,404000000,10971000000,2182000000,9610000000,1032000000,5862000000,,6559000000,2018000000,3694000000,-943000000,4410000000,-15763000000,15416000000,53612000000,2091000000,17152000000,16954000000,4724000000,,,17900000000,181000000,11221000000,25653000000,6559000000,1805000000,,,2905000000,,,
2004-12-31,8833000000,43656000000,16536000000,7244000000,1.4125,211000000,-2204000000,4904000000,4386151700,37020000000,12947000000,-774000000,58140000000,-1527000000,1.4125,,7200000000,,8344000000,,-7718000000,-8421000000,8935000000,117000000,1558000000,-21120000000,,0,-1488000000,6515000000,,1733000000,,11701000000,4386151700,248000000,26371000000,37452000000,,3284000000,388000000,39699000000,2231000000,6856000000,-791000000,10466000000,2668000000,6856000000,-192000000,6190000000,,6190000000,1115000000,3325000000,-1809000000,6070000000,-13920000000,20916000000,63082000000,2901000000,22506000000,16544000000,6425000000,,,19426000000,204000000,13328000000,24725000000,6190000000,2481000000,,,4285000000,,,
2005-12-31,15115000000,52847000000,25487000000,10327000000,2.36,,-2625000000,5305000000,4386151700,45920000000,20241000000,-2400000000,72609000000,38000000,2.36,,8173000000,,6856000000,-71000000,-10365000000,-10207000000,14592000000,218000000,2159000000,-26689000000,,-6000000,3015000000,9066000000,237000000,1189000000,,11701000000,4386151700,399000000,26479000000,56324000000,,3838000000,456000000,44634000000,4441000000,9871000000,285000000,17315000000,1402000000,9871000000,60000000,10186000000,,10344000000,4750000000,5030000000,-2104000000,8172000000,-11006000000,30837000000,78625000000,4474000000,32917000000,15132000000,6690000000,274000000,,25778000000,221000000,18155000000,32063000000,10344000000,2918000000,169000000,,6184000000,,,
2006-12-31,21077000000,67725000000,31352000000,13034000000,2.92,,-4354000000,6573000000,4386576816,58897000000,23961000000,-973000000,89091000000,-533000000,2.92,,12187000000,,9871000000,-187000000,-14643000000,-14681000000,19161000000,680000000,2916000000,-30194000000,,-69000000,2817000000,10301000000,243000000,1340000000,,18677000000,4386576816,727000000,30629000000,72347000000,,5418000000,346000000,52415000000,5691000000,12688000000,1534000000,20288000000,1791000000,12688000000,360000000,12826000000,,12826000000,6434000000,5812000000,-3144000000,11064000000,-8797000000,40995000000,98680000000,6070000000,44299000000,14702000000,8524000000,131000000,-1046000000,30955000000,247000000,21786000000,34245000000,12826000000,3673000000,205000000,,6311000000,,,
2007-12-31,22664000000,100575000000,36523000000,7254000000,1.5,,-5988000000,9231000000,2193519186,84523000000,27256000000,-1905000000,123459000000,-1619000000,1.5,,15689000000,,12688000000,-1707000000,-20978000000,-24026000000,19299000000,1062000000,4802000000,-38936000000,,-143000000,-5701000000,11756000000,313000000,554000000,,0,2193519186,881000000,37736000000,87735000000,,7816000000,267000000,62204000000,5888000000,6987000000,811000000,21712000000,2131000000,6987000000,210000000,13138000000,,13138000000,1686000000,4650000000,-3860000000,14811000000,2005000000,51212000000,129715000000,9376000000,65179000000,16734000000,15724000000,1274000000,,29140000000,239000000,24468000000,41481000000,13138000000,5544000000,,,6538000000,,,
2008-12-31,28220000000,98937000000,45392000000,6623000000,4.3,,2778000000,7990000000,4387038370,84719000000,33768000000,386000000,122669000000,-568000000,4.3,332000000,6304000000,0,6987000000,,-29874000000,-29466000000,26992000000,2355000000,7080000000,-37950000000,-1098000000,2355000000,1532000000,1780000000,118000000,848000000,-4780000000,15106000000,4387038370,941000000,38371000000,118257000000,2246000000,7763000000,124000000,63127000000,9259000000,6499000000,-1972000000,25813000000,1125000000,6499000000,0,17733000000,4936000000,18879000000,-1654000000,3930000000,-4747000000,19579000000,-15771000000,72865000000,125695000000,8270000000,61909000000,16031000000,1816000000,279000000,,26758000000,1890000000,24756000000,41486000000,18879000000,,,,6613000000,,,
2009-12-31,24920000000,157626000000,42618000000,16241000000,3.54,,16935000000,11227000000,4387038370,136167000000,30544000000,-731000000,188491000000,-672000000,3.54,825000000,1914000000,,6499000000,,-35134000000,-35120000000,22061000000,860000000,9844000000,-52324000000,-777000000,-1080000000,6735000000,31000000,139000000,1295000000,-3275000000,15106000000,4387038370,681000000,73885000000,91869000000,206000000,9882000000,72000000,104850000000,5238000000,16169000000,-304000000,22188000000,1435000000,16169000000,-35120000000,16823000000,7009000000,15504000000,-10214000000,8553000000,-7712000000,20430000000,5404000000,49251000000,200270000000,7739000000,94058000000,48149000000,2549000000,1242000000,,42644000000,2118000000,30965000000,51753000000,15504000000,,,,8115000000,,,
2010-12-31,28495000000,244820000000,49358000000,33245000000,3.88,,35386000000,11834000000,4936413032,218567000000,35981000000,284000000,280841000000,-427000000,3.88,898000000,1508000000,,16169000000,-17942000000,-45078000000,-63020000000,25831000000,2960000000,12704000000,-62274000000,-2347000000,-350000000,861000000,0,192000000,1643000000,-9898000000,45840000000,4936413032,993000000,91734000000,120052000000,251000000,10468000000,15612000000,125286000000,6356000000,17633000000,-4178000000,24560000000,1632000000,17633000000,0,19475000000,9411000000,19184000000,-16583000000,8960000000,-5299000000,24798000000,10929000000,70694000000,308683000000,9729000000,181494000000,60471000000,3252000000,2143000000,-279000000,63863000000,3399000000,33552000000,60905000000,19184000000,,,30563000000,10572000000,,,
2011-12-31,33698000000,254818000000,46320000000,28018000000,5.1,43362000000,4232000000,15165000000,6531960784,182465000000,38683000000,-4621000000,250268000000,-5035000000,5.1,,1068000000,,17655000000,-4689000000,-37024000000,-34619000000,26724000000,3599000000,17736000000,-67803000000,-2326000000,-4547000000,1402000000,4019000000,504000000,1424000000,-8750000000,0,6531960784,4084000000,105936000000,145915000000,2455000000,11863000000,8961000000,142300000000,6732000000,19057000000,-7060000000,31269000000,2065000000,19057000000,0,19992000000,9594000000,20121000000,-3326000000,10067000000,-6422000000,15051000000,7943000000,99595000000,319410000000,10507000000,175838000000,72718000000,1575000000,5150000000,0,64592000000,4609000000,36364000000,60224000000,20121000000,,6683000000,,11756000000,,,
2012-12-31,27888000000,273851000000,36569000000,23951000000,1.691748,39278000000,6069000000,14552000000,6522248465,204901000000,26957000000,-4931000000,277492000000,-1864000000,1.691748,,772000000,,19057000000,2051000000,-25863000000,-38379000000,14493000000,2254000000,19213000000,-72591000000,-1522000000,25460000000,-5537000000,2359000000,461000000,1345000000,-11347000000,107362000000,6522248465,1143000000,128536000000,144103000000,1039000000,12124000000,10431000000,162606000000,3562000000,13520000000,-6546000000,17971000000,1693000000,13520000000,-14808000000,10931000000,6282000000,11034000000,2025000000,6461000000,-3272000000,18598000000,60176000000,107534000000,331645000000,12593000000,167887000000,88484000000,4583000000,-103000000,0,57794000000,1018000000,34070000000,67320000000,11034000000,,2051000000,0,11099000000,,,
2013-12-31,26289000000,268768000000,33208000000,19753000000,1.700947,15019000000,13295000000,14225000000,6522248465,227901000000,28168000000,-906000000,300972000000,-2128000000,1.700947,281000000,724000000,,13520000000,-199000000,-45110000000,-35625000000,13410000000,402000000,9906000000,-73071000000,-1142000000,39472000000,2348000000,3502000000,400000000,1570000000,-18455000000,107371000000,6522248465,1132000000,137074000000,141462000000,1108000000,11919000000,3885000000,172300000000,2578000000,15868000000,-4612000000,15323000000,946000000,15868000000,3820000000,10832000000,6797000000,11094000000,-18821000000,6772000000,-2656000000,17885000000,40761000000,108254000000,321423000000,12352000000,148527000000,106235000000,4379000000,-262000000,,52655000000,3281000000,35226000000,75689000000,11094000000,,5718000000,,9670000000,,,
2014-12-31,26632000000,247855000000,34180000000,25978000000,-1.12,4143000000,11008000000,11466000000,6522248465,218730000000,7333000000,-19763000000,293975000000,570000000,-1.12,247000000,988000000,,15868000000,-5798000000,-34808000000,-36475000000,-8824000000,-3045000000,3031000000,-75245000000,-2507000000,30952000000,787000000,2301000000,366000000,3134000000,-10031000000,107101000000,6522248465,1099000000,150591000000,143657000000,-1211000000,9760000000,9323000000,181709000000,-1321000000,16655000000,-6620000000,12350000000,1180000000,16655000000,3744000000,-7503000000,5862000000,-7367000000,-8176000000,10329000000,-3918000000,21830000000,9023000000,109477000000,298687000000,14978000000,116272000000,120218000000,5894000000,-136000000,,50832000000,3605000000,31118000000,66423000000,-7367000000,,,,7969000000,,,
