date,annualCashFlowFromContinuingFinancingActivities,annualBasicEPS,annualStockBasedCompensation,annualDepreciationAndAmortization,annualCapitalStock,annualBasicAverageShares,annualPurchaseOfBusiness,annualStockholdersEquity,annualInvestingCashFlow,annualGrossPPE,annualLongTermDebt,annualOtherNonCashItems,annualGoodwill,annualNetIncome,annualChangesInAccountReceivables,annualCashDividendsPaid,annualInterestExpense,annualCapitalExpenditure,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualPurchaseOfInvestment,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualTaxProvision,annualEndCashPosition,annualNetOtherFinancingCharges,annualCashAndCashEquivalents,annualTotalRevenue,annualCurrentAccruedExpenses,annualNetIncomeContinuousOperations,annualGainsLossesNotAffectingRetainedEarnings,annualInvestmentsAndAdvances,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualAccountsPayable,annualOperatingIncome,annualRetainedEarnings,annualDilutedAverageShares,annualTotalAssets,annualPretaxIncome,annualNetOtherInvestingChanges,annualAccountsReceivable,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualOtherIntangibleAssets,annualCommonStockIssuance,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualChangeInAccountPayable,annualDilutedEPS,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,annualOperatingExpense,annualCostOfRevenue,annualEbitda,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualInventory,annualTotalNonCurrentAssets,annualCurrentAssets,annualResearchAndDevelopment,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDebt,annualOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualOtherShortTermInvestments,annualDeferredIncomeTax,annualOtherCurrentLiabilities,annualCurrentLiabilities
2009-12-31,1099788000,-0.06,2421000,,476000,47575634,,887967000,-460253000,,171394000,1776000,,-3017000,,,1904000,,-185000,645128000,1000,-245980000,212751000,,6397000,,645129000,-23106000,645129000,5023000,1034000,-2580000,,245896000,9286000,5593000,3546000,-4263000,-8366000,47575634,1108786000,,0,2180000,58000,,,,5593000,-3017000,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,847108000,1.16,7522000,,706000,49138720,,1327560000,-1165712000,,,55000,,57046000,-7712000,-44250000,15788000,,-69440000,-418275000,645129000,-219537000,764176000,,-142846000,426000,226854000,-24783000,226854000,89320000,52705000,58842000,8203000,411857000,30052000,-99671000,,59268000,-19302000,50021824,2101405000,59268000,0,9564000,99138000,,,453790000,-99671000,57046000,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,809827000,1.38,13743000,,938000,84974604,,1759488000,-1002058000,,,5527000,,119377000,-10982000,-142854000,28782000,,-1080171000,-112827000,226854000,-365643000,1232300000,,-5306000,790000,114027000,-37275000,114027000,172318000,5051000,120608000,-3998000,386113000,48349000,79404000,,121398000,-55129000,86409327,2997447000,121398000,305971000,15176000,591482000,-10642000,,476740000,79404000,119377000,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,986727000,1.76,16163000,,1361000,113721070,,2719346000,-1188665000,,1393705000,141273000,,201195000,-7554000,-186102000,47125000,,-1575185000,63644000,114027000,-642136000,1527168000,,5609000,1023000,177671000,59059000,177671000,227594000,8890000,203682000,79675000,1084570000,12116000,265582000,8890000,204705000,-72401000,114633183,4324373000,204705000,-2537000,24120000,362102000,0,,875737000,265582000,199590000,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2640162000,1.82,19096000,14925000,1961000,166355599,-616945000,4282528000,-2827602000,,3436649000,86566000,140437000,305030000,-32387000,-300973000,118349000,,-4065624000,138874000,177671000,-497232000,106443442000,,37694000,24053000,317627000,-44793000,317627000,539063000,225374000,310330000,75449000,1058061000,151583000,326314000,225374000,334383000,-84719000,167322602,110770575000,334383000,-19432000,37630000,546082000,0,177173000,1513519000,326314000,303451000,35398000,1.82,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,1437513000,2.28,39745000,16622000,2248000,214945000,-183043000,3860856000,-1714830000,,4685252000,-138553000,140437000,495021000,-52514000,-401661000,161104000,,-3556072000,-56608000,317627000,-209350000,112216385000,,-68916000,24096000,255187000,-24398000,255187000,724381000,144516000,502089000,55896000,1192231000,169661000,220709000,144516000,525129000,-9378000,218781000,116099297000,526185000,-147571000,40102000,161970000,-12993000,144152000,600998000,220709000,489442000,-40951000,2.24,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-93583000,1.92,49525000,27232000,2410000,233419000,-587487000,4140316000,-400795000,928060000,5432278000,324939000,140437000,450697000,-65972000,-446847000,202550000,,-4799897000,118128000,255187000,-209072000,81567195000,-8835000,-121611000,17206000,368815000,10028000,368815000,483039000,156805000,452183000,29729000,924148000,166170000,612506000,156805000,469389000,-12286000,234169110,85738138000,469389000,28149000,34314000,471863000,-48746000,201570000,326428000,612506000,447263000,-27358000,1.91,919225000,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,505487000,1.52,50468000,61571000,2639000,238529000,-861098000,4522274000,-812822000,1986285000,6200670000,290692000,140437000,365186000,-76071000,-458351000,230799000,-15963000,-5549153000,249295000,368815000,-388161000,72696193000,-41565000,-73566000,8344000,615522000,23724000,615522000,547248000,198134000,367651000,36138000,1012223000,218042000,556630000,198134000,375995000,-115579000,241794000,77256266000,375995000,-9494000,28224000,213401000,-19723000,219248000,449230000,556630000,363133000,-6741000,1.5,1944720000,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1047684000,1.53,37750000,90896000,2660000,259620000,-49825000,4478414000,-1036560000,2755050000,7972476000,-662500000,140437000,400770000,-94077000,-501663000,295666000,-573930000,-4723717000,-235715000,650755000,-138912000,58362088000,-107569000,-102124000,31522000,418273000,-26843000,369448000,506228000,,412767000,69924000,903706000,223845000,-246839000,185117000,,-217312000,262079000,62941289000,444289000,,47747000,275979000,0,183092000,702000,-246839000,397587000,22702000,1.52,2647481000,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,2004724000,1.399661,43550000,130838000,2808000,275659552,-2161653000,4603432000,-2520809000,,10756635000,134551000,259846000,385830000,-62261000,-509966000,408188000,,-6771063000,69385000,418273000,-521981000,63362264000,,-27225000,15330000,487865000,-217954000,239824000,706906000,,411197000,58660000,1078233000,263200000,585470000,217663000,,-348998000,275659552,68262453000,426527000,,60355000,419874000,-12090000,145033000,608000,585470000,385830000,25155000,1.399661,,,,,,,,,,,,,,,,,,,,,,,,,
