date,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualBasicEPS,annualCurrentDebt,annualCurrentDeferredRevenue,annualOperatingExpense,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualFreeCashFlow,annualCommonStockIssuance,annualDilutedEPS,annualRetainedEarnings,annualDilutedAverageShares,annualCashDividendsPaid,annualBeginningCashPosition,annualAccountsReceivable,annualTaxProvision,annualTotalAssets,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualLongTermDebt,annualOtherNonCashItems,annualOtherCurrentAssets,annualCurrentLiabilities,annualStockholdersEquity,annualDepreciationAndAmortization,annualChangeInInventory,annualSaleOfInvestment,annualIncomeTaxPayable,annualPurchaseOfBusiness,annualCapitalStock,annualOperatingCashFlow,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualNetPPE,annualEbitda,annualNetOtherInvestingChanges,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualGoodwill,annualInterestExpense,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentLiabilities,annualTotalRevenue,annualPurchaseOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualInvestingCashFlow,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualBasicAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation
1996-12-31,1833870390144.0,2258503401216.0,,0.0,,2416.756176,561045470784.0,,3524883637440.0,872538489024.0,10197636948864.0,,279269602560.0,,-9829215896256.0,,2402076619968.0,462585033984.0,,3487289652480.0,2258503401216.0,13396348012032.0,2258503401216.0,-92731829568.0,,2416.756176,3547081990464.0,934518519,-202291442880.0,1103114930112.0,,853562477568.0,26718582168000.0,1711063372608.0,23231292515520.0,6647332616832.0,716075904.0,247762262784.0,3198711063168.0,13322234155968.0,1813820264832.0,27210884352.0,2944146079296.0,,,,4789115645952.0,6753669888576.0,1833870390144.0,,1825277479296.0,328678839936.0,20829215895552.0,5042606515968.0,57286072320.0,30658431791808.0,730755460032.0,1039742212608.0,,679197994944.0,,,1725026852736.0,7626208377600.0,-1472610096576.0,1597923379776.0,-4881847475520.0,-3350519154816.0,3112065878784.0,,-709631220864.0,0.0,3228786251136.0,562477622592.0,934518519,,
1997-12-31,848272139084.0,1287796977540.0,,,,1376.88985,546436285648.0,,3421166310144.0,359611231464.0,8895248389096.0,,,382289417232.0,-9002159836288.0,,1518358532848.0,,,2507019440972.0,1287796977540.0,11544276469520.0,1287796977540.0,0.0,,1376.88985,3470842336112.0,935294118,,0.0,,525377970292.0,22317494622928.0,1524838014496.0,19810475181956.0,6300215989072.0,,226781857680.0,2649028080424.0,10773218153408.0,,,,,,5215982726640.0,0.0,6245140395064.0,1230561556316.0,,1507559396768.0,143628509864.0,18292116649108.0,4720302380568.0,,27294276485396.0,,1093952484904.0,,585313175536.0,,,1087473003256.0,6604751626528.0,,1008639309872.0,,0.0,1813174947832.0,,,0.0,2823974084920.0,-587473002752.0,935294118,,
1998-12-31,2173946957187.0,1001560062084.0,,,,1092.043681,561622464720.0,,3009360373458.0,419656786138.0,9188767547780.0,,,35101404045.0,-8720748827180.0,,1310452417680.0,,,3248049920964.0,1001560062084.0,11430577219454.0,1001560062084.0,0.0,,1092.043681,3276131044200.0,917142857,,0.0,,219188767481.0,20437597497401.0,1156006239882.0,17189547576437.0,7232449295672.0,,187207488240.0,2241809671674.0,9007020277947.0,,,,,,3999999998728.0,0.0,5237909514715.0,2209048361232.0,,1296411856062.0,80343213703.0,15879095158757.0,4081903274833.0,,24599843985937.0,,1033541341325.0,,840873634678.0,,131045241768.0,659906396046.0,5657566300853.0,,646645865629.0,,0.0,1220748829565.0,,,0.0,2228549141257.0,-677067082468.0,917142857,,
1999-12-31,3330865247494.16,2011304964096.52,,0.0,,2092.198581,624666666529.24,,3726375885705.02,761099290612.7,9890411345341.84,,,1221723403986.54,-10708177302608.74,,1748631205289.06,,,6122007090851.74,2011304964096.52,13031999997132.96,2011304964096.52,3327496453168.66,,2092.198581,5109078013060.4,1007999966,-440304964442.14,2348312056220.96,,719446808352.36,24377957441445.36,1537999999661.64,18255950350593.62,7907446806771.0,-264794326182.88,116645390045.26,3141588651791.12,11318177302474.54,2188375886043.38,,1074652482033.08,,,4666411346491.12,3934886523957.02,6451659573048.72,4552588651480.7,,1421439715999.34,381418439632.4,16507319145304.56,4913659573387.08,-149773049612.44,27215496447913.3,982553191273.2,1703460992533.04,,1377170212462.98,,150120567342.86,561524822571.5,7212758863661.42,-2269638297373.02,813460992728.84,-607390070788.36,-1947205673330.48,2730751772448.88,,-1005127659353.34,3330865247494.16,2725283687343.7,757921985648.86,1007999966,,
2000-12-31,3538461540160.0,2538461539680.0,836538461940.0,0.0,,2518.653847,817307692700.0,,4326923079000.0,1009615385100.0,11759615390260.0,,,3875000001860.0,-12884615390800.0,,2288461539560.0,,,9105769235140.0,2538461539680.0,15153846161120.0,2538461539680.0,4163461540460.0,,2518.653847,6971153849500.0,1007999964,-1105769231300.0,3596153847880.0,1346153846800.0,903846154280.0,28884615398480.0,2240384616460.0,19778846163340.0,8855769235020.0,,0.0,3394230770860.0,13692307698880.0,,,5115384617840.0,,,5038461540880.0,4961538463920.0,8365384619400.0,7413461542020.0,,1769230770080.0,105769230820.0,17490384623780.0,6125000002940.0,125000000060.0,30375000014580.0,-57692307720.0,538461538720.0,,817307692700.0,,596153846440.0,1134615385160.0,9375000004500.0,-7682692311380.0,1201923077500.0,-798076923460.0,-3230769232320.0,3442307693960.0,,-1788461539320.0,3538461540160.0,4038461540400.0,-394230769420.0,1007999964,,
2001-12-31,3645833334500.0,4250000001360.0,1437500000460.0,83333333360.0,,8361.875003,2041666667320.0,,6479166668740.0,2145833334020.0,11833333337120.0,,,343750000110.0,-16770833338700.0,,1062500000340.0,,,7312500002340.0,4250000001360.0,21906250007010.0,4250000001360.0,3416666667760.0,,8361.875003,10093750003230.0,1007203508,-1020833333660.0,4333333334720.0,2447916667450.0,2072916667330.0,32468750010390.0,3541666667800.0,25156250008050.0,9218750002950.0,2760416667550.0,156250000050.0,10072916669890.0,9322916669650.0,,,7895833335860.0,,,5041666668280.0,7010416668910.0,13989583337810.0,3989583334610.0,1354166667100.0,1770833333900.0,187500000060.0,22739583340610.0,10343750003310.0,260416666750.0,39510416679310.0,-687500000220.0,4812500001540.0,,1333333333760.0,,-6885416668870.0,843750000270.0,16135416671830.0,-4375000001400.0,1781250000570.0,-3593750001150.0,-6041666668600.0,6322916668690.0,,-1666666667200.0,3645833334500.0,7510416669070.0,-62500000020.0,508259212,,
2002-12-31,5722720438180.17,8379918018098.35,2520817670850.32,-315263308630.75,,16558.013819,2059964916045.08,,9462159452958.22,2442272580813.6,12174748505328.23,,,1077453191563.42,-19770522321230.0,,1269305122970.34,,,11026116063415.9,8379918018098.35,23074786095254.24,8379918018098.35,5425115454827.73,,16558.013819,16378593419937.11,1007203508,-2453889664549.66,3659336626921.55,3212052053120.83,2757258439832.78,42497789353011.61,6086823828434.71,31471673289595.71,10414169620142.12,2123796226681.12,231384026061.91,10900037589926.01,15965148748760.46,,,1504099094258.32,,,5060913614711.02,10503714244779.47,19046280385170.13,6800173629743.59,2060645115092.8,1527521211467.31,140264203629.84,28141723051532.57,13102862205967.23,1129407868826.77,47912245372762.57,2063383811258.62,2856997100198.46,,1540937242684.84,,-6552142626987.48,233057673718.8,21488552965983.73,-2288825045640.45,3462257902832.15,-5078598789951.74,-5281351806097.12,12393808398643.95,,-3158978627423.73,5722720438180.17,9584120932211.91,3863253141438.03,506094397,,
2003-12-31,5092436978100.0,6084033617400.0,1218487395750.0,-386554622100.0,,12050.420176,3478991598900.0,,11806722696750.0,3336134455950.0,18067226902500.0,,,,-24369747915000.0,,840336135000.0,-5764705886100.0,,9226890762300.0,6084033617400.0,29268907582050.0,6084033617400.0,12848739504150.0,,12050.420176,17873949591450.0,1007999964,-3739495800750.0,5697478995300.0,2831932774950.0,3857142859650.0,50285714318400.0,7025210088600.0,41058823556100.0,11831932780800.0,,50420168100.0,11201680679550.0,17310924381000.0,5478991600200.0,75630252150.0,1907563026450.0,,,5042016810000.0,12848739504150.0,23781512620500.0,5092436978100.0,5142857146200.0,3546218489700.0,151260504300.0,35075630274900.0,17453781523950.0,84033613500.0,59445378189900.0,-605042017200.0,2546218489050.0,,1386554622750.0,,-6672268911900.0,2689075632000.0,27117647076450.0,-680672269350.0,3957983195850.0,,-7302521013150.0,11453781520050.0,,-6176470592250.0,5092436978100.0,11974789923750.0,487394958300.0,504881450,,
2004-12-31,4897196260360.0,6186915886180.0,1065420560460.0,-5532710278880.0,,6122.056073,3429906541130.0,,15635514014470.0,4570093456710.0,19579439247050.0,,,18691588780.0,-30271028029210.0,,1598130840690.0,-6560747661780.0,,9289719623660.0,6186915886180.0,31364485972840.0,6186915886180.0,6485981306660.0,,6122.056073,21018691583110.0,1010594449,-3850467288680.0,5140186914500.0,3345794391620.0,4037383176480.0,56794392508030.0,9140186913420.0,47504672884370.0,9560747660970.0,9345794390.0,130841121460.0,11785046725790.0,20448598125320.0,7308411212980.0,-56074766340.0,289719626090.0,,,5084112148160.0,16205607472260.0,29691588777030.0,4915887849140.0,5457943923760.0,3383177569180.0,205607476580.0,40448598119920.0,21364485975540.0,121495327070.0,70719626149130.0,-242990654140.0,2990654204800.0,,1280373831430.0,,-6728971960800.0,6635514016900.0,34261682233740.0,-420560747550.0,4299065419400.0,-9719626165600.0,-9691588782430.0,12205607473340.0,,-6971962614940.0,4897196260360.0,14056074762560.0,-897196261440.0,1010594449,,
2005-12-31,5360421569377.91,7972362746214.17,1517215686486.92,-1785725490446.08,,7901.176472,2394362745433.25,1588490196300.82,18670431375162.88,5900647059649.62,19009705885014.3,,,22009803924.65,-37550892162119.87,,1177441176635.43,-79666666677.82,,10277196079870.18,7972362746214.17,32487029416312.89,7972362746214.17,8760254903187.22,,7901.176472,16427264708182.17,1009009579,-2972735294533.83,4843245098717.27,3568411765205.46,5170137255625.78,62006098047896.54,10425500001459.57,51728901968026.36,7947823530524.46,1185098039381.6,159117647081.1,13477323531298.59,23230607846389.54,8365990197249.67,-28215686278.46,227029411796.49,,,5026627451684.12,21046696081377.91,35795627455991.78,5382431373302.56,4472500000626.15,2385460784647.69,219735294148.41,46070107849587.07,25491186278078.57,28382352945.15,83621000011706.94,517176470660.64,2695627451357.78,8852941177.71,1174147058987.91,,706225490294.95,8441509805103.38,41696274515641.4,-229686274541.96,5281627451719.82,-12286441178190.69,-12180313727195.44,16198343139522.67,,-8317235295282.06,5360421569377.91,17125196080828.9,-790754902071.49,1009009579,,
