date,annualPurchaseOfInvestment,annualAccountsReceivable,annualPretaxIncome,annualLongTermDebt,annualNonCurrentDeferredRevenue,annualNetIncome,annualSaleOfInvestment,annualGoodwill,annualPurchaseOfBusiness,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCapitalStock,annualResearchAndDevelopment,annualTotalRevenue,annualEndCashPosition,annualOperatingIncome,annualInventory,annualNetOtherFinancingCharges,annualOtherIncomeExpense,annualGrossProfit,annualAccountsPayable,annualStockBasedCompensation,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualCurrentAssets,annualChangesInAccountReceivables,annualInterestExpense,annualAccumulatedDepreciation,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualOtherNonCurrentLiabilities,annualEbitda,annualOperatingExpense,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualOtherCurrentAssets,annualOperatingCashFlow,annualBasicEPS,annualCostOfRevenue,annualCurrentDeferredRevenue,annualCurrentDebt,annualFreeCashFlow,annualOtherShortTermInvestments,annualCommonStockIssuance,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherNonCashItems,annualDilutedEPS,annualDepreciationAndAmortization,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCashDividendsPaid,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualDeferredIncomeTax
2007-12-31,,59000,-78047000,0,0,-78157000,,,,19210000,,152683000,-2108000,,40000,18000,62753000,73000,17211000,-79933000,2108000,0,137000,64000,5369000,198000,77973831,45041000,-9802000,37335000,-9762000,0,-18190000,35401000,22308000,-59000,0,-3198000,77973831,-78157000,531000,15196000,17244000,-78157000,191000,-75152000,79997000,17211000,17211000,0,-53469000,-1.002349,9000,0,,-63271000,,0,,12529000,11998000,101387000,523000,51296000,-36000,-1.002349,2895000,-117846000,34837000,110000,-122132000,8512000,,,,,
2008-12-31,,3320000,-82685000,54528000,0,-82782000,,,,20529000,,251413000,-14542000,,-960000,21000,53714000,14742000,9277000,-78504000,16650000,0,-963000,-1141000,14184000,437000,77973831,55068000,-9630000,48019000,-10590000,-191000,-7934000,17211000,31427000,-3261000,3747000,-6826000,77973831,-82782000,1479000,25619000,23649000,-82782000,6884000,-74781000,77363000,9277000,9277000,0,-52412000,-1.061664,15883000,4073000,,-62042000,,21000,,20272000,18793000,163478000,8815000,87935000,6492000,-1.061664,4157000,-199714000,51699000,97000,-204914000,11145000,,,,,
2009-12-31,,3488000,-55714000,0,1240000,-55740000,,,,-37543000,,383947000,-7925000,,-2360000,7000,19282000,111943000,69627000,-51897000,23222000,-2046000,-1445000,9535000,15086000,1434000,77693854,155419000,-11884000,26048000,-14244000,-322000,60350000,9277000,100559000,-168000,2531000,-12730000,77693854,-55740000,6330000,36265000,42150000,-55740000,5193000,-46243000,61432000,69627000,69627000,0,-80825000,-0.7,102408000,1377000,,-92709000,,,,29865000,23535000,326458000,902000,57489000,2481000,-0.7,6940000,-253523000,130424000,26000,-260654000,14532000,,,,,
2010-12-31,,6710000,-154155000,71828000,2783000,-154328000,,,,-11175000,,179034000,-20115000,,-140094000,95000,92996000,116744000,99558000,-146838000,45182000,-3660000,-6583000,30731000,28951000,21156000,50718302,338045000,-40203000,0,-180297000,-315000,29931000,69627000,235886000,-3222000,992000,-21993000,50718302,-154328000,27597000,144592000,84573000,-154328000,5663000,-142540000,177569000,99558000,99558000,0,-127817000,-3.04,86013000,4635000,,-168020000,,268842000,,150196000,122599000,93469000,-212000,85565000,5022000,-3.04,10623000,207048000,386082000,173000,-414982000,11755000,,,,,
2011-12-31,-64952000,9539000,-253922000,268335000,3146000,-254411000,40000000,,,88897000,,489403000,-13638000,-3000,46920000,104000,208981000,204242000,255266000,-251488000,50082000,0,-2646000,61595000,56141000,29419000,100388815,446000000,-197896000,91761000,-175928000,-416000,155708000,99558000,372838000,-2829000,43000,-32222000,100388815,-254411000,30439000,342393000,104102000,-254411000,6805000,-236960000,313083000,280327000,255266000,0,-114364000,-2.53,142647000,2345000,7916000,-312260000,25061000,231468000,,340610000,310171000,298064000,31859000,191339000,-111000,-2.53,16919000,224045000,713448000,489000,-669392000,22237000,,,,,
2012-12-31,-14992000,26842000,-396077000,452337000,143781000,-396213000,40000000,,,42819000,,989490000,-194726000,0,7290000,115000,273978000,413256000,201890000,-394283000,268504000,-2832000,-1828000,30067000,343180000,50145000,107349000,419635000,-239228000,138817000,-238150000,-15542000,-53376000,255266000,524768000,-17303000,254000,-57543000,107349000,-396213000,27122000,562300000,150372000,-396213000,25170000,-395823000,424350000,201890000,201890000,0,-234861000,-3.69,383189000,140722000,50841000,-234861000,0,221496000,14267000,589422000,562300000,646310000,187821000,343180000,56000,-3.69,28825000,124700000,1114190000,136000,-1065606000,30088000,,,,,
2013-12-31,0,49109000,-71426000,586301000,273062000,-74014000,0,,,124995000,6821000,1749809000,-463270000,,14807000,123000,231976000,2013496000,845889000,-61283000,340355000,-194441000,22602000,456262000,412221000,80737000,119421000,635422000,-264224000,0,-249417000,-460762000,643999000,201890000,1265939000,-21917000,32934000,-140142000,119421000,-74014000,30072000,1120919000,285569000,-74014000,294495000,-38492000,517545000,845889000,845889000,0,257994000,-0.62,1557234000,163153000,182000,257994000,,415000000,13930000,1150991000,1120919000,1174435000,-243000,575374000,12754000,-0.62,106083000,667121000,2416930000,2588000,-1139620000,68053000,,,,,
2014-12-31,-205841000,226604000,-284636000,2466280000,483922000,-294040000,189131000,,,-256825000,,4937541000,-1050264000,,-3849000,126000,464700000,3198356000,1905713000,-186689000,953675000,-638577000,1813000,881671000,1046830000,156496000,124573000,2143130000,-969885000,21030000,-990444000,-11179000,1059824000,845889000,3198657000,-183658000,100886000,-292590000,124573000,-294040000,54583000,2596011000,603660000,-294040000,661123000,-183750000,1068360000,1905713000,1905713000,0,-57337000,-2.36,2316685000,257587000,601566000,-57337000,,0,,2650594000,2596011000,3633124000,252781000,1304417000,77205000,-2.36,231931000,911710000,5849251000,9404000,-1433682000,173052000,,,,,
2015-12-31,0,168965000,-875624000,2682914000,1006896000,-888663000,0,,-12260000,-493289000,,7003516000,-1573860000,-3556000,-26441000,131000,717900000,4046024000,1196908000,-716629000,1277838000,-17025000,-41652000,923503000,1338945000,197999000,128202000,1523523000,-1634850000,136831000,-1673551000,-203780000,-708805000,1905713000,2791568000,46267000,118851000,-571126000,128202000,-888663000,106155000,5194737000,922232000,-888663000,1658720000,-756773000,1640132000,1196908000,1196908000,0,-524499000,-6.93,3122521000,283370000,633166000,-524499000,,750000000,,5300892000,5194737000,5381201000,,1622315000,98436000,-6.93,422590000,1088944000,8092460000,13039000,-2322323000,321592000,,,,,
2016-12-31,0,499142000,-746348000,5978284000,851790000,-674914000,16667000,,,-693861000,,17125990000,-2465703000,-23740000,-189482000,161000,834408000,7000132000,3393216000,-667340000,2067454000,297116000,111272000,1599257000,1860341000,334225000,144212000,3743976000,-1440471000,179504000,-1416430000,-1904483000,2196308000,1196908000,6259796000,-216565000,198810000,-1017642000,144212000,-674914000,484916000,15036917000,1432189000,-773046000,4101872000,399561000,2266597000,3393216000,3393216000,0,-123829000,-4.68,5400875000,1426985000,1150147000,-1564300000,,1701734000,376145000,16404280000,15036917000,11298985000,,5827005000,61754000,-4.68,947099000,4752911000,22664076000,26698000,-2997237000,1210028000,,,,,
