date,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualCurrentDebt,annualCurrentDeferredRevenue,annualOperatingExpense,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualAccumulatedDepreciation,annualDilutedEPS,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,annualRetainedEarnings,annualCashDividendsPaid,annualBasicAverageShares,annualBeginningCashPosition,annualAccountsReceivable,annualOtherCurrentAssets,annualTaxProvision,annualTotalAssets,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualLongTermDebt,annualOtherNonCashItems,annualStockholdersEquity,annualCurrentLiabilities,annualDepreciationAndAmortization,annualSaleOfInvestment,annualStockBasedCompensation,annualPurchaseOfBusiness,annualCapitalStock,annualOperatingCashFlow,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualEbitda,annualNetPPE,annualNetOtherInvestingChanges,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualGoodwill,annualInterestExpense,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentLiabilities,annualTotalRevenue,annualPurchaseOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualInvestingCashFlow,annualPretaxIncome,annualBasicEPS,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherIncomeExpense,annualOperatingIncome,annualResearchAndDevelopment,annualIncomeTaxPayable,annualChangeInInventory
1992-12-31,522000000,-417000000.0,,35000000.0,,620000000,,10019400000.0,3408100000.0,,141600000.0,-146300000.0,,-4205000000.0,,-133200000.0,1657000000,289000000.0,,,3298000000,-957000000.0,11551000000,-957000000.0,,-1943300000.0,332000000.0,,,449000000.0,,1386000000.0,-239000000.0,12257000000,9293800000.0,8959000000,3613000000,1608800000.0,706000000,4845000000,725600000.0,,,,,575300000.0,9481600000.0,522000000,907000000,,324000000,187800000.0,6395000000,-148400000.0,10600000000,73000000.0,3579000000,,235600000.0,,,,12889700000.0,-237600000.0,646000000,-2518600000.0,-537400000.0,-656000000.0,,,35000000.0,,117400000.0,-537800000.0,,,
1993-12-31,437000000,-31000000.0,,-176000000.0,,521000000,,10590000000.0,3658000000.0,,-163000000.0,-67000000.0,,-5086000000.0,,11000000.0,1055000000,-151000000.0,,,3713000000,-50000000.0,11602000000,-50000000.0,,-638000000.0,249000000.0,-27000000.0,,522000000.0,,1903000000.0,-16000000.0,12840000000,9909000000.0,9127000000,3529000000,1415000000.0,1203000000,4896000000,681000000.0,,,,,858000000.0,10853000000.0,437000000,866000000,,278000000,944000000.0,7206000000,5000000.0,12292000000,-85000000.0,3776000000,,307000000.0,,,6706000000.0,14511000000.0,-414000000.0,599000000,-1496000000.0,-740000000.0,-47000000.0,,,-203000000.0,,-3000000.0,263000000.0,,,
1994-12-31,500000000,77000000.0,2506000000.0,-2026000000.0,,653000000,,13429000000.0,,7125000000.0,,78000000.0,1032000000.0,-5233000000.0,-0.1525,,555000000,-153000000.0,49739460.0,,3192000000,51000000.0,12031000000,51000000.0,,698000000.0,-1335000000.0,-53000000.0,49739460.0,437000000.0,,151000000.0,94000000.0,11764000000,165000000.0,8572000000,2887000000,718000000.0,-316000000,4906000000,640000000.0,,,,0.0,1334000000.0,,1532000000,814000000,,285000000,1246000000.0,6723000000,26000000.0,11956000000,63000000.0,1020000000,,372000000.0,-392000000.0,,2988000000.0,13950000000.0,,651000000,-636000000.0,198000000.0,171000000.0,-0.1525,,-1469000000.0,500000000.0,-63000000.0,521000000.0,,,
1995-12-31,194000000,378000000.0,2448000000.0,-71000000.0,,90000000,,14838000000.0,,7388000000.0,,214000000.0,949000000.0,-5656000000.0,4.7775,,576000000,-92000000.0,50500756.0,-131000000.0,3043000000,349000000.0,11821000000,349000000.0,,1624000000.0,-1039000000.0,-49000000.0,50500756.0,500000000.0,,236000000.0,243000000.0,11641000000,,8598000000,2919000000,400000000.0,-239000000,4433000000,724000000.0,,,,0.0,1624000000.0,,1143000000,763000000,,298000000,829000000.0,7021000000,-1139000000.0,12677000000,-306000000.0,1100000000,,399000000.0,-1201000000.0,-76000000.0,1621000000.0,14943000000.0,,696000000,,-478000000.0,621000000.0,5.0025,1214000000.0,-1452000000.0,194000000.0,93000000.0,105000000.0,,,
1996-12-31,229000000,600000000.0,2523000000.0,-426000000.0,,165000000,,15239000000.0,,6648000000.0,,69000000.0,468000000.0,-5963000000.0,5.04,,-70000000,179000000.0,58933372.0,-84000000.0,2682000000,533000000.0,11651000000,533000000.0,,915000000.0,-566000000.0,-22000000.0,58933372.0,194000000.0,,227000000.0,370000000.0,12677000000,,9995000000,1661000000,846000000.0,995000000,5003000000,759000000.0,482000000.0,,,1000000.0,2453000000.0,,697000000,524000000,,369000000,1882000000.0,9409000000,18000000.0,15372000000,35000000.0,1189000000,,295000000.0,-903000000.0,0.0,1879000000.0,16362000000.0,,994000000,-1538000000.0,-983000000.0,970000000.0,5.16,1151000000.0,-1435000000.0,229000000.0,85000000.0,1123000000.0,,,
1997-12-31,295000000,963000000.0,2545000000.0,-89000000.0,223000000.0,235000000,,16119000000.0,,8218000000.0,,194000000.0,550000000.0,-5741000000.0,8.95,,-95000000,-186000000.0,63991908.0,-250000000.0,2948000000,949000000.0,13466000000,949000000.0,,-245000000.0,309000000.0,-10000000.0,63991908.0,229000000.0,,244000000.0,561000000.0,15803000000,,12855000000,2092000000,877000000.0,2337000000,5248000000,724000000.0,,,,1000000.0,2567000000.0,,845000000,703000000,79000000.0,355000000,1983000000.0,12024000000,510000000.0,17765000000,66000000.0,1267000000,,286000000.0,-448000000.0,,2325000000.0,17378000000.0,,1030000000,-2812000000.0,-2301000000.0,1524000000.0,14.83,1210000000.0,-200000000.0,295000000.0,499000000.0,1259000000.0,,,
1998-12-31,390000000,827000000.0,2630000000.0,-828000000.0,304000000.0,282000000,,16083000000.0,,9610000000.0,,307000000.0,425000000.0,-5773000000.0,6.83,,1617000000,77000000.0,64594807.0,-462000000.0,2908000000,821000000.0,15278000000,821000000.0,,362000000.0,1028000000.0,-10000000.0,64594807.0,295000000.0,,256000000.0,429000000.0,18559000000,,15651000000,2858000000,1196000000.0,3281000000,5668000000,793000000.0,,,,1000000.0,3194000000.0,,815000000,676000000,398000000.0,384000000,2271000000.0,13054000000,-63000000.0,18827000000,95000000.0,1429000000,,355000000.0,-593000000.0,-2000000.0,2501000000.0,17561000000.0,,1151000000,-2832000000.0,-2318000000.0,1256000000.0,12.71,1180000000.0,-781000000.0,390000000.0,74000000.0,1478000000.0,,,
1999-12-31,310000000,1243000000.0,2689000000.0,-8000000.0,533000000.0,153000000,,16636000000.0,,10401000000.0,,590000000.0,379000000.0,-5852000000.0,9.94,,2062000000,-306000000.0,58254717.0,-261000000.0,2935000000,1235000000.0,15812000000,1235000000.0,,32000000.0,2138000000.0,-10000000.0,58254717.0,390000000.0,,222000000.0,699000000.0,20963000000,,18028000000,2650000000,32000000.0,5151000000,5411000000,867000000.0,874000000.0,,,1000000.0,2421000000.0,,689000000,568000000,1147000000.0,340000000,2258000000.0,14865000000,-263000000.0,20717000000,-80000000.0,1412000000,,362000000.0,-761000000.0,352000000.0,2716000000.0,18027000000.0,,967000000,-2389000000.0,-1624000000.0,1942000000.0,21.2,986000000.0,-877000000.0,310000000.0,845000000.0,1391000000.0,,,
2000-12-31,1679000000,271000000.0,3700000000.0,-113000000.0,435000000.0,170000000,,17660000000.0,1038000000.0,12384000000.0,,317000000.0,665000000.0,-6223000000.0,0.04,,847000000,621000000.0,61082474.0,-81000000.0,4779000000,50000000.0,19165000000,50000000.0,,-66000000.0,1998000000.0,-118000000.0,61082474.0,310000000.0,,225000000.0,160000000.0,24355000000,,19576000000,4688000000,359000000.0,5190000000,6781000000,1058000000.0,147000000.0,,,1000000.0,2472000000.0,18314000000.0,2344000000,671000000,1241000000.0,424000000,1712000000.0,17623000000,-168000000.0,23846000000,1369000000.0,1454000000,,402000000.0,-724000000.0,152000000.0,2639000000.0,19352000000.0,-286000000.0,1188000000,-2538000000.0,-2521000000.0,431000000.0,0.04,912000000.0,1418000000.0,1679000000.0,78000000.0,654000000.0,,,
2001-12-31,1688000000,-2131000000.0,3125000000.0,206000000.0,278000000.0,1350000000,1183000000.0,10538000000.0,4271000000.0,14098000000.0,,,940000000.0,-5188000000.0,-40.04,,1570000000,815000000.0,53800000.0,0.0,5086000000,-2145000000.0,22164000000,-2139000000.0,,-2111000000.0,-199000000.0,-88000000.0,53800000.0,1679000000.0,1047000000.0,0.0,-1226000000.0,25197000000,9512000000.0,20111000000,6622000000,-1106000000.0,3033000000,8066000000,1932000000.0,259000000.0,,-32000000.0,1000000.0,-160000000.0,11867000000.0,2628000000,984000000,0.0,329000000,-900000000.0,16808000000,-148000000.0,21996000000,9000000.0,903000000,,525000000.0,-465000000.0,-275000000.0,1049000000.0,16138000000.0,-275000000.0,1268000000,-1951000000.0,-1969000000.0,-3357000000.0,-40.04,827000000.0,2138000000.0,1688000000.0,-673000000.0,1329000000.0,,,
