date,annualNetIncome,annualDilutedEPS,annualRetainedEarnings,annualAccountsReceivable,annualCashDividendsPaid,annualPretaxIncome,annualCommonStockIssuance,annualOperatingIncome,annualAccountsPayable,annualBasicAverageShares,annualTotalRevenue,annualOtherCurrentAssets,annualPurchaseOfInvestment,annualStockholdersEquity,annualLongTermDebt,annualInvestingCashFlow,annualEndCashPosition,annualTaxProvision,annualDepreciationAndAmortization,annualTotalAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualSaleOfInvestment,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualNetPPE,annualRepurchaseOfCapitalStock,annualDilutedAverageShares,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualEbitda,annualGainsLossesNotAffectingRetainedEarnings,annualCurrentAssets,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualInterestExpense,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualTotalNonCurrentAssets,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualInventory,annualOtherNonCashItems,annualCapitalStock,annualCostOfRevenue,annualCurrentDebt,annualNetOtherFinancingCharges,annualBasicEPS,annualFreeCashFlow,annualGrossProfit,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualOperatingExpense,annualNetIncomeContinuousOperations,annualChangesInAccountReceivables,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualGoodwill,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue
1979-12-31,382500000.0,0.535,2200500000.0,,,562800000.0,,748100000.0,,714579439.0,3989500000.0,61900000,,2556300000,873100000,,,180300000.0,,5086900000,,797200000,1733400000,,,,,,74200000,71700000.0,3750800000,,714579439.0,,400400000,948300000.0,,864000000,74200000,,,5000500000,115400000,,69200000.0,,382300000.0,329900000.0,,4222900000,,39200000.0,748700000,,,266300000.0,,,2789000000.0,48500000,,0.535,,1200500000.0,-1249700000.0,,452400000.0,382500000.0,,,744900000,2530600000,,,,,
1980-12-31,404500000.0,0.5525,2466000000.0,,,559300000.0,,841200000.0,,732126697.0,4831700000.0,108500000,,2831800000,1324800000,,,154800000.0,,6195200000,,975200000,2388200000,,,,,,44400000,,4451400000,,732126697.0,,590300000,1100400000.0,,1153500000,44400000,,,5823700000,166800000,,88000000.0,,404500000.0,1483700000.0,,5041700000,,40700000.0,921300000,,,327400000.0,,,2364900000.0,53900000,,0.5525,,2466800000.0,-1372300000.0,,1625600000.0,404500000.0,,,896600000,3363400000,,,,,
1981-12-31,410700000.0,0.5575,2718000000.0,,,572000000.0,,1135500000.0,,736681614.0,6374700000.0,165000000,,3097200000,1700800000,,,161300000.0,,7097000000,,1070500000,2929300000,,,,,,74600000,,5058300000,,736681614.0,,699400000,1437600000.0,,1339300000,74600000,,,6614900000,150300000,,138100000.0,,410700000.0,1611200000.0,,5757700000,,6000000.0,1021400000,,,368000000.0,,,3541600000.0,49100000,,0.5575,,2833100000.0,-1556600000.0,,1697600000.0,410700000.0,,,1078200000,3999800000,,,,,
1982-12-31,270000000.0,0.4625,2965000000.0,,,413000000.0,,848000000.0,,914552000.0,5818000000.0,210000000,,3982000000,2644000000,,,118000000.0,,10278000000,,1605000000,4691000000,,,,,,455000000,,7779000000,,914552000.0,,715000000,1291000000.0,,1784000000,455000000,,,10244000000,655000000,,128000000.0,,270000000.0,1262000000.0,,8494000000,,45000000.0,1455000000,,,433000000.0,,,3441000000.0,150000000,,0.4625,,2377000000.0,-2465000000.0,,1529000000.0,295000000.0,,,1392000000,6296000000,,,,,
1983-12-31,297000000.0,0.3,3026000000.0,,,687000000.0,,1139000000.0,,890000000.0,8353000000.0,137000000,,4056000000,2186000000,,,246000000.0,,10218000000,,1701000000,4461000000,,,,,,751000000,,7606000000,,890000000.0,,557000000,1616000000.0,,2055000000,751000000,,,10437000000,732000000,,236000000.0,,267000000.0,2219000000.0,,8163000000,,164000000.0,1558000000,,,375000000.0,,,4708000000.0,143000000,,0.3,,3645000000.0,-2831000000.0,,2506000000.0,441000000.0,,,1543000000,6162000000,,,,,
1984-12-31,494000000.0,0.5025,3282000000.0,,,766000000.0,,1214000000.0,,919402985.0,7789000000.0,126000000,,4231000000,1889000000,,,272000000.0,,10392000000,,1817000000,4344000000,,,,,,503000000,,7901000000,,919402985.0,,583000000,1775000000.0,,1908000000,503000000,,,10902000000,688000000,,211000000.0,,462000000.0,2362000000.0,,8484000000,,127000000.0,1520000000,,,412000000.0,,,3834000000.0,297000000,,0.5025,,3955000000.0,-3001000000.0,,2741000000.0,494000000.0,,,1767000000,6161000000,,,,,
1985-12-31,501000000.0,0.5225,3783000000.0,,,749000000.0,,1206000000.0,,899521531.0,7798000000.0,135000000,,4356000000,1951000000,,,248000000.0,,10710000000,,1677000000,4677000000,,,,,,453000000,,8317000000,,899521531.0,,626000000,1752000000.0,,1767000000,453000000,,,11523000000,696000000,,193000000.0,,470000000.0,2251000000.0,,8943000000,,110000000.0,1436000000,,,421000000.0,,,3982000000.0,241000000,,0.5225,,3816000000.0,-3206000000.0,,2610000000.0,501000000.0,,,2030000000,6354000000,,,,,
1986-12-31,-460000000.0,-0.5725,2864000000.0,,,-805000000.0,,2208000000.0,,857641921.0,6574000000.0,275000000,,3408000000,2918000000,,,-391000000.0,,10863000000,,1791000000,5664000000,,,,,,300000000,,7467000000,,857641921.0,,1844000000,2728000000.0,,1552000000,300000000,,,11609000000,1114000000,,213000000.0,,-491000000.0,1782000000.0,,9311000000,,-2510000000.0,1648000000,,,344000000.0,,,2209000000.0,143000000,,-0.5725,,4365000000.0,-4142000000.0,,2157000000.0,-414000000.0,,,1632000000,7455000000,,,,,
1987-12-31,583000000.0,0.65,3205000000.0,,,887000000.0,,2303000000.0,,849230769.0,5943000000.0,284000000,,3388000000,2747000000,,,327000000.0,,10919000000,,1565000000,5966000000,,,,,,165000000,1146000000.0,7913000000,,849230769.0,,464000000,2756000000.0,,1396000000,165000000,,,11778000000,1404000000,,261000000.0,,552000000.0,2168000000.0,,9523000000,,-843000000.0,1427000000,,,231000000.0,,,1175000000.0,138000000,,0.65,,4768000000.0,-3865000000.0,,2465000000.0,560000000.0,,,1815000000,7531000000,,,,,
1988-12-31,644000000.0,0.7075,3608000000.0,,,872000000.0,,1492000000.0,,894035088.0,6068000000.0,249000000,,4482000000,3222000000,,,313000000.0,,12228000000,,1860000000,5886000000,,,,,,439000000,1528000000.0,8687000000,,900353357.0,,346000000,2015000000.0,,1667000000,439000000,,,12538000000,760000000,,318000000.0,,637000000.0,1905000000.0,,10561000000,,-10000000.0,1726000000,,,267000000.0,,,2294000000.0,134000000,,0.7125,,3774000000.0,-3851000000.0,,2282000000.0,559000000.0,,,1904000000,7746000000,,,,,
