date,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,annualOtherShortTermInvestments,annualResearchAndDevelopment,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualOtherCurrentAssets,annualEndCashPosition,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualPretaxIncome,annualCostOfRevenue,annualInvestmentsAndAdvances,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualLongTermDebt,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualOtherNonCashItems,annualTotalAssets,annualStockholdersEquity,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualAccountsReceivable,annualSaleOfInvestment,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualNetPPE,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualOperatingCashFlow,annualGrossProfit,annualEbitda,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualGrossPPE,annualBeginningCashPosition,annualPurchaseOfBusiness,annualIncomeTaxPayable,annualBasicEPS,annualOtherNonCurrentLiabilities,annualDeferredIncomeTax,annualInvestingCashFlow,annualOperatingExpense,annualCapitalExpenditure,annualAccumulatedDepreciation,annualDilutedAverageShares,annualChangesInAccountReceivables,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualInventory,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,annualPurchaseOfInvestment,annualTotalRevenue,annualCapitalStock,annualGoodwill,annualDilutedEPS,annualStockBasedCompensation,annualCurrentDeferredRevenue
2000-12-31,-3040000000,926000000,,48000000,,,3081000000,-87000000,5217000000,-32000000,406000000,1211000000,1211000000,1085000000,-90000000,731000000,2429000000,1816000000,1086000000,977000000,745000000,-246000000,1092000000,225000000,2020000000,0,2502000000,272000000,9795000000,4569000000,1086000000,,5184000000,51000000,2136000000,490000000,76000000,,7293000000,,3955000000,54000000,1211000000,4618872000,1424000000,1506000000,1121000000,-70000000,-50000000,,1453000000,-323000000,,0.705,470000000,-42000000,-1489000000,580000000,-447000000,,4618872000,,,,1340000000,-34000000,306000000,-135000000,315000000,-444000000,-706000000,3935000000,1988000000,175000000,0.705,,
2001-12-31,-3465000000,929000000,,43000000,,296000000,2956000000,-27000000,4877000000,-218000000,384000000,1117000000,1117000000,1287000000,-74000000,1120000000,2327000000,,1287000000,923000000,1053000000,,2304000000,691000000,2191000000,-27000000,2638000000,,9522000000,4640000000,1287000000,212000000,5396000000,,1921000000,549000000,989000000,,6884000000,540000000,3813000000,338000000,1117000000,4618872000,1518000000,1663000000,1141000000,-987000000,-40000000,6421000000,1211000000,,,0.835,765000000,-172000000,-531000000,734000000,-595000000,-2608000000,4618872000,,,,572000000,-1066000000,323000000,-94000000,335000000,,-338000000,3990000000,2299000000,,0.835,,
2002-12-31,-5175000000,1429000000,,50000000,,325000000,3133000000,-78000000,4641000000,-149000000,335000000,1091000000,1091000000,680000000,-84000000,601000000,2263000000,,680000000,1336000000,965000000,,1299000000,381000000,2366000000,,2589000000,,7955000000,3287000000,680000000,214000000,5518000000,,1508000000,660000000,,,5366000000,412000000,3297000000,-667000000,1091000000,4618872000,2102000000,1860000000,1643000000,-598000000,-69000000,5093000000,1117000000,,,0.1475,767000000,-161000000,-889000000,431000000,-766000000,-1796000000,4618872000,,,,218000000,-602000000,292000000,-26000000,375000000,,-1000000,4123000000,2534000000,,0.1475,,
2003-12-31,-4375000000,1644000000,,82000000,,482000000,3968000000,57000000,6221000000,297000000,475000000,585000000,585000000,1558000000,-150000000,1654000000,3128000000,,1548000000,214000000,1257000000,,1791000000,297000000,2771000000,,2474000000,,11434000000,4884000000,1548000000,238000000,5892000000,,2253000000,818000000,83000000,,8960000000,451000000,6484000000,366000000,585000000,4606068000,1757000000,2222000000,1882000000,-398000000,-22000000,9306000000,1091000000,,,0.335833,1197000000,207000000,-2000000000,578000000,-1543000000,-2822000000,4610678680,,,,514000000,-675000000,505000000,-506000000,351000000,,-68000000,5350000000,2957000000,,0.335833,,
2004-12-31,4143000000,3123000000,,153000000,,743000000,5252000000,50000000,8764000000,749000000,609000000,1475000000,1475000000,2573000000,-66000000,3003000000,4081000000,,2573000000,1512000000,1145000000,,2142000000,709000000,3406000000,-855000000,4493000000,,16372000000,6843000000,2573000000,674000000,,,3512000000,1158000000,,,11879000000,,9339000000,1011000000,1475000000,4606080000,3777000000,3985000000,3797000000,-1317000000,-263000000,14556000000,802000000,,,0.5575,1846000000,329000000,-1786000000,862000000,-2265000000,-5217000000,4662708672,,,,1624000000,0,1090000000,673000000,671000000,,-109000000,8066000000,2749000000,,0.5575,,
2005-12-31,,6230000000,,288000000,,1149000000,6388000000,-710000000,11381000000,1014000000,865000000,1157000000,1157000000,4470000000,-40000000,5927000000,6981000000,,4470000000,523000000,1480000000,-1323000000,2659000000,693000000,3880000000,,5380000000,,22938000000,10294000000,4470000000,853000000,4302000000,,4993000000,1790000000,,,17558000000,,14453000000,-34000000,1157000000,4606080000,4480000000,7568000000,7083000000,-342000000,-98000000,20954000000,1676000000,,,1.05,2508000000,-233000000,-4658000000,1338000000,-3957000000,-6501000000,4606080000,,,,2364000000,0,1385000000,-520000000,676000000,,-116000000,14549000000,5992000000,,1.05,,
2006-12-31,-1004000000,8207000000,,481000000,-47000000,2382000000,31158000000,423000000,38470000000,1432000000,417000000,4448000000,4448000000,7107000000,-101000000,7829000000,10147000000,2353000000,6528000000,2801000000,1459000000,-1300000000,1085000000,816000000,21123000000,-301000000,12940000000,474000000,60954000000,19673000000,6528000000,,12060000000,558000000,7312000000,2929000000,837000000,,48014000000,,38007000000,633000000,4448000000,4852068000,7232000000,9504000000,10164000000,13345000000,859000000,44564000000,1041000000,-13201000000,,1.345,617000000,298000000,-16954000000,1297000000,-4431000000,-6557000000,4852068000,-438000000,4527000000,,483000000,-65000000,3493000000,3623000000,1338000000,-11918000000,-107000000,19651000000,4702000000,4484000000,1.345,,
2007-12-31,1655000000,13801000000,,733000000,998000000,2430000000,30803000000,1236000000,40886000000,3201000000,697000000,1046000000,1046000000,12627000000,-147000000,15233000000,16463000000,2922000000,11825000000,4361000000,1422000000,-1875000000,1214000000,1245000000,17608000000,,11380000000,1019000000,76717000000,33276000000,11772000000,,16948000000,865000000,10083000000,3671000000,1042000000,,65337000000,,54625000000,2729000000,1046000000,4832387000,11012000000,15779000000,19011000000,-5209000000,-343000000,65124000000,4448000000,-2926000000,,2.41,1897000000,-700000000,-9006000000,1978000000,-6651000000,-10499000000,4832387000,235000000,5725000000,,1099000000,-714000000,3859000000,-3203000000,1592000000,-16443000000,-324000000,32242000000,4953000000,3791000000,2.41,,
2008-12-31,-11510000000,16952000000,2308000000,1085000000,703000000,2261000000,27647000000,-707000000,34884000000,535000000,870000000,10331000000,10331000000,13476000000,-127000000,13217000000,17641000000,2408000000,13218000000,8142000000,710000000,-2850000000,1302000000,1748000000,17535000000,-752000000,23238000000,510000000,79931000000,42556000000,13218000000,,27956000000,693000000,7237000000,3204000000,134000000,,56693000000,,49329000000,-2572000000,12639000000,5062148000,17114000000,19785000000,17789000000,9004000000,-467000000,59667000000,1046000000,0,,2.58,1525000000,-803000000,-11401000000,2833000000,-8972000000,-10338000000,5062148000,-466000000,4005000000,,500000000,12047000000,3896000000,14717000000,1765000000,-2461000000,-2436000000,37426000000,9727000000,1898000000,2.58,,
2009-12-31,-1808000000,7579000000,3747000000,981000000,121000000,2309000000,32601000000,1218000000,41782000000,2100000000,865000000,7293000000,7293000000,5456000000,-331000000,7123000000,13621000000,5450000000,5349000000,-960000000,2982000000,-2724000000,1320000000,1130000000,20650000000,-9000000,21294000000,406000000,102279000000,56935000000,5349000000,,31690000000,891951229.299107,9181000000,3120000000,,0,80985000000,1173000000,67637000000,721000000,11040000000,5212724000,7136000000,9690000000,11403000000,625000000,530000000,83416000000,10331000000,-1952000000,,1.12927,1427000000,16000000,-13159000000,2111000000,-8096000000,-15779000000,5212724000,616000000,5755000000,,747000000,-47000000,3196000000,-5398000000,1558000000,-1934000000,-3386000000,23311000000,9727000000,2313000000,1.12927,,
2010-12-31,-333000000,23900000000,1793000000,878000000,928000000,3558000000,38786000000,-1231000000,56698000000,3705000000,593000000,7584000000,7584000000,17596000000,-152000000,20314000000,18814000000,4497000000,17264000000,7022000000,2971000000,-3000000000,2485000000,1701000000,22875000000,-1996000000,31791000000,1219000000,129139000000,68899000000,17264000000,,42384000000,1302000000,17912000000,8211000000,1954000000,,97348000000,1274000000,83096000000,-1230000000,9377000000,5311507000,19669000000,26479000000,26220000000,-2569000000,503000000,101489000000,7293000000,-6252000000,,3.23,1987000000,-1291000000,-17184000000,2579000000,-12647000000,-18393000000,5311507000,-3800000000,8085000000,,4086000000,520000000,4298000000,-84000000,2646000000,-4786000000,-87000000,45293000000,10370000000,3317000000,3.23,,
2011-12-31,-5673000000,31409000000,0,1674000000,1076000000,4814000000,37571000000,-4006000000,48614000000,5282000000,946000000,3531000000,3531000000,22652000000,-364000000,26799000000,23573000000,8093000000,22885000000,8421000000,1541000000,-9000000000,1896000000,2334000000,22965000000,-3002000000,21736000000,855000000,128728000000,77715000000,22885000000,,45612000000,1454000000,11043000000,8505000000,2874000000,,106992000000,1135000000,88895000000,-2863000000,3531000000,5246794000,24496000000,35417000000,33386000000,-14371000000,-1343000000,109972000000,7584000000,0,,4.33,2460000000,-265000000,-14069000000,4008000000,-16075000000,-21077000000,5246794000,-821000000,5654000000,,883000000,-1234000000,5251000000,-3944000000,2465000000,-3577000000,-504000000,58990000000,16728000000,3026000000,4.33,,
2012-12-31,-9613000000,15427000000,246000000,1478000000,-168000000,4529000000,43017000000,2859000000,55602000000,-833000000,956000000,5832000000,5832000000,5254000000,176000000,5422000000,27650000000,6492000000,5511000000,818000000,2890000000,-6000000000,2129000000,2240000000,26871000000,0,22897000000,-225000000,131478000000,74241000000,5511000000,,46295000000,1481000000,12585000000,6795000000,974000000,,108581000000,1022000000,90744000000,-8239000000,6078000000,5105670000,16595000000,21103000000,12232000000,1165000000,-296000000,114001000000,3531000000,0,,0.99,3684000000,-3362000000,-15347000000,5676000000,-15777000000,-23257000000,5105670000,1900000000,3538000000,,1595000000,-456000000,5052000000,2413000000,2414000000,-1712000000,-720000000,48753000000,16728000000,2947000000,0.99,,
2013-12-31,-21790000000,17600000000,3000000,801000000,-124000000,3772000000,50049000000,-561000000,59661000000,6833000000,918000000,5321000000,5321000000,408000000,1869000000,7241000000,24245000000,3584000000,584000000,1687000000,1591000000,-4500000000,2228000000,643000000,27675000000,0,24377000000,442000000,124597000000,63325000000,584000000,,29566000000,1386000000,9612000000,5703000000,357000000,,100220000000,2731000000,81665000000,-6000000000,5324000000,5153375000,14792000000,22522000000,13107000000,-4557000000,346000000,102750000000,5832000000,,470000000,0.11,3352000000,-953000000,-10608000000,4922000000,-13105000000,-21085000000,5153375000,608000000,3228000000,1497000000,1106000000,-20000000,4125000000,-286000000,1716000000,-3347000000,-378000000,46767000000,22907000000,4140000000,0.11,,
2014-12-31,-4414000000,8607000000,148000000,734000000,1013000000,4354000000,49431000000,3776000000,60168000000,1200000000,574000000,3974000000,3974000000,353000000,1669000000,1553000000,25064000000,4133000000,657000000,994000000,1319000000,-4200000000,1906000000,710000000,27497000000,,20234000000,662000000,116489000000,55122000000,657000000,,19985000000,1163000000,10737000000,3275000000,1246000000,,96255000000,3060000000,78122000000,-4326000000,4122000000,5053846154,12807000000,12475000000,7304000000,-3861000000,-535000000,100612000000,5321000000,,457000000,0.13,2803000000,149000000,-9968000000,3868000000,-11813000000,-22490000000,5053846154,2546000000,3341000000,1323000000,1932000000,-66000000,4501000000,-1022000000,1463000000,-1936000000,-392000000,37539000000,23089000000,3760000000,0.13,,
2015-12-31,-25694000000,2582000000,28000000,477000000,740000000,3365000000,42243000000,1253000000,52788000000,-5100000000,311000000,3591000000,3591000000,-12620000000,1374000000,-17720000000,20513000000,2940000000,-12129000000,-3880000000,2677000000,-1500000000,1495000000,291000000,26560000000,,15473000000,-776000000,88492000000,33589000000,-12129000000,,0,375000000,10545000000,1476000000,308000000,,73019000000,2368000000,54102000000,-19301000000,3619000000,5153375000,4491000000,5096000000,-13617000000,1703000000,-304000000,78652000000,3974000000,-90000000,345000000,-2.35,1793000000,-5489000000,-6159000000,2514000000,-8371000000,-24550000000,5153375000,1671000000,1670000000,1749000000,2831000000,1034000000,3528000000,35000000,74000000,-2826000000,-66000000,25609000000,23089000000,2956000000,-2.35,,
2016-12-31,-20244000000,8051000000,18000000,319000000,243000000,3630000000,46758000000,-1074000000,57990000000,2781000000,557000000,4262000000,4262000000,5203000000,292000000,7984000000,17650000000,3696000000,3982000000,1630000000,2032000000,-250000000,1236000000,301000000,27789000000,,22567000000,-3445000000,99014000000,39042000000,3982000000,,0,,11232000000,3663000000,12000000,,76447000000,3790000000,55419000000,2532000000,4280000000,5153375000,6581000000,9838000000,13003000000,-1281000000,288000000,84265000000,3591000000,,,0.77,2460000000,,-4698000000,1787000000,-4951000000,-28846000000,5153375000,-2744000000,1700000000,2090000000,2400000000,-308000000,3349000000,585000000,1532000000,-7717000000,-239000000,27488000000,23089000000,3081000000,0.77,,
2017-12-31,-15573000000,11241000000,18000000,340000000,232000000,4041000000,41298000000,630000000,54412000000,1495000000,538000000,4328000000,4328000000,6334000000,429000000,7829000000,21039000000,3568000000,5507000000,8619000000,1578000000,-1456000000,2253000000,391000000,21761000000,,18954000000,2779000000,99184000000,43458000000,5507000000,,0,,13114000000,2600000000,0,,80230000000,4383000000,54878000000,-441000000,4346000000,5195283019,12450000000,12928000000,13489000000,-8702000000,-339000000,87064000000,4262000000,0,,1.06,2696000000,,-3358000000,1687000000,-3831000000,-32186000000,5195283019,1277000000,1719000000,1849000000,2887000000,-224000000,3926000000,138000000,1952000000,-8998000000,-183000000,33967000000,0,4110000000,1.06,,
2018-12-31,-14030000000,12854000000,32000000,373000000,-376000000,3512000000,34247000000,-875000000,43358000000,-172000000,556000000,5784000000,5784000000,6988000000,3721000000,6816000000,22109000000,4212000000,6860000000,9117000000,2137000000,-3313000000,1979000000,399000000,15423000000,-1000000000,15292000000,4890000000,88190000000,43985000000,6860000000,,0,,9111000000,2648000000,,,72898000000,4309000000,48385000000,-3417000000,5816000000,5196969697,12901000000,14466000000,11910000000,-11128000000,-817000000,80738000000,4328000000,,,1.32,3501000000,,159000000,1612000000,-3784000000,-32353000000,5196969697,-156000000,1532000000,1603000000,950000000,-199000000,4443000000,1886000000,1743000000,-7841000000,-23000000,36575000000,0,3653000000,1.32,,
2019-12-31,-19092000000,13842000000,826000000,443000000,655000000,4107000000,38875000000,-72000000,52720000000,-595000000,382000000,7350000000,7350000000,-2180000000,-1808000000,-2775000000,21187000000,3524000000,-1683000000,8406000000,2194000000,0,3780000000,362000000,12798000000,0,17042000000,2100000000,91713000000,40067000000,-1683000000,,,1571000000,13845000000,2529000000,,,74671000000,4870000000,46576000000,-12674000000,,,12110000000,16383000000,3505000000,-3495000000,110000000,83496000000,5784000000,,431000000,,10735000000,,-6989000000,2541000000,-3704000000,-36920000000,,-25000000,1882000000,,3284000000,-996000000,4274000000,1626000000,2554000000,-2499000000,-904000000,37570000000,61614000000,3629000000,,,
