date,annualOtherNonCurrentLiabilities,annualBasicEPS,annualBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualGrossPPE,annualTotalNonCurrentAssets,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualDilutedAverageShares,annualNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,annualCapitalExpenditure,annualOperatingExpense,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,annualDilutedEPS,annualChangesInAccountReceivables,annualInterestExpense,annualAccumulatedDepreciation,annualGoodwill,annualInventory,annualDeferredIncomeTax,annualGrossProfit,annualChangeInWorkingCapital,annualTotalAssets,annualRetainedEarnings,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualOtherCurrentAssets,annualLongTermDebt,annualCostOfRevenue,annualOperatingIncome,annualCurrentDebt,annualPretaxIncome,annualCashDividendsPaid,annualFreeCashFlow,annualEndCashPosition,annualIncomeTaxPayable,annualAccountsPayable,annualOtherNonCashItems,annualDepreciationAndAmortization,annualInvestmentsAndAdvances,annualStockholdersEquity,annualSaleOfInvestment,annualTaxProvision,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualAccountsReceivable,annualCommonStockIssuance,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualOtherIntangibleAssets,annualNetPPE,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualChangeInAccountPayable,annualEbitda,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1978-08-31,,0.275501,14882000,,,,,0,,,,-9600000,4100000,,14882000,,,,,,0,,,,,26300000,0.275501,,,,,,,26300000,,0,,4100000,-8100000,,,,,,26300000,,,,0,0,,,,,,8100000,,,,,-10400000.0,9600000,,,,,,,4100000,2300000,,26300000,,0,,,
1979-08-31,,0.37,14864865,,,,,0,,,,-12500000,5500000,,14864865,,,,,,0,,,,,35200000,0.37,,,,,,,35200000,,0,,5500000,-10600000,,,,,,35200000,,,,0,0,,,,,,10600000,,,,,-13300000.0,12500000,,,,,,,5500000,2700000,,35200000,,0,,,
1980-08-31,,0.37,14864865,,,,,0,,,,-12500000,5500000,,14864865,,,,,,0,,,,,35800000,0.37,,,,,,,35800000,,0,,5500000,-12300000,,,,,,35800000,,,,0,0,,,,,,12300000,,,,,-13300000.0,12500000,,,,,,,5500000,1000000,,35800000,,0,,,
1981-08-31,,0.53,14716981,,,,,0,,,,-19500000,7800000,,14716981,,,,,,0,,,,,44600000,0.53,,,,,,,44600000,,0,,7800000,-15700000,,,,,,44600000,,,,0,0,,,,,,15700000,,,,,-20300000.0,19500000,,,,,,,7800000,4600000,,44600000,,0,,,
1982-08-31,,0.61,14754098,10000000.0,,,,0,11300000.0,1700000.0,1300000.0,700000,9000000,,14754098,,,,,,0,,11400000.0,,,48100000,0.61,,,-600000.0,,1900000.0,,27700000,,22900000,18300000.0,9000000,3300000,,,700000.0,,20400000.0,16300000,,18100000.0,,0,0,,,,,,19600000,,9100000.0,,10000000.0,,22200000,,,,,,700000.0,9000000,3300000,,16400000,0.0,0,,,
1983-08-31,,0.54,14814815,11600000.0,,,,0,13600000.0,1300000.0,1300000.0,700000,8000000,,14814815,,,,,,0,,13700000.0,,,50200000,0.54,,,-600000.0,,2200000.0,,28500000,,24700000,20700000.0,8000000,2500000,,,1900000.0,,21700000.0,14800000,,16100000.0,,0,0,,,,,,22200000,,8100000.0,,11600000.0,,24000000,,,,,,700000.0,8000000,2500000,,14900000,0.0,0,,,
1984-08-31,,0.68,14852941,17000000.0,,,,0,14300000.0,1500000.0,1500000.0,900000,10100000,,14852941,,,,,,0,,14400000.0,,,57300000,0.68,,,-600000.0,,2000000.0,,33300000,,30300000,24400000.0,10100000,4300000,,,600000.0,,24000000.0,18900000,,20500000.0,,0,0,,,,,,26000000,,10400000.0,,17000000.0,,29400000,,,,,,900000.0,10100000,4300000,,19000000,0.0,0,,,
1985-08-31,,0.63,14920635,15100000.0,,,,0,15100000.0,1500000.0,2700000.0,2100000,9400000,,14920635,,,,,,0,,15200000.0,,,57300000,0.63,,,-700000.0,,2500000.0,,33000000,,32900000,27100000.0,9400000,4300000,,,800000.0,,24300000.0,17800000,,19400000.0,,0,0,,,,,,28600000,,10000000.0,,15100000.0,,30800000,,,,,,2000000.0,9400000,4300000,,17900000,100000.0,0,,,
1986-08-31,-100000.0,0.77,15064935,18800000.0,,,,0,18600000.0,1300000.0,3000000.0,2300000,11600000,,15064935,,200000.0,,,,0,,18800000.0,,,69400000,0.77,,,-900000.0,,2500000.0,,40200000,,38500000,30900000.0,11600000,6000000,,,1300000.0,,29200000.0,21400000,,22700000.0,,0,0,,,,,,32500000,,11100000.0,,18800000.0,100000.0,36200000,,,,,,2100000.0,11600000,5900000,,21600000,200000.0,0,,,
1987-08-31,0.0,0.73,15068493,18000000.0,,,,0,21000000.0,1000000.0,3100000.0,2400000,11000000,,15068493,,200000.0,,,,0,,21200000.0,,,70900000,0.73,,,-1000000.0,,2800000.0,,41000000,,39100000,30800000.0,11000000,6300000,,,1300000.0,,29900000.0,19800000,,20700000.0,,0,0,,,,,,32800000,,9700000.0,,18000000.0,200000.0,36700000,,,,,,2100000.0,11000000,6100000,,20000000,300000.0,0,,,
1988-08-31,0.0,1.03,15048544,21600000.0,,,,0,21900000.0,1200000.0,3500000.0,2600000,15500000,,15048544,,200000.0,,,,0,,22100000.0,,,80000000,1.03,,,-1200000.0,,3600000.0,,46300000,,43300000,34100000.0,15500000,6800000,,,1200000.0,,33700000.0,24200000,,25400000.0,,0,0,,,,,,36500000,,9900000.0,,21600000.0,200000.0,40700000,,,,,,2300000.0,15500000,6600000,,24400000,300000.0,0,,,
1989-08-31,,1.04,15192308,22400000.0,,,,0,23700000.0,2100000.0,4500000.0,3400000,15800000,,15192308,,100000.0,,,,0,,24100000.0,,,83900000,1.04,,,-1500000.0,,3100000.0,,48000000,,44500000,35500000.0,15800000,6700000,,,1200000.0,,35900000.0,23900000,,26000000.0,,0,0,,,,,,37800000,,10200000.0,,22400000.0,,41100000,,,,,,3000000.0,15800000,6700000,,24300000,400000.0,0,,,
1990-08-31,0.0,1.03,15048544,21600000.0,3900000.0,,-800000.0,22400000,27300000.0,1900000.0,4900000.0,3600000,15500000,,15048544,0.0,200000.0,,-300000.0,-15300000.0,-300000,-400000.0,27800000.0,,,91000000,1.03,,,-2000000.0,,3700000.0,,51000000,-1500000.0,46800000,35700000.0,15500000,7800000,,0.0,1500000.0,,40000000.0,23200000,,25200000.0,-15300000.0,14100000,0,,3700000.0,,500000.0,,39000000,,9700000.0,,21600000.0,200000.0,43200000,,,,,,2900000.0,15500000,7600000,,23700000,700000.0,14500000,,,
1991-08-31,100000.0,1.01,15148515,9200000.0,3100000.0,,-12400000.0,21600000,26300000.0,1400000.0,4900000.0,3900000,15300000,,15148515,0.0,100000.0,,-800000.0,-13000000.0,-16500000,-1100000.0,26800000.0,,-15700000.0,89800000,1.01,,,-1900000.0,,4300000.0,,50400000,1500000.0,47800000,38000000.0,15300000,7100000,,0.0,17100000.0,,39400000.0,23600000,,25100000.0,-13000000.0,16300000,0,,3800000.0,-100000.0,500000.0,,40700000,,9800000.0,,9200000.0,200000.0,43900000,,,,,,3000000.0,15300000,6900000,,24100000,900000.0,17400000,,,
1992-08-31,0.0,1.19,15210084,7100000.0,3900000.0,,-2100000.0,9200000,29500000.0,1300000.0,5200000.0,12100000,18100000,,15210084,0.0,100000.0,,-200000.0,-14300000.0,-5100000,-700000.0,30100000.0,,,100000000,1.19,,,-2300000.0,,4700000.0,,58400000,-1800000.0,53500000,39700000.0,18100000,8300000,,-8200000.0,13900000.0,,41600000.0,28300000,,29500000.0,-16400000.0,16100000,0,,4300000.0,-200000.0,600000.0,,45200000,3600000.0,11400000.0,,7100000.0,100000.0,41400000,,2100000.0,,,,2900000.0,18100000,8200000,,28900000,9200000.0,16800000,,,
1993-08-31,700000.0,1.26,15317460,10900000.0,5200000.0,,3800000.0,7100000,31200000.0,-1300000.0,5400000.0,15600000,19300000,,15317460,-100000.0,,,-1200000.0,-17100000.0,-100000,-1400000.0,31800000.0,,,109000000,1.26,,,-2300000.0,,5500000.0,-100000.0,64900000,1800000.0,58800000,41400000.0,19300000,13100000,,200000.0,12800000.0,2700000.0,44100000.0,33100000,300000.0,31700000.0,-17600000.0,20500000,0,,4200000.0,100000.0,600000.0,,45700000,800000.0,12400000.0,,10900000.0,3400000.0,43200000,,600000.0,,,,3100000.0,19300000,9700000,,33700000,12500000.0,21900000,,,
1994-08-31,800000.0,0.83,15301205,13500000.0,3300000.0,,2600000.0,10900000,32800000.0,-11900000.0,5900000.0,9400000,12700000,,15301205,0.0,,,-700000.0,-17800000.0,9200000,-800000.0,33600000.0,,,112200000,0.83,,,-2700000.0,,6200000.0,,66000000,-3300000.0,54900000,36400000.0,12700000,12800000,,-100000.0,10900000.0,3800000.0,46200000.0,32400000,600000.0,20500000.0,-17700000.0,9600000,0,,4300000.0,200000.0,800000.0,,42100000,9900000.0,7800000.0,,13500000.0,4600000.0,45500000,,500000.0,,,,3200000.0,12700000,8200000,,33200000,6200000.0,10400000,,,
1995-08-31,900000.0,1.33,15400478,11100000.0,5700000.0,,-2400000.0,13500000,35100000.0,1200000.0,6500000.0,10000000,20500000,,15400478,-100000.0,,,-100000.0,-18900000.0,-5100000,-1400000.0,36100000.0,,-4100000.0,116800000,1.33,,,-3000000.0,,4900000.0,,67600000,600000.0,59600000,38300000.0,20500000,15100000,,100000.0,16500000.0,3100000.0,49200000.0,31500000,700000.0,32700000.0,-18600000.0,20000000,0,,4700000.0,-800000.0,1000000.0,,44500000,,12200000.0,,11100000.0,4000000.0,49600000,,400000.0,,,,3500000.0,20500000,11100000,,32500000,6500000.0,21400000,,,
1996-08-31,1000000.0,1.38,15423728,6700000.0,4600000.0,,-4300000.0,11100000,39200000.0,700000.0,7100000.0,24100000,21300000,,15428571,0.0,,,-1300000.0,-19300000.0,-3100000,-1400000.0,41000000.0,,,130900000,1.38,,,-3200000.0,,6200000.0,600000.0,73700000,-5500000.0,61700000,40400000.0,21300000,14500000,,-15000000.0,3300000.0,2400000.0,57200000.0,32700000,700000.0,33400000.0,-19100000.0,16800000,0,,5800000.0,,1800000.0,,47200000,13100000.0,12100000.0,,6700000.0,3400000.0,37600000,,500000.0,,,14400000.0,3900000.0,21300000,11100000,,34500000,5800000.0,18200000,,,
1997-08-31,1000000.0,1.38,15512140,10900000.0,3900000.0,,4100000.0,6700000,42600000.0,-1200000.0,7900000.0,23000000,21400000,,15588235,0.0,,,800000.0,-18200000.0,-1100000,-1500000.0,44800000.0,,,137900000,1.38,,,-3700000.0,,5500000.0,,79500000,-300000.0,65400000,42400000.0,21400000,14100000,,0.0,3400000.0,1700000.0,58400000.0,34700000,800000.0,33400000.0,-19400000.0,21800000,0,,6700000.0,-100000.0,2200000.0,,51300000,100000.0,12000000.0,,10900000.0,2700000.0,42400000,,1900000.0,,,13400000.0,4200000.0,21400000,11400000,,36900000,5400000.0,23300000,,,
