date,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentDebt,annualBasicEPS,annualCurrentAccruedExpenses,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualDeferredIncomeTax,annualInterestExpense,annualCommonStockIssuance,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualAccumulatedDepreciation,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualCurrentAssets,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualDilutedEPS,annualRetainedEarnings,annualBeginningCashPosition,annualAccountsReceivable,annualCostOfRevenue,annualCashDividendsPaid,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualLongTermDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCurrentLiabilities,annualStockholdersEquity,annualChangeInInventory,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualSaleOfInvestment,annualOperatingCashFlow,annualCapitalStock,annualDilutedAverageShares,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualEbitda,annualGrossProfit,annualNetPPE,annualGrossPPE,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualBasicAverageShares,annualAccountsPayable,annualCapitalExpenditure,annualOperatingIncome,annualInvestingCashFlow,annualPretaxIncome,annualIncomeTaxPayable,annualEndCashPosition,annualOtherIncomeExpense,annualResearchAndDevelopment,annualGoodwill,annualPurchaseOfBusiness,annualChangeInAccountPayable,annualNonCurrentDeferredRevenue
2000-12-31,54429000,,,,,-0.28,,-10616000,12112000.0,,,77000,,,,,,,,,,,-10616000,387084000,5128000,-10616000,-0.28,,,,,,,,,,,,,,381956000,,,,,,,37914286,,54429000,,,-12035000,,,,,,,,,,,37914286,,,-12035000,,,,,,,,,,
2001-12-31,39268000,,,,,-0.45,,-17726000,,,,793000,,,,,,,,,,,-17726000,388543000,4313000,-17726000,-0.45,,,,,,,,,,,,,,384230000,,,,,,,39391111,,39268000,,,793000,,,,,,,,,,,39391111,,,793000,,,,,,,,,,
2002-12-31,109644000,116809000.0,,,38000.0,-0.68,10406000.0,-31713000,10412000.0,,382153000.0,1159000,,1897000.0,491844000.0,746490000.0,,,-17227000.0,65778000.0,11035000.0,904927000.0,-31713000,1398601000,402805000,-31713000,-0.68,-60055000.0,39268000.0,184000.0,25147000.0,,-76603000.0,1499000.0,382153000.0,493674000.0,0.0,,9246000.0,20652000.0,991613000,-918000.0,,934898000.0,,-10348000.0,790000.0,46706000,7400000.0,856134000,,212000.0,-25154000,-23988000.0,420496000.0,437723000.0,0.0,0.0,-795926000.0,,70376000.0,,-14771000.0,46706000,10208000.0,-66255000.0,-34400000,-854174000.0,,,109644000.0,21000.0,,,,,
2003-12-31,341552000,36426000.0,,,41000.0,-0.62,21381000.0,-48892000,7234000.0,,659278000.0,1018000,,9031000.0,,,,,-22970000.0,425761000.0,8310000.0,402347000.0,-48892000,1733323000,730454000,-48892000,-0.62,-108947000.0,109644000.0,78000.0,47119000.0,,-436763000.0,1495000.0,635432000.0,1330976000.0,0.0,,21941000.0,71176000.0,1001815000,-183000.0,,286184000.0,,-21774000.0,820000.0,79429000,7400000.0,341552000,,204000.0,-31394000,-46101000.0,897815000.0,920785000.0,0.0,23846000.0,382481000.0,,231908000.0,,-871000.0,79429000,49754000.0,-414989000.0,-53335000,-32502000.0,,,341552000.0,4000.0,,,,,
2004-12-31,330261000,-72757000.0,,,718000.0,-2.37,34115000.0,-205586000,7953000.0,,1649968000.0,195000,,2687000.0,794997000.0,,,,-6418000.0,1018551000.0,16093000.0,451229000.0,-205586000,3464212000,1819921000,-205586000,-2.37,-314533000.0,341552000.0,227000.0,82040000.0,,-1122758000.0,335000.0,1600328000.0,3012983000.0,0.0,,70980000.0,169953000.0,1644291000,-2175000.0,,1650564000.0,,-114765000.0,990000.0,86778000,7400000.0,330261000,,757000.0,-18818000,-81845000.0,1987032000.0,1993450000.0,48600000.0,49640000.0,-572365000.0,,-11291000.0,,5928000.0,86778000,86520000.0,-1007993000.0,-89798000,-1547090000.0,,,330261000.0,-123427000.0,,,,,
2005-12-31,434289000,-21008000.0,,,24473000.0,-0.92,80879000.0,-90836000,348436000.0,,2112609000.0,721981000,,102699000.0,1404000.0,,,,-100516000.0,536391000.0,-3774000.0,684542000.0,-90836000,3945283000,2382388000,-90836000,-0.92,-395161000.0,330261000.0,88468000.0,398101000.0,,-828599000.0,246423000.0,2090846000.0,3260741000.0,0.0,,122065000.0,269779000.0,1562895000,-58934000.0,,476673000.0,499765000.0,48475000.0,993000.0,98308000,60480000.0,434289000,,39884000.0,97509000,323880000.0,2663870000.0,2764386000.0,84659000.0,2546000.0,-43920000.0,,104028000.0,,-15784000.0,98308000,79768000.0,-877074000.0,-24556000,-421120000.0,,,434289000.0,1331000.0,,,,,
2006-12-31,789407000,-606266000.0,,170501000.0,13548000.0,6.29,100958000.0,628728000,1418054000.0,,2503508000.0,1432257000,170321000.0,148017000.0,21790000.0,,,,-257636000.0,339132000.0,70099000.0,1095791000.0,628728000,4660180000,3014595000,628728000,6.24,-377747000.0,434289000.0,140232000.0,842713000.0,,-462050000.0,345464000.0,2380537000.0,3564389000.0,0.0,74251000.0,198883000.0,511087000.0,1645585000,-21261000.0,,-287457000.0,,240766000.0,1018000.0,111627000,67635000.0,789407000,97064000.0,64368000.0,-629627000,589544000.0,3157622000.0,3415258000.0,280969000.0,25907000.0,205216000.0,,355118000.0,,-94000.0,99998000,115612000.0,-702816000.0,-828510000,401809000.0,799229000.0,,789407000.0,831878000.0,,,,,
2007-12-31,1275120000,-710344000.0,,69085000.0,9011000.0,2.43,123942000.0,258148000,633051000.0,,3765940000.0,2687519000,68152000.0,143777000.0,673305000.0,,-179277000.0,,-437352000.0,717238000.0,-28501000.0,1581991000.0,258148000,6299282000,4351123000,258148000,2.34,-143899000.0,789407000.0,179059000.0,1625065000.0,,-391414000.0,353992000.0,3533339000.0,4717291000.0,0.0,60794000.0,239241000.0,585183000.0,1948159000,-7565000.0,,1151939000.0,,659172000.0,1162000.0,112685000,60074000.0,1275120000,152953000.0,73291000.0,668644000,1062454000.0,3939979000.0,4377331000.0,269512000.0,79648000.0,-293734000.0,,485713000.0,,-2905000.0,106030000,182718000.0,-1050586000.0,429403000,-1322739000.0,327233000.0,,1275120000.0,-65294000.0,,,,,
2008-12-31,1133904000,-13355000.0,4696000.0,-60923000.0,2685000.0,1.94,37305000.0,210206000,736515000.0,209906000.0,4426318000.0,2987324000,-62822000.0,172693000.0,344250000.0,,-440062000.0,,-674773000.0,106429000.0,-21259000.0,1411091000.0,210206000,6742615000,5150093000,210206000,1.92,67400000.0,1275120000.0,125196000.0,1938308000.0,,-853588000.0,424262000.0,4290424000.0,5331524000.0,0.0,32584000.0,262848000.0,723775000.0,1592522000,-49417000.0,20328000.0,667572000.0,,523183000.0,1248000.0,109441000,49049000.0,1133904000,4433000.0,120944000.0,584824000,1049016000.0,5105473000.0,5780246000.0,84667000.0,131461000.0,31052000.0,-606011000.0,-141216000.0,,2614000.0,108408000,232136000.0,-1376771000.0,312501000,-1338999000.0,149283000.0,1283000.0,1133904000.0,-12042000.0,,,,,
2009-12-31,1991830000,-559258000.0,4102000.0,2999000.0,2675000.0,0.17,44271000.0,39107000,792856000.0,318755000.0,3695821000.0,3045611000,-656000.0,211385000.0,2071798000.0,,0.0,,-1060010000.0,99380000.0,113088000.0,2282956000.0,20654000,7581769000,4421406000,20654000,0.17,-89559000.0,1133904000.0,152879000.0,1989334000.0,,53027000.0,368602000.0,3566428000.0,5298813000.0,0.0,28458000.0,410547000.0,725585000.0,3034338000,3265000.0,24336000.0,815515000.0,,593956000.0,1361000.0,120185000,44659000.0,1991830000,0.0,107005000.0,664038000,1056277000.0,5062059000.0,6122069000.0,9546000.0,129393000.0,-11258000.0,-1855153000.0,857926000.0,,2446000.0,119840000,135501000.0,-540929000.0,263421000,-551080000.0,42106000.0,1176000.0,1991830000.0,-11670000.0,,,,,
