date,annualOperatingCashFlow,annualCapitalStock,annualBasicAverageShares,annualOtherIncomeExpense,annualInventory,annualNetPPE,annualCurrentLiabilities,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualGrossProfit,annualPurchaseOfBusiness,annualEbitda,annualBasicEPS,annualOtherNonCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentAssets,annualAccountsReceivable,annualBeginningCashPosition,annualNetIncome,annualLongTermDebt,annualCashDividendsPaid,annualSaleOfInvestment,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualDepreciationAndAmortization,annualOtherNonCashItems,annualStockholdersEquity,annualTotalAssets,annualDilutedEPS,annualTaxProvision,annualCurrentAccruedExpenses,annualRetainedEarnings,annualDilutedAverageShares,annualCostOfRevenue,annualTotalRevenue,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualOperatingIncome,annualEndCashPosition,annualCurrentDebt,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualPurchaseOfInvestment,annualInterestExpense,annualPretaxIncome,annualChangesInAccountReceivables,annualGoodwill,annualInvestmentsAndAdvances,annualDeferredIncomeTax,annualGrossPPE,annualAccumulatedDepreciation,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualChangeInAccountPayable
2009-12-31,3187000000,981000000,303109083,-23000000,,1931000000,1850000000,2922000000,63000000,6643000000,-232000000,3550000000,6.63,13000000,47000000,4302000000,5524000000,361000000,2258000000,2010000000,,-160000000,,2010000000,31000000,1474000000,912000000,209000000,6536000000,8446000000,6.52,672000000,,5122000000,308156196,2086000000,8729000000,1619000000,385000000,101000000,2638000000,2405000000,,2200000000,1000000,,-107000000,528000000,60000000,2010000000,4302000000,29000000,,4005000000,1910000000,137000000,-1709000000,,,2682000000,-108000000,597000000,0,-37000000,3705000000,-1774000000,209000000,-232000000,-2928000000,-987000000,563000000,,147000000,,,,
2010-12-31,5963000000,972000000,303817388,24000000,,2983000000,2937000000,4422000000,129000000,9915000000,-235000000,6004000000,12.56,15000000,50000000,6732000000,8195000000,798000000,2405000000,3817000000,,-906000000,,3817000000,265000000,1838000000,1181000000,160000000,9615000000,12617000000,12.37,1186000000,,8028000000,308580600,2585000000,12500000000,2073000000,550000000,196000000,4823000000,3371000000,,3764000000,0,,-2000000,979000000,65000000,3817000000,6732000000,814000000,,5092000000,3002000000,148000000,-1632000000,,,5003000000,-437000000,662000000,92000000,2000000,5770000000,-2787000000,160000000,-907000000,-4066000000,-2199000000,826000000,,966000000,,,,
2011-12-31,7794000000,595000000,315541639,62000000,,6973000000,4712000000,19571000000,486000000,15326000000,-735000000,8908000000,18.3,0,189000000,11491000000,14505000000,1250000000,3371000000,5773000000,,0,,5773000000,3051000000,3294000000,1874000000,5813000000,28953000000,34076000000,17.59,1545000000,258000000,13801000000,328155087,4707000000,20033000000,3124000000,900000000,663000000,7034000000,6322000000,,2228000000,11403000000,,-28000000,2896000000,411000000,5773000000,11491000000,91000000,,8292000000,5123000000,1828000000,9052000000,-20545000000,,7318000000,-434000000,1132000000,7302000000,-169000000,11422000000,-4449000000,286000000,11598000000,-17794000000,-5566000000,0,,2951000000,,,,
2012-12-31,11529000000,445000000,326210948,118000000,8000000,8095000000,6682000000,26094000000,323000000,21579000000,0,12405000000,25.21,0,448000000,12130000000,18191000000,1767000000,5930000000,8223000000,,0,1695000000,8223000000,10886000000,4900000000,2951000000,51000000,37047000000,44285000000,24.5,2351000000,432000000,22024000000,335690596,7188000000,28767000000,4274000000,1092000000,1217000000,9454000000,7425000000,,7545000000,0,76000000,0,2513000000,556000000,8223000000,12054000000,33000000,,12125000000,7238000000,961000000,8731000000,-16632000000,,10574000000,-526000000,750000000,5310000000,72000000,14988000000,-6893000000,376000000,361000000,-10190000000,-3984000000,1619000000,,1495000000,,,,
2013-12-31,14705000000,242000000,326657778,2159000000,,9729000000,6915000000,32428000000,633000000,28896000000,-2438000000,16556000000,41.25,0,1245000000,33481000000,38883000000,2785000000,7425000000,13474000000,16429000000,,18282000000,13474000000,1643000000,6537000000,3719000000,-28000000,46597000000,71311000000,40.27,3239000000,,35498000000,334571212,10606000000,39502000000,5827000000,1501000000,1332000000,12837000000,33394000000,,9769000000,,87000000,-179000000,3710000000,17799000000,13474000000,33394000000,-741000000,-8518000000,16059000000,24714000000,2042000000,-154000000,-11464000000,,16713000000,-966000000,2946000000,16432000000,-197000000,20062000000,-10333000000,754000000,11461000000,-710000000,-4936000000,0,,25969000000,,,,
2014-12-31,15546000000,182000000,319336782,6296000000,,17107000000,9796000000,59117000000,2425000000,36431000000,-6360000000,19807000000,53.3,0,1587000000,20769000000,35807000000,3703000000,33394000000,17020000000,26325000000,,7929000000,17020000000,28200000000,7782000000,4484000000,38000000,55736000000,94924000000,52.27,5455000000,604000000,52518000000,325610277,14336000000,50767000000,8842000000,1808000000,9599000000,15323000000,17645000000,,5867000000,,3124000000,-42000000,5053000000,29392000000,17020000000,17645000000,-1731000000,-8423000000,21108000000,39188000000,1023000000,-863000000,-19748000000,,22475000000,-714000000,8920000000,871000000,115000000,30789000000,-13682000000,1210000000,-11707000000,-28589000000,-9679000000,0,-6414000000,-15749000000,,,,
2015-12-31,19576000000,75000000,318541887,1683000000,,24337000000,11669000000,58589000000,2511000000,42982000000,-398000000,17960000000,30.39,0,1552000000,27153000000,53229000000,5586000000,17645000000,9679000000,27374000000,29000000,3426000000,9679000000,20324000000,11601000000,7791000000,-83000000,70097000000,111818000000,29.9,3917000000,979000000,62197000000,323713437,16810000000,59792000000,13421000000,1875000000,18985000000,10169000000,24238000000,,6531000000,,2915000000,-124000000,6994000000,30052000000,9679000000,24238000000,329000000,0,32813000000,41721000000,3099000000,920000000,-2674000000,,13596000000,-1763000000,8581000000,1122000000,-188000000,38969000000,-18109000000,2718000000,-6023000000,-11676000000,-13045000000,0,-6096000000,6593000000,,,,
2016-12-31,25449000000,284000000,320788967,-3395000000,,18817000000,14622000000,39138000000,5514000000,56171000000,0,22454000000,21.19,1506000000,1040000000,63034000000,74970000000,7741000000,24238000000,6798000000,18750000000,,70972000000,6798000000,2811000000,17885000000,9607000000,871000000,77086000000,114108000000,20.84,4324000000,1680000000,67695000000,326136949,19754000000,75925000000,15832000000,2127000000,2714000000,12847000000,28232000000,,15824000000,,34802000000,-55000000,9532000000,22400000000,6783000000,28232000000,2006000000,,43324000000,37022000000,896000000,-550000000,-74080000000,1091000000,11107000000,-2385000000,8436000000,1513000000,-864000000,41551000000,-22734000000,3422000000,-5021000000,-13106000000,-9625000000,0,-5397000000,3994000000,,,,
2017-12-31,23772000000,271000000,324747888,-1466000000,,21171000000,35261000000,49788000000,5023000000,70117000000,-918000000,25718000000,27.02,9821000000,959000000,65702000000,80395000000,9929000000,28810000000,8776000000,0,,75885000000,8776000000,3301000000,27081000000,11239000000,418000000,82826000000,130183000000,26.49,4926000000,1909000000,68036000000,331243961,23937000000,94054000000,18761000000,2464000000,3495000000,13036000000,43231000000,17834000000,11383000000,,23040000000,-170000000,10750000000,12096000000,8656000000,42662000000,-978000000,-77000000,57081000000,47357000000,1864000000,-166000000,-70273000000,897000000,13582000000,-2179000000,9328000000,7006000000,-1513000000,51463000000,-30292000000,4193000000,-587000000,-7788000000,-12389000000,0,-668000000,14421000000,,,,
2018-12-31,28212000000,263000000,326667118,31166000000,265000000,39740000000,23737000000,150686000000,11545000000,91767000000,,67546000000,145.67,12780000000,1572000000,68798000000,92420000000,14570000000,43231000000,47587000000,,,85785000000,47587000000,3808000000,36200000000,12137000000,665000000,183521000000,243106000000,141.98,8603000000,1673000000,113795000000,335162062,35890000000,127657000000,22569000000,2792000000,6444000000,20861000000,68886000000,,-111000000,,0,-1553000000,16886000000,14921000000,45861000000,68798000000,-3937000000,-10085000000,70906000000,38658000000,10041000000,-2553000000,-55747000000,945000000,54464000000,-4705000000,54070000000,36484000000,-1862000000,81448000000,-41708000000,6552000000,-32804000000,19241000000,-28323000000,,-21281000000,25655000000,,,,
