date,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualRepaymentOfDebt,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualPurchaseOfBusiness,annualOperatingExpense,annualCapitalStock,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,annualDeferredIncomeTax,annualGrossProfit,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualInventory,annualBasicAverageShares,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualRetainedEarnings,annualBasicEPS,annualTotalAssets,annualNetIncome,annualCashDividendsPaid,annualAccountsReceivable,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualOperatingIncome,annualFreeCashFlow,annualInvestingCashFlow,annualPretaxIncome,annualIncomeTaxPayable,annualEndCashPosition,annualStockholdersEquity,annualNonCurrentDeferredRevenue,annualOtherNonCashItems,annualLongTermDebt,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualCurrentLiabilities,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualTaxProvision,annualDilutedAverageShares,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualChangeInAccountPayable,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualEbitda,annualOtherNonCurrentAssets,annualNetPPE,annualGoodwill,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualOtherShortTermInvestments,annualOtherIntangibleAssets
1995-12-31,89136459,2312247,183398,0,2965145,,0,0,87444048,-5256959,3187771,141536,,518817,-1281,1179241,4164000,,10539739,6373743,2312247,,15449296,,,68687939,7753441,-11890730,,299637,7581138,-1198214,1077693,1843982,0.305,90459706,2312247,-2277190,,,,342610,4909557,-2256934,-4179266,,,0,21771767,,376074,32000000,61377,1509918,7002561,,1844500,,7581138,,,,3000025,61685378,0.305,75614,,,3015658,6419475,9152201,77245729,,,,,
1996-12-31,93913920,2759756,164256,694491,3005272,,0,,92773630,-4936816,3235491,279231,,5824022,-3184,599904,1237000,,10481931,7251308,2759756,,15721462,552557,,68733677,9744675,-13158637,,302821,7885017,-311628,529481,2227118,0.35,96736434,2759756,-2376620,,,,376469,5239531,-626594,-4215635,4018460,,694491,28002757,,-60916,32000000,61377,1370453,3494614,694491,1184912,1258704,7885017,,,,4310222,65239063,0.35,79502,694491,,3962804,6609984,11027899,80755283,,,,,
1997-12-31,97986785,3120061,182118,-694491,2754539,,694491,,95163649,-4500517,3244384,150588,,673066,-35016,-2289518,843000,,11319923,26453873,3120061,,16996706,634065,,69703288,9807788,-14332890,,337837,8747835,-312365,1003522,2696913,0.356667,98854074,3120061,-2650266,,,,551402,5676783,591505,-3496995,4761290,,0,29150786,,97923,32000000,75017,1552338,3201776,0,1136773,1641229,8747835,,,,5092022,66501512,0.356667,81682,0,,3690425,7229121,10595820,83653895,,,,,
1998-12-31,102583487,3135389,216478,257706,2755555,,0,,99121462,-4989967,3115287,158329,,96712,-23563,-2647880,0,,11486355,27292726,3135389,,17137029,589078,,72098655,10967235,-15687003,,361400,8873742,921888,1688535,3087710,0.353333,102479091,3135389,-2744592,,,,290179,5650674,1217051,-3301432,4900316,,257706,30380436,,-75915,32000000,81836,1636578,2374508,257706,1361436,1764927,8873742,,,,6207018,69724147,0.353333,,257706,,3357629,7287252,11411903,86896484,,,,,
1999-12-31,109396233,3154073,1465175,-257706,2746531,72020563,257706,,105143766,-7050376,3283359,252058,,29281,-29040,-444456,1465175,,10255553,28099197,3154073,,17511251,947655,17511251,77770456,12109748,-17155352,,390440,9011637,-312136,1741382,3418257,0.35,108600110,3154073,-2823526,2753260,-3281000,,600993,7255698,-1554632,-5308994,4864177,,0,30829654,,,32765943,312644,,3926446,,1325389,1710104,9011637,3281000,,,5495744,,0.35,806471,,-687800,3456344,8874055,4104338,92240881,,,,,
2000-12-31,115348944,3757787,2686446,0,2853611,76372932,0,,112782353,-6413721,3386889,166003,,0,-12330,-969581,2686446,,10008624,28899504,3757787,,18481163,924785,18481163,83948852,15117013,-18395865,,402770,9018689,-46303,987961,4226051,0.416667,116386607,3757787,-2949993,2854593,-249046,,1168824,8472539,-18380,-5425760,5840837,,0,32437755,,,32728220,346891,,5764095,,1330911,2083050,9018689,249046,,,6395341,,0.416667,800307,,,3604254,10146254,5027194,96953079,,,,,
2001-12-31,121709734,4006067,2037877,97447,2943414,71648471,0,,109491365,-7095827,3921598,159536,,0,-47007,-1238794,2037877,,10467905,31473194,4006067,,19402542,1035136,19402542,77460018,8519594,-19445945,,449777,9244770,207756,1522403,4418280,0.433333,113351492,4006067,-3126038,2995000,-2940152,,478423,8934637,-186162,-5573424,6238608,,97447,35891474,,,32690343,317903,,4841217,97447,1701419,2232541,9244770,2940152,,,6909665,,0.433333,2573690,97447,,3860127,10506078,4842530,102263789,,,,,
2002-12-31,127721365,3790347,2776233,-97447,2831280,74755281,97447,,114706784,-6309906,4049496,182570,,0,-30796,-1765013,2776233,,11219992,32331176,3790347,,19553211,1270931,19553211,81191679,10488787,-20995807,,480573,9475868,-440657,1602876,4885532,0.4,118408387,3790347,-3323095,2838501,-3290488,,738723,8333219,64690,-4707030,5823932,,0,37216708,,,32652087,382529,,5494279,,1326241,2033585,9475868,3290488,,,6374596,,0.4,857982,,,3701603,9996713,5017396,106725558,,,,,
2003-12-31,139083844,4448296,9891760,0,2842883,72408268,0,,123401162,-10320952,4253106,12499,,0,-111803,1833868,9891760,,11554957,33234985,4448296,,20888536,775780,20888536,88451929,10578205,-22616618,,592376,9532063,-132646,1519685,5821544,0.466667,127508458,4448296,-3446826,3163285,-366238,,1743094,9333579,-3353553,-8801267,6822946,,0,39056529,,,29913445,351635,,14047246,,1693852,2374650,9532063,366238,,,6967399,,0.466667,903809,,,4107296,11112251,4648528,116467226,,,,,
2004-12-31,164329292,5300523,16339029,164235,3196889,84942043,0,,151038577,-25875371,4759325,-168317,,1887391,-101016,17481208,16339029,,11852262,41014215,5300523,,22504012,1869454,22504012,108029123,12532631,-24368681,,693392,9938481,-605362,17600,7191739,0.533333,156066449,5300523,-3803260,3708119,,-168628,1798289,10651750,-18126594,-25065750,8351753,,164235,48037326,,,35574416,462126,,21164620,164235,2181694,3051230,9938481,,,,7748777,,0.533333,7779230,164235,,5027872,12593617,5821653,139960611,,,,,
2005-12-31,182412000,5833000,19331000,-164000,3604000,95370000,164000,,167172000,-15562000,5432000,-149000,,4152000,-150000,8095000,19331000,,14017000,42015000,5833000,,26805000,688000,26805000,121881000,13421000,-27111000,,843000,10416071,456000,41000,8633000,0.56,172296000,5833000,-4311000,2866000,,-233000,2641000,12788000,-6306000,-17515000,9216000,,0,50415000,,,39835000,499000,,24650000,,1751000,3383000,10416071,,,,9256000,,0.56,1001000,,,5124000,15152000,5363000,155301000,,,,,
2006-12-31,202727000,6091000,1240000,0,4165000,122987000,0,,189366000,-20678000,6174000,110000,,1847000,23000,13307000,1240000,,15754000,55558000,6091000,,28658000,1496000,28658000,130703000,15529000,-28358000,,820000,10501724,-2878000,255000,9904000,0.58,196064000,6091000,-4672000,2304000,,-101000,1627000,12904000,-13562000,-20423000,9287000,,0,65361000,,,61095000,1038000,,5923000,,1981000,3196000,10501724,,,,7116000,,0.58,13543000,,,6698000,15426000,4741000,174369000,,,,,
2007-12-31,222928000,6414000,15040000,0,4144000,,0,,204157000,-18154000,6506000,-142000,,1255000,-38000,8152000,15040000,,17269000,56566000,6414000,,31433000,1143000,31433000,143697000,16964000,-31308000,,802000,11252632,-673000,858000,10986000,0.57,210969000,6414000,-5281000,2954000,,-280000,3164000,14164000,-8114000,-18192000,10106000,,0,67272000,,,58465000,840000,,21360000,,2030000,3692000,11252632,,,,10040000,,0.57,1008000,,,6812000,17391000,3658000,191620000,,,,,
