date,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOperatingExpense,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,annualBeginningCashPosition,annualCurrentAssets,annualCashAndCashEquivalents,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualInterestExpense,annualEbitda,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,annualGrossProfit,annualCommonStockIssuance,annualFreeCashFlow,annualOtherCurrentAssets,annualCostOfRevenue,annualDilutedEPS,annualBasicEPS,annualTaxProvision,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualNetIncome,annualOtherNonCashItems,annualPurchaseOfBusiness,annualCashDividendsPaid,annualCurrentDebt,annualInvestingCashFlow,annualAccountsReceivable,annualLongTermDebt,annualPurchaseOfInvestment,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,annualDepreciationAndAmortization,annualCurrentLiabilities,annualRetainedEarnings,annualStockBasedCompensation,annualChangeInWorkingCapital,annualSaleOfInvestment,annualGoodwill,annualInventory,annualOtherShortTermInvestments,annualBasicAverageShares,annualNetPPE,annualAccountsPayable,annualTotalRevenue,annualOperatingCashFlow,annualOperatingIncome,annualCapitalStock,annualRepaymentOfDebt,annualEndCashPosition,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,annualOtherNonCurrentLiabilities,annualPretaxIncome,annualDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualChangeInAccountPayable,annualIncomeTaxPayable,annualResearchAndDevelopment
2000-12-31,6885895000,130724000,57195000,-15992000,0.0,1545233000,2515235000,1506555000,-153193000,385671000,,431035000,,982569000,2208444472,878068000,,10054164000,488230000,,631214000,863566000.0,893630000,0.397596,0.399737,102734000,,1723702000,978444000,878068000,647206000.0,-236745000,-260299000,,-864222000,,309509000.0,-334793000.0,10364640000,,12569399000,,741133000,,,,0.0,0.0,145114000,,2196615357,,287657000.0,1381860000,647206000,431035000,,-426666000.0,1394163000,-277039000.0,0.0,1506555000,,175896000.0,1081178000,,,,,,,,,,,,
2001-12-31,6695009000,127495000,250350000,-5927000,-3193000.0,1394163000,2100820000,1491919000,37690000,344052000,,206941000,,773963000,2210882303,800210000,,10188455000,457291000,,445327000,503894000.0,748814000,0.361941,0.362872,115037000,,1283965000,860062000,800210000,451254000.0,-342354000,-330007000,,-203885000,,311910000.0,-120429000.0,10872936000,,12289275000,,510002000,,,,57175000.0,-158817000.0,105007000,,2205210466,,241903000.0,1206105000,451254000,206941000,,-334889000.0,1429919000,207471000.0,0.0,1491919000,,168959000.0,975099000,,,,,,,,,,,,
2002-12-31,222954000,147491000,385339000,-40886000,0.0,1491919000,1761520000,822784000,-669671000,-30131000,,165059000,,528278000,2223202519,882487000,319722000.0,10921569000,550398000,,250739000,617494000.0,1138738000,0.396944,0.399644,137201000,,1061364000,947279000,882487000,291625000.0,-845633000,-345982000,55400000.0,-170646000,,528278000.0,-215673000.0,11441618000,,12683089000,,533086000,,,,390000000.0,149024000.0,127879000,,2208184379,2923089000.0,432385000.0,1689136000,291625000,165059000,,-414537000.0,822784000,537898000.0,0.0,822784000,,180107000.0,1084480000,,,,,,,,,,,,
2003-12-31,500000000,206824000,111605000,-623319000,,822784000,1950960000,956804000,198826000,195973000,,557993000,,292755000,2259759872,1465616000,311740000.0,12578686000,669598000,,274501000,690860000.0,1460831000,0.648572,0.65034,182228000,,854926000,1544038000,1465616000,897820000.0,-10685000,-591173000,40000000.0,145116000,,285133000.0,-171985000.0,12808354000,7622000.0,14529646000,,562171000,,,,0.0,157012000.0,151113000,,2253613946,4545272000.0,487728000.0,2130429000,897820000,557993000,,,1022249000,941035000.0,23312000.0,956804000,,866366000.0,1726266000,,,,,,,,,,,,
2004-12-31,3227000,284009000,11074263000,-1447094000,,1022249000,3549151000,2071466000,1051438000,1685561000,,606710000,,1932111000,2308477637,2057459000,172132000.0,14639868000,11680973000,,-1000106000,849359000.0,1688834000,0.891262,0.89452,224693000,,3014025000,2120788000,2057459000,446988000.0,-286151000,-942089000,347781000.0,-127022000,,1775691000.0,,13944396000,156420000.0,18189019000,,1081914000,,,,,,623199000,,2300069196,5853967000.0,709783000.0,13369807000,446988000,606710000,,-12000000.0,2071466000,1748439000.0,0.0,2071466000,,1230598000.0,2345481000,,,,,,,,,,,,
2005-12-31,4657000000,348000000,11377000000,-2249000000,,2071000000,2766000000,940000000,-1066000000,6337000000,,662000000,,7947000000,2363354977,2364000000,2007000000.0,24653000000,12039000000,,-933000000,1242000000.0,2147000000,1.000273,1.004834,54000000,,9792000000,2533000000,2364000000,1316000000.0,0,-380000000,,-8217000000,,0.0,,16159000000,155000000.0,27419000000,,1845000000,,,,2000000.0,275000000.0,170000000,411000000.0,2352626388,6075000000.0,1284000000.0,14186000000,1316000000,662000000,,-122000000.0,940000000,-5975000000.0,0.0,1351000000,,1468000000.0,2587000000,,,,,,,,,,,,
2006-12-31,2160000000,413000000,616000000,-2180000000,,940000000,2934000000,781000000,-134000000,-124000000,,731000000,,6645000000,2501591018,2540000000,3104000000.0,32152000000,1347000000,,-186000000,1523000000.0,3018000000,1.015354,1.018705,99000000,,11643000000,2187000000,2540000000,1994000000.0,-64000000,-365000000,,-1639000000,,,,20921000000,243000000.0,35086000000,,4998000000,,,,18000000.0,281000000.0,239000000,387000000.0,2493361348,8602000000.0,2272000000.0,4365000000,1994000000,731000000,,,781000000,418000000.0,0.0,1168000000,,320000000.0,2992000000,,,,,,,,,,,,
2007-12-31,-1000000,880000000,665000000,-2137000000,,781000000,3896000000,1230000000,414000000,361000000,577000000.0,5102000000,,7559000000,2561820081,3545000000,6605000000.0,41790000000,2391000000,,919000000,2000000.0,3867000000,1.383532,1.392004,210000000,-196000000.0,17211000000,3676000000,3545000000,0.0,-2538000000,-1154000000,,-1161000000,-2000000.0,,,26842000000,468000000.0,45686000000,639000000.0,9652000000,22810000000.0,77000000.0,-366000000.0,10000000.0,3750000000.0,324000000,,2546229884,11201000000.0,,6258000000,3056000000,1726000000,241000000.0,-263000000.0,1230000000,0.0,0.0,1230000000,,,3886000000,,,,,,,,,,,,
2008-12-31,0,582000000,37000000,-1990000000,,1230000000,5215000000,2806000000,1907000000,87000000,627000000.0,5413000000,-2752000000.0,10877000000,2611744766,3706000000,7426000000.0,45278000000,1972000000,,1727000000,0.0,2163000000,1.419,1.424027,220000000,19000000.0,17779000000,3794000000,3706000000,0.0,-557000000,-1431000000,2649000000.0,-3021000000,,,-1115000000.0,30280000000,631000000.0,50493000000,772000000.0,6902000000,10735000000.0,0.0,-153000000.0,462000000.0,2513000000.0,41000000,,2602395616,12921000000.0,,4135000000,3717000000,1935000000,242000000.0,-8994000000.0,2806000000,0.0,0.0,2806000000,15673000000.0,,4014000000,,,,,,,,,,,,
2009-12-31,0,388000000,-8000000,-1206000000,,3171000000,6685000000,3206000000,34000000,11000000,668000000.0,4748000000,-3185000000.0,10034000000,2614517568,3238000000,7039000000.0,45783000000,1533000000,,1553000000,0.0,2055000000,1.239054,1.239798,278000000,1000000.0,16849000000,2965000000,3238000000,0.0,-18000000,-1374000000,3304000000.0,-601000000,,,-208000000.0,33563000000,736000000.0,52468000000,837000000.0,6815000000,12497000000.0,,-553000000.0,2000000.0,2513000000.0,40000000,,2612904367,10844000000.0,,3588000000,2759000000,1541000000,243000000.0,-5676000000.0,3206000000,0.0,0.0,3206000000,14029000000.0,0.0,3243000000,,,,,,,,,,,,
2010-12-31,0,711000000,-1403000000,-1072000000,,3206000000,13618000000,6352000000,3033000000,33000000,753000000.0,9009000000,-6794000000.0,17734000000,2646122290,5876000000,13072000000.0,64733000000,2786000000,865000000.0,1846000000,0.0,3025000000,2.220429,2.226108,558000000,-1089000000.0,28980000000,6680000000,5876000000,0.0,-2598000000,-733000000,1748000000.0,-407000000,,1525000000.0,-421000000.0,39042000000,2065000000.0,78351000000,1018000000.0,11246000000,6531000000.0,,-1274000000.0,2000000.0,,159000000,382000000.0,2639391453,16835000000.0,,5811000000,2918000000,4189000000,246000000.0,-8678000000.0,6352000000,0.0,0.0,6734000000,23629000000.0,0.0,7238000000,,,,,,,,,,,,
2011-12-31,-2000000,1224000000,-762000000,-1962000000,,6352000000,15172000000,6811000000,-72000000,2865000000,1061000000.0,10159000000,-7992000000.0,20616000000,2664304518,5569000000,14474000000.0,71914000000,4052000000,122000000.0,2709000000,4000000.0,5418000000,2.090473,2.095686,1015000000,-1093000000.0,32326000000,6671000000,5569000000,0.0,0,-2660000000,2231000000.0,-2780000000,-4000000.0,985000000.0,-890000000.0,43405000000,2351000000.0,87086000000,1412000000.0,11710000000,1683000000.0,,-1351000000.0,0.0,,240000000,963000000.0,2657753631,18269000000.0,,9470000000,4671000000,4814000000,247000000.0,-11879000000.0,6520000000,-184000000.0,0.0,7774000000,26261000000.0,1049000000.0,7686000000,,,,,,,,,,,,
2012-12-31,111000000,1302000000,1139000000,-3911000000,,6520000000,6052000000,4192000000,-3696000000,157000000,1328000000.0,9483000000,-6943000000.0,14983000000,2678519784,3818000000,4796000000.0,71414000000,4335000000,19000000.0,2422000000,0.0,6687000000,1.425145,1.426727,1163000000,-383000000.0,23784000000,5708000000,3818000000,225000000.0,-7602000000,-1867000000,7021000000.0,-9325000000,852000000.0,11801000000.0,-4662000000.0,45542000000,1693000000.0,77466000000,1284000000.0,8801000000,1196000000.0,,513000000.0,3767000000.0,3293000000.0,89000000,369000000.0,2675579685,24809000000.0,294000000.0,11022000000,6333000000,3196000000,0.0,-16259000000.0,2806000000,-5580000000.0,6035000000.0,4561000000,31752000000.0,1489000000.0,6871000000,,,,,,,,,,,,
2013-12-31,136000000,860000000,798000000,-3485000000,,2806000000,5802000000,3205000000,332000000,-2304000000,1073000000.0,8078000000,-7928000000.0,28013000000,2716471763,4213000000,5274000000.0,83389000000,3236000000,64000000.0,1711000000,0.0,4522000000,1.550819,1.553611,842000000,-3000000.0,32765000000,4939000000,4213000000,-189000000.0,-5436000000,-1005000000,2417000000.0,-7781000000,895000000.0,24541000000.0,-429000000.0,48599000000,1949000000.0,89191000000,1224000000.0,4752000000,1390000000.0,,-175000000.0,1397000000.0,3318000000.0,94000000,558000000.0,2711507791,27001000000.0,334000000.0,7758000000,5196000000,2438000000,0.0,-10273000000.0,3205000000,1386000000.0,1687000000.0,3763000000,34929000000.0,1523000000.0,5781000000,,,,,,,,,,,,
2014-12-31,125000000,1017000000,934000000,-3165000000,,3205000000,13885000000,9501000000,6323000000,595000000,1023000000.0,8453000000,-8569000000.0,16925000000,3052422439,4526000000,5650000000.0,88551000000,3520000000,40000000.0,1544000000,0.0,4737000000,1.482768,1.483979,1151000000,-14000000.0,27290000000,5018000000,4526000000,-22000000.0,-607000000,-1768000000,6675000000.0,-4196000000,1031000000.0,13296000000.0,-471000000.0,67430000000,2208000000.0,102436000000,1261000000.0,10365000000,24859000000.0,,-113000000.0,314000000.0,3167000000.0,108000000,580000000.0,3049971671,27920000000.0,269000000.0,8257000000,4709000000,2586000000,0.0,-15066000000.0,9501000000,-688000000.0,3094000000.0,10081000000,36489000000.0,1421000000.0,6169000000,,,,,,,,,,,,
2015-12-31,109000000,989000000,916000000,-1696000000,,9501000000,12286000000,10293000000,919000000,35000000,858000000.0,8565000000,-8927000000.0,20912000000,3333261111,4808000000,5660000000.0,90063000000,3631000000,172000000.0,4988000000,0.0,4602000000,1.442087,1.443577,790000000,-12000000.0,25700000000,5525000000,4808000000,0.0,-3633000000,-2230000000,1800000000.0,-1983000000,917000000.0,17345000000.0,-2000000.0,68828000000,2333000000.0,102349000000,1392000000.0,4788000000,26425000000.0,,324000000.0,,2973000000.0,77000000,,3329956551,27115000000.0,271000000.0,8233000000,6684000000,2715000000,0.0,-11717000000.0,10293000000,-120000000.0,2582000000.0,10293000000,36042000000.0,1234000000.0,6315000000,,,,,,,,,,,,
