date,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentLiabilities,annualCapitalStock,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualOtherNonCashItems,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualDilutedAverageShares,annualPurchaseOfInvestment,annualInvestingCashFlow,annualCapitalExpenditure,annualInventory,annualChangeInInventory,annualNetOtherFinancingCharges,annualInterestExpense,annualResearchAndDevelopment,annualDilutedEPS,annualChangeInWorkingCapital,annualGrossProfit,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOperatingIncome,annualCostOfRevenue,annualTotalRevenue,annualRetainedEarnings,annualNetOtherInvestingChanges,annualEndCashPosition,annualTaxProvision,annualTotalAssets,annualPretaxIncome,annualCashDividendsPaid,annualCurrentDebt,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualNetIncome,annualAccountsPayable,annualOtherCurrentAssets,annualBasicEPS,annualSaleOfInvestment,annualStockholdersEquity,annualCashAndCashEquivalents,annualAccountsReceivable,annualDepreciationAndAmortization,annualBasicAverageShares,annualOperatingCashFlow,annualCurrentAssets,annualEbitda,annualNetPPE,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAccruedExpenses,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOtherIncomeExpense,annualGoodwill,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualIncomeTaxPayable,annualCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,annualStockBasedCompensation
1990-12-31,,,,,,,,,,,171898000.0,,362490000,,136235000,,,,,,,,41874000.0,,,,733014000,,,,,370524000,1768731000.0,2501745000,,,,171622000,,307857000,,,,,136235000,,,,,,,,,,,,349731000,,,,,136235000,,,,,,,,,,,,,,,
1991-12-31,,,,,,,,,,,287381000.0,,491557000,,147712000,,,,,,,,64417000.0,,,,872639000,,,,,381082000,2030578000.0,2903217000,,,,166372000,,314084000,,,,,147712000,,,,,,,,,,,,378501000,,,,,147712000,,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,,,319771000.0,,533418000,,408745000,,,,,,,,49107000.0,,,,1154755000,,,,,621337000,2772022000.0,3926777000,,,,140504000,,549249000,,,,,408745000,,,,,,,,,,,,598356000,,,,,408745000,,,,,,,,,,,,,,,
1993-12-31,4264945000.0,235313000.0,6455300000.0,,0.0,,,,7839554000.0,6998296000.0,596134000.0,,820160000,,778265000,,,,,1488163000.0,,,101923000.0,,0.096548,,1625678000,4841094000.0,,,,805518000,2185472000.0,3811150000,186416000.0,,,108139000,15129809000.0,886404000,,1414646000.0,,1270441000.0,778265000,864969000.0,0.0,0.096548,,10288715000.0,4264945000.0,1217005000.0,,,,7290255000.0,988327000,6998296000.0,3335340000.0,40456000.0,721483000.0,778265000,1505754000.0,,,,,,,,,,,,,,
1994-12-31,4166789000.0,136874000.0,6455300000.0,,144130000.0,,,,9274673000.0,8273913000.0,,,5180934000,,749405000,,,,,1997145000.0,,,,,0.092968,,6093995000,6074009000.0,,,0.0,6093995000,,6093995000,334070000.0,,,132248000,18033889000.0,881653000,,1336717000.0,,1181295000.0,749405000,1646755000.0,0.0,0.092968,,10586249000.0,4166789000.0,1780919000.0,,,,8759216000.0,6093995000,8273913000.0,4755840000.0,1000760000.0,,749405000,1318169000.0,,,,,,,,,,,,,,
1995-12-31,3485334000.0,149313000.0,6455300000.0,,0.0,,,,10028582000.0,8741262000.0,490446000.0,,521704000,,43201000,,,,,2260296000.0,,,95960000.0,,0.005359,,684399000,5831956000.0,,,0.0,162695000,5540905000.0,6225304000,304078000.0,,,6649000,17770484000.0,49850000,,1651998000.0,,856181000.0,43201000,1016398000.0,-235785000.0,0.005359,,10564897000.0,3485334000.0,1193568000.0,,,,7741902000.0,145810000,8741262000.0,4826462000.0,373709000.0,865122000.0,43201000,1005494000.0,,,,,,,,,,,,,,
1996-12-31,2536225000.0,184649000.0,6455300000.0,,0.0,,,,11201447000.0,9973873000.0,397253000.0,,441607000,,81165000,,,,,2220475000.0,,,123319000.0,,0.010069,,685883000,5999464000.0,,,0.0,244276000,6108570000.0,6794453000,304458000.0,,,14118000,17954604000.0,95283000,,1909369000.0,,1265764000.0,81165000,857018000.0,-226636000.0,0.010069,,10581509000.0,2536225000.0,1248675000.0,,,,6753157000.0,218602000,9973873000.0,4549051000.0,332020000.0,847065000.0,81165000,1450413000.0,,,,,,,,,,,,,,
1997-12-31,2094960000.0,161388000.0,6455300000.0,,155145000.0,,,,11715938000.0,10572286000.0,471700000.0,,514052000,,61622000,,,,,2309210000.0,,,199942000.0,,0.007645,,806050000,5875845000.0,,,4308000.0,291998000,5858288000.0,6664338000,353756000.0,,,10875000,17892607000.0,72497000,,1915586000.0,,1520114000.0,61622000,791745000.0,-236636000.0,0.007645,,10643131000.0,2090652000.0,1152374000.0,,,,6176669000.0,272439000,10572286000.0,4194343000.0,268308000.0,834663000.0,61622000,1681502000.0,,,,,,,,,,,,,,
1998-12-31,1376830000.0,1486148000.0,6455300000.0,-1373777000.0,140407000.0,281573000.0,778859000.0,336794000.0,12039454000.0,10957845000.0,322156000.0,,358077000,,-167941000,,-3858000.0,-61200000.0,-841962000.0,2483570000.0,-174360000.0,0.0,250292000.0,,-0.020834,-494688000.0,639726000,7329975000.0,-287823000.0,,26104000.0,281649000,5615642000.0,6255368000,185815000.0,777983000.0,1060432000.0,835000,17805165000.0,-167106000,-426407000.0,1926675000.0,,1681654000.0,-167941000,1015564000.0,-278327000.0,-0.020834,,10475190000.0,1350726000.0,1010026000.0,538115000.0,,554139000.0,5765711000.0,621301000,10957845000.0,4162173000.0,260121000.0,816493000.0,-167941000,3167802000.0,,,,,,,,,,,,,,
1999-12-31,1355858167.0,125969158.0,6455300000.0,-2200715482.0,380630829.0,-92707260.0,1008537654.0,283921543.0,12087142265.0,11088509217.0,472187332.0,,517013418,,13111758,,,-695034712.0,-636329948.0,2097566499.0,368004240.0,0.0,186929871.0,,0.001627,126727281.0,647795727,5437694307.0,472649700.0,,0.0,130782309,6021316865.0,6669112592,196591475.0,-97840285.0,915830394.0,269705,17299626537.0,13381463,-300396100.0,1758924395.0,,1260143841.0,13111758,806598658.0,-335789689.0,0.001627,33413556.0,11861932230.0,1355858167.0,888766651.0,583239314.0,,1108979648.0,5212484272.0,783550648,11088509217.0,4051581308.0,31206870.0,798323030.0,13111758,1386112999.0,,,,,,,,,,,,,,
