date,annualNetOtherInvestingChanges,annualChangeInWorkingCapital,annualBasicAverageShares,annualRetainedEarnings,annualNetIncome,annualDilutedEPS,annualOtherShortTermInvestments,annualCashDividendsPaid,annualPretaxIncome,annualBasicEPS,annualCommonStockIssuance,annualGoodwill,annualFreeCashFlow,annualAccountsPayable,annualTotalRevenue,annualOtherCurrentAssets,annualOperatingIncome,annualAccountsReceivable,annualInvestingCashFlow,annualPurchaseOfInvestment,annualTaxProvision,annualLongTermDebt,annualStockholdersEquity,annualTotalAssets,annualEndCashPosition,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,annualSaleOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,annualCurrentAssets,annualNetPPE,annualOperatingCashFlow,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,annualNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEbitda,annualGrossPPE,annualOtherIntangibleAssets,annualInterestExpense,annualCapitalStock,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualTotalNonCurrentAssets,annualPurchaseOfBusiness,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualInventory,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualCurrentDebt,annualStockBasedCompensation,annualCostOfRevenue,annualBeginningCashPosition,annualGrossProfit,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualCurrentAccruedExpenses,annualNonCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOtherIncomeExpense,annualChangesInAccountReceivables,annualIncomeTaxPayable,annualCurrentDeferredRevenue,annualResearchAndDevelopment,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax
2006-12-31,40000000.0,,2665204678,615859000.0,2278750000,0.851,,0,3339073000,0.855,,,-5877564000,3800392000,6913442000,7298749000.0,3099025000,,-1567260000,,1060323000,6470680000,11528369000,27696127000,5949589000,,5949589000,8480276000,,7687482000,3013981000,13812602000,8609870000,-4324998000,,5949589000,2278750000,0.0,1315160000.0,-821183000,5307531000,3099025000,,1824215000,,,667584000,-1552566000,13883525000,-82236000,-4324998000,2278750000,,,10275486000,1652309000,,4077436000,704680000,2836006000,-263019000,16167758000,2677732080,1216802000,,,,,,,,,,,,,
2007-12-31,120713000.0,,3211759812,494088000.0,4173785000,1.262,,-1086984000,5608042000,1.274,,,-7299353000,3850927000,9275925000,11821676000.0,5662228000,,-3918322000,,1434257000,10384037000,18448184000,39270602000,4596378000,,4596378000,8434913000,,12023481000,3149502000,17542133000,10842516000,-3649454000,,4596378000,4091782000,364024000.0,499980000.0,-3189660000,-1200025000,5662228000,,6997077000,,,949817000,-3649899000,21728469000,-1391409000,-3649454000,4091782000,,,3595735000,1252451000,,5315775000,5949589000,3960150000,-1702078000,20458394000,3242299525,1639444000,,,,,,,,,,,,,
2008-12-31,4264000.0,-65759000.0,3292732000,,841159000,0.254,,-464936000,1785494000,0.256,32679000.0,,-3607171000,8281816000,7196277000,13336224000.0,2251507000,1718642000.0,-5798923000,-187000000.0,925226000,10895097000,18695819000,46481341000,1814447000,259612000.0,1814447000,14943724000,,12500198000,4309904000,21698906000,5403356000,278671000,,1814447000,841159000,,0.0,-2388981000,-2749089000,2422741000,5864117000.0,6604346000,377635000.0,336015000.0,1347593000,-3885842000,24782435000,0,377635000,860268000,,-460761000.0,0,3538906000,25733000.0,3964242000,4596378000,3232035000,980528000,27443922000,3308780000,1605101000,,,,,,,,,,,,,
2009-12-31,131938000.0,1193791000.0,3453933000,,3511201000,1.014,,-716358000,5710196000,1.017,1766816000.0,,2609077000,13580580000,17032063000,18899789000.0,5998530000,,-4728962000,-2969207000.0,2107212000,16594590000,23347874000,66527583000,6918958000,271282000.0,7479341000,22590961000,,18419537000,10182146000,34886970000,5891602000,3974324000,,7479341000,3511201000,0.0,0.0,-9843832000,5108551000,6319131000,6604235000.0,5408643000,337653000.0,361938000.0,1577713000,-1365247000,31640613000,-671008000,93353000,3602984000,,-712633000.0,-245207000,3932306000,2808000.0,11149395000,1814447000,5882668000,-115862000,41010498000,3461833000,1824947000,,,,,,,,,,,,,
2010-12-31,-983000.0,-6644443000.0,3544710000,,4671536000,1.316,,-1179702000,8570310000,1.318,25091000.0,,-4962008000,23475811000,21789433000,30602964000.0,9289959000,,-2794540000,0.0,3079368000,24695507000,26698834000,95669315000,12139549000,304690000.0,12139549000,38649615000,358624000.0,27065716000,11750131000,54795111000,6553628000,-3707892000,,12139549000,4671536000,0.0,0.0,-9526175000,5270656000,9612800000,7523484000.0,4852851000,737800000.0,362384000.0,1647022000,-1254116000,40874204000,-1496070000,-1754242000,5490942000,,-969856000.0,-991827000,9376655000,0.0,13812137000,6918958000,7977296000,-1312663000,65715331000,3550676000,2370209000,,,,,,,,,,,,,
2011-12-31,0.0,-7227529000.0,3527568000,19543620000.0,5722775000,1.621,,-1381806000,10751569000,1.622,12212000.0,,-6652467000,29177140000,26031426000,46639868000.0,11010049000,5923676000.0,-3072105000,,4302640000,27577834000,30591680000,117242541000,12312740000,338072000.0,12312740000,51473815000,441185000.0,30750649000,3205665000,73207584000,8325789000,-4061813000,-421581000.0,12312740000,5722775000,0.0,52115000.0,-11981818000,225584000,11570061000,9565339000.0,4739095000,480420000.0,355737000.0,2119161000,-2590654000,44034957000,-1133025000,-2094552000,6448929000,,-1239550000.0,32464000,14983419000,,16031376000,12139549000,10000050000,-1009999000,82224464000,3530397903,3172815000,,,,,,,,,,,,,
2012-12-31,-393098000.0,7154531000.0,3466759000,25184893000.0,5764632000,1.662,,-507551000,10165437000,1.663,30241000.0,-124102000.0,4119380000,11595770000,28652243000,2204028000.0,6850925000,2407832000.0,-3281190000,,3580949000,28613297000,35907150000,130827795000,15893845000,389399000.0,15893845000,57511688000,,32388875000,757250000,78606216000,14419967000,8394313000,-21207000.0,15893845000,5764632000,0.0,0.0,-28702243000,3583121000,10723006000,15971760000.0,2264027000,168170000.0,356275000.0,2862712000,-4274933000,52221579000,-552028000,22115000,6584488000,37608942000.0,-1551793000.0,-541010000,12380644000,,19046444000,12312740000,9605799000,2754874000,89900563000,3468023000,3775578000,105869000.0,,,,,,,,,,,,
2013-12-31,-704975000.0,-15596802000.0,3464638000,32221458000.0,7389857000,2.132,,-1515899000,13058828000,2.133,0.0,-292352000.0,-15594838000,16796749000,41502660000,2547231000.0,10833034000,3718236000.0,-6129767000,-1488193000.0,4833504000,37553681000,41742250000,175767858000,17026018000,417322000.0,17026018000,82377073000,,41538923000,2008313000,117948704000,16023468000,-10811080000,-89636000.0,17026018000,7389857000,0.0,0.0,-29756334000,1244897000,13788361000,17873836000.0,2139925000,312211000.0,356275000.0,3589038000,-4783758000,57819154000,-1644294000,121361000,8225324000,62559873000.0,-1850368000.0,10390605000,11775322000,,26861772000,15893845000,14640888000,3807854000,123915996000,3466752000,3985242000,-25978825000.0,,,,,,,,,,,,
2014-12-31,311596000.0,-18994450000.0,3459153000,39824358000.0,8103833000,2.339,,-2684388000,15256433000,2.343,,-6889000.0,-16031748000,24043332000,56080546000,3463004000.0,14116813000,4696612000.0,-195132000,-575270000.0,5768686000,43269371000,46863379000,220533457000,20471830000,586849000.0,20471830000,107941628000,363884000.0,47608745000,1666753000,156885890000,19238285000,-11735162000,-75068000.0,20471830000,8103833000,0.0,0.0,-27511401000,3450352000,16255372000,21536645000.0,1847573000,412090000.0,356275000.0,4303580000,-4296586000,63647567000,-575270000,240522000,9487747000,83539896000.0,-2298360000.0,4095078000,18724718000,,37855393000,17026018000,18225153000,4108340000,155550373000,3463836000,4339374000,-25118629000.0,,,,,,,,,,,,
2015-12-31,-864811000.0,-1590291000.0,3460330000,45682058000.0,6115784000,1.764,41782000.0,-2875816000,13722409000,1.767,,0.0,-2486149000,21271645000,57732974000,3817713000.0,11432540000,4967963000.0,-10224436000,-70000000.0,5563671000,52867396000,50161660000,244254691000,22591843000,504029000.0,22591843000,110779789000,,58725582000,1311526000,174937039000,19493831000,2326153000,-40184000.0,22591843000,6115784000,0.0,0.0,-69842585000,2099610000,14787321000,22150200000.0,1840684000,560883000.0,356275000.0,4893671000,-4812302000,69317652000,-5854859000,-109005000,8158738000,100727237000.0,-2656369000.0,4808238000,16953596000,,41284575000,20471830000,16448399000,5015859000,169505371000,3465377000,5471821000,-4104780000.0,,,,,,,,,,,,
