date,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualOtherCurrentAssets,annualTotalRevenue,annualCostOfRevenue,annualAccountsPayable,annualResearchAndDevelopment,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,annualTaxProvision,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualDilutedAverageShares,annualPretaxIncome,annualCurrentDebt,annualCashDividendsPaid,annualNetIncome,annualFreeCashFlow,annualDilutedEPS,annualSellingGeneralAndAdministration,annualCurrentAssets,annualAccountsReceivable,annualOtherNonCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualTotalAssets,annualDepreciationAndAmortization,annualCurrentLiabilities,annualRetainedEarnings,annualNetIncomeCommonStockholders,annualEbitda,annualSaleOfInvestment,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetPPE,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualGrossProfit,annualCapitalStock,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,annualBasicEPS,annualGrossPPE,annualOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualInvestingCashFlow,annualCapitalExpenditure,annualPurchaseOfInvestment,annualOperatingExpense,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInWorkingCapital,annualBasicAverageShares,annualInterestExpense,annualInventory,annualGoodwill,annualNetOtherFinancingCharges,annualCurrentDeferredRevenue,annualChangeInAccountPayable,annualStockBasedCompensation,annualDeferredIncomeTax,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualOtherIncomeExpense,annualCurrentAccruedExpenses,annualAccumulatedDepreciation
1999-12-31,787084175,132553799,0,1069457313,693229678,127176567,,2056575028,296314723,9103522,3848204,39684365,296314723,,48787887,657250000,-132041769,58588351,117438394,,235432573,768870467,168120960,0,1947415706,785804723,4330278674,208297680,1269490853,62998497,58588351,363958110,12085000.0,0.0,8400000.0,2964855117,3561408207,457485257,376227635,983480000,253688173,296314723,11574735,,2964855117,109803100,,249574701,326287940.0,-137740703,-136249779,-22423000.0,243673836,,,46740022,346394497,-255115679,-96706659,,106872543,170780628,,8400000,,,,,,,,,,,,,
2000-12-31,812277814,195028022,0,1226517842,770106166,132717009,,2008400150,350151980,17996684,2144604,113903296,337541613,,131899980,499740000,-102905597,113771865,185149928,,251814849,781708602,76432844,0,2031683171,812277814,4440002690,209903381,1196122336,97226432,113771865,439848939,15000000.0,12610367.0,73500000.0,3053884398,3658294088,444274348,456411676,983480000,472214886,350151980,14850864,,3053884398,101313534,,296314723,399919369.0,-291720920,-287064958,-22440000.0,261383654,,,53837257,380098775,-356942822,60100948,,98045578,155929764,,73500000,,,,,,,,,,,,,
2001-12-31,1108002645,400815184,0,2054118158,1306913463,208157637,,3037783477,608437408,50435528,30704677,264438169,646185490,,314873697,1027420000,-145442040,202725978,-5239747,0.06871,332029162,1145934721,62151017,0,2210524149,1098012417,6068021182,239163832,1929780832,161566266,202725978,670721591,4867101.0,14391041.0,24500000.0,4383054128,4922086461,483962223,747204695,983480000,735980425,660576531,-10715605,0.06871,4383054128,114965723,,350151980,819713556.0,-899464729,-741220172,-195339692.0,346389511,,,258285428,291325589,-845430870,107503327,,116684062,211499460,,80456116,,,,,,,,,,,,,
2002-12-31,1323978845,609752136,0,2998159921,1961170514,631603126,,4872854769,799446778,172341897,6412746,371387375,809735627,,543729272,1850453434,-266857516,263758426,-1218667327,0.074289,407892523,1423250053,65815076,22000000,3220666001,1239571600,8899623930,295933685,3548875924,244920743,263758426,950478994,570581.0,1574200.0,813680603.0,6939549849,7476373877,466738324,1036989407,1183480000,908136931,811309827,-78434034,0.074289,6939549849,96212719,,608437408,806103160.0,-2144530234,-2126804258,-27661400.0,427237271,,,191009370,521363942,-1068795629,115801285,,110816037,304061873,,809847474,,,,,,,,,,,,,
2003-12-31,2674886794,1746539451,0,5695341869,3305703943,1170379178,,7629532613,2248603800,536492146,3436266,1112674504,2251854557,,1649166650,2230610922,-281621578,739566563,-322716496,0.196326,602051398,3195597237,41010104,15000000,4583725692,2598461600,13333370200,502338828,4954645819,716597940,739566563,2345983936,779022.0,1812000.0,619555247.0,9627089417,10137772963,446483702,2389637926,1255680000,2490246459,2253666557,-160858387,0.196326,9627089417,187686619,,799446778,1120111895.0,-2807296149,-2812962955,,643098475,,,1449157022,306517466,-1754602140,658189647,,194478458,457166759,,616963158,,,,,,,,,,,,,
2004-12-31,3314733473,2028647706,0,8379749735,5582758630,1359326366,,9428708447,1626828768,490601459,-337723043,1451128513,1639716216,,1941729972,3006000000,-879277484,1008826977,-972150831,0.267804,718207289,3589165853,43719650,94000000,5467280418,3255530000,16067170033,560111312,6113974974,1198314333,1008826977,2793963018,,0.0,,11705103821,12478004180,439970203,2796991105,1255680000,1429620242,1639716216,-399996604,0.267804,11705103821,274757185,,2248603800,1171181168.0,-2836566868,-2401771073,-108758300.0,768343399,,,-621775032,696444415,-2388530922,-849898264,,292121734,865404673,,0,,,,,,,,,,,,,
2005-12-31,4990774182,1255181270,4522223,10822696605,8314129546,1710833522,,12387798914,1178389564,273931192,-64324531,587442780,1184176988,,861373972,3573000000,-748244829,406892298,-1367514719,0.108014,1187427053,3422612382,207332286,94000000,5711434357,4875180000,19242026310,765615012,7397024732,1257395426,406892298,2074430561,117800000.0,0.0,,15091128010,15819413928,443449830,2508567059,1255680000,1523523177,1184176988,-43859018,0.108014,15091128010,428745056,,1626828768,1142793039.0,-3284168352,-2891037896,-459048058.0,1253385789,,,-448439204,1142283127,-4023549200,-309799914,,447441577,964144149,,0,,,,,,,,,,,,,
2006-12-31,7206484633,2766763281,15957172,15253501934,10744249860,1488523974,,13766016066,1146775757,693269886,76925886,1805039162,1140988333,,2498309048,1708000000,-823939361,1427930555,-513775597,0.379059,1647381609,3830306353,331306427,128500000,7051706368,7168738568,22305525353,957385710,6559531433,2300438445,1427930555,3995915808,25746412.0,0.0,145000000.0,17650875725,18475219000,509249228,4509252074,1255680000,2926948738,1140988333,-256378914,0.379059,17650875725,558015456,,1187555977,1487802919.0,-3333368165,-3440724335,,1742488793,,,-40780220,1760137468,-5255275432,-392484899,,540221050,1218634710,,145000000,,,,,,,,,,,,,
2007-12-31,9892411330,3776328794,0,18776097957,12925705599,1930815405,,19492845449,1411707022,780977265,-81483969,2704010930,1417683751,4401562265.0,3484988195,2479133436,-990545357,2494218617,-2915416332,0.566667,1939984409,6986858501,229507194,199306368,11079605265,9822027273,31040609420,1149118009,9600434119,5960966997,2494218617,5267266748,4690609.0,,,21885724853,24053750919,1383122389,5850392358,1566434193,2668807195,1417683751,-289673269,0.566667,21885724853,609554033,-98019695.0,1335232961,468158706.0,-5735329918,-5584223527,,2074063564,,20330640.0,76474061,2467656289,-3550591295,-1769245200,4401562265.0,633160544,1562551885,16119621.0,0,,,,,,,,,,,,,
2008-12-31,6089682481,3680518007,148745438,24228268074,18191656430,3470635887,,17263915962,6751210705,566226621,30112716,2679521942,6799363846,5045830326.0,3245748563,2268375685,-913603325,2607012335,113870252,0.516667,2207658185,13533144670,446538846,222744784,24796664298,6033454546,42532122806,1443990737,11174233481,8442211374,2607012335,5510497189,1868934691.0,,11282057207.0,25506204925,28998978136,1660242713,6036611644,1766434193,5266374859,6799363846,-307814342,0.516667,25506204925,756221382,,1411707022,3090000.0,-6360019580,-5152504607,-3140899526.0,2356093637,,19907085.0,5339503683,2534124931,-9029443254,359225211,5045830326.0,820757889,1870366227,16119621.0,11282057207,,,,,,,,,,,,,
