date,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualNetIncomeCommonStockholders,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,annualInterestExpense,annualDilutedAverageShares,annualCapitalStock,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,annualDilutedEPS,annualInventory,annualAccumulatedDepreciation,annualOperatingExpense,annualNetOtherFinancingCharges,annualCurrentDebt,annualCostOfRevenue,annualBeginningCashPosition,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualChangeInWorkingCapital,annualRetainedEarnings,annualNetOtherInvestingChanges,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualOtherCurrentAssets,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,annualBasicEPS,annualInvestingCashFlow,annualAccountsPayable,annualTotalAssets,annualTaxProvision,annualOperatingIncome,annualLongTermDebt,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualStockholdersEquity,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,annualInvestmentsAndAdvances,annualOperatingCashFlow,annualCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualCurrentDeferredRevenue,annualChangeInAccountPayable,annualGoodwill,annualResearchAndDevelopment,annualStockBasedCompensation,annualDeferredIncomeTax,annualIncomeTaxPayable,annualChangesInAccountReceivables,annualOtherIncomeExpense,annualCurrentAccruedExpenses,annualSaleOfInvestment
1999-12-31,,299740000,0.0,-431584000.0,107019000,1453857000.0,-1419000,0.0,32580000.0,35928767120,103750000.0,1279978000,-38583000.0,35482000,,151228000,0,0.0,0.0042,130724000.0,-173879000.0,18813000,0.0,406696000.0,4080625000,-263828000,255369000,,799417000,-81079000,-92861000,,0,83016000.0,293250000.0,485000.0,203976000,107019000,,31892000.0,-19750000.0,,4335994000,0.0042,-56320000,76780000.0,1908906000,8539000,236556000,302488000.0,-264368000,,883080000,63184000,89797000,496929000,,121599000.0,628928000,1279978000.0,,0.0,302488000,-24927000.0,90282000,35928767120,,,,,,,,,,,
2000-12-31,,368163000,0.0,-101085000.0,120569000,1587815000.0,467608000,10026000.0,21724000.0,41485321640,103683000.0,1340679000,-122220000.0,90413000,,181645000,0,-4724000.0,0.004375,15139000.0,-257162000.0,72312000,0.0,54511000.0,8262434000,-264368000,358754000,,465710000,116593000,450717000,,0,604230000.0,0.0,485000.0,264718000,120569000,,108356000.0,-30444000.0,,8621188000,0.004375,-157358000,170380000.0,1737247000,21997000,286442000,196416000.0,203240000,,1023157000,81721000,154213000,269294000,,726450000.0,396568000,1330653000.0,,0.0,196416000,-399000.0,154698000,41485321640,,,,,,,,,,,
2001-12-31,,281905000,0.0,-107469000.0,96610000,1673885000.0,51183000,13146000.0,6785000.0,41473200000,103683000.0,1358808000,-88364000.0,98634000,,153982000,-455000,-20018000.0,0.003713,150160000.0,-328223000.0,76602000,0.0,124908000.0,5666865000,203240000,285072000,,450563000,-134461000,-116949000,,0,-2298000.0,,485000.0,201685000,96610000,,116847000.0,,127426000.0,5951937000,0.003713,-49051000,185468000.0,1891485000,-9669000,208470000,140187000.0,254405000,,1161569000,73435000,137692000,310376000,,86066000.0,532677000,1345662000.0,,-67000.0,140187000,,138177000,41473200000,,,,,,,,,,,
2002-12-31,,313990000,0.0,-1289486000.0,148491000,1807997000.0,12429000,54311000.0,6866000.0,41473200000,103683000.0,1463205000,-126542000.0,137582000,,211136000,3908000,-57181000.0,0.00358,217271000.0,-399103000.0,123755000,0.0,258600000.0,5890330000,254405000,361765000,,720071000,-62064000,-181710000,,0,,,485000.0,231144000,148491000,-31104000.0,0.0,,374992000.0,6252095000,0.00358,-176474000,286040000.0,2324232000,20008000,238010000,169854000.0,268279000,,1280401000,75980000,268279000,550217000,,,861027000,1408894000.0,,0.0,169854000,,268764000,41473200000,,,,,,,,,,,
2003-12-31,,326924000,0.0,-1405946000.0,138591000,1933088000.0,-47382000,68263000.0,18193000.0,41473200000,103683000.0,1524622000,-128639000.0,130693000,,198880000,14413000,-30500000.0,0.003343,161978000.0,-476729000.0,113895000,0.0,226367000.0,7348842000,268279000,352846000,,592138000,56666000,-101228000,,0,71429000.0,,0.0,220758000,138591000,-63625000.0,0.0,,,7701688000,0.003343,-137606000,189593000.0,2336642000,21878000,238951000,169854000.0,221104000,,1388095000,87973000,221104000,422284000,,200068000.0,812020000,1456359000.0,,0.0,169854000,,221104000,41473200000,,,,,,,,,,,
2004-12-31,,334039000,336190000.0,-3567872000.0,154083000,,-103004000,84750000.0,,41475908479,,1657805000,-162619000.0,75393000,,273697000,236498000,,0.003715,415778000.0,,138801000,-185882000.0,,8066258000,221104000,382619000,,593274000,-238953000,-70407000,,-57534000,93693000.0,,,241551000,213890000,-31104000.0,171346000.0,,,8448877000,0.003715,-215420000,244980000.0,2525748000,27661000,243818000,0.0,117713000,,1510687000,90221000,118909000,593274000,,256312000.0,867943000,1573055000.0,,0.0,0,,118909000,41475908479,,,,,,,,,,,
2005-12-31,,301958000,266618000.0,,135578000,,37201000,80077000.0,,41461162080,,1674337000,-73285000.0,69798000,,135578000,187267000,,0.00327,664546000.0,,132267000,-2751391000.0,161526000.0,11823250000,117713000,327353000,,719912000,-230679000,-5155000,,2153000,215699000.0,,,203156000,179382000,-31104000.0,232944000.0,,,12150603000,0.00327,-65547000,260597000.0,2844389000,23774000,195086000,,152385000,,1655202000,106872000,152385000,708551000,,288984000.0,1170052000,1432018000.0,,162242000.0,11361000,,152385000,41461162080,,,,,,,,,,,
2006-12-31,,382479000,0.0,-6473803000.0,156856000,,-117210000,0.0,,41828266667,,1883749000,,70018000,,202286000,263542000,,0.00375,897806000.0,,121499000,-46937000.0,1115987000.0,16650022000,152385000,388329000,,2479015000,-356685000,-917126000,,-452070000,-537935000.0,,,230889000,218365000,-31104000.0,0.0,,,17038351000,0.003783,-449366000,1343801000.0,4170818000,28603000,266830000,0.0,30972000,,1691803000,115649000,30972000,2479015000,,-537935000.0,2287069000,1854984000.0,,28765000.0,0,,30972000,41468869795,,,,,,,,,,,
2007-12-31,,401183000,0.0,-11729887000.0,127880000,,33501000,,,42626666667,,2130566000,,37982000,,127880000,242583000,,0.003,1275336000.0,,48010000,-80811000.0,553754000.0,17047458000,30972000,317275000,,2025901000,-369199000,620939000,,-268960000,995440000.0,,,167343000,127880000,-36289000.0,0.0,,,17364733000,0.003083,-268960000,1464990000.0,3933986000,39463000,269265000,,68781000,,1908085000,131918000,68781000,2025901000,,995440000.0,1803420000,2100957000.0,,29609000.0,0,,68781000,41485806975,,,,,,,,,,,
2008-12-31,0.0,437304000,0.0,-16449644000.0,145287000,,-22585000,,,41473200000,103683000.0,839325000,-41941000.0,50001000,,145287000,99236000,,0.003503,,,87980000,-100568000.0,,28969764000,68781000,380142000,,255516000,992808000,-1344725000,,0,-998121000.0,,,192926000,145287000,-36289000.0,0.0,,100000000.0,29349906000,0.003503,-40737000,,939348000,47639000,292162000,,50813000,,683832000,145142000,23000,255516000,,-956180000.0,100023000,,,0.0,0,,23000,41473200000,,,,,,,,,,,
2009-12-31,0.0,423899000,0.0,-9867532000.0,196827000,3184355000.0,-22670000,,29975000.0,41473200000,103683000.0,1950801000,-14413000.0,36529000,,196827000,25308000,,0.004745,736334000.0,-1233554000.0,36239000,0.0,1665992000.0,20971843000,50813000,309389000,,2886560000,-453639000,-363176000,,37688000,2547000.0,,,248414000,196827000,-36289000.0,65597000.0,,2416188000.0,21281232000,0.004745,24301000,1208840000.0,5197095000,51587000,273150000,,28175000,,2310535000,145510000,28175000,2886560000,,16960000.0,3246294000,1950801000.0,,0.0,0,,28175000,41473200000,,,,,,,,,,,
2010-12-31,0.0,447253000,0.0,-12206502000.0,195687000,3258580000.0,679177000,,,41473200000,103683000.0,1914761000,-26553000.0,52080000,,195687000,15351000,,0.004718,4370000.0,-1377216000.0,32875000,0.0,156034000.0,16292059000,28175000,300821000,,290494000,731964000,1893183000,1662068000.0,0,2244334000.0,,,252048000,195687000,-36289000.0,4144000.0,,184032000.0,16592880000,0.004718,-26002000,125122000.0,2834090000,56361000,267946000,,724711000,,2543596000,179307000,724711000,290494000,,2270887000.0,919329000,1881364000.0,,-2072000.0,0,,724711000,41473200000,,,,,,,,,,,
2011-12-31,0.0,455462000,267228000.0,-663607000.0,213512000,3557281000.0,10982000,,3505000.0,1036830000,103683000.0,2313657000,-60501000.0,81359000,71400000.0,213512000,-3569000,-11700000.0,0.2059,41588000.0,-1695010000.0,34771000,-3505000.0,267228000.0,19365538000,724711000,319194000,,1389466000,-37218000,-351804000,1649383000.0,-4626000,-56117000.0,,,280918000,213512000,-36289000.0,1088050000.0,,1083095000.0,19684732000,0.2059,-64802000,1112785000.0,4215048000,67406000,284423000,,771753000,,2825582000,171039000,771753000,1389466000,419030000.0,4384000.0,1901391000,1862271000.0,738659000.0,451386000.0,0,,771753000,1036830000,,,,,,,,,,,
2012-12-31,0.0,528630000,0.0,-853000000.0,291738000,3800437000.0,1628185000,,1555000.0,1883421000,207366000.0,4777912000,-176667000.0,75342000,,291738000,-52707000,-1673412000.0,0.1549,48355000.0,-1870289000.0,73747000,0.0,0.0,21802401000,771753000,239391000,2300000.0,1357189000,-6767000,47155000,1845530000.0,0,125730000.0,3462943000.0,,357435000,291738000,-72578000.0,0.0,,603373000.0,22041792000,0.1549,-1795794000,34831000.0,7865133000,65697000,165644000,,2404982000,,6507944000,169640000,2404982000,1354889000,,302397000.0,3087221000,1930148000.0,,0.0,2300000,,2404982000,1883421000,,,,,,,,,,,
2013-12-31,0.0,849158000,0.0,-1880314000.0,491397000,4587346000.0,-811326000,,3807000.0,2340372000,248616000.0,8790683000,-395021000.0,132075000,,491407000,-33019000,-3099928000.0,0.21,47108000.0,-1905117000.0,117247000,9420000.0,,23200797000,2404982000,154782000,97582000.0,1334391000,1247000,226802000,2234170000.0,-375078000,13408000.0,2648817000.0,,662044000,491397000,-87016000.0,0.0,,626977000.0,23355579000,0.21,-3787169000,43906000.0,11190612000,170637000,37535000,,1622454000,,9846591000,183307000,1622454000,1236809000,,408429000.0,2399929000,2682229000.0,,0.0,97582000,,1622454000,2340372000,,,,,,,,,,,
2014-12-31,0.0,965006000,0.0,0.0,700054000,4761135000.0,-826821000,,0.0,2486160000,248616000.0,9552840000,-710028000.0,121834000,,699773000,-21392000,-96403000.0,0.2816,15313000.0,-2049312000.0,116912000,29250000.0,,18943726000,1622454000,279908000,103340000.0,1279934000,31779000,19296000,2806733000.0,-850563000,-426164000.0,0.0,,783940000,700054000,-111878000.0,0.0,,1168635000.0,19223634000,0.2816,-1028057000,694557000.0,11557116000,84167000,162996000,,795558000,,10238583000,181066000,795558000,1176594000,,283864000.0,2004276000,2711823000.0,,0.0,103340000,,795558000,2486160000,,,,,,,,,,,
2015-12-31,4667000.0,1970548000,0.0,,1026852000,12008968000.0,296457000,,198140000.0,2486160000,248616000.0,15546925000,-321967000.0,164117000,,1026918000,183491000,0.0,0.413,21261000.0,-3724663000.0,87354000,0.0,,1204618000,798867000,839012000,95695000.0,8202060000,2589000,364452000,3439787000.0,8190000,1153179000.0,,,1218648000,1026852000,-352842000.0,0.0,,952992000.0,2043630000,0.413,-627707000,77224000.0,17614154000,191730000,751658000,3938982000.0,1057732000,4667000.0,9373429000,553760000,1057732000,4162716000,,1475146000.0,2067229000,8284305000.0,,0.0,4039344000,,1057732000,2486160000,,,,,,,,,,,
2016-12-31,13178000.0,1882249000,0.0,-6957461000.0,1005259000,11532374000.0,-667662000,,203756000.0,2486160000,248616000.0,14787730000,-143850000.0,183757000,,1004986000,193335000,,0.4043,15584000.0,-3978180000.0,111878000,-3064723000.0,2273812000.0,1136201000,1057732000,630389000,99800000.0,6699034000,5677000,-369305000,4262318000.0,10061000,446728000.0,,,1140303000,1005259000,-149170000.0,0.0,,884759000.0,1766590000,0.4043,304779000,51325000.0,16299806000,135317000,518511000,3353791000.0,323206000,13178000.0,9562380000,538190000,323206000,3232265000,,590578000.0,1512076000,7554194000.0,,0.0,3466769000,,323206000,2486160000,,,,,,,,,,,
2017-12-31,,2056738000,,-27925600000.0,1207928000,12302224000.0,78259000,,166279000.0,2486160000,248616000.0,15657870000,-50674000.0,234467000,,1206656000,162446000,,0.4859,15300000.0,-4713401000.0,175117000,,2387658000.0,864771000,323206000,864468000,109993000.0,5718845000,284000,87036000,5206892000.0,12027000,1066378000.0,,,1427701000,1207928000,-418959000.0,,,606271000.0,1729239000,0.4859,222663000,113157000.0,17088750000,221045000,689351000,2775452000.0,409855000,21491000.0,11332785000,462758000,409855000,2811909000,,1117052000.0,1430880000,7588823000.0,,,2906936000,,409855000,2486160000,,,,,,,,,,,
2018-12-31,,2080175000,,-3670978000.0,1262071000,11751205000.0,-194897000,,152020000.0,2486160000,248616000.0,14716516000,-16780000.0,290511000,,1261408000,148572000,,0.5076,17110000.0,-4887604000.0,233921000,,3673325000.0,838324000,409855000,817309000,130299000.0,4397829000,-2611000,16594000,,-94472000,856825000.0,,,1488402000,1262071000,-298339000.0,,,944741000.0,1655633000,0.5076,768051000,119685000.0,16096613000,226994000,583388000,0.0,226213000,20136000.0,11662327000,439753000,320685000,4247394000,,873605000.0,1380097000,6863601000.0,,,150435000,,320685000,2486160000,,,,,,,,,,,
