date,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualChangeInInventory,annualStockBasedCompensation,annualOperatingCashFlow,annualGrossProfit,annualCurrentLiabilities,annualOtherIncomeExpense,annualNetPPE,annualOtherNonCashItems,annualTotalNonCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue,annualInterestExpense,annualPretaxIncome,annualGoodwill,annualDilutedEPS,annualBasicEPS,annualChangeInWorkingCapital,annualGrossPPE,annualAccumulatedDepreciation,annualTotalRevenue,annualOtherCurrentLiabilities,annualCapitalStock,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualInvestingCashFlow,annualPurchaseOfInvestment,annualCapitalExpenditure,annualTaxProvision,annualNetOtherFinancingCharges,annualCurrentDebt,annualEndCashPosition,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,annualOperatingIncome,annualAccountsPayable,annualTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualFreeCashFlow,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualBeginningCashPosition,annualCostOfRevenue,annualCurrentDeferredRevenue,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetIncomeContinuousOperations,annualTotalAssets,annualNetIncome,annualCashDividendsPaid,annualLongTermDebt,annualBasicAverageShares,annualNetIncomeCommonStockholders,annualCurrentAssets,annualOtherNonCurrentAssets,annualEbitda,annualSellingGeneralAndAdministration,annualSaleOfInvestment,annualOtherIntangibleAssets,annualStockholdersEquity,annualOtherShortTermInvestments,annualCommonStockIssuance,annualDepreciationAndAmortization,annualAccountsReceivable,annualCurrentAccruedExpenses,annualRetainedEarnings,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualChangeInAccountPayable,annualIncomeTaxPayable,annualDeferredIncomeTax,annualInvestmentsAndAdvances
1997-12-31,,,-84333632.367555,,144684901.387365,175159727.740853,306229263.160612,,443610677.937665,9500409.576047,443610677.937665,,,750000000,0.0,,,,175159727.740853,,0.20516,0.20516,-64586970.691102,443610677.937665,,848428996.270246,306229263.160612,0.0,-26212411.124734,-45730404.749306,-226058671.588049,,-226058671.588049,20029825.385558,320086119.687681,,40238097.334968,0.0,437402447.183326,175159727.740853,,306229263.160612,0.0,-81373770.200684,,0.0,64482253.545848,673269268.529393,,,,155129902.355295,881013125.120991,154190653.674905,-167944930.141318,,750000000,154190653.674905,437402447.183326,0.0,199742611.86036,,,,568013577.957024,,0.0,24582884.119507,,,,,,,,,
1998-12-31,,,22989939.153781,,359917467.524589,351698836.771046,318949340.385161,,594395825.747993,851677.117485,594395825.747993,,,769471342,0.0,,,,351698836.771046,,0.397521,0.397521,-35222245.256473,594395825.747993,,1399101400.727986,318949340.385161,108290157.75615,874218243.100911,-130158063.066319,-133813756.189173,,-139539334.602576,43807407.065596,226991720.97736,,914468268.580427,0.0,1329466911.789762,351698836.771046,,318949340.385161,-51646683.519632,220378132.922013,,0.0,40240408.04657,1047402563.95694,,,,307891429.70545,1923862737.537755,306035265.147017,-127971699.976766,,769471342,306035265.147017,1329466911.789762,0.0,393092268.167385,,,,1597768713.077936,,788056729.948112,41393431.396339,,,,,,,,,
1999-12-31,,201604934.697704,-25805159.111573,,219578057.687831,476665149.044688,336255914.279725,,681395659.119932,-31684775.191326,788787277.967178,,635489303.046943,1012426619,0.0,,,6004170.684376,343124515.211568,,0.318306,0.318306,-140261259.636394,681395659.119932,,1202611967.556543,0.0,106702842.529376,-278000554.671495,-101691914.97417,-240035885.354791,-107391618.847246,-135863523.980869,19742437.117332,214846047.281439,74962709.735995,635489303.046943,0.0,0.0,349128685.895944,123200472.510896,336255914.279725,-25933971.993277,83714533.706962,635489303.046943,-35703524.186631,911015798.734309,725946818.511855,,127536463.148744,,323382078.094236,1972816124.341724,322047108.229306,-197974753.486051,,1012426619,322047108.229306,1184028846.374545,0.0,397222731.819357,205306442.050466,,,1623171122.349694,,,48094045.923413,225547097.586288,,,,,,,,
2000-12-31,,318622083.009578,-117873867.215448,,349317817.363542,469104006.462284,263378877.562796,,760066325.114436,-27394753.009963,867001583.951994,,532577404.315883,999367066,0.0,,,1305975.920298,244637275.0702,,0.221549,0.221549,62020075.62411,760066325.114436,,1233082959.110667,0.0,105507377.697427,-100274993.653114,-74644156.171866,-147949475.016348,,-149891478.170558,21367334.92326,213618226.872331,,532577404.315883,0.0,0.0,245943250.990499,80764858.252875,263378877.562796,-15829657.80667,199426339.192984,532577404.315883,-26461913.066892,632788795.245605,763978952.648383,,223160755.471785,,223269940.14694,1911341341.308613,221719093.741586,-211754667.07697,,999367066,221719093.741586,1044339757.356618,0.0,303999816.90195,266697879.678424,,,1634569850.290418,,,58056565.911451,102179895.218679,,,,,,,,
2001-12-31,,305532851.12002,,,353101265.688159,498704783.497066,186321562.789171,,,353101265.688159,911089603.936254,,580272468.473689,996631579,,,,,261913348.284876,,0.241965,0.241965,,,,1292341590.567554,10397067.521675,,48771872.215335,0.0,-111769802.420673,,-111769802.420673,19327487.363964,0.0,175924495.267496,,0.0,0.0,262352705.838614,,186321562.789171,0.0,241331463.267486,580272468.473689,-1101577.634735,,793636807.070488,,236352077.658452,,242585860.920912,1971107622.338087,241149989.495289,-192559591.05215,,996631579,241149989.495289,1060018018.401833,804032813.342034,262352705.838614,71971861.302948,,,1772372616.780615,,,,,,,,,,,,
2002-12-31,,248568127.902609,56964723.217411,,330447820.417394,508971317.252776,164604140.132892,,754925586.085681,-20906627.55711,784391195.939649,,801519773.034661,995312000,0.0,,,371437.545431,233366781.043318,,0.213311,0.213311,68848602.170939,754925586.085681,,1183722639.782265,0.0,105627286.669376,173356269.953374,,23825065.414067,,-38409825.947943,19239403.60319,9901463.711058,,753223340.877478,0.0,0.0,233738218.588748,72178805.07826,164604140.132892,,292037994.469451,753223340.877478,0.0,580272468.473689,674751322.529489,,275233098.664027,,214127377.440127,1982673126.252675,211942263.422864,-190129328.254903,,995312000,211942263.422864,1198281930.313026,0.0,313706599.619759,328442057.672067,47721234.586831,4999549.3615,1794257716.957403,48296432.157183,,79968381.03101,91920179.992846,,,,,,,,
2003-12-31,,458751859.5746,-76894018.493092,,400425084.183627,761182331.433105,736129241.323393,,1198999928.284205,109821.180632,1446119975.431415,14784276.608131,686404769.673544,1023387410,,-203831309.927383,3667814.188084,9414767.232785,347507268.495024,,0.26549,0.26549,-1214430.337275,1198999928.284205,,1800333799.520349,0.0,110873544.760548,-66241363.971829,-87555202.814793,-193113615.677784,,-86124328.791419,40486697.776141,10394628.058032,371526120.301701,686404769.673544,18452090.796215,0.0,356922035.72781,187257907.677506,754581332.119609,,314300755.392209,686404769.673544,4584767.735105,756754298.781038,1039151468.087244,,404260295.705295,,307020570.718884,2884769978.129774,271874594.241613,-216995990.677462,,1023387410,271874594.241613,1438650002.698358,0.0,476819043.126077,453536952.832181,48522836.01323,213943388.345926,1950816538.83704,0.0,,119897007.398267,209469508.016507,,,,,,,,
2004-12-31,,638867801.174001,-178341165.725655,,253512424.134589,1028228007.788922,903320793.255092,,1265741356.175861,14950724.510007,1794540800.57812,14225188.744931,579370672.244952,1064545156,,-193673302.576187,9589643.790677,19365732.16122,397292091.741195,,0.298311,0.298311,-260802939.906126,1265741356.175861,,2486950158.10147,0.0,115144976.332077,-105847251.483589,-117193735.915398,-530150368.558084,-43819803.256366,-305936378.402344,59310684.349184,0.0,550536751.619367,579370672.244952,300818208.335639,0.0,416657823.902415,214840622.077706,1204139001.590732,,-52423954.267755,579370672.244952,7404513.314655,685872077.854469,1458722150.312548,,611570183.886507,,337981407.392011,3453369124.171011,317413906.738859,-248089550.354504,277003375.800031,1064545156,317413906.738859,1658828323.592891,0.0,570093189.950849,625025090.167194,0.0,485400473.197589,2223130012.194322,,,153435366.048435,244201914.514911,,,,,,,,
2005-12-31,,762619937.016503,,,633393972.086127,1310875749.613203,1380781891.89015,,1689305968.540485,633393972.086127,2312931796.738009,20792697.588963,520402445.783909,1079834532,11852097.859722,0.0,,,564990941.464673,,0.43407,0.43407,,,,3154163224.213512,1631146.789582,,,-500841175.541516,-569132826.005673,,-588387020.113461,95340373.710676,-38580212.802991,800507927.34657,520402445.783909,228935147.240846,55333037.583806,587371066.529139,536051878.352243,1609717039.130995,,45006951.972666,520402445.783909,8595008.960805,566068310.275915,1843287474.600309,,723504683.084064,,467797701.585869,4068707777.656008,468724134.669933,-270002156.266117,196290351.792161,1079834532,468724134.669933,1755775980.917999,116001913.357401,587371066.529139,124625027.591542,,473838253.481176,2433490928.120165,,,,251192441.85147,,531282309.373388,,,,,,
2006-12-31,,1097213984.761782,-343512136.886774,,689595197.711053,1725333618.273002,1077688399.022697,,2048151020.703401,271253532.11599,2803632661.865878,12272050.729763,1023425259.113997,1080766355,10193452.710088,,,62218565.228573,871231374.975889,453250681.540539,0.646742,0.646742,-223030659.679805,2957232332.025976,-909081311.322574,4126055171.67106,329463300.970874,108368855.847746,508737115.990484,-1028550061.081463,-572863820.163313,,-549202095.094194,172236863.306115,0.0,204515795.987912,1023425259.113997,1593847503.697036,0.0,883428223.172378,774592108.917894,2671535902.719733,,140393102.616858,1023425259.113997,-111567470.262972,501287051.694207,2400721553.398058,,841905395.100624,,698994511.669774,5496157090.271973,698505193.853276,-368453307.721983,1571382000.257185,1080766355,698505193.853276,2692524428.406095,0.0,1099561306.500354,879552785.957693,53300547.482801,66618414.775285,2800769952.099273,,,166111366.295891,413607916.800617,,799240491.223558,,,,,,
2007-12-31,1173984476.705386,1245114469.924108,-220016875.467111,10058380.028572,842226559.065599,2132376566.057189,1263693010.738734,-1493253.028364,2818015778.700529,413373469.921543,3722276977.376076,35571085.784194,2023508677.609728,1090492475,1575565556.965045,,10502421.393342,87212909.147801,1107757674.421706,423459953.833961,0.863726,0.863726,-346043121.798834,3776252359.895049,-958236581.194521,5327533350.828552,580477289.679069,106946519.588507,928075493.050729,-994364123.878871,-1088135542.720257,,-847489479.713873,164459244.287594,-2793526.054317,231210652.403071,2023508677.609728,1589969734.232374,1050089441.565336,1177926514.812886,977715383.088354,2853662744.971108,,-5262920.648274,2023508677.609728,-265261318.071183,950748769.741752,3195156784.771363,1855793.12998,954450051.244303,3785451697.874054,943298430.134112,8040989566.475249,942359760.413648,-536845073.211643,1543896227.054838,1090492475,942359760.413648,4318712589.099172,0.0,1389173104.927712,1052803339.948756,0.0,136589559.473399,5166159912.987276,,1683965047.348402,194202521.358205,556883142.394017,,1273761695.524716,,,,,,
2008-12-31,,1873739904.542921,-520799897.087514,19985690.217391,1165855702.968227,2819856034.141583,1547554386.078595,,3428753924.40078,13872347.75641,4670568105.560201,50093659.698997,1418098217.948718,1219340000,204139675.863991,-196916017.279822,6652211.190078,55072031.911929,1330167520.624303,436113858.695652,1.014341,1.031951,-306654168.547938,4727570203.246934,-1298816278.846154,7045396053.860089,423222392.906912,101264176.351728,-534578030.866778,-293008110.43757,-1029210215.928094,,-906257453.734671,146191916.38796,0.0,261354855.629877,1418098217.948718,1387264712.792642,15003795.986622,1352088559.643255,1214055397.575251,2934819098.871237,,259598249.233556,1418098217.948718,13732347.54738,1901916927.745262,4225540019.718506,,1467767474.498328,,1183975604.236343,8848199877.647715,1180680756.54961,-644152408.305463,1330518841.903567,1143924000,1180680756.54961,4177631772.087514,0.0,1636723953.177258,1553621061.803233,,326142373.745819,5709241102.912486,,0.0,251484400.641026,676930947.812152,,1646326734.810479,,,,,,
2009-12-31,,1914541411.989756,-38303946.934412,23453408.537843,2214816005.487987,4385069830.39463,3676179595.744489,,3824866352.266632,12150200.383746,5586495731.528332,101670763.732863,3939989500.902629,1199976000,0.0,0.0,4493813.24338,55424283.634554,2273961948.327041,,1.553993,1.558395,-121023919.865843,5375685352.623815,-1550819000.357183,9538645998.206347,0.0,107354063.984826,2503419363.023396,-1381483946.777097,-1159954097.606484,-412248374.97679,-835101761.810262,366008058.023602,349702136.928893,1915126030.327061,3917712372.633821,594841234.16401,17686465.60208,2289653315.808137,770928453.450108,4271020829.908499,,1379714243.677725,3917712372.633821,33686870.788589,1418009386.119106,5153576167.811717,,2095416514.586493,,1907953890.303438,12456543033.842157,1864359323.506277,-964754084.847172,488676657.187768,1196348000,1864359323.506277,6870047302.313826,-8843232.80104,2619859663.816936,2189451141.512962,5017680.578766,892709559.716677,7939016649.380022,22277128.268808,,290473431.855342,777296743.259937,,3485041976.070003,,,,,,
