date,annualNetIncomeCommonStockholders,annualNetPPE,annualOtherIntangibleAssets,annualOperatingCashFlow,annualGrossPPE,annualCapitalStock,annualBasicEPS,annualInterestExpense,annualDepreciationAndAmortization,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualBasicAverageShares,annualPurchaseOfBusiness,annualStockholdersEquity,annualNetOtherFinancingCharges,annualOtherNonCashItems,annualSellingGeneralAndAdministration,annualNetIncome,annualBeginningCashPosition,annualCashDividendsPaid,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualOperatingIncome,annualChangeInWorkingCapital,annualAccountsPayable,annualEndCashPosition,annualTaxProvision,annualGoodwill,annualTotalAssets,annualInvestingCashFlow,annualTotalRevenue,annualPurchaseOfInvestment,annualRetainedEarnings,annualDilutedEPS,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualPretaxIncome,annualNetOtherInvestingChanges,annualDilutedAverageShares,annualCashAndCashEquivalents,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualCurrentDebt,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualGrossProfit,annualNonCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,annualOtherCurrentLiabilities,annualOtherShortTermInvestments,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,annualOtherCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualIncomeTaxPayable,annualResearchAndDevelopment
2004-12-31,2003000000,70880000000,,,70880000000,,,46752000000,,,,,,,78063000000,,,57898000000,2003000000,,,2003000000,106084000000,3935706000000,,,13409000000.0,,,,6438000000,,4013769000000,,119493000000,,,,,773052000000,8441000000,,,16355000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,1044000000,72752000000,,453214000000.0,72752000000,,,61402000000,,-2493000000.0,40603000000.0,-13005000000.0,,,79607000000,2606000000.0,,58586000000,1044000000,,,1044000000,122057000000,4691412000000,,440209000000.0,12339000000.0,,,,6834000000,,4771019000000,-412715000000.0,134396000000,-484001000000.0,,,74084000000.0,1257059000000,7878000000,23282000000.0,,18878000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,5807000000,74892000000,,295105000000.0,74892000000,,,78846000000,,-1654000000.0,233286000000.0,-10228000000.0,,,84002000000,34000000.0,,81676000000,5807000000,,,5807000000,161368000000,5259941000000,,284877000000.0,25317000000.0,,,,6380000000,,5343943000000,-60190000000.0,186685000000,-7174253000000.0,,,7093299000000.0,1306407000000,12187000000,28295000000.0,,25469000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,43787000000,76450000000,2115000000.0,144715000000.0,76450000000,121612000000.0,,85852000000,7303000000.0,,37342000000.0,-11739000000.0,,,-727605000000,,-30062000000.0,60076000000,43787000000,276848000000.0,,43787000000,71216000000,6033111000000,,132976000000.0,77447000000.0,110199000000.0,44686000000.0,314190000000.0,34470000000,,5305506000000,-104262000000.0,179237000000,-913942000000.0,-844620000000.0,,814791000000.0,1089794000000,78257000000,6628000000.0,,1005944000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,51474000000,103883000000,27000000000.0,284781000000.0,103883000000,260000000000.0,,121852000000,10991000000.0,,174374000000.0,-14909000000.0,,,290445000000,130117000000.0,-51478000000.0,94417000000,51474000000,314190000000.0,,51453000000,107640000000,6723810000000,130117000000.0,269872000000.0,52071000000.0,234725000000.0,66512000000.0,488564000000.0,896000000,,7014351000000,-235056000000.0,211189000000,-783606000000.0,12022000000.0,,561629000000.0,1423851000000,52349000000,1830000000.0,,1253031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,64992000000,111973000000,26642000000.0,-21025000000.0,111973000000,260000000000.0,0.25,114508000000,10263000000.0,,-159264000000.0,-19885000000.0,259968000000.0,,342819000000,0.0,-39630000000.0,95823000000,64992000000,488564000000.0,,65002000000,108390000000,8539663000000,,-40910000000.0,73742000000.0,-58231000000.0,66762000000.0,329300000000.0,8926000000,,8882588000000,-188338000000.0,222274000000,-1655801000000.0,59817000000.0,0.25,1485431000000.0,1731292000000,73928000000,1917000000.0,,1628934000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,94873000000,121391000000,26294000000.0,-89878000000.0,121391000000,324794000000.0,0.33,115508000000,10850000000.0,,86317000000.0,-18734000000.0,287493939394.0,,542071000000,163592000000.0,-42966000000.0,112071000000,94873000000,329300000000.0,-53885000000.0,94907000000,127576000000,9795170000000,163772000000.0,-108612000000.0,119430000000.0,-166846000000.0,73771000000.0,415617000000.0,25827000000,,10337406000000,69256000000.0,290418000000,-1326763000000.0,45484000000.0,0.33,1413380000000.0,1764732000000,120734000000,1373000000.0,,2255600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,121927000000,131815000000,25730000000.0,223004000000.0,131815000000,324794000000.0,0.38,165722000000,12497000000.0,-1813000000.0,226490000000.0,-23059000000.0,320860526316.0,,649601000000,-50000000.0,-63592000000.0,135561000000,121927000000,415617000000.0,-17336000000.0,121956000000,156768000000,11027789000000,,199945000000.0,156738000000.0,99230000000.0,91143000000.0,642107000000.0,36245000000,,11677577000000,-24249000000.0,377635000000,-1051872000000.0,131086000000.0,0.38,1049326000000.0,1906796000000,158201000000,1356000000.0,,2831639000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,145094000000,141490000000,26598000000.0,340779000000.0,141490000000,324794000000.0,0.45,224184000000,14639000000.0,-50000000.0,310829000000.0,-27870000000.0,322431111111.0,,749815000000,152000000.0,-53378000000.0,155130000000,145094000000,642107000000.0,-47065000000.0,145131000000,180758000000,12492988000000,152000000.0,312909000000.0,186971000000.0,221895000000.0,133744000000.0,952936000000.0,42796000000,1381000000.0,13244342000000,-33926000000.0,421947000000,-922765000000.0,208488000000.0,0.45,914866000000.0,2247787000000,187927000000,1695000000.0,,3098724000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,166315000000,150859000000,26484000000.0,32879000000.0,150859000000,324794000000.0,0.51,237182000000,16353000000.0,,-139137000000.0,-28170000000.0,326107843137.0,,843108000000,-15000000.0,-51882000000.0,167940000000,166315000000,952936000000.0,-103692000000.0,166211000000,196623000000,13717565000000,,4709000000.0,213012000000.0,-111253000000.0,163328000000.0,813799000000.0,47963000000,1381000000.0,14562102000000,-184336000000.0,462316000000,-891097000000.0,243482000000.0,0.51,733750000000.0,2636195000000,214174000000,765000000.0,326107843137.0,3329320000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,179461000000,154950000000,26117000000.0,34615000000.0,154950000000,324794000000.0,0.55,269398000000,18085000000.0,-213417000000.0,-75558000000.0,-25997000000.0,326292727273.0,,1031066000000,39962000000.0,-66728000000.0,179992000000,179461000000,813799000000.0,-67596000000.0,179510000000,221943000000,14941533000000,,8618000000.0,230944000000.0,-103684000000.0,192876000000.0,738241000000.0,52747000000,1381000000.0,15974152000000,-140425000000.0,520858000000,-859158000000.0,329989000000.0,0.55,741910000000.0,3060708000000,232257000000,112781000000.0,326292727273.0,3743120000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,180582000000,156178000000,25776000000.0,820348000000.0,156178000000,324794000000.0,0.55,289653000000,18162000000.0,-508007000000.0,83728000000.0,-21687000000.0,328330909091.0,-288000000.0,1210091000000,39937000000.0,-82701000000.0,178443000000,180582000000,738241000000.0,-61535000000.0,180774000000,219125000000,16579508000000,,798661000000.0,232871000000.0,699552000000.0,225383000000.0,821969000000.0,50083000000,1381000000.0,17791393000000,-767694000000.0,536183000000,-1752782000000.0,412005000000.0,0.55,1006031000000.0,3970938000000,230857000000,135037000000.0,328330909091.0,3830141000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,183941000000,158669000000,25266000000.0,715973000000.0,158669000000,324794000000.0,0.55,259086000000,17738000000.0,-705293000000.0,5729000000.0,-22637000000.0,334438181818.0,,1318193000000,1792000000.0,-85147000000.0,175013000000,183941000000,821969000000.0,-70926000000.0,184060000000,194975000000,18248470000000,1843000000.0,693336000000.0,224595000000.0,601155000000.0,229115000000.0,827698000000.0,42564000000,1381000000.0,19570061000000,-643737000000.0,506025000000,-2039374000000.0,496083000000.0,0.55,1415987000000.0,4740661000000,226624000000,154753000000.0,334438181818.0,4074372000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,192962000000,155258000000,24535000000.0,633417000000.0,155258000000,404693000000.0,0.58,271769000000,17021000000.0,-579791000000.0,173548000000.0,-16011000000.0,332693103448.0,,1426415000000,-35000000.0,-96908000000.0,177010000000,192962000000,827698000000.0,-70379000000.0,193133000000,203517000000,19623985000000,,617406000000.0,,492155000000.0,228805000000.0,1001246000000.0,46345000000,1381000000.0,21053382000000,-481061000000.0,537027000000,-2577239000000.0,577573000000.0,0.58,2110051000000.0,5522031000000,239478000000,189384000000.0,332693103448.0,3564141000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,202783000000,152452000000,23575000000.0,105927000000.0,152452000000,429882000000.0,0.59,306964000000,15610000000.0,-1021653000000.0,-22805000000.0,-17048000000.0,343700000000.0,-3801000000.0,1670294000000,100756000000.0,803000000.0,187200000000,202783000000,1001246000000.0,-84392000000.0,202631000000,211474000000,20934684000000,,88879000000.0,,-28658000000.0,,978441000000.0,49043000000,1381000000.0,22609471000000,-439087000000.0,598610000000,-2491466000000.0,652944000000.0,0.59,2067623000000.0,2422326000000,251674000000,199604000000.0,343700000000.0,3488116000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
