date,annualCommonStockIssuance,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualOperatingIncome,annualCostOfRevenue,annualCurrentDeferredRevenue,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualRetainedEarnings,annualTotalAssets,annualTaxProvision,annualPretaxIncome,annualEndCashPosition,annualNetIncome,annualLongTermDebt,annualCurrentDebt,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualOtherCurrentAssets,annualAccountsPayable,annualSaleOfInvestment,annualIncomeTaxPayable,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualDepreciationAndAmortization,annualAccountsReceivable,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualDilutedAverageShares,annualOperatingCashFlow,annualEbitda,annualCurrentAssets,annualNetPPE,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualChangeInAccountPayable,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualCapitalStock,annualOtherCurrentLiabilities,annualDilutedEPS,annualRepaymentOfDebt,annualBasicEPS,annualChangeInCashSupplementalAsReported,annualCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,annualBasicAverageShares,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCapitalExpenditure,annualInvestingCashFlow,annualInventory,annualGoodwill,annualChangeInInventory,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualInterestExpense,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualGrossProfit,annualDeferredIncomeTax,annualInvestmentsAndAdvances,annualOtherShortTermInvestments,annualResearchAndDevelopment
2005-12-31,5952000,96684000,404515000,271497000,1297991000,,2450536000,,-540000.0,,1582811000,85106000,273451000,378368000,186800000,,,-69402000.0,,1104755000,214162000,,,,1160924000,,,,,1135167012,138605000,271497000,1463196000,95796000,186800000,10002000,,404515000,0,13817000,,,,,0.0,0.164557,-90000000.0,0.165646,58575000,,138605000,1127702900,119615000,,913674000,,,881048000,185255000,,,322568000,-41921000,-41690000,290617000,,,65110000.0,,,,,1152545000,,,,
2006-12-31,15769000,185927000,748206000,397548000,1671991000,,3180543000,176117000.0,334059000.0,650959000.0,2165285000,106090000,401153000,838867000,294846000,59754000.0,,-88270000.0,,113048000,424460000,,45725000.0,,1399490000,35889000.0,586635000.0,,736123000.0,1149743680,293390000,433437000,1888809000,156887000,294846000,0,226561000.0,688452000,59754000,107134000,736123000.0,4970000.0,17589000.0,109503000.0,207281000.0,0.256412,0.0,0.260042,461010000,-78868000.0,1365000,1133727628,276476000,244931000.0,1135595000,-88044000.0,,1111004000,295063000,,,378368000,-107463000,246488000,350544000,,-83295000.0,-6367000.0,22648000.0,,,-82668000.0,1508552000,,,,
2007-12-31,16267000,149866000,1036250000,609855000,2265901000,,4348747000,167800000.0,-67451000.0,1113948000.0,2780851000,144535000,618532000,849887000,473606000,57604000.0,100000000.0,-138410000.0,,43774000,490417000,,33201000.0,,1744601000,71909000.0,639604000.0,,817280000.0,1157180452,392924000,690768000,2173799000,340036000,473606000,57985000,65957000.0,977429000,58821000,112842000,817280000.0,-2143000.0,57604000.0,110023000.0,440577000.0,0.40926,,0.415977,13923000,-67245000.0,-8840000,1138479450,607052000,480121000.0,1503976000,-140085000.0,1217000.0,1472991000,473997000,,-17817000.0,838867000,-243058000,-311756000,513947000,,-188021000.0,-39878000.0,33526000.0,327000.0,-108458000.0,-176847000.0,2082846000,,,,
2008-12-31,11788000,438549000,2247981000,960213000,3469699000,,6690073000,173492000.0,11167000.0,1411840000.0,4336929000,201938000,929238000,788040000,721267000,,607480000.0,-576209000.0,,1379189000,863470000,,45281000.0,-56630000.0,1896413000,110303000.0,1055171000.0,,788040000.0,1157703781,698967000,1073462000,2817944000,629305000,721267000,166440000,306863000.0,2086843000,161138000,546960000,788040000.0,-8745000.0,274532000.0,110323000.0,1149345000.0,0.623012,-420800000.0,0.631998,-58637000,-355538000.0,30975000,1141314237,1518985000,801180000.0,2325048000,-171875000.0,79141000.0,2260161000,727300000,,-175405000.0,849887000,-260418000,-402066000,650715000,106839000.0,-107357000.0,-105675000.0,51596000.0,33921000.0,-339863000.0,-195784000.0,3220374000,,,,
2009-12-31,23978000,1034520000,2515759000,1341896000,4417046000,73172000.0,8386910000,279139000.0,64697000.0,2040918000.0,5377870000,313799000,1283130000,1264343000,944524000,,259970000.0,-255945000.0,63618000.0,159000000,826433000,,148415000.0,,2674508000,183015000.0,1028017000.0,175523000.0,1105343000.0,1161274533,1306668000,1491099000,3161975000,638181000,944524000,127989000,-45412000.0,1864928000,650831000,1077390000,1105343000.0,-41234000.0,560430000.0,110898000.0,641246000.0,0.813347,-805250000.0,0.823694,477416000,-519495000.0,57687000,1146647780,2215895000,873679000.0,2755079000,-235498000.0,90401000.0,2627968000,969331000,,-118738000.0,788040000,-272148000,-309757000,631528000,179226000.0,53263000.0,103086000.0,65901000.0,24954000.0,23451000.0,57947000.0,3969864000,,,,
2010-12-31,36380000,718549000,3002410000,1546775000,4996928000,,9478527000,,0.0,2681811000.0,6561792000,377378000,1509514000,1470435000,1108487000,,312248000.0,-465463000.0,62324000.0,0,1190960000,,,,3369302000,211123000.0,1612690000.0,,1472480000.0,1169903392,990895000,1772815000,4193587000,720578000,1108487000,0,,2371642000,630768000,1194630000,1472480000.0,,0.0,111364000.0,0.0,0.947498,-327082000.0,0.960659,212280000,,79817000,1153925901,2368205000,1038629000.0,3129455000,-318051000.0,85508000.0,2934824000,1132136000,-46930000.0,-16273000.0,1264343000,-272346000,-324371000,805598000,,-216626000.0,-37940000.0,53677000.0,52178000.0,,-383809000.0,4481599000,,,,
2011-12-31,12410000,-372213000,3664159000,630956000,4814013000,,8928526000,,-10000000.0,2730169000.0,7328818000,136408000,547377000,1196474000,385813000,,838059000.0,-325605000.0,61030000.0,0,1462398000,,,,3471843000,260009000.0,2094440000.0,,1209668000.0,1162555861,15570000,906617000,4781600000,831693000,385813000,0,,3063067000,601092000,1123532000,1209668000.0,,0.0,111604000.0,0.0,0.331838,-1711422000.0,0.333108,-266742000,,82052000,1158072865,2547218000,1298385000.0,3626990000,-466692000.0,81269000.0,3483557000,410969000,0.0,-12830000.0,1470435000,-387783000,-402346000,1132965000,,-399794000.0,-23878000.0,38890000.0,99231000.0,,-585287000.0,4114513000,,,,
2012-12-31,1604000,-1148483000,4219769000,-1660636000,4188977000,,6738911000,,0.0,737703000.0,6032010000,150375000,-1805024000,1248593000,-1979114000,651632000.0,1459657000.0,0.0,59736000.0,13688000,960982000,,,0.0,1613597000,226839000.0,1469564000.0,,1248593000.0,1160071429,-931140000,-1392532000,3926903000,1220379000,-1979114000,0,,3276565000,943204000,244156000,1248593000.0,,0.0,111622000.0,0.0,-1.706022,-1108028000.0,-1.706022,51539000,,199888000,1160071429,2105107000,1756641000.0,4311060000,-536262000.0,79318000.0,4210570000,-1955399000,0.0,-10090000.0,1196474000,-217343000,-217897000,919580000,179226000.0,-186288000.0,4506000.0,6929000.0,185653000.0,,-838097000.0,2549934000,,,,
2013-12-31,1973000,-299032000,3125087000,-203046000,3230134000,,5824110000,,-71829000.0,330934000.0,6016851000,42219000,-317172000,1280684000,-391540000,845727000.0,212500000.0,,64012000.0,2149000,913988000,,,,2684230000,193195000.0,1357260000.0,,1280684000.0,1442066111,-13531000,6811000,3961650000,1142423000,-391540000,0,,2017723000,1107364000,201709000,1280684000.0,,0.0,136613000.0,0.0,-0.271479,-2848243000.0,-0.271479,59261000,,148703000,1442066111,2055201000,1793461000.0,2910095000,-651038000.0,75316000.0,2797022000,-359391000,,-5000000.0,1241304000,-285501000,-218975000,942368000,179226000.0,162930000.0,1494527000.0,21104000.0,130788000.0,,566309000.0,2593976000,,,,
2014-12-31,3239000,-721583000,3870365000,-528873000,3724092000,,6727601000,,0.0,-469056000.0,6039806000,78877000,-664627000,1031386000,-781481000,974662000.0,715388000.0,,62718000.0,2593000,953429000,,,-2146000.0,1951858000,198460000.0,1228717000.0,,1031386000.0,1722978880,-394355000,-349556000,3962719000,1233286000,-781481000,0,,2679141000,1191224000,200086000,1031386000.0,,0.0,141698000.0,1104541000.0,-0.453554,-320000000.0,-0.453554,-253764000,,138536000,1722978880,2077087000,1945509000.0,3566661000,-712223000.0,76410000.0,3532382000,-743504000,-14000000.0,0.0,1280684000,-327228000,-334082000,1289332000,246313000.0,-229131000.0,-444000.0,48156000.0,116611000.0,,-589000.0,3003509000,,,,
2015-12-31,436000,298372000,3486918000,157069000,3896836000,,7089495000,,0.0,-472602000.0,6897458000,73768000,30814000,1812572000,14309000,910033000.0,378999000.0,,65710000.0,495000,997473000,,,,3179903000,253876000.0,1414113000.0,,1812572000.0,2158877000,687043000,392294000,5483516000,820093000,14309000,0,,2471786000,1015132000,126096000,1812572000.0,,0.0,177492000.0,219437000.0,0.0066,-749157000.0,0.0066,960673000,,137317000,2158877000,1413942000,1524291000.0,3066510000,-704198000.0,11503000.0,3035590000,-42954000,,,1031386000,-388671000,-362745000,959652000,139474000.0,274591000.0,1229930000.0,14882000.0,107604000.0,,353925000.0,3192659000,,,,
2016-12-31,7261000,519319000,2783345000,384007000,4310065000,,8015293000,,5237000.0,146302000.0,6780494000,32435000,287946000,1953588000,643254000,0.0,767986000.0,,56824000.0,1001000,1047323000,138471000.0,,-53177000.0,3994599000,317626000.0,1363528000.0,,1953588000.0,2222275000,995476000,689911000,4650440000,905564000,643254000,0,,2673915000,109430000,143222000,1953588000.0,,0.0,188021000.0,807885000.0,0.2895,-374819000.0,0.2903,166143000,,77940000,2216001000,2130054000,1756900000.0,3393470000,-851336000.0,6799000.0,3321221000,255511000,-2000000.0,-2000000.0,1989265000,-476157000,-320306000,965422000,139474000.0,45327000.0,-53177000.0,31806000.0,84339000.0,,246256000.0,3705228000,,,,
2017-12-31,17371000,731530000,2247752000,450238000,4697429000,,8873912000,,,660895000.0,7321349000,22369000,537524000,2529222000,515155000,,0.0,,56832000.0,721000,1145113000,,,-42104000.0,5071047000,369787000.0,1128934000.0,,2529222000.0,2435300000,1159143000,924213000,5110382000,914171000,515155000,0,,2127810000,119942000,118473000,2529222000.0,,0.0,203347000.0,929263000.0,0.2087,-202000000.0,0.2147,584134000,,-32512000,2399231000,2210967000,1984651000.0,3774441000,-1070480000.0,18323000.0,3726245000,515155000,-444000.0,0.0,1953588000,-427613000,-342516000,1102538000,139474000.0,-124265000.0,,28876000.0,16902000.0,,350913000.0,4176483000,,,,
2018-12-31,51222000,1070920000,2907715000,715065000,5458124000,,10510898000,,,1217456000.0,8727305000,135058000,850321000,3671542000,715263000,,,,53675000.0,508536000,1133314000,,,-116865000.0,5817040000,411412000.0,928895000.0,,3671542000.0,2450505000,1671869000,1266053000,6386254000,904177000,715263000,132491000,,2777471000,130244000,94447000,3671542000.0,,,204435000.0,,0.2919,0.0,0.2963,1123289000,,-67074000,2413636000,2341051000,2126087000.0,4388319000,-1221910000.0,34730000.0,4337709000,715263000,,-10150000.0,2529222000,-600949000,-482937000,1239741000,139474000.0,-131490000.0,,97941000.0,4320000.0,,447847000.0,5052774000,,,,
