date,annualCashAndCashEquivalents,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualOperatingExpense,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,annualResearchAndDevelopment,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualEbitda,annualBasicAverageShares,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCommonStockIssuance,annualFreeCashFlow,annualRetainedEarnings,annualNetIncome,annualCostOfRevenue,annualCashDividendsPaid,annualLongTermDebt,annualCurrentDebt,annualTaxProvision,annualTotalAssets,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualStockBasedCompensation,annualPurchaseOfBusiness,annualAccountsReceivable,annualGoodwill,annualInventory,annualChangeInInventory,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,annualDilutedAverageShares,annualOperatingCashFlow,annualRepaymentOfDebt,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualChangeInCashSupplementalAsReported,annualBasicEPS,annualTotalRevenue,annualOtherNonCurrentLiabilities,annualCapitalStock,annualPretaxIncome,annualPurchaseOfInvestment,annualEndCashPosition,annualAccountsPayable,annualGrossPPE,annualNonCurrentDeferredRevenue,annualOperatingIncome,annualDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualChangeInAccountPayable,annualIncomeTaxPayable
2006-12-31,160275000,,5389000,78747000,-111354000,165985000,132927000,2913000,0,0.0,12310000,,472654000,206333000,574869000,0.0,117158000,430510000,,48359000.0,146827000,,117158000,652917000,-7727000,,,0,785392000,312738000,74810000,202904000.0,3122000,354877000,,,37435000,-129033000,,-35222000.0,862000,0.0,108342000,-42860000,430510000,247781000,301890000,574869000,258181000,-200958000,54585000,14060000,236009000.0,160275000,0.2,27348000,0.2,900698000,0.0,101000,165985000,,160275000,194501000,,,169034000,,,,,,,,,,
2007-12-31,543689000,,0,136507000,-170317000,225871000,160275000,3795000,0,0.0,28535000,,1127607000,294445000,915616000,66188000.0,225436000,273556000,,745052000.0,-10187000,,225436000,1005268000,-236009000,,,10424000,1568601000,440994000,154035000,379942000.0,-27191000,1288815000,,,54355000,-208939000,,0.0,2298000,12077000.0,134988000,-25512000,273556000,376597000,401142000,915616000,160130000,-247853000,-94731000,-73598000,0.0,609877000,0.25,383414000,0.25,1381865000,0.0,97520000,236295000,,543689000,270886000,,,240090000,,,,,,,,,,
2008-12-31,387536000,-237564000.0,1414000,153941000,-150163000,76572000,543689000,15000,26245000,1755000.0,56146000,,1069311000,161765000,1000000000,295070000.0,78377000,245725000,8796000.0,0.0,52547000,,78377000,1016210000,-21000000,17226000.0,18284000.0,12097000,1612049000,542738000,138959000,4492000.0,-3607000,1342719000,66188000.0,7996000.0,73081000,-354639000,,,257606000,12168000.0,126351000,-809000,219480000,250847000,496579000,1000000000,202710000,0,51787000,1690000,0.0,682606000,0.08,-156410000,0.08,1267057000,,97520000,88669000,-287214000.0,387536000,198415000,734143000.0,1023000.0,96906000,,,,,,,,,,
2009-12-31,740320000,-314015000.0,-1956000,172414000,-77958000,86935000,387536000,1850000,38410000,3210000.0,75929000,,1284024000,187434000,1000000000,0.0,91934000,372425000,14946000.0,,52676000,,91934000,1035611000,-20000000,27011000.0,28888000.0,12755000,1821828000,537804000,125762000,19185000.0,502000,1416174000,295070000.0,8031000.0,85894000,228596000,,,375586000,12168000.0,148431000,-21661000,334015000,273954000,486213000,1000000000,130634000,-30259000,-35591000,-18314000,0.0,740320000,0.0919,352044000,0.0919,1309565000,0.0,97520000,99690000,0.0,740320000,300792000,800228000.0,3368000.0,101540000,,,,,,,,,,
2010-12-31,188278000,-396503000.0,978000,209779000,-82246000,138225000,740320000,4129000,33789000,7040000.0,99575000,-50394000.0,1527186000,260120000,978117000,,143826000,529702000,19313000.0,,102818000,,143826000,1426090000,-20000000,25412000.0,87548000.0,26651000,2057649000,530463000,151277000,76570000.0,-26236000,1495935000,0.0,6908000.0,91115000,-720952000,7931000.0,-20050000.0,926000,4071000.0,220598000,-69917000,495913000,391977000,465259000,982972000,185064000,-133611000,-40387000,-642005000,0.0,188278000,0.1463,-552028000,0.147,1818067000,0.0,97520000,164876000,,188278000,6650000,861762000.0,1469000.0,182198000,,,,,,,,,,
2011-12-31,251677000,-466378000.0,356000,312786000,-196626000,201745000,188278000,2982000,23848000,30485000.0,131114000,-19680000.0,1822425000,334223000,965377000,,215308000,694373000,35000.0,,-124190000,,215308000,1975740000,-43500000,17218000.0,62416000.0,37838000,2375477000,553052000,181672000,173649000.0,-41164000,1661372000,,5595000.0,91658000,87221000,14980000.0,,627593000,0.0,472339000,-255609000,670525000,522760000,489290000,974323000,72436000,-81515000,-227961000,306513000,0.0,251677000,0.221,62987000,0.223,2498500000,0.0,97520000,239583000,-84080000.0,251677000,603335000,955668000.0,1035000.0,209974000,,,,,,,,,,
2012-12-31,243442000,-562913000.0,227000,366035000,-298908000,338904000,251677000,3141000,18064000,50056000.0,163372000,-34746000.0,2266982000,509493000,962552000,280773000.0,338904000,1070401000,39000.0,-34746000.0,-42125000,,338904000,3243115000,-71000000,0.0,102642000.0,58304000,3002248000,735266000,214499000,280773000.0,-24941000,1921656000,84080000.0,5595000.0,109144000,-179594000,19743000.0,0.0,680366000,,747673000,-274902000,1052337000,741181000,669510000,978470000,256783000,-241178000,-200178000,36780000,0.0,524215000,0.3539,-8463000,0.3597,3984296000,0.0,97520000,397208000,-280773000.0,243442000,774342000,1232423000.0,12469000.0,375146000,,,,,,,,,,
2013-12-31,709037000,-651530000.0,7721000,436634000,-318544000,440866000,243442000,6595000,23417000,74204000.0,251041000,-53011000.0,3766416000,658420000,994294000,983000000.0,440755000,1805363000,27000.0,564158000.0,349289000,1190918000.0,440755000,4845690000,-105000000,,488929000.0,63623000,4665248000,898832000,183708000,113750000.0,-21034000,2849805000,280773000.0,5595000.0,147336000,-1039081000,30843000.0,,786711000,,767915000,-63595000,1781946000,967081000,807464000,1012035000,667833000,-702092000,8588000,-113510000,0.0,1692037000,0.4353,466274000,0.443,5812771000,0.0,105177000,504489000,-983000000.0,709037000,954392000,1458994000.0,17822000.0,530447000,,,,,,,,,,
2014-12-31,504600000,-842745000.0,3417000,682263000,-382528000,561268000,709037000,13981000,46457000,87613000.0,392271000,-79480000.0,4204393000,862707000,1069823000,394946000.0,566096000,2343249000,15000.0,-79480000.0,-565379000,2002069000.0,566096000,7137040000,-132737000,,521571000.0,72739000,5593839000,1389446000,320046000,20000000.0,-44021000,3247697000,11200601000.0,10787000.0,214719000,169428000,40420000.0,-349569000.0,1503303000,,895693000,-133313000,2296792000,1289418000,1151382000,1079639000,-182851000,-877447000,-940352000,122358000,0.0,899546000,0.5243,-203562000,0.5291,8426458000,-374946000.0,105177000,634007000,-10498941000.0,504600000,1378250000,1994127000.0,23228000.0,607155000,,,,,,,,,,
2015-12-31,186780000,-1069911000.0,7933000,806394000,-411248000,763521000,504600000,15998000,51982000,0.0,502140000,-70770000.0,6017097000,1123992000,1074292000,1780186000.0,761632000,3791403000,6000.0,-70770000.0,1290239000,2716908000.0,761632000,8932855000,-170035000,,683239000.0,98756000,7636294000,1619197000,351922000,71916000.0,-34398000,3830983000,13645955000.0,19201000.0,245717000,-1932000000,60218000.0,-43500000.0,2442757000,,896962000,-8639000,3739421000,1763377000,1253812000,1083531000,1701487000,-654131000,538443000,-125167000,0.0,1966966000,0.7029,-318450000,0.709,10696232000,0.0,105177000,862277000,-15045338000.0,186780000,2535440000,2323723000.0,24502000.0,956983000,,,,,,,,,,
