date,annualDilutedEPS,annualRetainedEarnings,annualNetOtherInvestingChanges,annualChangeInWorkingCapital,annualCashDividendsPaid,annualNetIncome,annualOtherShortTermInvestments,annualCommonStockIssuance,annualFreeCashFlow,annualGoodwill,annualPretaxIncome,annualBasicAverageShares,annualOperatingIncome,annualAccountsPayable,annualBasicEPS,annualInvestingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,annualOtherCurrentAssets,annualEndCashPosition,annualLongTermDebt,annualStockholdersEquity,annualTaxProvision,annualTotalAssets,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualDilutedAverageShares,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualEbitda,annualInterestExpense,annualOtherIntangibleAssets,annualCapitalExpenditure,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualCapitalStock,annualOtherIncomeExpense,annualCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualCurrentDebt,annualInventory,annualAccumulatedDepreciation,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualGrossProfit,annualOperatingExpense,annualBeginningCashPosition,annualCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,annualChangeInAccountPayable,annualIncomeTaxPayable,annualDeferredIncomeTax,annualCurrentDeferredRevenue
2001-03-31,0.62,32050283.0,-4394000,,,32081175,,65305000.0,,76450057,37791254,50605710,35009059,4592790,0.633333,-97928319,-74858848.0,,102531210,16359298.0,39011652,33162500.0,114961737,5710079,167982669,,39011652,19827304,,,51694005,33162500,71418557,0.0,,7268218,,,39011652,,32050283,0.0,27816004,31128.0,-2000000.0,35009059,,,-5242732,96564112,,,,,,32112067,-13432739,12000000,3187583,,,-18709067,60131656,25122597,11195648,42399554,52989804,,,,,,,,,,
2002-03-31,0.026667,34079461.0,-1606000,,,2172687,,94980000.0,-11446658.0,32813021,5727418,76094175,3435550,10094809,0.026667,-77135654,-46148827.0,,100029884,11236663.0,49347279,3264193.0,208926019,3554731,262821223,,49347279,50455786,,,76094175,3264193,81844957,6000000.0,2144667.0,9529174,,,49347279,,2029178,0.0,10335627,175225.0,-12000000.0,3435550,,8336385.0,-13591325,180976266,,,,,2144667.0,2316196,-15817611,40277780,10228670,,,-2653386,43502149,40066599,39011652,56527735,53719979,,,,,,,,,,
2003-03-31,0.036667,,10900390,-19680005.0,,4883634,,43850860.0,-40974627.0,29514225,5688214,129300164,-23235639,8681383,0.036667,-24739797,0.0,,123878249,0.0,-11266648,2135322.0,254881497,804580,323391561,16902312.0,68581288,66305836,,,129300164,2135322,118553116,0.0,-24558285.0,24750916,,-2636388.0,68581288,,4741006,0.0,-60613927,68906.0,-37748430.0,-6333327,,5690644.0,-16416342,204838445,70415896.0,,,,-41460597.0,5026262,-34488859,56421050,12983422,,,-40000000,48923194,72158833,49347279,74955055,68441158,,-2662754.0,,,,,,,,
2004-03-31,-0.598667,,109457,17686246.0,-378390.0,-87269285,,23285000.0,9617741.0,44569819,-86752132,146440941,-25152611,24522207,-0.598667,16526674,,,109717220,0.0,47007994,0.0,189841657,517153,219726352,10883121.0,57007994,25176114,,,146440941,779851,85878750,0.0,13453245.0,35671812,,-655530.0,57007994,,-87669310,0.0,58274642,3928730.0,-44003636.0,-14269490,,1800000.0,-3835504,133847602,70689249.0,,,,2570124.0,-86869260,-31211768,0,4265678,,,30000000,49056520,74209131,-11266648,60660700,25955965,779851.0,3933830.0,,,,,,,,
2005-03-31,-0.424,,910541,4555967.0,-225050.0,-78380623,,0.0,-4882868.0,44184246,-77325089,198893125,-48235935,32794140,-0.424,-48711394,-26450622.0,,179535937,0.0,24165816,6513984.0,123414209,1055534,177287896,26570523.0,34165816,34531562,,27345336.0,198893125,7373104,78531995,0.0,3219808.0,25839875,,-1096763.0,34165816,,-84330685,0.0,-22842178,11969021.0,-9296712.0,-21665412,,,-8102676,98755901,106133466.0,,,,-23350715.0,-72430561,-44703039,602039,8783991,,,23971221,74336913,122572848,47007994,105199024,41904666,859120.0,1245554.0,,,,,,,,
2006-03-31,0.029333,,24042351,-24312617.0,-11975041.0,21448459,22929500.0,88242486.0,-44177840.0,50963605,27739622,682857920,16986404,44487642,0.029333,-68273329,-141061160.0,,231179362,242727.0,115613244,61813194.0,249155231,6291163,397507410,6134030.0,126406424,83190368,,134838311.0,682857920,64512086,242674937,17206909.0,6009583.0,52048250,,-4968824.0,149335924,,20030499,0.0,91054833,-1299450.0,-9481280.0,23120434,,,-50187423,154832473,90987300.0,,,,-124447.0,20030499,-36691281,37487642,13782789,,,-395136,111839139,94852735,24165816,119340223,147702454,3998342.0,-5098710.0,,,,,,,,
2007-03-31,0.278667,,-11515759,-9533561.0,-930739.0,214850183,21021288.0,0.0,-1580330.0,37172357,221470279,771529718,52576736,41054213,0.278667,-62843576,-1000.0,51643001.0,275627568,193482735.0,74800498,23288039.0,436587225,14686224,577946177,7677972.0,86220519,98631476,,,771529718,27128272,396510098,9558915.0,16008479.0,15797901,,-67194891.0,107241807,,214850183,912839.0,-41323048,,-8019366.0,232639384,3491133.0,,-17588809,181436079,120123006.0,50719819.0,,,-2899169.0,206784055,-42447416,29734414,13777997,,,16560557,128975350,76398614,115613244,146652218,125759748,3761826.0,570389.0,,,,,,,,
2008-03-31,0.308,,23270814,-1923557.0,-8743000.0,260990115,0.0,325043000.0,67134844.0,55436828,271975929,823745172,19534022,93215201,0.308,-383760635,-540712916.0,60904475.0,338822614,144544166.0,159274407,21088726.0,1064142731,11812197,1307476673,11605167.0,188375460,202553878,,210000000.0,823745172,25667209,440126390,0.0,79180241.0,74361610,,-11887248.0,188375460,,253713513,20875844.0,85158300,15112855.0,-29013427.0,31139189,,10173488.0,-12045397,867350283,129142295.0,,,,67575074.0,260163732,-83712972,88253142,8785620,,,-1865498,167308845,147774823,74800498,171513769,228221087,4578483.0,1841911.0,,,,,,,,
2009-03-31,-0.622,,342355000,-57027000.0,-17626000.0,-652507000,33708000.0,339656000.0,-59855000.0,36064000,-638384000,1049829840,-358594000,24171000,-0.622,192938000,-170437000.0,43593000.0,342212000,5000000.0,484549000,0.0,892108000,5663000,941878000,12513000.0,484549000,41042000,,4515000.0,1049829840,3738000,598051000,53455000.0,-51296000.0,19902000,,0.0,518257000,79297000.0,-652507000,0.0,325098000,0.0,-180241000.0,-620049000,5822000.0,9372000.0,-8559000,343827000,187346000.0,296805000.0,,,-16679000.0,-644047000,-11637000,0,8687000,-59395000.0,198750000.0,-36519000,160103000,518697000,159274000,182109000,44780000,3738000.0,607000.0,,,,,,,,
2009-12-31,-0.016,,-5000,2457000.0,,-23587000,110514000.0,0.0,-176322000.0,63838000,-16215000,1516444075,-21866000,96235000,-0.016,-310768000,-69364000.0,100169000.0,245100000,5005000.0,155306000,,1120871000,5766000,1327282000,10746000.0,155306000,137879000,,39690000.0,1516444075,5603000,436136000,0.0,-15668000.0,165567000,,-9020000.0,265820000,208170000.0,-23587000,0.0,-329243000,0.0,,-5312000,157000.0,15824000.0,-160654000,891146000,147271000.0,3237000.0,,,-72169000.0,-21981000,-117273000,12548000,44463000,-42603000.0,4831000.0,-3429000,91280000,113146000,484549000,153820000,143482000,5603000.0,-5279000.0,,,,,,,,
2010-12-31,0.028,,-5032000,-192887000.0,,94621000,459861000.0,475875000.0,-380266000.0,7463000,172543000,3476535195,183052000,51924000,0.028,-123726000,-47070000.0,115070000.0,307447000,8684000.0,369510000,,1551501000,45595000,1770087000,22899000.0,369510000,203080000,,78156000.0,3490297810,9849000,963511000,-1836000.0,-218414000.0,197285000,,0.0,829371000,246646000.0,94621000,0.0,214204000,0.0,,196311000,869000.0,4602000.0,-161852000,806576000,219885000.0,9112000.0,,,-285865000.0,126948000,-51735000,95000000,8550000,-49361000.0,29538000.0,-5788000,101403000,-81649000,155306000,206044000,212929000,9849000.0,-1854000.0,,,,,,,,
2011-12-31,0.014,707454000.0,24878000,-251157000.0,-45564000.0,61334000,903354000.0,0.0,-314012000.0,6603000,115339000,4554886480,-75588000,28966000,0.014,-7464000,-9895000.0,12691000.0,339321000,5021000.0,46261000,,1536185000,52304000,1797212000,31717000.0,46261000,243455000,266613000.0,21438000.0,4610495110,12055000,1042074000,298000.0,-287399000.0,183090000,311532000.0,-628000.0,949615000,254847000.0,61334000,0.0,-323249000,0.0,-370000000.0,148719000,1663000.0,2292000.0,-26613000,755138000,191978000.0,9103000.0,189339000.0,-28386000.0,-1588000.0,63035000,-405000,113000000,12044000,-71757000.0,198000.0,2429000,114076000,189664000,369510000,225245000,255510000,12055000.0,-2676000.0,,,,,,,,
2012-12-31,-0.096,283132000.0,-74930000,317641000.0,0.0,-434952000,314135000.0,,169374000.0,6603000,-427560000,4551673550,-65476000,7305000,-0.096,-134354000,-13245000.0,14600000.0,341768000,79951000.0,176332000,,1127631000,3104000,1672548000,40579000.0,176332000,333593000,,11298000.0,4551673550,1606000,640862000,328000.0,173425000.0,163322000,,0.0,490467000,271440000.0,-434952000,0.0,130071000,0.0,-345000000.0,-383033000,3948000.0,167000.0,-4051000,1031686000,184039000.0,9103000.0,,,3320000.0,-430664000,-45419000,210575000,9769000,-108118000.0,193000.0,-899000,118563000,184039000,46261000,223205000,335199000,1606000.0,1581000.0,,,,,,,,
2013-12-31,0.01,332765000.0,62157000,-186968000.0,,49633000,660920000.0,4045000.0,-390216000.0,15121000,83037000,4561085415,-68035000,12550000,0.01,241891000,-11661000.0,16348000.0,354553000,17794000.0,201249000,,1209166000,3719000,2012517000,37804000.0,201249000,515977000,,0.0,4561665700,3063000,1162572000,0.0,-381484000.0,171916000,,,862169000,308824000.0,49633000,0.0,24255000,0.0,-1194447000.0,130168000,9327000.0,,-8732000,849945000,200449000.0,9169000.0,,,-3910000.0,79318000,-100779000,363772000,11552000,-136908000.0,9876000.0,18542000,120232000,188267000,176332000,234321000,519040000,3063000.0,-125000.0,,,,,,,,
2014-12-31,0.0183,330267000.0,17794000,393527000.0,-139372000.0,84612000,278027000.0,482114000.0,281504000.0,200202000,19060000,4637091290,-74672000,29044000,0.0184,-178068000,-11973000.0,65912000.0,494579000,0.0,1083516000,,2115466000,-61829000,2824411000,50960000.0,1078558000,351751000,,37088000.0,4661618130,12542000,1595837000,6555000.0,371230000.0,193533000,,,1356585000,339584000.0,84612000,0.0,882798000,0.0,-11804683000.0,77606000,7586000.0,236099000.0,-89726000,1228574000,235987000.0,54854000.0,,,-11557000.0,80889000,-409426000,179446000,16298000,-146051000.0,0.0,108307000,160574000,235246000,201249000,334005000,364293000,12542000.0,603000.0,,,,,,,,
2015-12-31,0.0363,718602000.0,-13460000,-418914000.0,-50115000.0,254803000,552459000.0,1776069000.0,-520072000.0,375891000,274267000,6684669870,-38962000,47712000,0.0381,-528922000,-322580000.0,133865000.0,1122933000,54952000.0,1826679000,,4530792000,13401000,5243498000,53821000.0,1826679000,636316000,,5360000.0,7014382200,14300000,2690532000,128486000.0,-406778000.0,233317000,,,2379138000,417623000.0,254803000,0.0,746035000,0.0,-451026000.0,338643000,10555000.0,492428000.0,-113294000,2552966000,520413000.0,77613000.0,,,-60209000.0,260866000,-274642000,143806000,20600000,-184306000.0,,7046000,479815000,518777000,1083516000,643118000,650616000,14300000.0,-4237000.0,,,,,,,,
2016-12-31,0.01,703194000.0,26295000,335705000.0,-85311000.0,63497000,219969000.0,0.0,332285000.0,505635000,112119000,7747751093,2087000,53166000,0.01,-563804000,-105433000.0,141865000.0,1011549000,0.0,1469837000,,4371576000,18777000,5162819000,65791000.0,1447756000,550456000,,109221000.0,7761298452,30404000,2728398000,18429000.0,420759000.0,246724000,,,1667725000,455461000.0,62522000,0.0,-350691000,0.0,-113187000.0,182642000,4732000.0,300440000.0,-88474000,2434421000,297704000.0,77613000.0,,,-33226000.0,93342000,-551944000,20835000,22969000,-208737000.0,,0,297111000,295024000,1826679000,714438000,580860000,30404000.0,-10446000.0,,,,,,,,
2017-12-31,-0.0141,,65000000,23985000.0,-30759000.0,-107745000,81084000.0,,12036000.0,502127000,-71375000,7619647526,30386000,56691000,-0.0141,114015000,-125465000.0,157611000.0,1108724000,,1391559000,,4037403000,25985000,4675437000,62894000.0,1391559000,311878000,,150000000.0,7619647526,49079000,1909808000,,94030000.0,343166000,,-288892000.0,1472643000,575239000.0,-107745000,,-110236000,,-1058000.0,-7759000,722000.0,368134000.0,-81994000,2765629000,331583000.0,75261000.0,,,-58176000.0,-97360000,-110441000,19777000,24585000,-232073000.0,,3150000,361969000,331583000,1469837000,746755000,360957000,49079000.0,-1506000.0,,,,,,,,
2018-12-31,0.0085,,43340000,-88870000.0,-14581000.0,64014000,7805000.0,,-122044000.0,489109000,115003000,7526134452,7300000,36997000,0.0085,414278000,0.0,158648000.0,1121736000,,1720425000,,4071271000,29494000,4633068000,57335000.0,1720425000,244552000,,217742000.0,7526134452,44418000,2021032000,,-42357000.0,377379000,,0.0,1728230000,599625000.0,64014000,,353458000,,-1021000.0,173026000,688000.0,349364000.0,-79687000,2612036000,365279000.0,75261000.0,,,-52490000.0,85509000,-5268000,18756000,25625000,-222246000.0,,-2173000,372579000,365279000,1391559000,749157000,288970000,44418000.0,-1078000.0,,,,,,,,
