date,annualChangeInWorkingCapital,annualDilutedEPS,annualBasicAverageShares,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualOtherCurrentAssets,annualLongTermDebt,annualCurrentDeferredRevenue,annualBasicEPS,annualCostOfRevenue,annualOperatingIncome,annualPretaxIncome,annualNetIncome,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,annualEndCashPosition,annualCurrentDebt,annualFreeCashFlow,annualIncomeTaxPayable,annualAccountsPayable,annualOtherNonCashItems,annualDepreciationAndAmortization,annualStockholdersEquity,annualInvestmentsAndAdvances,annualTaxProvision,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualChangeInAccountPayable,annualDilutedAverageShares,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualCurrentLiabilities,annualOtherNonCurrentLiabilities,annualEbitda,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,annualInvestingCashFlow,annualPurchaseOfInvestment,annualCapitalStock,annualTotalRevenue,annualChangesInAccountReceivables,annualInterestExpense,annualGoodwill,annualInventory,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualDeferredIncomeTax,annualGrossProfit,annualResearchAndDevelopment,annualStockBasedCompensation,annualSellingGeneralAndAdministration,annualOtherIntangibleAssets
1979-12-31,,2.22,169054054,,,,,,,,,2.22,,3239000000,,375300000,,,,,,,,,,,,,,,,,,,,,375300000,,169054054,,,,,,,3239000000,,,,,,,,,375300000,,,,,,,,,,3239000000,,,,,,,,,,,,
1980-12-31,,2.39,144309623,,,,,,,,,2.39,,3750500000,,344900000,,,,,,,,,,,,,,,,,,,,,344900000,,144309623,,,,,,,3750500000,,,,,,,,,344900000,,,,,,,,,,3750500000,,,,,,,,,,,,
1981-12-31,,2.37,155400844,,,,,,,,,2.37,,4192600000,,368300000,,,,,,,,,,,,,,,,,,,,,368300000,,155400844,,,,,,,4192600000,,,,,,,,,368300000,,,,,,,,,,4192600000,,,,,,,,,,,,
1982-12-31,,2.03,165024631,,,,,,,,,2.03,,4180000000,,335000000,,,,,,,,,,,,,,,,,,,,,335000000,,165024631,,,,,,,4180000000,,,,,,,,,335000000,,,,,,,,,,4180000000,,,,,,,,,,,,
1983-12-31,,2.44,175409836,,,,,,,,,2.44,,4368400000,,428000000,,,,,,,,,,,,,,,,,,,,,428000000,,175409836,,,,,,,4368400000,,,,,,,,,428000000,,,,,,,,,,4368400000,,,,,,,,,,,,
1984-12-31,,2.65,184000000,,,,,,,,,2.65,,4951900000,,487600000,,,,,,,,,,,,,,,,,,,,,487600000,,184000000,,,,,,,4951900000,,,,,,,,,487600000,,,,,,,,,,4951900000,,,,,,,,,,,,
1985-12-31,,2.54,190944882,,,,,,,,,2.54,,4848000000,,485000000,,,,,,,,,,,,,,,,,,,,,485000000,,190944882,,,,,,,4848000000,,,,,,,,,485000000,,,,,,,,,,4848000000,,,,,,,,,,,,
1986-12-31,,2.62,193587786,,,,,,,,,2.62,,4842800000,,507200000,,,,,,,,,,,,,,,,,,,,,507200000,,193587786,,,,,,,4842800000,,,,,,,,,507200000,,,,,,,,,,4842800000,,,,,,,,,,,,
1987-12-31,,2.6,193269231,,,,,,,,,2.6,,4787600000,,502500000,,,,,,,,,,,,,,,,,,,,,502500000,,193269231,,,,,,,4787600000,,,,,,,,,502500000,,,,,,,,,,4787600000,,,,,,,,,,,,
1988-12-31,,3.24,193456790,,,,,,,,,3.24,,4840800000,,626800000,,,,,,,,,,,,,,,,,,,,,626800000,,193456790,,,,,,,4840800000,,,,,,,,,626800000,,,,,,,,,,4840800000,,,,,,,,,,,,
1989-12-31,,3.25,193507692,,,,,,,,,3.25,,5140400000,,628900000,,,,,,,,,,,,,,,,,,,,,628900000,,193507692,,,,,,,5140400000,,,,,,,,,628900000,,,,,,,,,,5140400000,,,,,,,,,,,,
1990-12-31,,2.65,187320755,,,,,,,,,2.65,,5167500000,,496400000,,,,,,,,,,,,,,,,,,,,,496400000,,187320755,,,,,,,5167500000,,,,,,,,,496400000,,,,,,,,,,5167500000,,,,,,,,,,,,
1991-12-31,,2.7,184407407,,,,,,,,,2.7,,5046600000,,497900000,,,,,,,,,,,,,,,,,,,,,497900000,,184407407,,,,,,,5046600000,,,,,,,,,497900000,,,,,,,,,,5046600000,,,,,,,,,,,,
1992-12-31,,2.54,184370079,,,,,,,,,2.54,,5044800000,,468300000,,,,,,,,,,,,,,,,,,,,,468300000,,184370079,,,,,,,5044800000,,,,,,,,,468300000,,,,,,,,,,5044800000,,,,,,,,,,,,
1993-12-31,,1.92,184270833,,,,,,,,,1.92,,5268800000,,353800000,,,,,,,,,,,,,,,,,,,,,353800000,,184270833,,,,,,,5268800000,,,,,,,,,353800000,,,,,,,,,,5268800000,,,,,,,,,,,,
1994-12-31,-2800000,2.71,184666000,1325600000,15712700000,10659600000,,0,94700000,4686600000,,2.71,1745200000,1149500000,717200000,500000000,,-443100000,62900000,610700000,334200000,,251200000,508000000,,5053100000,,217200000,62900000,972800000,1281400000,432900000,111100000,,,-35900000,500000000,,184666000,12083100000,,977700000,398300000,1834700000,8368700000,1710700000,62900000,610700000,,20300000,42600000,11500000,14431300000,18909600000,500000000,,2929500000,2610000000,-1600000,-363800000,-643500000,-593700000,,2086000000,5504700000,,443700000,,523400000,-6826500000,-200000,-12200000,3759500000,,,,
1995-12-31,-105200000,2.85,185847000,1409600000,15902300000,10899200000,,0,98700000,4920300000,,2.85,1625500000,1236600000,801900000,529900000,,-445800000,80000000,599400000,450600000,,220100000,645800000,,5003100000,,272000000,80000000,805500000,1401900000,492300000,48700000,,,-158800000,529900000,,185847000,12210600000,,1056600000,310400000,1625100000,8844100000,1868100000,80000000,100000,,17100000,62900000,20200000,14500400000,19321700000,529900000,,3086700000,2808200000,500000,-454100000,-606000000,-585400000,,1934900000,5670300000,,454900000,,523000000,-7111100000,0,11900000,4044800000,,,,
1996-12-31,9900000,3.14,187321000,1547700000,15885500000,10740000000,,0,103900000,4796800000,,3.14,1686800000,1350100000,929600000,587400000,,-449400000,57500000,496200000,659400000,,206200000,687100000,,5145500000,,342200000,57500000,793600000,1354900000,531300000,65500000,,,-70800000,587400000,,187321000,12313100000,,1237100000,328000000,1496000000,8839900000,1996300000,57500000,496200000,,-22400000,80000000,2200000,14530600000,19862900000,587400000,,3047200000,2812300000,35800000,-694100000,-577700000,-565400000,,1882200000,5849200000,,422700000,,487200000,-7549800000,0,-21500000,4162400000,,,,
