date,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualBeginningCashPosition,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualInterestExpense,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualFreeCashFlow,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalAssets,annualNetIncome,annualPurchaseOfBusiness,annualCashDividendsPaid,annualCurrentDebt,annualOtherNonCashItems,annualAccountsReceivable,annualStockholdersEquity,annualLongTermDebt,annualPurchaseOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,annualRetainedEarnings,annualStockBasedCompensation,annualGoodwill,annualChangeInWorkingCapital,annualOperatingCashFlow,annualSaleOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualOperatingIncome,annualCapitalStock,annualEndCashPosition,annualRepaymentOfDebt,annualNetOtherInvestingChanges,annualCashFlowFromContinuingFinancingActivities,annualPretaxIncome,annualInvestmentsAndAdvances,annualAccountsPayable,annualIncomeTaxPayable,annualChangesInAccountReceivables,annualCurrentLiabilities,annualGrossProfit,annualInventory,annualOperatingExpense,annualCapitalExpenditure,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualGrossPPE,annualDeferredIncomeTax,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNonCurrentDeferredRevenue,annualTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentAssets,annualOtherCurrentLiabilities,annualCostOfRevenue,annualAccumulatedDepreciation,annualOtherShortTermInvestments,annualEbitda,annualDilutedAverageShares,annualOtherIncomeExpense,annualNetPPE,annualBasicAverageShares,annualChangeInInventory,annualOtherCurrentAssets,annualOtherNonCurrentLiabilities,annualBasicEPS,annualOtherNonCurrentAssets,annualDilutedEPS
2008-12-31,5755000.0,,0.0,35352000.0,56012000,-18967000.0,56012000.0,3664000.0,24937000.0,,35352000.0,,30682000.0,,1398174000,,1656325000,35352000.0,,-19656000.0,,-11747000.0,7851000.0,258151000,,-2653815000.0,10763000.0,-1568362000.0,-2310000,,,-3612000.0,30682000.0,1073689000.0,-25606000,41107000.0,35352000.0,150000,56012000.0,-10682034000.0,11764000.0,1593692000.0,,1573383000,3664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,11145000.0,,56012000.0,118611000.0,202803000,2478223000.0,146791000.0,1166000.0,43539000.0,-1657000.0,118611000.0,,93230000.0,221596000.0,4078862000,335000.0,4625684000,118611000.0,,-80317000.0,,-633000.0,22872000.0,546822000,,-9154890000.0,26084000.0,-2565941000.0,19940000,45000.0,,-16147000.0,93230000.0,6598495000.0,19174000,130091000.0,118946000.0,243000,202803000.0,,-9546000.0,2619502000.0,118946000.0,4300115000,2007000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,18806000.0,,202803000.0,288116000.0,173258000,7773896000.0,-29545000.0,8452000.0,76026000.0,,288116000.0,,-19613000.0,1054755000.0,12903765000,455000.0,14475829000,288116000.0,,-173192000.0,72927000.0,-247098000.0,56485000.0,1572064000,,-22645213000.0,,-8746213000.0,78116000,94000.0,,-30412000.0,-19613000.0,13643147000.0,-68609000,130398000.0,111592000.0,649000,173258000.0,,255853000.0,8736281000.0,288571000.0,13510280000,727374000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,73958000.0,,173258000.0,770480000.0,1366895000,-259810000.0,1193637000.0,40417000.0,284575000.0,,770480000.0,,1016032000.0,4376698000.0,51760494000,6205000.0,57972297000,770480000.0,,-663506000.0,54061000.0,360857000.0,,6211803000,,-103428915000.0,,-39258053000.0,-37922000,176000.0,,-88959000.0,1016032000.0,64898198000.0,310294000,850643000.0,776685000.0,2241000,1366895000.0,-18866000.0,-727336000.0,39435658000.0,776685000.0,54783690000,1919490000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,144000000.0,-77000000.0,1367000000.0,1277000000.0,2430000000,0.0,1063000000.0,132000000.0,512000000.0,86000000.0,1267000000.0,,2321000000.0,3601000000.0,89558000000,19000000.0,100453000000,1277000000.0,,-1415000000.0,,877000000.0,,10895000000,937000000.0,-133900000000.0,,-31181000000.0,-289000000,,,10000000.0,2321000000.0,113837000000.0,1554000000,1440000000.0,1296000000.0,170000000,2430000000.0,-150000000.0,-63000000.0,29923000000.0,1296000000.0,85245000000,133000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,168000000.0,-856000000.0,2430000000.0,1259000000.0,2143000000,-10945000000.0,-287000000.0,492000000.0,536000000.0,325000000.0,1245000000.0,,2501000000.0,1803000000.0,67558000000,13000000.0,76255000000,1259000000.0,,-1659000000.0,,724000000.0,,8697000000,910000000.0,-146357000000.0,,8875000000.0,-497000000,,,301000000.0,2501000000.0,144997000000.0,-1383000000,1440000000.0,1272000000.0,171000000,2143000000.0,-209000000.0,298000000.0,-11663000000.0,1272000000.0,70000000000,492000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,141000000.0,-74000000.0,2143000000.0,-233000000.0,1720000000,0.0,-423000000.0,100000000.0,372000000.0,-18000000.0,-255000000.0,,1622000000.0,0.0,58338000000,0.0,67766000000,-233000000.0,,-1094000000.0,,626000000.0,5457000000.0,9428000000,761000000.0,-78094000000.0,,12349000000.0,-1674000000,,,37000000.0,1622000000.0,94742000000.0,430000000,-92000000.0,-233000000.0,340000000,1720000000.0,-158000000.0,-962000000.0,-14394000000.0,-233000000.0,59243000000,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,139000000.0,-285000000.0,1720000000.0,215000000.0,1110000000,0.0,-610000000.0,61000000.0,330000000.0,1000000.0,187000000.0,,1428000000.0,,49050000000,,57021000000,215000000.0,,-902000000.0,595000000.0,513000000.0,,7971000000,4348000000.0,-82621000000.0,,4093000000.0,-2350000000,,,-82000000.0,1428000000.0,83805000000.0,-66000000,354000000.0,215000000.0,339000000,1110000000.0,-9359000000.0,-596000000.0,-6131000000.0,215000000.0,52531000000,61000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,71000000.0,-116000000.0,1110000000.0,623000000.0,1208000000,0.0,98000000.0,,394000000.0,46000000.0,595000000.0,554000000.0,1352000000.0,,49524000000,,56880000000,623000000.0,-555000000.0,-799000000.0,460000000.0,446000000.0,,7356000000,3497000000.0,-4712000000.0,2000000.0,4445000000.0,-2518000000,1000000.0,,80000000.0,1352000000.0,9033000000.0,-397000000,728000000.0,623000000.0,339000000,1208000000.0,-2949000000.0,1351000000.0,-5699000000.0,623000000.0,46681000000,211000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,42000000.0,-173000000.0,1208000000.0,771000000.0,1046000000,24000000.0,-162000000.0,,524000000.0,81000000.0,733000000.0,551000000.0,1260000000.0,1238000000.0,61622000000,,70376000000,771000000.0,,-795000000.0,357000000.0,,0.0,8754000000,357000000.0,-12858000000.0,3000000.0,-11328000000.0,-2562000000,4000000.0,,163000000.0,1260000000.0,15309000000.0,-345000000,841000000.0,,488000000,1046000000.0,-3141000000.0,-267000000.0,9906000000.0,771000000.0,57109000000,299000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
