date,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,annualFreeCashFlow,annualDilutedEPS,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedAverageShares,annualRetainedEarnings,annualNetOtherInvestingChanges,annualEndCashPosition,annualCurrentDebt,annualCurrentDeferredRevenue,annualTaxProvision,annualPretaxIncome,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualNetIncome,annualLongTermDebt,annualOperatingIncome,annualAccountsPayable,annualBasicAverageShares,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAssets,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualChangeInAccountPayable,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualOtherIncomeExpense,annualGrossPPE,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualBasicEPS,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualOperatingExpense,annualInvestingCashFlow,annualInterestExpense,annualGoodwill,annualPurchaseOfInvestment,annualCapitalStock,annualStockBasedCompensation,annualTotalRevenue,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualGrossProfit,annualDeferredIncomeTax,annualResearchAndDevelopment,annualCurrentAccruedExpenses,annualInventory,annualChangeInInventory
1978-12-31,,,,,0.42,,181904762,350900000,,,,,20500000.0,96900000.0,,,,,,76400000.0,8800000.0,1100900000.0,,181904762,,,,,350900000,,,,,,76400000.0,,,,,,,,,,1100900000.0,,,,,,,,,,,,,0.42,,76400000.0,-502000000.0,,,,,,,598900000.0,,,,,,,,,
1979-12-31,714300000.0,,,,0.5,,181400000,445000000,,,,,28500000.0,119200000.0,1157200000.0,,,,,90700000.0,,1205800000.0,,181400000,,,,,442900000,,,,,,90700000.0,,,,,,,,,,1205800000.0,,,,,,,,,,,,,0.5,,90700000.0,-543300000.0,,,,,,,662500000.0,,,,,,,,,
1980-12-31,789500000.0,,,,0.53,,182830189,503000000,,,,,32800000.0,129700000.0,1287200000.0,,,,,96900000.0,,1384300000.0,,182830189,,,,,497700000,,,,,,96900000.0,,,,,,,,,,1384300000.0,,,,,,,,,,,,,0.53,,96900000.0,-627300000.0,,,,,,,757000000.0,,,,,,,,,
1981-12-31,1069700000.0,,,,0.55,,182181818,558700000,,,,,36000000.0,136200000.0,1595400000.0,,,,,100200000.0,1600000.0,1505100000.0,,182181818,,,,,525700000,,,,,,100200000.0,,,,,,,,,,1505100000.0,,,,,,,,,,,,,0.55,,100200000.0,-684400000.0,,,,,,,820700000.0,,,,,,,,,
1982-12-31,1818300000.0,,,,0.49,,192653061,588800000,,,,,27100000.0,123000000.0,2392100000.0,,,,,95900000.0,32300000.0,1964800000.0,,192653061,,,,,573800000,,,,,,94400000.0,,,,,,,,,,1964800000.0,,,,,,,,,,,,,0.49,,95900000.0,-920900000.0,,,,,,,1043900000.0,,,,,,,,,
1983-12-31,1881500000.0,,,,0.59,,212033898,637600000,,,,,28800000.0,160100000.0,2514400000.0,,,,,131300000.0,32000000.0,2310200000.0,,212033898,,,,,632900000,,,,,,125100000.0,,,,,,,,,,2310200000.0,,,,,,,,,,,,,0.59,,131300000.0,-1075100000.0,,,,,,,1235100000.0,,,,,,,,,
1984-12-31,1898800000.0,,,,0.74,,221216216,735800000,,,,,26000000.0,189700000.0,2720900000.0,,,,,163700000.0,31300000.0,2385700000.0,,221216216,,,,,822100000,,,,,,163700000.0,,,,,,,,,,2385700000.0,,,,,,,,,,,,,0.74,,163700000.0,-1098000000.0,,,,,,,1287700000.0,,,,,,,,,
1985-12-31,2222800000.0,,,,0.71,,225774648,847800000,,,,,69000000.0,230000000.0,3195700000.0,,,,,161000000.0,91900000.0,2489600000.0,,225774648,,,,,972900000,,,,,,160300000.0,,,,,,,,,,2489600000.0,,,,,,,,,,,,,0.71,,161000000.0,-1129800000.0,,,,,,,1359800000.0,,,,,,,,,
1986-12-31,4762800000.0,,,,0.82,,223780488,1021800000,,,,,78500000.0,262700000.0,5904800000.0,,,,,184200000.0,263900000.0,3348500000.0,,223780488,,,,,1142000000,,,,,,183500000.0,,,,,,,,,,3348500000.0,,,,,,,,,,,,,0.82,,184200000.0,-1542900000.0,,,,,,,1805600000.0,,,,,,,,,
1987-12-31,5954000000.0,,,,0.83,,222891566,1099800000,,,,,74700000.0,259800000.0,7084200000.0,,,,,185100000.0,435500000.0,4678200000.0,,222891566,,,,,1130200000,,,,,,185000000.0,,,,,,,,,,4678200000.0,,,,,,,,,,,,,0.83,,185100000.0,-2209200000.0,,,,,,,2469000000.0,,,,,,,,,
