date,annualOtherCurrentAssets,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,annualTotalRevenue,annualCostOfRevenue,annualCommonStockIssuance,annualOtherShortTermInvestments,annualCurrentDebt,annualFreeCashFlow,annualBasicAverageShares,annualNetOtherFinancingCharges,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualCashAndCashEquivalents,annualRepurchaseOfCapitalStock,annualOperatingExpense,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualCashDividendsPaid,annualNetIncome,annualBeginningCashPosition,annualAccountsReceivable,annualCurrentAssets,annualSaleOfInvestment,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualOtherNonCashItems,annualStockholdersEquity,annualBasicEPS,annualTotalAssets,annualRetainedEarnings,annualCurrentAccruedExpenses,annualDepreciationAndAmortization,annualTaxProvision,annualCapitalStock,annualOperatingCashFlow,annualNetPPE,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualInventory,annualGrossProfit,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualEbitda,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualPurchaseOfInvestment,annualInterestExpense,annualChangesInAccountReceivables,annualAccumulatedDepreciation,annualGoodwill,annualInvestmentsAndAdvances,annualDeferredIncomeTax,annualPretaxIncome,annualIncomeTaxPayable,annualRepaymentOfDebt,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualEndCashPosition,annualCapitalExpenditure,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualLongTermDebt
2010-12-31,,,,6205000,,96169000,,0.846817,252934000,83897000,,,,138408000,103963436,,80426000,45862000,,,72868000,0,,103963436,0,88038000,84434000,,,13500000,,66663000,88038000,0,,0.846817,,,,52553000,15853000,,156438000,,,110000,,169037000,0,,,,148722000,,,,-62000000,,-67598000,,,,-34957000,96279000,,,,89908000,174342000,-18030000,-66530000,,0,,,,
2011-12-31,,,478921000,16459000,41461000,172118000,0,1.262598,433189000,130565000,0,,,114432000,103963436,-94069000,135446000,-30240000,213705000,0,130506000,0,682726000,103963436,-94069000,131264000,174342000,203102000,451823000,117000000,,114047000,131264000,13446000,1360279000,1.262598,2043005000,254240000,116670000,35681000,38348000,6867000,146125000,27356000,1591182000,509000,,302624000,13446000,203805000,59548000,5971000,209475000,213705000,472950000,,-98000000,0,-66150000,-9374000,1504278000,,-3609000,173794000,7714000,0,36730000,39363000,213705000,-31693000,-12693000,,-94069000,,,,
2012-12-31,1948000,,485406000,42865000,94392000,298466000,583000,2.048,732520000,178240000,,,,251781000,103963436,0,212881000,6324000,420576000,,255814000,0,821698000,103963436,-44910000,212881000,213705000,326071000,786192000,0,0,212949000,212881000,29142000,1557975000,2.048,2379673000,422211000,152507000,24504000,90988000,6867000,279515000,39858000,1593481000,5403000,,554280000,29142000,336292000,49345000,16568000,322970000,420576000,468838000,,0,,-123759000,-23533000,1504278000,,5801000,303869000,2063000,,63391000,206871000,420576000,-27734000,-27734000,11480000,-44910000,,,,
2013-12-31,49940000,551109000,510768000,81651000,215580000,554904000,1986000,4.37,1216548000,252236000,863200000,,2358000,547415000,99898154,-245000000,456162000,76657000,1138613000,-230335000,409408000,0,1300586000,104329226,-220925000,456162000,420576000,465712000,1899265000,0,6149000,327757000,456162000,25608000,2212364000,4.57,3512950000,254216000,324094000,31798000,112294000,7149000,593893000,57897000,1613685000,13552000,,964312000,25608000,789818000,45361000,29041000,554904000,1138613000,481727000,,0,414000,-139901000,-48620000,1504278000,,3327000,568456000,20204000,-230040000,106517000,718037000,1138613000,-46478000,-45943000,2925000,169298000,,,,
2014-12-31,131880000,524534000,532435000,158395000,481327000,904235000,5932000,6.64,2132949000,381498000,603980000,1717775000,0,980917000,106735303,233002000,748680000,171721000,1054416000,-227015000,847216000,0,1613092000,112831585,0,748680000,1138613000,736695000,3640766000,437585000,19189000,688821000,748680000,56666000,3665423000,7.01,5278515000,1002896000,524534000,41137000,192781000,7484000,1023743000,74882000,1637749000,2544000,,1751451000,56666000,1080657000,39400000,24058000,941461000,2772191000,508377000,,-2155360000,0,-271025000,-73700000,1504278000,,5334000,941461000,74763000,-2358000,148582000,-84197000,1054416000,-42826000,-1759517000,33000,647396000,,,,
2015-12-31,0,833473000,522506000,273908000,899701000,1199807000,62753000,8.57,3463975000,669121000,,1955315000,174943000,1372680000,112227405,0,990649000,310491000,2152647000,,1595047000,-195091000,2679040000,115646826,,990649000,1054416000,1075456000,5742475000,3519983000,21512000,1321139000,990649000,107945000,4851036000,8.83,7530076000,1993545000,833473000,56584000,285542000,7635000,1461841000,103554000,1787601000,13166000,111667000,2794854000,107945000,2156534000,34155000,32596000,1199807000,4107962000,489910000,-111667000,-3839074000,0,-340940000,-124171000,1504278000,124102000,-6475000,1276191000,224973000,,227725000,1098231000,2152647000,-89161000,-407657000,0,30200000,,,,
2016-12-31,0,1151547000,496773000,571354000,1088025000,1153369000,125009000,10.58,5961621000,2393165000,0,2430091000,31063000,1537059000,114237600,2500000,1216223000,194801000,3293911000,0,2415087000,,3040813000,116036327,,1227914000,2152647000,1205924000,7531760000,3802986000,34846000,1843733000,1227914000,,6360404000,10.75,9392026000,3221459000,1151547000,69804000,32629000,7784000,1625896000,134574000,1860266000,7315000,95617000,3568456000,195393000,2544040000,29667000,34977000,1153369000,5724002000,461796000,4418000,-4229594000,,-132771000,-173072000,1504278000,134466000,-103800000,1248852000,256775000,0,307646000,1141264000,3293911000,-88837000,-514906000,0,27920000,,,,
2017-12-31,0,1658934000,470373000,878773000,1479939000,2043253000,69954000,16.95,6210181000,1358685000,,7242636000,0,2365496000,116379846,,1994459000,212625000,911588000,,2808243000,,4359689000,118058856,,2001619000,3293911000,1893737000,10258586000,14836658000,28317000,1929470000,2001619000,,7951637000,17.2,12294975000,4627299000,1658934000,88838000,267082000,7909000,2473018000,130322000,2036389000,-1994000,0,4851496000,177786000,3889316000,50923000,32122000,2043253000,8154224000,438251000,94134000,-19643774000,,-688923000,-250395000,1504278000,147929000,12279000,2261541000,144379000,,380717000,-2382323000,911588000,-107522000,-4913827000,0,61070000,,,,
2018-12-31,,,479989000,1135247000,1585743000,2527534000,128375000,24.08,7233151000,820288000,,9849488000,,,117671971,,2863531000,,211970000,,3885329000,-643496000,4644758000,119235379,,2871015000,,2795835000,13141317000,,739846000,2750082000,2871015000,,11135278000,24.4,15756201000,7498314000,2439948000,,377890000,7969000,,170198000,2614884000,355076000,,6412863000,,4164769000,39404000,24068000,2527534000,10061458000,455921000,,,,,-334842000,1504278000,70979000,,3241421000,119210000,,505040000,,,,,,,,,,
2019-12-31,,,584021000,1291054000,1509872000,2758093000,148415000,26.77,8420751000,960292000,,10806812000,,2685256000,118582096,,3200645000,-892566000,1988298000,,4702366000,,4549924000,119515247,0,3199966000,216970000,3231486000,16358382000,41695492000,9419000,3411312000,3199966000,56980000,14629097000,26.99,19155865000,10698280000,1678069000,118603000,500361000,8029000,2889369000,362828000,2797483000,472942000,,7460459000,204008000,3965903000,27746000,45534000,2876696000,,538487000,0,-42660267000,,-479538000,-430858000,1504278000,829528000,144963000,3701006000,45489000,,793686000,1776528000,1993498000,-204113000,-1168267000,,68676000,,,,
