date,annualPurchaseOfBusiness,annualOtherNonCashItems,annualDepreciationAndAmortization,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,annualCapitalStock,annualOtherIntangibleAssets,annualGoodwill,annualSaleOfInvestment,annualNetPPE,annualOperatingCashFlow,annualInventory,annualCurrentLiabilities,annualGrossProfit,annualOtherNonCurrentLiabilities,annualEbitda,annualRepaymentOfDebt,annualBasicEPS,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualEndCashPosition,annualOperatingIncome,annualPretaxIncome,annualOtherIncomeExpense,annualGrossPPE,annualAccountsPayable,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualDilutedAverageShares,annualOperatingExpense,annualTaxProvision,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualCapitalExpenditure,annualCurrentAssets,annualTotalRevenue,annualDilutedEPS,annualInterestExpense,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualBasicAverageShares,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualRetainedEarnings,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualNetIncome,annualCashDividendsPaid,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualStockBasedCompensation,annualChangeInAccountPayable,annualResearchAndDevelopment,annualChangesInAccountReceivables,annualCurrentDeferredRevenue
1996-12-31,,,,,,,,,,,,,,,,,,,,4500186043.490952,,0.201819,,,,,,,4500186043.490952,,,,,187003575.598365,,,926588608,,,,,,,4500186043.490952,0.201819,,,,,,926588608,,187003575.598365,,,,,,,,,,,,187003575.598365,,,,,,,,,,,,
1997-12-31,,-157844602.375961,,2814229391.334731,,-479527904.961565,100900663.172607,-461545608.665269,,511496431.865828,,,,,275728545.073375,,0,1165852218.728162,1229789272.536688,513494464.709993,,0.462194,,,,635374473.794549,-102898696.016771,205797392.732355,513494464.709993,478528888.190077,226776738.644305,,,433573147.449336,,,894846269,652357754.018169,44955740.740741,,,-72928201.956674,0,1165852218.728162,0.462194,184818046.820405,7992132.075472,,,67933119.496855,894846269,,413592817.610063,,3465588128.581412,,7372741535.988819,3465588128.581412,,308696088.749126,2235798856.044724,,,,433573147.449336,-121880009.084556,,202800343.116702,7372741535.988819,,,,,,,,
1998-12-31,,-7042251.900955,,2781689581.464873,,148893330.083837,-474848999.155131,,,475855034.769611,,,125754501.852213,,262575400.012998,,0,1045271419.379996,901408269.318256,525150799.376097,,0.27044,,,,-569416384.610385,-63380269.058296,97585493.598492,525150799.376097,285714228.244622,0,,,269617651.913953,,,903957908,520120620.003899,16096576.330669,,,-31187116.396958,0,1045271419.379996,0.27044,159959726.392409,34205224.540196,,,-72434593.488009,903957908,,244466751.80347,,3306840380.84097,,7111668589.068694,3306840380.84097,1182092317.540781,160965762.656788,2405432111.522714,,,,269617651.913953,-138832970.039644,,231388283.61604,7111668589.068694,,,,,,,,
1999-12-31,,-15982647.60103,,3080655345.121623,,-144842745.092624,-164821054.593912,-31965295.20206,,505451233.489605,,,,,275700673.189121,,0,980935003.072504,700239752.680674,593355795.985721,,0.300007,,,,-53941436.689152,-34962041.799866,68925168.29728,593355795.985721,321650785.387308,-998915.302452,,,291683320.790151,,,899847566,387579207.086783,29967464.597157,,,-78914322.702699,0,980935003.072504,-0.202041,180803702.194942,998915.302452,,,-75917576.795344,899847566,,263713686.797898,,3286431934.020562,,7468891054.524867,3286431934.020562,1338546744.87168,103887210.097146,2586192181.339888,,,,291683320.790151,-149837322.295333,,196786350.486422,7468891054.524867,,,,,,,,
2000-12-31,,-1000133.377793,31004136.045348,3276437077.025675,,-325043360.453484,194025883.294431,-171022814.271424,1889252026.00867,488065107.702568,,,263035089.029677,1346179580.526842,295039358.452818,,541072178.726242,796106200.733578,264035222.407469,422056302.767589,,0.449203,,1812241753.251084,0,236031486.495498,165022014.004668,231030819.606536,391052166.722241,360048030.676892,251033487.829276,2692359161.053685,541072178.726242,259034555.518506,-61008138.712904,,915075417,405054034.011337,101013475.158386,,231030819.606536,-134017877.95932,3701493779.259753,9019203161.720573,0.449203,184024548.849617,,1581210933.644548,2689358760.253418,27003603.201067,915075417,,411054834.944982,-1346179580.526842,2785371568.522841,,7737032120.040013,3326443747.915972,1578210533.51117,67008938.97966,2521336346.115372,8223096960.986996,0,,432057636.545515,-142018945.64855,405054034.011337,161021480.493498,4035538340.78026,,,,,,,,
2001-12-31,,,,3679698868.076232,,76993699.041445,-182985024.937499,-53995580.974635,1382886830.236561,1002917925.476451,,,,10659127699.468586,268977987.788791,,1078911706.177213,381968741.441475,0,374969314.312994,,0.191081,,380968823.100793,0,194984043.141245,162986661.892737,380968823.100793,350971277.905501,190984370.406663,79993453.435345,11192084084.599052,1078911706.177213,194984043.141245,-172985843.415118,,890702761,30997463.535974,-3999672.734582,,380968823.100793,-323973487.104109,1764855571.049888,771936827.723966,0.1886,166986334.627319,268977987.788791,,1350889448.988053,28997626.854609,879135193,,167986252.968002,-532956385.130466,7307401991.231046,48995990.527519,13774872719.506527,8386313697.408259,1536874228.319451,217982161.208055,7307401991.231046,389968086.282491,999917.712534,,194984043.141245,-137988707.772711,6999427.128482,-54995499.315318,12010017148.456638,,,,,,,,
2002-12-31,,-30990189.352796,,3824789171.128939,,486845877.241458,-862726882.888376,-322897778.709403,1352571811.142659,1180626244.513469,,,142954743.983078,9544978307.957136,322897778.709403,,1266599027.510465,1210616750.195324,-999683.670942,1154634472.880182,,0.041466,-25991771.633287,913710743.119208,0,0,-51983543.266574,333894297.819362,1035672133.188508,186940819.152518,-179943034.726325,10181776714.243065,1266599027.510465,82973732.61937,-451856953.840095,,919994319,174944617.006816,103967086.533148,,333894297.819362,-875722768.70502,3020043932.897587,3055032856.29895,0.041466,464852839.656739,318899044.660836,579816445.299846,1909395535.186844,205934806.359612,869445177,,82973732.61937,-636798406.285928,7921492261.371649,-113963921.972166,14474417775.406368,9188091288.882113,1450540796.285357,385877841.085936,7922491945.04259,1844416106.103626,0,,82973732.61937,-155950629.799722,55982277.315141,-552824989.995617,11454373843.143982,,,,,,,,
2003-12-31,,-50000000,,4885000000,,182000000,-874000000,-415000000,1623000000,1861000000,,,,11453000000,742000000,,1745000000,1435000000,0,1347000000,,0.391698,151000000,2385000000,0,0,50000000,382000000,1198000000,573000000,65000000,12266000000,1745000000,408000000,-224000000,,919994319,237000000,165000000,,382000000,-459000000,4862000000,3370000000,0.391698,471000000,533000000,2003000000,0,182000000,869445177,,408000000,-813000000,8169000000,168000000,16315000000,9914000000,1685000000,332000000,8169000000,1935000000,854000000,,408000000,-184000000,88000000,283000000,11453000000,,,,,,,,
2004-12-31,,-30000000,251000000,5629000000,,1693000000,-2581000000,-1305000000,1524000000,2148000000,,,170000000,11887000000,910000000,,2719000000,1704000000,0,1621000000,,0.72,106000000,1400000000,0,0,22000000,404000000,1370000000,606000000,345000000,12257000000,2719000000,688000000,-52000000,,975630252,334000000,239000000,,404000000,-1446000000,2924000000,4027000000,0.705185,530000000,264000000,996000000,5199000000,242000000,955555556,153000000,688000000,-370000000,10093000000,270000000,20010000000,12812000000,2149000000,382000000,10093000000,2323000000,0,,688000000,-338000000,83000000,-536000000,17086000000,,,,,,,,
2005-12-31,,42000000,374000000,5029000000,,1013000000,-1296000000,-223000000,4148000000,515000000,,,1277000000,15776000000,830000000,,6181000000,2306000000,1598000000,2019000000,,1.857778,-6000000,1546000000,0,183000000,547000000,951000000,1645000000,2148000000,1900000000,15776000000,4561000000,1662000000,-404000000,,916544118,661000000,486000000,,951000000,-2533000000,7865000000,5256000000,1.813333,881000000,,595000000,2417000000,338000000,894617225,324000000,1662000000,,12864000000,105000000,26058000000,19045000000,3321000000,404000000,11266000000,2950000000,2171000000,1620000000,1662000000,,287000000,-1703000000,18193000000,,,,,,,,
