date,annualChangesInAccountReceivables,annualInterestExpense,annualCurrentAssets,annualBeginningCashPosition,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualGrossPPE,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualDilutedAverageShares,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualTaxProvision,annualCurrentDeferredRevenue,annualCurrentDebt,annualOtherCurrentAssets,annualCapitalStock,annualTotalRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualGrossProfit,annualFreeCashFlow,annualResearchAndDevelopment,annualStockBasedCompensation,annualInventory,annualChangeInWorkingCapital,annualBasicAverageShares,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualPretaxIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualNetIncome,annualLongTermDebt,annualAccountsReceivable,annualBasicEPS,annualGoodwill,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualInvestingCashFlow,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOtherIncomeExpense,annualCurrentLiabilities,annualCommonStockIssuance,annualOperatingCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualDilutedEPS,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualChangeInAccountPayable,annualNonCurrentDeferredRevenue
1979-12-31,,32400000,754700000,0,111800000,,35200000,324400000,660100000,-159100000,,294210526,,,200500000.0,,27400000,,110100000,35200000,,1191200000,645900000,536200000,,545300000,0,,,460200000,,269397590,111900000,,365400000,,567500000,,139300000,,,111900000,240500000,,0.415,,,723400000,,0,179900000,479800000,1290900000,,,0,501000000,-8200000,310600000,,0,,256900000,,,0.38,220900000,16400000,,,,17500000,17500000,,,,
1980-12-31,,40900000,822100000,0,127200000,,46400000,367700000,752400000,-191700000,,299294118,,,200800000.0,,30400000,,76800000,54800000,,1374400000,756300000,607100000,,618100000,0,,,466900000,,276521739,127300000,,418900000,,580900000,,157700000,,,127300000,272700000,,0.46,,,848300000,,0,199200000,581800000,1429200000,,,0,560700000,-700000,277600000,,0,,303300000,,,0.425,250400000,30600000,,,,22000000,22000000,,,,
1981-12-31,,41400000,958500000,0,150600000,,49100000,395200000,815000000,-231900000,,304242424,,,211400000.0,,38500000,,140100000,51600000,,1503900000,800500000,632200000,,703400000,0,,,416500000,,278888889,150600000,,456100000,,612400000,,189100000,,,150600000,227100000,,0.54,,,978300000,,0,247300000,705700000,1590700000,,,0,583100000,-16800000,351500000,,0,,260900000,,,0.495,308200000,33800000,,,,179000000,179000000,,,,
1982-12-31,,43200000,1029600000,0,186900000,,134400000,473500000,903200000,-274500000,,306393443,,,251200000.0,,45000000,,266800000,59200000,,1671400000,825500000,763100000,,845900000,0,,,376400000,,283181818,186900000,,556300000,,731700000,,231900000,,,186900000,166500000,,0.66,,,1061000000,,0,289600000,831000000,1792700000,,,0,628700000,-14500000,518000000,,0,,213700000,,,0.61,372400000,47200000,,,,249100000,249100000,,,,
1983-12-31,,53300000,1150100000,0,218100000,,230600000,539600000,1078700000,-332400000,,300827586,,,306600000.0,,52300000,,382100000,62100000,,1842500000,899400000,976900000,,943100000,0,,,386300000,,283246753,218100000,,625700000,,975900000,,270400000,,,218100000,225600000,,0.77,,,1151100000,,0,317400000,935200000,2127000000,,,0,746300000,6300000,688700000,,0,,287200000,,,0.725,403500000,61600000,,,,289700000,289700000,,,,
1984-12-31,,74000000,1024900000,0,29000000,,196300000,529100000,1202600000,-435000000,,290000000,,,297900000.0,,-5000000,,343300000,79600000,,1800400000,928700000,975900000,,871700000,0,,,405500000,,276190476,29000000,,642900000,46900000.0,894100000,,24000000,,,29000000,205900000,,0.105,,,1106700000,,0,228800000,885100000,2000800000,,,0,767600000,-130800000,641200000,,0,,252900000,,12000000.0,0.1,342600000,100000,,,,182600000,182600000,,,,
1985-12-31,,74000000,2365000000,0,130000000,,407000000,657000000,2209000000,-527000000,,313253012,,,1052000000.0,,32000000,,168000000,121000000,,2355000000,1299000000,4474000000,,1056000000,0,,,1037000000,,305882353,137000000,,791000000,76000000.0,4757000000,,169000000,,,137000000,2580000000,,0.425,,,2082000000,,0,265000000,955000000,6839000000,,,0,1682000000,-22000000,1220000000,,0,,3537000000,,2385000000.0,0.415,399000000,881000000,,,,274000000,274000000,,,,
1986-12-31,,226000000,2344000000,0,197000000,,332000000,1534000000,2262000000,-628000000,,498734177,,,1609000000.0,,79000000,,272000000,107000000,,5543000000,3241000000,4724000000,,2302000000,0,,,1085000000,,498734177,181000000,,1819000000,249000000.0,4578000000,,260000000,,,219000000,1568000000,,0.395,,,2490000000,,0,483000000,1253000000,7068000000,,,0,1634000000,3000000,1881000000,,0,,2697000000,,2758000000.0,0.395,768000000,880000000,,,,21000000,21000000,,,,
1987-12-31,,211000000,2758000000,0,263000000,,416000000,1550000000,2567000000,-791000000,,482568807,,,1445000000.0,,123000000,,432000000,149000000,,6223000000,3667000000,4880000000,,2556000000,0,,,1279000000,,478181818,323000000,,1864000000,325000000.0,4805000000,,446000000,,,323000000,1723000000,,0.55,,,2833000000,,0,692000000,1451000000,7638000000,,,0,1776000000,-35000000,1877000000,,0,,2928000000,,2688000000.0,0.545,1006000000,880000000,,,,51000000,51000000,,,,
1988-12-31,,242000000,3323000000,0,325000000,,345000000,1749000000,2935000000,-911000000,,500000000,,,1356000000.0,,130000000,,530000000,173000000,,6861000000,4032000000,5227000000,,2829000000,0,,,1512000000,,496183206,388000000,,2084000000,377000000.0,5454000000,,518000000,,,388000000,2311000000,,0.655,,,3096000000,,0,745000000,1654000000,8550000000,,,0,2024000000,15000000,1886000000,,0,,3568000000,,2858000000.0,0.65,1080000000,880000000,,,,201000000,201000000,,,,
