date,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualRepaymentOfDebt,annualInterestExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualDilutedAverageShares,annualSellingGeneralAndAdministration,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualCurrentDebt,annualNetIncomeContinuousOperations,annualCapitalStock,annualTotalRevenue,annualCostOfRevenue,annualPurchaseOfBusiness,annualDeferredIncomeTax,annualOperatingExpense,annualGrossProfit,annualResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualRetainedEarnings,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualNetIncome,annualBasicEPS,annualAccountsReceivable,annualInvestingCashFlow,annualOperatingIncome,annualFreeCashFlow,annualAccountsPayable,annualIncomeTaxPayable,annualStockholdersEquity,annualEndCashPosition,annualOtherCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualDilutedEPS,annualDepreciationAndAmortization,annualTaxProvision,annualInvestmentsAndAdvances,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualEbitda,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue
1979-09-30,61900000.0,111900000,,377500000,,12000000.0,-728900000.0,0.0,6700000.0,-438200000,,325789474.0,255500000.0,,,206900000,,,62600000,61900000.0,,809800000.0,419100000.0,,,281900000.0,390700000.0,,18000000,-150500000,-454500000,325789474.0,,,,342000000,,0,103400000.0,,,61900000.0,0.19,,0.0,108800000.0,0.0,,,454500000,0.0,12500000.0,,81900000,,174500000,48900000,0.19,,41500000.0,,227000000,,,-709400000,,0.0,48900000,,-629000000,,44200000,135200000.0,438200000,,,
1980-09-30,64700000.0,130100000,,468200000,,15700000.0,-100000.0,0.0,13900000.0,361100000,,323500000.0,306600000.0,,,222300000,,,86300000,64700000.0,,942000000.0,498300000.0,,,339200000.0,443700000.0,,24100000,-173600000,338500000,323500000.0,,,,388300000,,841400000,102700000.0,,,64700000.0,0.2,,0.0,104500000.0,0.0,,,502900000,0.0,15800000.0,,98100000,,216400000,56000000,0.2,,38000000.0,,294600000,,,25000000,,0.0,56000000,,122100000,,41500000,137100000.0,480300000,,,
1981-09-30,75900000.0,167200000,,606500000,,26100000.0,100000.0,0.0,21300000.0,477500000,,330000000.0,353600000.0,,,226800000,,,55000000,75900000.0,,1066100000.0,557900000.0,,,392400000.0,508200000.0,,31600000,-201800000,438400000,330000000.0,,,,440300000,,1004300000,111100000.0,,,75900000.0,0.23,,0.0,115800000.0,0.0,,,565900000,0.0,17600000.0,,184500000,,222200000,86800000,0.23,,35200000.0,,404700000,,,33500000,,0.0,86800000,,216200000,,39300000,154600000.0,526800000,,,
1982-09-30,76700000.0,150900000,,666800000,,32300000.0,-100000.0,0.0,38300000.0,532400000,,333478261.0,378100000.0,,,222500000,,,78700000,76700000.0,,1113900000.0,586200000.0,,,427500000.0,527700000.0,,34700000,-220900000,505200000,333478261.0,,,,494400000,,1089600000,106200000.0,,,76700000.0,0.23,,0.0,100200000.0,0.0,,,584400000,0.0,24400000.0,,241000000,,229600000,100100000,0.23,,29500000.0,,445900000,,,51100000,,0.0,100100000,,275600000,,35400000,149600000.0,557200000,,,
1983-09-30,35900000.0,165300000,,675700000,,32500000.0,100000.0,0.0,-15200000.0,553300000,,326363636.0,387800000.0,,,182600000,,,24900000,35900000.0,,1119500000.0,594300000.0,,,444000000.0,525200000.0,,44600000,-239000000,508900000,326363636.0,,,,506600000,,1106600000,33600000.0,,,35900000.0,0.11,,0.0,81200000.0,0.0,,,597700000,0.0,52000000.0,,274000000,,190200000,124500000,0.11,,-2300000.0,,436700000,,,85600000,,0.0,124500000,,318700000,,31000000,137400000.0,553300000,,,
1984-09-30,63400000.0,223000000,,706300000,,22800000.0,100000.0,0.0,9700000.0,563700000,,333684211.0,392100000.0,,,166000000,,,22700000,63400000.0,,1126800000.0,569600000.0,,,451200000.0,557200000.0,,50100000,-275100000,522400000,333684211.0,,,,546200000,,1129200000,92900000.0,,,63400000.0,0.19,,0.0,106000000.0,0.0,,,606800000,0.0,52400000.0,,226500000,,245700000,148100000,0.19,,29500000.0,,431200000,,,104400000,,0.0,148100000,,276700000,,28100000,165100000.0,565500000,,,
1985-09-30,88000000.0,221600000,,797400000,,19300000.0,0.0,0.0,12600000.0,664400000,,325925926.0,380500000.0,,,182700000,,,61200000,88000000.0,,1143800000.0,566200000.0,,,439900000.0,577600000.0,,56300000,-318400000,559800000,325925926.0,,,,610000000,,1240900000,131000000.0,,,88000000.0,0.27,,0.0,137700000.0,0.0,,,681100000,0.0,67200000.0,,220700000,,282800000,118400000,0.27,,43000000.0,,479000000,,,161400000,,0.0,118400000,,277000000,,24000000,197100000.0,576500000,,,
1986-09-30,111900000.0,290700000,,999200000,,33400000.0,0.0,0.0,23100000.0,908100000,,339090909.0,436400000.0,,,268300000,,,154700000,111900000.0,,1311600000.0,626800000.0,,,501600000.0,684800000.0,,49900000,-367900000,887000000,339090909.0,,,,704800000,,1690900000,172700000.0,,,111900000.0,0.33,,0.0,183200000.0,0.0,,,803900000,0.0,89500000.0,,391700000,,445400000,172800000,0.33,,60800000.0,,631300000,,,128600000,,0.0,172800000,,441600000,,148200000,248400000.0,782800000,,,
1987-09-30,141800000.0,310400000,,1122800000,,70900000.0,0.0,0.0,53400000.0,1049200000,,329767442.0,500200000.0,,,305100000,,,182600000,141800000.0,,1582000000.0,762700000.0,,,592900000.0,819300000.0,,57600000,-367900000,1030200000,329767442.0,,,,823300000,,1891500000,208800000.0,,,141800000.0,0.43,,0.0,226400000.0,0.0,,,861300000,0.0,52400000.0,,479600000,,493000000,189000000,0.43,,67000000.0,,754900000,,,41300000,,0.0,189000000,,537200000,,253000000,319100000.0,842300000,,,
1988-09-30,162000000.0,336600000,,1293300000,,62200000.0,-100000.0,0.0,29400000.0,1184500000,,317647059.0,556000000.0,,,356400000,,,189200000,148900000.0,,1709400000.0,805100000.0,,,665200000.0,904300000.0,,82000000,-367900000,1107700000,317647059.0,,,,951300000,,2067500000,206300000.0,,,162000000.0,0.51,,0.0,239100000.0,0.0,,,959800000,0.0,63700000.0,,500000000,,525800000,123500000,0.51,,57400000.0,,925400000,,,3300000,,0.0,123500000,,581900000,,255800000,348300000.0,883000000,,,
