date,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualGoodwill,annualSaleOfInvestment,annualStockholdersEquity,annualOtherNonCashItems,annualRetainedEarnings,annualDilutedAverageShares,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualOperatingIncome,annualEndCashPosition,annualCommonStockIssuance,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualOtherShortTermInvestments,annualBasicAverageShares,annualOperatingCashFlow,annualAccountsPayable,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCurrentAssets,annualBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualGrossPPE,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualTaxProvision,annualOtherCurrentLiabilities,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualDilutedEPS,annualCurrentDebt,annualFreeCashFlow,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualInventory,annualGrossProfit,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualBasicEPS,annualOperatingExpense,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualStockBasedCompensation,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1979-12-31,,,107500000,39700000,23700000,,,,158700000,,135400000,322816000,374200000,,,0,49300000,0,,3000000,100000,173700000,,322816000,0,,88200000,127300000,,65100000,5300000,,,,9300000,,9300000,178900000,0,9700000,,59800000,18600000,274700000,23700000,,-101000000,,16000000,72900000,,,,,430100000,555000000,2600000,0.004648,15300000,0,195300000,,106500000,124900000,,,23700000,0.004648,75600000,,14500000,215500000,,,,,
1980-12-31,,,142100000,39400000,24400000,,,,179200000,,152100000,332544000,431500000,,,0,54100000,0,,4100000,100000,209500000,,332544000,0,,87200000,165100000,,76100000,5800000,,,,6600000,,6600000,208800000,0,14800000,,65000000,9100000,327300000,24400000,,-117800000,,15000000,83900000,,,,,557700000,698800000,3200000,0.004688,3300000,0,222700000,,125800000,141100000,,,24400000,0.004688,87000000,,17200000,252300000,,,,,
1981-12-31,,,140600000,48200000,29200000,,,,203600000,,172300000,345056000,481700000,,,0,62100000,0,,,0,241200000,,345056000,0,,104200000,173900000,,85900000,8500000,,,,6400000,,6400000,219700000,0,13900000,,72700000,20800000,372200000,29200000,,-131000000,,19000000,99600000,,,,,656600000,815200000,3800000,0.005391,4600000,0,262000000,,139600000,158600000,,,29200000,0.005391,96500000,,24800000,278100000,,,,,
1982-12-31,,,129400000,58900000,34500000,,,,232600000,,196200000,355104000,514200000,,,0,73000000,0,,,0,265100000,,355104000,0,,105900000,175700000,,100200000,9100000,,,,7800000,,7800000,219200000,0,14100000,,74400000,29900000,411900000,34500000,,-146800000,,24400000,98200000,,,,,714500000,889100000,3400000,0.012344,7700000,0,295000000,,135600000,174600000,,,34500000,0.012344,101600000,,37200000,281600000,,,,,
1983-12-31,,,108600000,71900000,39000000,,,,262100000,,222600000,361536000,558800000,,,0,83700000,0,,,0,270000000,,361536000,0,,133500000,163200000,,114600000,9900000,,,,23500000,,23500000,254300000,0,11800000,,74500000,34500000,443400000,39000000,,-173400000,,32900000,124700000,,,,,720400000,909500000,3500000,0.013594,8800000,0,304500000,,143100000,189100000,,,39000000,0.013594,105400000,,44700000,296700000,,,,,
1984-12-31,,,114800000,81700000,46300000,,,,295400000,,254900000,364448000,622400000,,,0,91000000,0,,,0,304900000,,364448000,0,,147300000,179700000,,124100000,15100000,,,,14400000,,14400000,274400000,0,9300000,,83100000,43100000,501600000,46300000,,-196700000,,35400000,136900000,,,,,843500000,1050700000,5100000,0.015938,10400000,0,348000000,,163400000,207200000,,,46300000,0.015938,116200000,,49800000,327000000,,,,,
1985-12-31,,,89900000,92600000,51200000,,,,330800000,,291500000,368128000,641700000,,,0,101500000,0,,,0,337300000,,368128000,0,,135500000,175400000,,140700000,13600000,,,,15000000,,15000000,264900000,0,8900000,,83200000,39500000,569000000,51200000,,-231700000,,41400000,127500000,,,,,882300000,1106200000,3900000,0.035,8000000,0,376800000,,147200000,223900000,,,51200000,0.035,122400000,,71900000,310900000,,,,,
1986-12-31,,,101600000,110300000,58900000,,,,365300000,,332300000,368832000,732700000,,,0,116600000,0,,,0,366000000,,368832000,0,,165300000,202100000,,160800000,15300000,,,,10200000,,10200000,331200000,0,6300000,,81200000,35500000,627300000,58900000,,-261300000,,51400000,142900000,,,,,828300000,1070300000,26500000,0.04,22400000,0,401500000,,185500000,242000000,,,58900000,0.04,125400000,,85200000,367400000,,,,,
1987-12-31,,,100700000,113500000,66300000,,,,397400000,,380900000,373248000,794900000,,,0,118900000,0,,,0,401900000,,373248000,0,,203400000,194100000,,160200000,17000000,,,,16600000,,16600000,315700000,0,5400000,,76500000,77300000,629600000,66300000,,-227700000,,47200000,156500000,,,,,817400000,1054100000,21500000,0.04375,46900000,0,479200000,,163000000,236700000,,,66300000,0.04375,117800000,,76400000,397500000,,,,,
1988-12-31,,,196300000,48100000,32700000,,,,421400000,,401600000,376256000,876500000,,,0,50400000,0,,,8400000,433000000,,376256000,0,,183000000,272100000,,94300000,19700000,,,,15700000,,15700000,331700000,0,10700000,,111300000,111800000,683800000,32700000,,-250800000,,15400000,145900000,,,,,867400000,1073000000,26600000,0.021875,37100000,0,544800000,,155500000,205600000,,,32700000,0.021875,155200000,,56100000,455100000,,,,,
1989-12-31,,,262800000,48600000,35800000,-27700000,,,384300000,4600000,410000000,352352000,938000000,4200000,50100000,-58100000,59700000,0,82600000,,9200000,434700000,,352352000,48600000,105700000,219300000,334400000,,109800000,20400000,-59400000,,,10400000,-2400000,10400000,374000000,15700000,20300000,,84200000,129300000,715400000,33100000,,-280700000,,12800000,58400000,,-55700000,-5300000,1300000,1028400000,1222400000,22100000,0.0225,55200000,-7100000,564000000,-5900000,165300000,194000000,-32700000,,35800000,0.0225,134300000,-9800000,51200000,553700000,,,,,
