date,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,annualCurrentDebt,annualNetIncome,annualCashDividendsPaid,annualLongTermDebt,annualCostOfRevenue,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualAccountsPayable,annualFreeCashFlow,annualPretaxIncome,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualOtherNonCurrentAssets,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualTaxProvision,annualAccountsReceivable,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOperatingCashFlow,annualCurrentLiabilities,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualOtherIntangibleAssets,annualSaleOfInvestment,annualOtherNonCurrentLiabilities,annualEbitda,annualRepaymentOfDebt,annualDilutedEPS,annualNetPPE,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualBeginningCashPosition,annualGrossPPE,annualTotalNonCurrentAssets,annualAccumulatedDepreciation,annualPurchaseOfBusiness,annualOperatingExpense,annualNetIncomeContinuousOperations,annualInvestingCashFlow,annualCapitalExpenditure,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualChangesInAccountReceivables,annualInventory,annualInterestExpense,annualPurchaseOfInvestment,annualCapitalStock,annualTotalRevenue,annualDeferredIncomeTax,annualResearchAndDevelopment,annualGrossProfit,annualGoodwill,annualDilutedAverageShares,annualNetOtherFinancingCharges,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualStockBasedCompensation,annualOtherShortTermInvestments
1979-12-31,,,,750900000,2888200000,0,-3065300000,0,463200000,491600000,,951900000,5888500000,,96800000.0,,0,725500000,,,3065300000,662000000,,-5244700000,,,147200000.0,233900000,,2606900000,491600000,0,1386100000,,-4451400000,,,,-5379800000,1062700000,,0.69,2637800000,113700000,922900000,,687552448.0,147200000,0.715,0,4275800000.0,-2606900000,-1638000000.0,,973800000,491600000,0,,-23500000.0,,,,1670200000,139100000,,,7613200000,,,1724700000,,712463768.0,,,,,
1980-12-31,,,,831000000,3252000000,6098200000,2666200000,0,446600000,564800000,,931600000,6627100000,,166900000.0,,0,796700000,,,3432000000,769500000,,156800000,,,104000000.0,231900000,,2932900000,564800000,0,1711500000,,954700000,,,,0,1201200000,,0.79,3008500000,138900000,1264900000,,688780488.0,104000000,0.82,0,4831400000.0,3165300000,-1822900000.0,,1139700000,564800000,0,,23100000.0,,,,1749600000,173200000,,,8597800000,,,1970700000,,714936709.0,,,,,
1981-12-31,,,,903100000,3621600000,7284900000,3428100000,0,847600000,578900000,,960900000,6933300000,,255300000.0,,0,802800000,,,3856800000,869700000,,197900000,,,81000000.0,223900000,,3544400000,578900000,0,2369500000,,1058600000,,146400000.0,,0,1351500000,,0.805,3396200000,124500000,1521900000,,697469880.0,81000000,0.83,0,5550800000.0,3740500000,-2154600000.0,,1318100000,578900000,0,,97700000.0,,,,2213800000,224800000,,,9154500000,,,2221200000,,719130435.0,,,,,
1982-12-31,,,,-253000000,3231000000,7201000000,3705000000,0,223000000,-180000000,,2389000000,5334000000,,591000000.0,,0,-483000000,,,3496000000,883000000,,212000000,,,81000000.0,-303000000,,3433000000,-180000000,0,1197000000,,2508000000,,117000000.0,,0,252000000,,-0.255,3439000000,104000000,974000000,,705882353.0,81000000,-0.255,0,5965000000.0,3768000000,-2526000000.0,,1388000000,-180000000,0,,119000000.0,,,,1801000000,334000000,,,6469000000,,,1135000000,,705882353.0,,,,,
1983-12-31,,,,-310000000,2748000000,6968000000,3631000000,0,353000000,-287800000,,1894000000,4422000000,,615000000.0,,0,-496000000,,,3337000000,806000000,,228000000,,,71000000.0,-208200000,,3383000000,-287800000,0,1576000000,,2055000000,,99000000.0,,0,196000000,,-0.39,3258000000,120000000,1223000000,,737948718.0,71000000,-0.39,0,6173000000.0,3585000000,-2915000000.0,,1312000000,-287800000,0,,161000000.0,,,,1193000000,306000000,,,5424000000,,,1002000000,,737948718.0,,,,,
1984-12-31,,,,-113000000,2200000000,6223000000,3371000000,0,477000000,-428000000,,1384000000,5104000000,,439000000.0,,0,-542000000,,,2852000000,1093000000,,267000000,,,62000000.0,-114000000,,2915000000,-428000000,0,1939000000,,1432000000,,96000000.0,,0,379000000,,-0.56,2945000000,-164000000,1462000000,,764285714.0,62000000,-0.56,0,6233000000.0,3308000000,-3288000000.0,,1585000000,-428000000,0,,48000000.0,,,,1246000000,265000000,,,6576000000,,,1472000000,,764285714.0,,,,,
1985-12-31,,,,302000000,2349000000,6016000000,2948000000,0,227000000,198000000,,1177000000,4880000000,,317000000.0,,0,225000000,,,3068000000,1067000000,,305000000,,,282000000.0,27000000,,2982000000,198000000,0,1742000000,,1206000000,,77000000.0,,0,778000000,,0.255,2652000000,157000000,1515000000,,776470588.0,282000000,0.255,0,6233000000.0,3034000000,-3581000000.0,,1543000000,198000000,0,,29000000.0,,,,1139000000,234000000,,,6725000000,,,1845000000,,776470588.0,,,,,
1986-12-31,,,,249000000,2363000000,6288000000,3139000000,0,619000000,76000000,,963000000,5516000000,,300000000.0,,0,99000000,,,3149000000,1120000000,,432000000,,,124000000.0,23000000,,3363000000,76000000,0,2180000000,,959000000,,60000000.0,,0,685000000,,0.1,2433000000,47000000,1561000000,,760000000.0,124000000,0.1,0,6285000000.0,2925000000,-3852000000.0,,1556000000,76000000,0,,-4000000.0,,,,1211000000,197000000,,,7321000000,,,1805000000,,760000000.0,,,,,
1987-12-31,,,,482000000,2656000000,6866000000,3301000000,0,584000000,319000000,,900000000,6120000000,,354000000.0,,0,435000000,,,3565000000,1175000000,,542000000,,,103000000.0,116000000,,3813000000,319000000,0,2392000000,,909000000,,47000000.0,,0,885000000,,0.4,2464000000,162000000,1808000000,,797500000.0,103000000,0.4,0,6249000000.0,3053000000,-3785000000.0,,1578000000,319000000,0,,9000000.0,,,,1323000000,209000000,,,8180000000,,,2060000000,,797500000.0,,,,,
1988-12-31,,,,1000000000,3184000000,9686000000,5573000000,0,1307000000,616000000,,1953000000,7577000000,,588000000.0,,0,878000000,,,4113000000,1424000000,,1389000000,,,74000000.0,262000000,,5317000000,616000000,0,3435000000,,2138000000,,71000000.0,,0,1434000000,,0.76,2909000000,218000000,2128000000,,810526316.0,74000000,0.76,0,6492000000.0,4369000000,-3583000000.0,,1858000000,616000000,0,,185000000.0,,,,1986000000,340000000,,,10435000000,,,2858000000,,810526316.0,,,,,
