date,annualInvestingCashFlow,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,annualDepreciationAndAmortization,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,annualStockBasedCompensation,annualInventory,annualCurrentLiabilities,annualAccountsReceivable,annualCapitalStock,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingIncome,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIncomeExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualRepaymentOfDebt,annualOperatingCashFlow,annualEbitda,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,annualOtherNonCurrentLiabilities,annualIncomeTaxPayable,annualPretaxIncome,annualInvestmentsAndAdvances,annualOperatingExpense,annualDilutedEPS,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualRepurchaseOfCapitalStock,annualCapitalExpenditure,annualOtherNonCurrentAssets,annualBasicAverageShares,annualCurrentAssets,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualBasicEPS,annualTotalRevenue,annualInterestExpense,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualChangeInInventory,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualCashDividendsPaid,annualCostOfRevenue,annualBeginningCashPosition,annualCurrentDebt,annualNetIncome,annualDilutedAverageShares,annualFreeCashFlow,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment,annualPurchaseOfInvestment,annualOtherShortTermInvestments,annualCurrentDeferredRevenue
1979-12-31,0,,481000000,12200000,,828100000,47100000,406000000,,191300000,280500000,,,,,,11700000,15200000,139400000,,,66600000,-800000,,345100000,,0,179500000,0,,,548400000,15200000,7300000,,122200000,,84000000,0.52,-203300000,43900000,,,,8000000,135384615,463300000,,,,,70400000,231500000,0.52,1402400000,16400000,223400000,364800000,,9400000,347100000,51800000,,70400000,,,1179000000,0,49000000,70400000,135384615,0,,,,,
1980-12-31,0,,539000000,9600000,,873100000,51800000,466100000,,215000000,264500000,,,,,,11700000,15200000,144000000,,,69600000,-900000,,354800000,,0,184100000,0,,,588800000,15200000,8200000,,128000000,,85500000,0.55,-234000000,45400000,,,,10300000,133090909,496300000,,,,,73200000,233300000,0.55,1459800000,15100000,229500000,376800000,,7300000,334100000,54800000,,73200000,,,1230300000,0,31200000,73200000,133090909,0,,,,,
1981-12-31,0,,566700000,20300000,,882600000,55500000,529500000,,196200000,233000000,,,,,,11200000,21500000,120400000,,,82900000,-300000,,368400000,,0,158400000,0,,,622000000,21500000,7100000,,107800000,,83300000,0.49,-253600000,45300000,,,,12400000,132244898,490600000,,,,,64800000,210300000,0.49,1373900000,12300000,203700000,392000000,,10100000,315900000,43000000,,64800000,,,1170200000,0,22700000,64800000,132244898,0,,,,,
1982-12-31,0,,559800000,24100000,,840600000,57700000,563800000,,174600000,191900000,,,,,,10800000,15800000,92200000,,,88900000,0,,357800000,,0,132100000,0,,,621100000,15800000,7100000,,83200000,,84100000,0.35,-263300000,44200000,,,,14700000,127714286,457300000,,,,,44700000,170300000,0.35,1351900000,9000000,176300000,383300000,,9800000,280800000,38500000,,44700000,,,1175600000,0,21600000,44700000,127714286,0,,,,,
1983-12-31,0,,544300000,15600000,,821700000,57800000,591500000,,155900000,198800000,,,,,,9600000,21000000,100700000,,,78600000,0,,353700000,,0,139100000,0,,,631900000,21000000,5200000,,91700000,,81300000,0.43,-278200000,42900000,,,,26700000,119767442,431700000,,,,,51500000,174400000,0.43,1298000000,9000000,182000000,390000000,,14200000,277400000,40200000,,51500000,,,1116000000,0,24400000,51500000,119767442,0,,,,,
1984-12-31,0,,497800000,18500000,,806400000,60700000,591900000,,157900000,225800000,,,,,,10300000,7000000,114800000,,,82800000,0,,348000000,,0,155000000,0,,,641700000,7000000,3600000,,105900000,,82300000,0.53,-293700000,42100000,,,,28900000,112264151,419200000,,,,,59500000,183800000,0.53,1369600000,8900000,197100000,387200000,,16700000,308600000,46400000,,59500000,,,1172500000,0,42000000,59500000,112264151,0,,,,,
1985-12-31,0,,531500000,33500000,,865800000,71300000,617300000,,158200000,224800000,,,,,,11800000,14800000,140100000,,,109500000,0,,346900000,,0,183800000,0,,,687000000,14800000,4700000,,127900000,,86700000,0.72,-340100000,43000000,,,,41500000,99583333,465600000,,,,,71700000,208500000,0.72,1487100000,12200000,226800000,400200000,,13600000,334300000,56200000,,71700000,,,1260300000,0,16300000,71700000,99583333,0,,,,,
1986-12-31,0,,576600000,30700000,,938800000,79200000,637900000,,175700000,248600000,,,,,,14100000,16500000,154800000,,,113600000,0,,404000000,,0,202000000,0,,,789600000,16500000,3700000,,148600000,,93900000,0.83,-385600000,46700000,,,,43700000,95662651,477000000,,,,,79400000,231400000,0.83,1618900000,6200000,248700000,461800000,,14400000,362200000,69200000,,79400000,,,1370200000,0,17200000,79400000,95662651,0,,,,,
1987-12-31,0,,645600000,19700000,,1058300000,89400000,666300000,,209000000,298700000,,,,,,16700000,27200000,166300000,,,114000000,-100000,,465400000,,0,222700000,0,,,909000000,27200000,4900000,,161000000,,106000000,0.95,-443600000,49600000,,,,37900000,92947368,538300000,,,,,88300000,289800000,0.95,1717900000,5200000,272300000,520000000,,19000000,412700000,72700000,,88300000,,,1445600000,0,8900000,88300000,92947368,0,,,,,
1988-12-31,0,,648000000,9400000,,1073200000,93700000,605200000,,226200000,321200000,,,,,,16500000,18000000,156500000,,,104000000,14800000,,495900000,,0,213700000,0,,,952300000,18000000,900000,,161200000,,108100000,1.12,-456400000,50900000,,,,57000000,83392857,503800000,,,,,93400000,317200000,1.12,1834100000,10000000,264600000,569400000,,11500000,425200000,67800000,,93400000,,,1569500000,0,4000000,93400000,83392857,0,,,,,
1989-12-31,-419800000,,810600000,118100000,61800000,1655100000,131000000,760300000,,301900000,594500000,,,,136200000,,186800000,14400000,143700000,,405500000,249100000,16400000,,763700000,,117200000,205500000,0,316200000,-332100000,1287900000,14400000,0,,148100000,,115000000,1.19,-524200000,53200000,9400000,-66700000,-88600000,49100000,79159664,655500000,,0,,-3600000,94200000,31400000,1.19,1909800000,12000000,258700000,999600000,-61800000,26100000,843600000,53900000,7700000,94200000,,,1651100000,18000000,157600000,94200000,79159664,28600000,,,,,
1990-12-31,-457000000,-100000,950800000,484300000,102000000,2596500000,125300000,867900000,,466300000,736300000,,,,6200000,,362500000,21800000,230000000,,595300000,908200000,8300000,,1184600000,,118500000,332000000,0,361900000,-334700000,1803500000,21800000,298600000,,178400000,,188200000,1.24,-618900000,86200000,-3000000,-5100000,-128000000,66600000,86370968,982800000,,0,,7400000,107100000,12600000,1.24,3072100000,59900000,418200000,1613700000,60100000,16300000,1644500000,71300000,28500000,107100000,,,2653900000,14400000,128400000,107100000,86370968,-9500000,,,,,
1991-12-31,-294300000,21900000,1084400000,585000000,128400000,2982500000,179400000,880100000,,489000000,761400000,,,,75600000,,501600000,20200000,275400000,,535900000,1122500000,10000000,,1229300000,,175600000,403800000,0,127600000,-203100000,1897800000,20200000,358100000,,211900000,,233800000,1.48,-668500000,105400000,-12500000,-69100000,-92200000,102700000,86554054,1148900000,,0,,-1600000,128100000,41100000,1.48,3807400000,76600000,509200000,1833600000,-91200000,22100000,1883900000,83800000,26800000,128100000,,,3298200000,21800000,184400000,128100000,86554054,83400000,,,,,
1992-12-31,-650500000,-12400000,1143600000,939900000,142400000,3825100000,196400000,744200000,,659900000,1135400000,,,,17100000,,994100000,26900000,328800000,,738400000,1500500000,5000000,,1373300000,,213000000,471200000,0,454100000,-531600000,2115900000,26900000,364200000,,256400000,,254500000,1.79,-742600000,112100000,39400000,-61400000,-150600000,155800000,86815642,1301900000,,0,,6700000,155400000,17600000,1.79,3780700000,77400000,583300000,2523200000,-110800000,31300000,2635900000,101000000,-108400000,155400000,,,3197400000,20200000,379400000,155400000,86815642,62400000,,,,,
1993-12-31,-236600000,,1251800000,891500000,191700000,4216900000,19600000,843100000,,699700000,1280700000,,,,30000000,,1119100000,54200000,370300000,,795300000,1630700000,-700000,,1593500000,,352500000,562000000,0,-86700000,22800000,2482600000,54200000,719600000,,278300000,,318300000,1.11,-889100000,126600000,45500000,-86500000,-271300000,179800000,86929825,1324500000,,0,,27300000,99100000,10600000,1.14,4162600000,89800000,688600000,2892400000,-65800000,37700000,2911400000,97400000,5200000,180900000,,,3474000000,26900000,474800000,99100000,89279279,81200000,,,,,
1994-12-31,-499300000,-18700000,1365200000,1089500000,218300000,4781300000,,974100000,,767500000,1483000000,,,,16300000,,1122400000,43500000,284400000,,737100000,1857700000,-2900000,,1816500000,,6800000,502700000,0,476500000,-67200000,2865600000,43500000,768200000,,186600000,,353700000,1.46,-1049100000,135400000,-23300000,-12700000,-439800000,236800000,89115646,1605600000,,0,,-10700000,131000000,10100000,1.47,4452200000,98800000,638100000,3175700000,-376800000,56600000,3340700000,55600000,-37800000,131000000,,9000000,3814100000,54200000,735800000,131000000,89726027,-433000000,,,,,
1995-12-31,-438000000,6800000,1461200000,1490100000,256300000,5051700000,,1049000000,,811900000,1279000000,,,,21200000,,1095700000,68100000,244500000,,668200000,2192900000,13600000,,2005900000,,164600000,500800000,0,298600000,-31300000,3245700000,68100000,702800000,,99800000,,498300000,0.83,-1239800000,242000000,-3200000,-300000,-433500000,241200000,90240964,1708900000,,0,,24600000,74900000,2700000,0.83,5053800000,148600000,742800000,3342800000,-252300000,84600000,3471900000,24900000,-55100000,74900000,,21500000,4311000000,43500000,608100000,74900000,90240964,-268900000,,,,,
1996-12-31,-2034700000,-21200000,3563300000,3923500000,495900000,12590200000,304000000,1185000000,,1423800000,3662500000,,520800000,,11000000,,4809900000,160400000,676500000,,2460900000,5120600000,60300000,,3717300000,,911200000,1172400000,0,1217800000,-1436100000,5255200000,160400000,893100000,,418400000,,922900000,2.14,-1537900000,427000000,91700000,,-631200000,771100000,122314815,3291900000,,3700000,,92300000,264200000,47300000,2.16,8331900000,305800000,1599400000,9298300000,73700000,358400000,8783100000,134400000,20300000,284000000,,-145400000,6732500000,68100000,1154300000,284000000,123457944,280000000,,,,,
1997-12-31,-397900000,-143900000,3529200000,3301400000,540000000,12305700000,304400000,1327200000,,1387500000,4049300000,,520800000,,10500000,,4625200000,205600000,766700000,,2236700000,4444400000,30200000,,3663900000,,402100000,1306700000,0,67200000,73600000,5584900000,205600000,838600000,,449300000,,1020200000,2.1,-1921000000,480200000,92900000,-17200000,-514800000,869400000,128246445,3147200000,,11000000,,45200000,270600000,27900000,2.11,8494600000,339900000,1786900000,9158500000,-404300000,200600000,8493700000,147700000,-69800000,301600000,,-151800000,6707700000,160400000,1784700000,294000000,128857143,-112700000,,,,,
1998-12-31,-452000000,,2975000000,3188000000,533000000,12469000000,,1250000000,,1421000000,4710000000,,351000000,,6000000,,4565000000,284000000,543000000,,2181000000,4504000000,45000000,,3743000000,,672000000,1076000000,0,-152000000,-16000000,5896000000,284000000,1316000000,,179000000,,1230000000,0.71,-2153000000,697000000,113000000,-467000000,-518000000,993000000,123943662,3168000000,,-5000000,,78000000,88000000,63000000,0.71,8300000000,408000000,1773000000,9301000000,-284000000,104000000,9214000000,74000000,-24000000,105000000,,-143000000,6527000000,206000000,2466000000,105000000,123943662,154000000,,,,,
1999-12-31,-197000000,,2891000000,3573000000,522000000,11545000000,381000000,1295000000,,1312000000,3414000000,,1128000000,,,,4228000000,267000000,802000000,,1127000000,4945000000,-151000000,-676000000,3255000000,,827000000,1324000000,267000000,-617000000,-3000000,5409000000,267000000,991000000,,286000000,,870000000,1.36,-2154000000,348000000,86000000,-30000000,-329000000,1221000000,122058824,2841000000,,-10000000,,-17000000,166000000,756000000,1.36,7732000000,367000000,1672000000,8704000000,-53000000,96000000,8359000000,105000000,28000000,181000000,,-138000000,6060000000,284000000,1531000000,181000000,122058824,498000000,,,,,
