date,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualInvestmentsAndAdvances,annualCurrentDebt,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualOtherShortTermInvestments,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCurrentAssets,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualRetainedEarnings,annualNetIncomeCommonStockholders,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,annualBeginningCashPosition,annualAccountsReceivable,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualTaxProvision,annualTotalAssets,annualStockholdersEquity,annualBasicEPS,annualDepreciationAndAmortization,annualOtherNonCashItems,annualChangeInInventory,annualDilutedAverageShares,annualCurrentLiabilities,annualInventory,annualIncomeTaxPayable,annualSaleOfInvestment,annualStockBasedCompensation,annualCapitalStock,annualPurchaseOfBusiness,annualNetPPE,annualOperatingCashFlow,annualDilutedEPS,annualGrossProfit,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualEbitda,annualNetOtherInvestingChanges,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualBasicAverageShares,annualOtherCurrentLiabilities,annualPretaxIncome,annualGoodwill,annualRepaymentOfDebt,annualInterestExpense,annualOtherNonCurrentLiabilities,annualAccountsPayable,annualTotalRevenue,annualCapitalExpenditure,annualPurchaseOfInvestment,annualInvestingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualEndCashPosition,annualOtherIncomeExpense,annualOperatingIncome,annualResearchAndDevelopment,annualLongTermDebt,annualCashDividendsPaid
2001-12-31,,-24000000,,,,,29417000,,,7793000,,,,,,,22706000,,10819000,,,,-24000000,-24000000,,,,,,135584000,20687000,0,146403000,123697000,-1.49,,,,16063000,14913000,,,,,,,,,-1.49,,,,,110911000,,,,16063000,,-24000000,,,13000,,,131598000,,,,,,,722000,102181000,,,
2002-12-31,,-17289000,,,,,37063000,,,12112000,,,,,,,32918000,,20221000,,,,-17289000,-17289000,,,,,,173951000,25803000,0,194172000,161254000,-0.87,,,,19931000,20806000,,,,,,,,,-0.87,,,,,178842000,,,,19931000,,-17289000,,,101000,,,204645000,,,,,,,343000,167582000,,,
2003-12-31,,-7714000,,,,,49279000,,,19240000,,,,,,,57506000,,7833000,,,,-7714000,-7714000,,,,,,241181000,34189000,0,249014000,191508000,-0.34,,,,22384000,38266000,,,,,,,,,-0.34,,,,,281331000,,,,22384000,,-7714000,,,28000,,,315520000,,,,,,,221000,266241000,,,
2004-12-31,,6126000,0,20738000,,4431000,246193000,,218422000,28424000,,-45976000,3205000,,-60478000,11485000,67087000,9069000,10332000,,,-76147000,6126000,6126000,64923000,-55943000,0,2490000,0,319321000,222713000,,329653000,262566000,0.08,21802000,,-790000,56090651,38663000,2256000,,,,788000,,289873000,39672000,0.08,252299000,26243000,,,27908000,0,350351000,0,55893078,1691000,6126000,,,191000,,11803000,470721000,-95615000,,-95615000,55943000,,0,-1678000,6106000,,,
2005-12-31,61000,37696000,0,27223000,,57000,85080000,,511621000,41159000,,-28186000,2653000,,-86426000,-2654000,83141000,14980000,17824000,,,-38451000,37696000,37696000,,-5605000,0,1933000,0,374671000,53935000,-7456000,392495000,309354000,1.43,28026000,,-369000,26374000,41982000,2625000,,,,263000,,340694000,77431000,1.43,116074000,17738000,61000,,59020000,0,427120000,61000,26281000,1514000,30240000,,,790000,,13188000,627695000,-83036000,,-83036000,5666000,,61000,-3119000,30994000,,,
2006-12-31,153642000,41423000,-11079000,40041000,,71000,110297000,,650681000,69050000,,7000,2893000,,-117634000,-1857000,130251000,21767000,178837000,,,2972000,41423000,41423000,136085000,6285000,61000,4865000,0,425371000,65284000,26832000,604208000,473957000,1.29,34253000,5134000,-880000,32465000,61201000,3505000,,,,325000,,404740000,103597000,1.28,172249000,,153642000,18681000,96205000,0,522374000,153581000,32051000,1522000,68255000,17738000,,271000,50369000,19567000,822930000,-97312000,,-97312000,147296000,,153642000,-10760000,61952000,,,
2007-12-31,151176000,70563000,12961000,53345000,,,124801000,,843213000,86704000,,,3402000,20000000,-150996000,-3545000,160005000,21805000,201844000,,,72486000,70563000,70563000,3863000,6378000,153642000,5373000,0,520271000,75038000,43439000,722115000,562110000,2.16,43595000,8322000,-771000,33146000,73301000,4332000,,,,328000,,494930000,146923000,2.13,242569000,21939000,171176000,16483000,161363000,0,645926000,-2466000,32672000,76000,114002000,,,296000,70221000,19880000,1085782000,-140545000,-20000000,-166213000,16824000,,151176000,-15753000,117768000,,,
2008-12-31,88044000,78202000,-29548000,52816000,,,162888000,,1045041000,125607000,,-193000,6075000,99990000,-191462000,13165000,202395000,33354000,211072000,1290000,-30227000,150688000,78202000,78202000,0,198507000,151176000,3643000,0,613913000,89155000,49004000,824985000,622590000,2.39,52770000,303000,-457000,33146000,76788000,4789000,,20000000,11374000,329000,0,585899000,198507000,2.36,286927000,,188034000,29863000,180278000,-232091000,777361000,-63132000,32766000,0,127206000,21939000,-76000,302000,4857000,23890000,1331968000,-152101000,-99990000,-232091000,-29548000,87009000,88044000,9339000,124039000,,,
2009-12-31,219566000,126845000,10435000,72620000,,,174814000,,1139898000,155891000,,29000,5701000,50000000,-245700000,8423000,258044000,43172000,297454000,-875000,-84089000,277533000,126845000,126845000,,143475000,88044000,4763000,0,664051000,107550000,77380000,961505000,703461000,3.99,61308000,-23000,-825000,32102000,102153000,5614000,4207000,99990000,14992000,335000,0,636411000,260673000,3.95,378519000,,269566000,38863000,265938000,0,882111000,131522000,31766000,0,204225000,21939000,-82000,405000,6851000,25230000,1518417000,-117198000,-50000000,-67208000,-61943000,106395000,219566000,0,203705000,,,
2010-12-31,224838000,178981000,14526000,89228000,,,201574000,,1346517000,187678000,6989000,606000,16564000,124766000,-305228000,10479000,310732000,17810000,406221000,-743000,-126602000,456514000,178981000,178981000,,175976000,219566000,5658000,0,715384000,126357000,110080000,1121605000,810873000,5.73,68921000,-151000,-1481000,31735000,123054000,7098000,0,50234000,21381000,340000,-1900000,676881000,289191000,5.64,489405000,,349604000,50525000,358251000,0,982109000,5272000,31234000,0,289061000,21939000,-96000,269000,9825000,33705000,1835922000,-113215000,-126900000,-189881000,-94522000,123667000,224838000,0,287831000,,,
