date,annualCapitalStock,annualOperatingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualGrossProfit,annualInventory,annualOtherIncomeExpense,annualCurrentLiabilities,annualNetPPE,annualTotalNonCurrentAssets,annualEbitda,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,annualDilutedEPS,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualInvestingCashFlow,annualPretaxIncome,annualInterestExpense,annualAccumulatedDepreciation,annualGrossPPE,annualBasicEPS,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualGoodwill,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,annualOtherCurrentAssets,annualTotalRevenue,annualCostOfRevenue,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCurrentDebt,annualEndCashPosition,annualTaxProvision,annualOtherShortTermInvestments,annualOperatingIncome,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualDilutedAverageShares,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualNetIncome,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,annualTotalAssets,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualBasicAverageShares,annualCommonStockIssuance,annualCurrentAccruedExpenses,annualRetainedEarnings,annualNonCurrentDeferredRevenue,annualSellingGeneralAndAdministration,annualIncomeTaxPayable,annualStockBasedCompensation,annualResearchAndDevelopment,annualDepreciationAndAmortization,annualCurrentDeferredRevenue
1979-12-31,,,,,,,,,,,,1703300000,,,,,,0.815,,,,,,,,0.815,,,,,,,,1703300000,,,,,,,,,1703300000,,196500000,,,173496933,,,,196500000,,,,,,,,,,,,,141400000,,173496933,,,,,,,,,,
1980-12-31,,,,,,,,,,,,2119800000,,,,,,0.965,,,,,,,,0.965,,,,,,,,2119800000,,,,,,,,,2119800000,,241600000,,,190984456,,,,241600000,,,,,,,,,,,,,184300000,,190984456,,,,,,,,,,
1981-12-31,,,,,,,,,,,,2161900000,,,,,,0.885,,,,,,,,0.885,,,,,,,,2161900000,,,,,,,,,2161900000,,237800000,,,204067797,,,,237800000,,,,,,,,,,,,,180600000,,204067797,,,,,,,,,,
1982-12-31,,,,,,,,,,,,2360800000,,,,,,0.99,,,,,,,,0.99,,,,,,,,2360800000,,,,,,,,,2360800000,,221600000,,,223838384,,,,221600000,,,,,,,,,,,,,221600000,,223838384,,,,,,,,,,
1983-12-31,,,,,,,,,,,,2611700000,,,,,,1.095,,,,,,,,1.095,,,,,,,,2611700000,,,,,,,,,2611700000,,266000000,,,242922374,,,,266000000,,,,,,,,,,,,,266000000,,242922374,,,,,,,,,,
1984-12-31,,,,,,,,,,,,2604500000,,,,,,1.155,,,,,,,,1.155,,,,,,,,2604500000,,,,,,,,,2604500000,,293300000,,,209350649,,,,293300000,,,,,,,,,,,,,241800000,,209350649,,,,,,,,,,
1985-12-31,,,,,,,,,,,,2712100000,,,,,,1.2,,,,,,,,1.2,,,,,,,,2712100000,,,,,,,,,2712100000,,319800000,,,224666667,,,,319800000,,,,,,,,,,,,,269600000,,224666667,,,,,,,,,,
1986-12-31,,,,,,,,,,,,3071600000,,,,,,1.365,,,,,,,,1.365,,,,,,,,3071600000,,,,,,,,,3071600000,,379800000,,,278241758,,,,379800000,,,,,,,,,,,,,379800000,,278241758,,,,,,,,,,
1987-12-31,,,,,,,,,,,,3251200000,,,,,,1.515,,,,,,,,1.515,,,,,,,,3251200000,,,,,,,,,3251200000,,430500000,,,284158416,,,,430500000,,,,,,,,,,,,,430500000,,284158416,,,,,,,,,,
1988-12-31,,,,,,,,,,,,3344100000,,,,,,1.505,,,,,,,,1.505,,,,,,,,3344100000,,,,,,,,,3344100000,,438400000,,,291295681,,,,438400000,,,,,,,,,,,,,438400000,,291295681,,,,,,,,,,
1989-12-31,,,,,,,,,,,,3661700000,,,,,,1.38,,,,,,,,1.38,,,,,,,,3661700000,,,,,,,,,3661700000,,410700000,,,297608696,,,,410700000,,,,,,,,,,,,,410700000,,297608696,,,,,,,,,,
1990-12-31,,,,,,,,,,,,3532500000,,,,,,1.46,,,,,,,,1.46,,,,,,,,3532500000,,,,,,,,,3532500000,,445700000,,,305273973,,,,445700000,,,,,,,,,,,,,445700000,,305273973,,,,,,,,,,
1991-12-31,,,,,,,,,,,,3785700000,,,,,,1.47,,,,,,,,1.47,,,,,,,,3785700000,,,,,,,,,3785700000,,459900000,,,312857143,,,,459900000,,,,,,,,,,,,,459900000,,312857143,,,,,,,,,,
1992-12-31,,,,,,,,,,,,3791100000,,,,,,1.38,,,,,,,,1.38,,,,,,,,3791100000,,,,,,,,,3791100000,,428900000,,,322101449,,,,444500000,,,,,,,,,,,,,444500000,,322101449,,,,,,,,,,
1993-12-31,,,,,,,,,,,,4433900000,,,,,,1.56,,,,,,,,1.56,,,,,,,,4433900000,,,,,,,,,4433900000,,516600000,,,331153846,,,,516600000,,,,,,,,,,,,,516600000,,331153846,,,,,,,,,,
1994-12-31,3973700000.0,991800000.0,-239900000.0,146700000.0,,2848700000.0,309500000.0,13500000.0,1237400000.0,10245400000.0,12475700000.0,1648900000,6633400000.0,,-6500000.0,1902800000.0,,1.405,,68200000.0,-707200000.0,649200000.0,402500000.0,-5170000000.0,15415400000.0,1.405,545100000.0,-8000000.0,,44700000.0,-660900000.0,,247000000.0,4491100000,1642400000.0,343500000.0,,,545100000.0,146700000.0,171000000.0,,1038200000,-106400000.0,478200000,146700000.0,14100000.0,340600000,,8160000000.0,330900000.0,478200000,1810500000.0,-26700000.0,285900000.0,102000000.0,4710600000.0,-434700000.0,13562200000.0,,2230300000.0,1086500000.0,610700000.0,5402200000.0,478200000,,340600000,186700000.0,348800000.0,1455200000.0,,,,,,,
1995-12-31,3992500000.0,1171300000.0,-330100000.0,66700000.0,,2956400000.0,231400000.0,7300000.0,1394200000.0,10322300000.0,12806600000.0,1659100000,6670900000.0,,61100000.0,1933300000.0,,1.225,,26400000.0,-921200000.0,607100000.0,425800000.0,-5655100000.0,15977400000.0,1.225,657400000.0,-35500000.0,,-80000000.0,-577500000.0,,152300000.0,4651700000,1695300000.0,336700000.0,,,657400000.0,66700000.0,182100000.0,,1025600000,18300000.0,425000000,66700000.0,-215200000.0,347600000,,8337300000.0,593800000.0,425000000,1930800000.0,-6700000.0,466800000.0,146700000.0,4611900000.0,-448700000.0,13903300000.0,,2484300000.0,1096700000.0,633500000.0,5431000000.0,425000000,,347600000,311700000.0,400100000.0,1427600000.0,,,,,,,
1996-12-31,4160400000.0,1032200000.0,304600000.0,110800000.0,,3154800000.0,225500000.0,9800000.0,1975500000.0,10509400000.0,13585100000.0,1798800000,6926400000.0,,6000000.0,1998600000.0,-351300000.0,1.325,,84100000.0,-1292700000.0,684600000.0,429600000.0,-6306400000.0,16815800000.0,1.325,1128900000.0,-4500000.0,,44100000.0,-484000000.0,,291700000.0,4842300000,1687500000.0,410600000.0,,,1128900000.0,110800000.0,212500000.0,,1104400000,-119000000.0,472100000,110800000.0,-166700000.0,356600000,,9157200000.0,548200000.0,472100000,2050400000.0,-1100000.0,529700000.0,66700000.0,4727600000.0,-460100000.0,14905600000.0,,3075700000.0,1320500000.0,694400000.0,5613400000.0,472100000,,356600000,169700000.0,436000000.0,1437900000.0,,,,,,,
