date,annualPurchaseOfBusiness,annualStockholdersEquity,annualOtherNonCashItems,annualChangeInInventory,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualAccountsReceivable,annualPurchaseOfInvestment,annualCapitalStock,annualGrossProfit,annualOtherIntangibleAssets,annualStockBasedCompensation,annualNetPPE,annualGoodwill,annualSaleOfInvestment,annualOperatingCashFlow,annualCurrentLiabilities,annualBasicAverageShares,annualInventory,annualEbitda,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualPretaxIncome,annualEndCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualIncomeTaxPayable,annualAccountsPayable,annualGrossPPE,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,annualOperatingExpense,annualTaxProvision,annualCashAndCashEquivalents,annualCapitalExpenditure,annualInterestExpense,annualCurrentAssets,annualTotalRevenue,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualBasicEPS,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualNetIncome,annualCurrentDebt,annualCostOfRevenue,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualOtherShortTermInvestments
1979-09-30,,1090000000,,,760000000,,0.275,,,0,,,,980700000,,,457200000,,,0,504100000,760000000,720100000,481500000,,-1790500000,,33800000,,431500000.0,,385800000,0,415300000,-3600000,,,812900000,209000000,,,565400000,176800000,33800000,,25800000,1265900000,2724000000,,,-1723100000,,,-1594100000,-355700000,209000000,,,0.275,968100000,0,-1090000000,0,196400000,,43400000,,209000000,72600000,1743300000,499200000,0,-1265900000,,,,
1980-09-30,,1229800000,,,766774194,,0.31,,,0,,,,1100400000,,,495800000,,,0,520000000,766774194,776700000,530000000,,0,,48400000,,457200000.0,,429600000,0,452800000,5800000,,,876500000,237700000,,,647600000,191900000,48400000,,29000000,1369700000,3066800000,,,63900000,,,179600000,-380700000,237700000,,,0.31,1106600000,1929400000,699600000,0,179600000,,51700000,,237700000,62800000,1966400000,570400000,0,559700000,,,,
1981-09-30,,1443200000,,,817714286,,0.35,,,0,,,,1304900000,,,580200000,,,0,672400000,817714286,913300000,638500000,,0,,132400000,,607500000.0,,515500000,0,546500000,-2000000,,,1037300000,286200000,,,758400000,229300000,132400000,,28900000,1649700000,3578100000,,,60100000,,,174400000,-457100000,286200000,,,0.35,1309300000,2290000000,846800000,0,174400000,,53400000,,286200000,64900000,2273200000,666400000,0,640300000,,,,
1982-09-30,,1558700000,,,822191781,,0.365,,,0,,,,1326900000,,,595500000,,,0,622400000,822191781,894600000,649400000,,100000,,164100000,,561500000.0,,534800000,0,547100000,7800000,,,1088400000,300100000,,,779800000,234700000,164100000,,20100000,1638200000,3502300000,,,86100000,,,138700000,-492900000,300100000,,,0.365,1472200000,2319800000,761100000,0,138600000,,56700000,,300100000,60900000,2175400000,677500000,0,681600000,,,,
1983-09-30,,1701700000,,,818648649,,0.37,,,0,,,,1298900000,,,661100000,,,0,645200000,818648649,916300000,637200000,,0,,256100000,,603000000.0,,537600000,0,533300000,20700000,,,1213600000,302900000,,,765600000,234700000,256100000,,16400000,1736800000,3475700000,,,95100000,,,146100000,-552500000,302900000,,,0.37,1631100000,2493000000,791300000,0,146100000,,20700000,,302900000,42200000,2176800000,661700000,0,756200000,,,,
1984-09-30,,1869200000,,,821647059,,0.425,,,0,,,,1571600000,153700000.0,,753500000,,,0,884600000,821647059,1080200000,772400000,,95300000,,103000000,,677200000.0,,617900000,0,649000000,-3500000,,,1368800000,349200000,,,922600000,268700000,103000000,,27500000,1921200000,4178800000,,,151200000,,,225800000,-615300000,349200000,,,0.425,1822700000,2979600000,1110400000,0,130500000,,65900000,,349200000,207400000,2607200000,799200000,0,1058400000,,,,
1985-09-30,,2222200000,,,881538462,,0.455,,,0,,,,1825300000,156800000.0,,843600000,,,0,777800000,881538462,1155700000,887500000,,142200000,,88500000,,621800000.0,,694100000,0,739500000,-8600000,,,1573200000,401100000,,,1085800000,293000000,88500000,,36800000,2085400000,4649200000,,,171000000,,,256800000,-729600000,401100000,,,0.455,2154300000,3256800000,1034600000,0,114600000,,118000000,,401100000,156000000,2823900000,937800000,0,1171400000,,,,
1986-09-30,,2374000000,,,870000000,,0.47,,,0,,,,1908400000,198400000.0,,896400000,,,0,867200000,870000000,1144800000,920500000,,199500000,,288400000,,683500000.0,,715000000,0,756900000,7200000,,,1725000000,408900000,,,1151500000,306100000,288400000,,49100000,2432300000,4952900000,,,241900000,,,527800000,-828600000,408900000,,,0.47,2362800000,3769000000,1395000000,0,328300000,,207500000,,408900000,183700000,3044500000,987900000,0,1336700000,,,,
1987-09-30,,2702500000,,,934400000,,0.5,,,0,,,,2294900000,833500000.0,,1126300000,,,0,1324800000,934400000,1257800000,1137200000,,287500000,,130300000,,961100000.0,,810600000,0,922900000,-28800000,,,2081800000,467200000,,,1372000000,343400000,130300000,,83500000,2655400000,6170300000,,,252600000,,,840500000,-955500000,467200000,,,0.5,2666600000,4867800000,2165300000,0,553000000,,267800000,,467200000,363700000,3875400000,1157700000,0,2212400000,,,,
1988-09-30,,2820100000,,,911724138,,0.58,,,0,,,,2445900000,836200000.0,,1121500000,,,0,1438000000,911724138,1334600000,1222800000,,287500000,,108000000,,1099300000.0,,859800000,0,995500000,-59500000,,,2168200000,528800000,,,1450400000,331000000,108000000,,76200000,2763500000,6651500000,,,305800000,,,768900000,-1046700000,528800000,,,0.58,2966200000,5027000000,2206900000,0,481400000,,263900000,,528800000,338700000,4205600000,1223100000,0,2263500000,,,,
